project_id,name,start_date,end_date,status,manager_id
P0068,Project 68,2021-08-02,2025-03-13,On Hold,E06421
P0069,Project 69,2023-02-07,2025-06-26,On Hold,E03631
P0070,Project 70,2024-05-21,2025-09-02,Active,E02004
P0071,Project 71,2022-01-02,2025-03-12,Completed,E05142
P0072,Project 72,2022-08-28,2025-05-30,Completed,E00266
P0073,Project 73,2023-09-02,2025-05-22,Planning,E04168
P0074,Project 74,2021-02-11,2025-03-29,On Hold,E09870
P0075,Project 75,2025-03-11,2025-09-16,On Hold,E06350
P0076,Project 76,2024-05-10,2024-10-04,Planning,E06029
P0077,Project 77,2024-09-23,2024-10-30,Planning,E00385
P0078,Project 78,2021-07-13,2024-12-13,Completed,E08632
P0079,Project 79,2023-11-20,2024-10-20,Completed,E09204
P0080,Project 80,2024-08-17,2024-10-20,Completed,E07161
P0081,Project 81,2022-04-22,2025-01-18,Active,E05528
P0082,Project 82,2022-12-03,2024-12-01,Active,E08407
P0083,Project 83,2023-11-22,2024-11-02,Planning,E02879
P0084,Project 84,2023-01-27,2025-09-10,Active,E00852
P0085,Project 85,2022-08-12,2025-07-08,Completed,E08900
P0086,Project 86,2021-05-26,2025-05-19,Planning,E03423
P0087,Project 87,2023-11-30,2024-10-02,Completed,E00020
P0088,Project 88,2022-12-01,2025-01-03,Active,E03992
P0089,Project 89,2021-01-12,2025-02-12,Completed,E05618
P0090,Project 90,2023-07-28,2024-12-11,On Hold,E06705
P0091,Project 91,2023-07-29,2025-04-06,Planning,E08196
P0092,Project 92,2022-02-13,2024-11-21,Active,E02884
P0093,Project 93,2022-08-12,2024-10-07,Planning,E06866
P0094,Project 94,2022-04-06,2025-03-17,Active,E01056
P0095,Project 95,2024-10-09,2025-01-17,Planning,E03253
P0096,Project 96,2022-04-06,2024-12-20,Planning,E00596
P0097,Project 97,2022-12-30,2025-02-11,Active,E03616
P0098,Project 98,2023-08-09,2025-08-20,Planning,E09886
P0099,Project 99,2024-05-20,2025-01-24,Active,E08797
P0100,Project 100,2024-09-17,2025-02-25,On Hold,E02295
P0101,Project 101,2024-08-27,2025-05-31,On Hold,E01069
P0102,Project 102,2024-01-04,2024-10-02,On Hold,E09696
P0103,Project 103,2020-10-29,2025-09-24,Completed,E03929
P0104,Project 104,2024-07-07,2025-08-21,On Hold,E00401
P0105,Project 105,2022-06-26,2024-10-08,Planning,E00399
P0106,Project 106,2024-06-08,2025-04-28,Active,E04503
P0107,Project 107,2021-01-30,2025-07-12,Completed,E04762
P0108,Project 108,2024-05-13,2024-12-03,Completed,E04262
P0109,Project 109,2024-01-30,2025-09-22,Active,E05967
P0110,Project 110,2022-09-09,2025-07-21,Planning,E02589
P0111,Project 111,2022-09-29,2024-10-03,Completed,E03600
P0112,Project 112,2025-04-19,2024-10-16,Active,E05226
P0113,Project 113,2024-09-14,2025-01-06,On Hold,E07830
P0114,Project 114,2021-01-11,2025-06-16,Planning,E00511
P0115,Project 115,2021-02-24,2025-04-24,Completed,E00387
P0116,Project 116,2020-11-17,2025-04-28,Active,E02734
P0117,Project 117,2022-05-28,2024-11-25,Active,E06374
P0118,Project 118,2024-08-08,2025-04-14,On Hold,E02908
P0119,Project 119,2023-08-05,2025-06-30,Active,E06454
P0120,Project 120,2023-08-31,2025-08-23,Completed,E07101
P0121,Project 121,2023-05-24,2025-04-23,On Hold,E08912
P0122,Project 122,2022-10-05,2025-01-30,On Hold,E09119
P0123,Project 123,2025-01-03,2024-10-16,Planning,E05191
P0124,Project 124,2024-04-25,2024-12-08,Active,E07701
P0125,Project 125,2025-05-31,2025-05-24,Planning,E07721
P0126,Project 126,2024-04-16,2025-08-21,Active,E09803
P0127,Project 127,2021-02-10,2024-10-16,Active,E00809
P0128,Project 128,2022-02-21,2024-10-07,On Hold,E00533
P0129,Project 129,2025-03-20,2025-01-03,Active,E07872
P0130,Project 130,2021-02-07,2025-04-04,Planning,E00171
P0131,Project 131,2025-02-17,2024-11-16,On Hold,E06757
P0132,Project 132,2025-08-09,2025-09-09,Active,E06748
P0133,Project 133,2023-05-01,2024-11-05,Completed,E02008
P0134,Project 134,2024-07-10,2025-08-21,Completed,E06355
P0135,Project 135,2023-05-14,2025-08-13,Planning,E09672
P0136,Project 136,2023-12-10,2024-10-06,Planning,E08571
P0137,Project 137,2023-02-09,2025-08-22,On Hold,E03184
P0138,Project 138,2022-12-21,2024-12-23,Planning,E05673
P0139,Project 139,2025-05-13,2025-01-30,Planning,E02739
P0140,Project 140,2023-11-02,2025-01-18,Planning,E09113
P0141,Project 141,2023-02-13,2025-04-28,Planning,E06305
P0142,Project 142,2022-06-25,2025-01-17,Planning,E09700
P0143,Project 143,2023-10-27,2024-10-13,Completed,E02989
P0144,Project 144,2024-02-12,2025-04-04,On Hold,E00083
P0145,Project 145,2021-04-22,2025-03-01,Active,E07509
P0146,Project 146,2021-04-30,2025-04-15,Planning,E09808
P0147,Project 147,2025-01-28,2025-03-25,Planning,E03948
P0148,Project 148,2023-07-29,2025-04-27,Active,E03608
P0149,Project 149,2020-11-07,2025-05-18,Completed,E00129
P0150,Project 150,2025-04-19,2024-10-15,Planning,E04622
P0151,Project 151,2021-08-29,2024-11-14,On Hold,E03333
P0152,Project 152,2023-07-12,2024-09-27,Completed,E00509
P0153,Project 153,2021-11-23,2025-03-27,Completed,E02518
P0154,Project 154,2023-09-23,2025-01-08,Completed,E05937
P0155,Project 155,2025-09-16,2025-04-09,On Hold,E02938
P0156,Project 156,2022-07-11,2024-10-13,Completed,E06994
P0157,Project 157,2021-10-14,2024-10-26,Planning,E01614
P0158,Project 158,2020-12-08,2025-08-01,Active,E01963
P0159,Project 159,2024-01-06,2025-03-28,Completed,E03957
P0160,Project 160,2025-06-04,2025-08-04,On Hold,E04049
P0161,Project 161,2021-05-12,2025-06-01,On Hold,E00116
P0162,Project 162,2023-11-07,2024-11-29,Completed,E05612
P0163,Project 163,2024-08-09,2024-11-04,Planning,E00748
P0164,Project 164,2023-09-16,2025-03-10,Completed,E02098
P0165,Project 165,2022-06-05,2025-02-18,Active,E04254
P0166,Project 166,2024-09-02,2025-03-17,Completed,E02281
P0167,Project 167,2024-02-12,2024-12-17,Active,E08907
P0168,Project 168,2021-08-17,2024-12-16,Active,E08968
P0169,Project 169,2023-12-07,2025-09-20,On Hold,E04870
P0170,Project 170,2020-09-27,2024-11-06,Active,E08550
P0171,Project 171,2022-07-22,2024-11-17,Completed,E00796
P0172,Project 172,2022-07-05,2025-06-10,Planning,E01124
P0173,Project 173,2024-06-04,2024-10-18,Planning,E09039
P0174,Project 174,2022-09-21,2024-10-23,Completed,E06831
P0175,Project 175,2022-06-10,2024-11-26,Active,E08031
P0176,Project 176,2024-04-25,2024-12-31,Planning,E05373
P0177,Project 177,2022-03-25,2025-03-12,On Hold,E00710
P0178,Project 178,2021-03-11,2025-06-08,Planning,E06169
P0179,Project 179,2021-02-21,2025-07-04,Completed,E03290
P0180,Project 180,2022-11-09,2025-05-25,Completed,E09444
P0181,Project 181,2024-10-10,2024-10-15,Active,E02576
P0182,Project 182,2022-03-01,2025-01-11,Planning,E05033
P0183,Project 183,2025-07-11,2024-10-27,Completed,E02334
P0184,Project 184,2023-07-17,2025-02-26,Active,E00687
P0185,Project 185,2022-02-22,2025-05-12,On Hold,E06478
P0186,Project 186,2020-10-19,2025-06-29,Active,E00279
P0187,Project 187,2024-11-30,2024-12-04,Active,E04750
P0188,Project 188,2022-02-03,2025-02-09,On Hold,E04413
P0189,Project 189,2023-10-15,2025-04-19,Planning,E09923
P0190,Project 190,2022-08-13,2024-12-02,Active,E07972
P0191,Project 191,2023-10-14,2025-05-08,Completed,E00266
P0192,Project 192,2023-05-26,2025-07-23,On Hold,E04678
P0193,Project 193,2024-04-13,2025-01-23,Planning,E02808
P0194,Project 194,2025-02-12,2024-12-17,Planning,E05312
P0195,Project 195,2024-09-04,2024-09-26,Active,E04073
P0196,Project 196,2024-08-11,2024-11-26,Completed,E09836
P0197,Project 197,2022-01-01,2025-03-05,On Hold,E01790
P0198,Project 198,2022-08-19,2024-10-18,On Hold,E00806
P0199,Project 199,2025-02-12,2025-01-12,On Hold,E04567
P0200,Project 200,2022-11-25,2025-01-01,Active,E07864
P0201,Project 201,2024-11-15,2024-11-11,Completed,E04596
P0202,Project 202,2024-08-30,2025-06-07,On Hold,E04896
P0203,Project 203,2025-01-31,2025-07-13,On Hold,E09420
P0204,Project 204,2024-09-22,2024-12-31,Active,E01023
P0205,Project 205,2025-07-29,2024-11-17,On Hold,E05221
P0206,Project 206,2021-02-25,2025-07-04,On Hold,E05460
P0207,Project 207,2023-08-23,2025-07-16,On Hold,E04925
P0208,Project 208,2023-08-31,2025-09-23,Planning,E04309
P0209,Project 209,2024-01-02,2025-01-09,On Hold,E09700
P0210,Project 210,2021-05-11,2025-08-13,Completed,E04537
P0211,Project 211,2023-11-04,2025-08-11,Completed,E06797
P0212,Project 212,2021-07-09,2025-05-07,Active,E01724
P0213,Project 213,2021-09-21,2025-01-28,Planning,E03058
P0214,Project 214,2025-08-12,2025-06-11,Completed,E04832
P0215,Project 215,2024-04-25,2025-08-06,Completed,E03159
P0216,Project 216,2025-06-06,2025-08-27,On Hold,E06552
P0217,Project 217,2025-05-27,2025-04-22,Active,E06781
P0218,Project 218,2021-06-10,2025-04-05,Planning,E09387
P0219,Project 219,2022-10-18,2025-07-14,Planning,E03122
P0220,Project 220,2023-11-17,2024-10-22,Planning,E09091
P0221,Project 221,2025-02-07,2025-04-16,Active,E03079
P0222,Project 222,2021-04-04,2025-06-03,On Hold,E04985
P0223,Project 223,2021-01-26,2025-07-26,Active,E09569
P0224,Project 224,2022-10-24,2025-03-30,Active,E04023
P0225,Project 225,2021-08-09,2024-10-16,On Hold,E00111
P0226,Project 226,2022-08-10,2025-04-17,Planning,E03595
P0227,Project 227,2025-07-11,2025-02-06,Completed,E01532
P0228,Project 228,2021-05-05,2025-05-31,Active,E00416
P0229,Project 229,2025-06-02,2025-07-11,On Hold,E01980
P0230,Project 230,2021-05-12,2025-08-17,Completed,E02577
P0231,Project 231,2024-06-19,2025-02-27,Completed,E00580
P0232,Project 232,2024-07-04,2025-09-13,Planning,E00738
P0233,Project 233,2024-06-11,2024-10-31,Planning,E05105
P0234,Project 234,2021-11-02,2024-10-22,Active,E04130
P0235,Project 235,2024-05-19,2025-09-15,Planning,E00967
P0236,Project 236,2023-07-16,2024-11-19,Planning,E05247
P0237,Project 237,2023-12-13,2025-07-17,Active,E03096
P0238,Project 238,2025-08-18,2025-08-26,On Hold,E04490
P0239,Project 239,2021-07-30,2024-11-22,Completed,E08166
P0240,Project 240,2024-10-20,2024-12-20,Completed,E05113
P0241,Project 241,2022-11-02,2024-12-17,Planning,E00474
P0242,Project 242,2024-09-10,2025-03-02,Active,E03577
P0243,Project 243,2023-01-09,2025-07-31,On Hold,E07545
P0244,Project 244,2021-01-24,2025-02-07,Planning,E04041
P0245,Project 245,2021-09-30,2025-03-13,Completed,E01916
P0246,Project 246,2021-09-15,2025-01-27,Planning,E03538
P0247,Project 247,2025-05-22,2025-06-04,Planning,E06299
P0248,Project 248,2023-10-18,2025-05-27,Completed,E05982
P0249,Project 249,2025-09-16,2025-03-30,On Hold,E01260
P0250,Project 250,2023-10-15,2025-01-23,Completed,E07662
P0251,Project 251,2024-07-09,2024-10-15,Planning,E05275
P0252,Project 252,2023-12-16,2024-12-05,Planning,E09999
P0253,Project 253,2022-07-15,2025-03-19,Completed,E03691
P0254,Project 254,2022-03-13,2025-02-14,Planning,E09038
P0255,Project 255,2025-06-26,2025-09-04,Active,E00864
P0256,Project 256,2022-02-27,2025-02-25,Planning,E01177
P0257,Project 257,2025-05-22,2025-08-09,Planning,E04601
P0258,Project 258,2023-01-01,2024-10-14,Completed,E09602
P0259,Project 259,2022-07-14,2024-11-03,On Hold,E00570
P0260,Project 260,2022-09-20,2024-12-16,Completed,E08624
P0261,Project 261,2023-01-03,2025-03-23,Planning,E06728
P0262,Project 262,2021-03-07,2025-01-04,On Hold,E04527
P0263,Project 263,2022-12-19,2025-05-14,On Hold,E08895
P0264,Project 264,2021-07-03,2025-09-24,Completed,E01193
P0265,Project 265,2024-12-09,2025-03-13,On Hold,E06332
P0266,Project 266,2023-09-28,2025-04-18,Planning,E00809
P0267,Project 267,2025-07-18,2025-04-20,Planning,E09213
P0268,Project 268,2020-09-27,2024-11-04,Active,E02595
P0269,Project 269,2020-11-19,2024-11-24,Planning,E08311
P0270,Project 270,2024-09-20,2024-12-12,Completed,E08425
P0271,Project 271,2021-08-29,2025-07-28,On Hold,E02289
P0272,Project 272,2024-03-04,2024-10-08,Completed,E01542
P0273,Project 273,2025-01-20,2025-04-10,Completed,E03618
P0274,Project 274,2021-12-21,2025-05-02,Completed,E02503
P0275,Project 275,2021-09-03,2024-12-20,On Hold,E02449
P0276,Project 276,2022-06-09,2025-01-17,Planning,E06299
P0277,Project 277,2023-03-08,2025-05-15,Planning,E05698
P0278,Project 278,2023-12-18,2025-05-02,Active,E09465
P0279,Project 279,2023-08-13,2025-06-08,Planning,E01548
P0280,Project 280,2024-02-08,2024-11-22,On Hold,E09585
P0281,Project 281,2025-04-19,2025-09-21,Planning,E06723
P0282,Project 282,2022-07-05,2025-02-10,Active,E05033
P0283,Project 283,2024-03-08,2024-10-25,Planning,E03844
P0284,Project 284,2025-04-02,2025-06-05,On Hold,E01869
P0285,Project 285,2025-03-11,2025-04-02,Planning,E04675
P0286,Project 286,2021-09-28,2025-08-13,Planning,E02275
P0287,Project 287,2024-05-14,2025-07-06,On Hold,E03852
P0288,Project 288,2025-04-29,2025-02-27,Completed,E00204
P0289,Project 289,2025-06-18,2024-10-29,Completed,E09217
P0290,Project 290,2021-07-15,2025-04-26,On Hold,E05461
P0291,Project 291,2023-07-18,2025-02-09,On Hold,E04277
P0292,Project 292,2024-04-02,2025-06-23,Active,E03802
P0293,Project 293,2020-12-25,2025-02-24,Active,E03390
P0294,Project 294,2025-07-28,2024-12-26,On Hold,E09549
P0295,Project 295,2023-12-24,2025-03-29,Active,E05753
P0296,Project 296,2025-01-01,2025-08-04,On Hold,E02746
P0297,Project 297,2021-03-30,2025-04-22,Planning,E06461
P0298,Project 298,2020-11-07,2025-05-10,Completed,E08301
P0299,Project 299,2024-04-29,2025-02-17,Completed,E03383
P0300,Project 300,2023-11-21,2025-03-18,Planning,E09943
P0301,Project 301,2024-09-09,2025-07-04,On Hold,E02072
P0302,Project 302,2023-11-23,2025-07-10,Active,E09617
P0303,Project 303,2022-10-20,2024-12-03,On Hold,E07584
P0304,Project 304,2022-08-20,2025-03-05,Planning,E04642
P0305,Project 305,2023-02-23,2025-02-19,Planning,E04190
P0306,Project 306,2021-12-04,2025-04-13,On Hold,E09735
P0307,Project 307,2020-11-23,2025-01-07,On Hold,E03055
P0308,Project 308,2023-04-06,2025-09-12,Completed,E05402
P0309,Project 309,2024-05-26,2024-12-26,On Hold,E08058
P0310,Project 310,2022-08-13,2024-12-20,On Hold,E00451
P0311,Project 311,2023-05-29,2025-01-26,Active,E07432
P0312,Project 312,2020-10-08,2025-08-10,Planning,E02611
P0313,Project 313,2025-01-19,2024-09-28,Planning,E00112
P0314,Project 314,2025-08-28,2025-04-24,Completed,E06787
P0315,Project 315,2021-12-19,2025-07-24,On Hold,E06736
P0316,Project 316,2021-09-18,2025-04-26,Planning,E09834
P0317,Project 317,2025-01-18,2025-06-01,Completed,E05868
P0318,Project 318,2024-10-12,2025-03-01,Completed,E07853
P0319,Project 319,2022-06-11,2025-03-21,On Hold,E08482
P0320,Project 320,2022-03-05,2025-09-01,Completed,E08491
P0321,Project 321,2023-11-03,2024-12-03,Active,E04371
P0322,Project 322,2021-08-17,2025-06-17,Active,E07258
P0323,Project 323,2025-06-04,2025-07-10,On Hold,E03585
P0324,Project 324,2024-10-22,2024-10-01,On Hold,E09492
P0325,Project 325,2022-01-21,2025-03-08,Planning,E00522
P0326,Project 326,2023-11-09,2025-08-26,Completed,E08246
P0327,Project 327,2021-07-17,2025-09-18,Active,E06321
P0328,Project 328,2023-10-26,2025-01-19,On Hold,E06833
P0329,Project 329,2024-10-28,2024-11-29,Planning,E00623
P0330,Project 330,2021-11-22,2025-09-15,Completed,E09251
P0331,Project 331,2024-06-16,2025-02-20,On Hold,E08067
P0332,Project 332,2021-05-26,2025-08-01,On Hold,E09690
P0333,Project 333,2020-12-18,2025-05-11,Completed,E04679
P0334,Project 334,2023-07-10,2025-07-02,Active,E09191
P0335,Project 335,2024-11-03,2024-11-09,Active,E06275
P0336,Project 336,2024-11-17,2024-10-27,Completed,E02606
P0337,Project 337,2022-04-09,2024-11-25,Completed,E08482
P0338,Project 338,2025-04-26,2024-09-25,Active,E05560
P0339,Project 339,2022-12-05,2025-08-05,Completed,E09747
P0340,Project 340,2022-10-31,2025-04-28,On Hold,E07748
P0341,Project 341,2020-10-25,2025-01-09,Active,E08486
P0342,Project 342,2021-04-08,2024-12-16,Planning,E03024
P0343,Project 343,2020-10-15,2024-11-19,On Hold,E04224
P0344,Project 344,2024-05-15,2025-07-11,Planning,E07672
P0345,Project 345,2022-02-21,2025-01-13,Planning,E07954
P0346,Project 346,2022-08-01,2025-02-28,On Hold,E01080
P0347,Project 347,2024-05-03,2025-01-02,Completed,E04088
P0348,Project 348,2024-06-12,2025-01-02,Active,E05345
P0349,Project 349,2024-05-22,2025-02-06,Active,E06406
P0350,Project 350,2024-06-15,2024-12-04,Active,E01401
P0351,Project 351,2020-12-22,2025-09-07,Planning,E04726
P0352,Project 352,2023-12-20,2024-10-05,Active,E04114
P0353,Project 353,2021-01-14,2025-07-07,Planning,E03876
P0354,Project 354,2021-12-30,2025-07-04,On Hold,E01684
P0355,Project 355,2022-11-12,2025-06-23,On Hold,E05012
P0356,Project 356,2022-03-31,2025-02-09,Active,E08704
P0357,Project 357,2022-04-14,2024-10-24,Completed,E04969
P0358,Project 358,2022-08-26,2025-07-25,On Hold,E06441
P0359,Project 359,2024-01-04,2025-06-24,On Hold,E02182
P0360,Project 360,2024-03-20,2025-07-10,On Hold,E02009
P0361,Project 361,2023-03-13,2024-09-28,Active,E05507
P0362,Project 362,2020-12-23,2025-05-27,On Hold,E04583
P0363,Project 363,2024-12-12,2025-01-06,Completed,E06818
P0364,Project 364,2024-02-05,2025-08-20,Planning,E06431
P0365,Project 365,2022-06-30,2024-11-30,On Hold,E00872
P0366,Project 366,2020-11-20,2025-07-12,Planning,E03044
P0367,Project 367,2025-01-11,2025-08-20,Planning,E05995
P0368,Project 368,2023-08-05,2025-04-08,On Hold,E07920
P0369,Project 369,2024-10-04,2025-04-05,Planning,E00254
P0370,Project 370,2021-06-07,2025-02-08,Active,E08797
P0371,Project 371,2021-01-29,2025-07-17,Completed,E00644
P0372,Project 372,2021-02-05,2025-03-20,Completed,E09895
P0373,Project 373,2024-01-17,2025-05-13,Active,E06987
P0374,Project 374,2022-09-05,2024-09-26,Planning,E03221
P0375,Project 375,2024-11-08,2025-03-15,Completed,E01293
P0376,Project 376,2025-05-08,2025-09-08,On Hold,E04372
P0377,Project 377,2025-04-28,2024-10-31,Completed,E03709
P0378,Project 378,2025-09-14,2025-09-24,Active,E08125
P0379,Project 379,2020-10-13,2025-03-18,On Hold,E03460
P0380,Project 380,2023-08-13,2025-04-06,Active,E09745
P0381,Project 381,2024-03-14,2024-10-05,On Hold,E03126
P0382,Project 382,2025-02-13,2025-07-21,Active,E02288
P0383,Project 383,2023-06-25,2025-08-24,Completed,E05715
P0384,Project 384,2024-09-05,2024-11-11,Completed,E05711
P0385,Project 385,2021-07-02,2024-10-02,Completed,E05082
P0386,Project 386,2022-02-12,2024-12-01,Active,E03487
P0387,Project 387,2024-05-01,2024-10-18,Planning,E04499
P0388,Project 388,2023-05-11,2025-06-17,On Hold,E07899
P0389,Project 389,2025-02-10,2025-06-14,On Hold,E07165
P0390,Project 390,2023-10-28,2025-06-23,Active,E03797
P0391,Project 391,2022-08-17,2025-03-27,Active,E08663
P0392,Project 392,2023-04-15,2025-07-26,Active,E06926
P0393,Project 393,2023-12-09,2025-09-24,On Hold,E06053
P0394,Project 394,2022-02-04,2024-11-26,Planning,E02007
P0395,Project 395,2020-10-08,2025-07-09,Active,E08391
P0396,Project 396,2025-07-18,2024-11-09,On Hold,E02777
P0397,Project 397,2021-09-30,2025-08-31,Completed,E05441
P0398,Project 398,2022-08-12,2025-09-19,Planning,E05072
P0399,Project 399,2025-05-28,2025-08-05,On Hold,E07672
P0400,Project 400,2024-01-17,2025-03-19,Active,E05115
P0401,Project 401,2023-04-06,2025-06-25,Completed,E01863
P0402,Project 402,2022-08-17,2025-07-28,Planning,E08883
P0403,Project 403,2023-07-03,2024-11-28,On Hold,E01634
P0404,Project 404,2025-07-13,2025-06-07,On Hold,E06938
P0405,Project 405,2021-02-19,2025-07-31,Active,E07564
P0406,Project 406,2020-12-18,2024-10-18,Planning,E09315
P0407,Project 407,2021-03-31,2025-02-16,Active,E04921
P0408,Project 408,2022-05-06,2024-10-18,On Hold,E05029
P0409,Project 409,2023-04-04,2024-11-21,Completed,E04077
P0410,Project 410,2021-09-03,2025-04-09,Planning,E07896
P0411,Project 411,2025-01-12,2025-06-11,Active,E03412
P0412,Project 412,2021-12-09,2025-05-19,Completed,E00618
P0413,Project 413,2021-05-17,2025-07-17,On Hold,E00467
P0414,Project 414,2022-08-09,2025-06-25,Planning,E02353
P0415,Project 415,2024-06-18,2024-12-11,Completed,E00425
P0416,Project 416,2022-11-03,2025-01-11,Completed,E01035
P0417,Project 417,2021-03-06,2024-10-13,Planning,E08443
P0418,Project 418,2020-11-12,2025-07-19,Completed,E09807
P0419,Project 419,2025-02-19,2025-06-29,Completed,E03000
P0420,Project 420,2023-09-10,2025-07-20,Completed,E08048
P0421,Project 421,2022-01-13,2025-06-08,Completed,E00819
P0422,Project 422,2022-02-20,2024-10-06,Completed,E02372
P0423,Project 423,2021-10-21,2025-06-10,Planning,E05200
P0424,Project 424,2021-12-29,2025-07-18,On Hold,E07497
P0425,Project 425,2021-01-25,2025-08-30,Completed,E09007
P0426,Project 426,2024-08-31,2024-12-06,Active,E06575
P0427,Project 427,2022-02-19,2025-06-25,Planning,E09261
P0428,Project 428,2023-07-18,2024-12-19,On Hold,E05149
P0429,Project 429,2023-06-11,2025-02-15,Completed,E04419
P0430,Project 430,2022-08-10,2025-03-31,Active,E01431
P0431,Project 431,2025-05-21,2025-05-04,On Hold,E04364
P0432,Project 432,2024-03-13,2025-06-17,Planning,E06803
P0433,Project 433,2024-01-28,2025-04-24,Planning,E02992
P0434,Project 434,2023-03-01,2025-07-15,Active,E09406
P0435,Project 435,2024-05-05,2024-10-16,Planning,E06793
P0436,Project 436,2024-09-28,2024-11-13,Active,E08334
P0437,Project 437,2024-08-09,2025-07-03,Completed,E09554
P0438,Project 438,2021-01-07,2025-06-27,Planning,E05193
P0439,Project 439,2025-06-11,2025-03-30,On Hold,E07780
P0440,Project 440,2025-05-30,2025-04-11,On Hold,E06024
P0441,Project 441,2021-03-25,2025-02-12,Completed,E09823
P0442,Project 442,2023-01-14,2025-06-30,Completed,E03154
P0443,Project 443,2022-09-11,2024-10-14,Active,E03845
P0444,Project 444,2022-12-06,2025-07-12,Completed,E08906
P0445,Project 445,2021-04-14,2024-10-22,Planning,E08817
P0446,Project 446,2023-09-23,2025-06-16,Active,E00904
P0447,Project 447,2024-08-06,2025-02-20,Completed,E05264
P0448,Project 448,2021-08-26,2024-12-03,On Hold,E03621
P0449,Project 449,2022-12-18,2025-09-22,Completed,E06254
P0450,Project 450,2025-09-11,2025-03-18,Completed,E08438
