task_id,project_id,assignee_id,description,priority,status,due_date
T00161,P0034,E00198,Material parent health world up.,High,Completed,2025-05-26
T00162,P0044,E00031,Pressure fill Mr health page opportunity.,Low,Completed,2025-06-26
T00163,P0034,E00021,Go significant success particularly.,Low,Open,2024-10-16
T00164,P0007,E00074,Throughout international official chance special born.,Medium,Open,2024-10-26
T00165,P0009,E00049,While offer decision dream also phone.,High,Completed,2024-12-22
T00166,P0016,E00087,Long describe fly hotel car something rich.,High,Blocked,2025-03-17
T00167,P0033,E00042,Dog successful concern ready apply.,High,Open,2025-04-30
T00168,P0007,E00070,Simply what effect mean box.,Low,Open,2025-04-16
T00169,P0009,E00178,Opportunity professor culture second business discuss.,Low,Completed,2025-09-15
T00170,P0028,E00059,Case determine key least.,Low,Blocked,2025-02-28
T00171,P0032,E00098,Soldier nothing everybody.,Medium,Open,2025-06-14
T00172,P0010,E00116,Health serve possible first whole realize.,Low,Blocked,2025-03-24
T00173,P0036,E00150,Sit none learn data trip protect deep.,Low,Blocked,2025-05-16
T00174,P0034,E00163,Glass me receive attention form.,High,Completed,2025-01-30
T00175,P0030,E00132,Cell why citizen peace middle run could option.,High,Blocked,2025-08-02
T00176,P0006,E00140,Poor yeah cost partner culture office imagine.,Low,In Progress,2025-02-09
T00177,P0035,E00059,With southern Mr foot hundred service direction.,Medium,Blocked,2025-08-27
T00178,P0043,E00114,Entire blood skill attack feel.,High,Open,2025-08-04
T00179,P0023,E00023,Listen performance give success change TV ability surface.,Low,Completed,2025-07-13
T00180,P0031,E00060,Nation policy indeed throw performance box where.,Low,Open,2025-06-30
T00181,P0012,E00133,Only hard wife fly more someone thought back.,Low,Open,2024-10-26
T00182,P0014,E00030,Also country leader how poor that student.,High,Open,2025-01-06
T00183,P0045,E00077,His few wait training.,High,In Progress,2025-01-05
T00184,P0020,E00162,About concern but discover.,Low,Completed,2025-06-10
T00185,P0048,E00060,Performance receive century economic expect majority.,Low,Completed,2025-08-04
T00186,P0049,E00076,Early far everybody him artist weight.,Medium,Blocked,2025-05-10
T00187,P0037,E00119,Street else rate result anything anything.,High,Completed,2025-07-10
T00188,P0010,E00084,Moment world anything official similar board couple.,High,Blocked,2024-11-11
T00189,P0015,E00077,Plan scene science a color.,High,Open,2025-01-08
T00190,P0049,E00006,Maintain human him among.,Low,Blocked,2025-05-04
T00191,P0027,E00135,Education stop more west from business.,High,In Progress,2024-12-12
T00192,P0016,E00071,Itself growth sound cell future.,Medium,Open,2025-09-03
T00193,P0004,E00067,Forget issue service floor.,Low,Completed,2024-11-05
T00194,P0006,E00171,Between health list color arrive forget scene fight.,Low,In Progress,2024-11-28
T00195,P0041,E00012,Sport television poor bill.,Low,Open,2025-01-05
T00196,P0029,E00199,Old parent mean face expect seem describe.,Medium,Blocked,2025-03-30
T00197,P0005,E00123,Really however officer couple building take.,Low,Blocked,2025-02-21
T00198,P0045,E00028,Accept building class report.,Medium,Blocked,2024-11-02
T00199,P0036,E00188,Three charge people media few.,Medium,Blocked,2025-01-14
T00200,P0020,E00177,Woman message minute idea person myself real chair.,High,In Progress,2024-12-01
T00201,P0042,E00008,By product lead property we weight tree fine.,High,Blocked,2025-01-01
T00202,P0009,E00136,Buy training finish somebody rest nice agent.,Medium,Open,2024-10-28
T00203,P0033,E00028,Article fire case bill I.,High,Blocked,2025-08-11
T00204,P0037,E00101,Thought dog consumer economy.,High,In Progress,2025-06-12
T00205,P0015,E00200,Road challenge risk.,Medium,Completed,2025-06-19
T00206,P0017,E00015,House wall live bank drug.,Medium,Completed,2025-07-06
T00207,P0029,E00037,Yet finish visit.,Medium,Blocked,2025-09-13
T00208,P0049,E00119,City Mr kid always large.,Low,Open,2025-02-11
T00209,P0015,E00200,Significant people rule prepare play.,High,Blocked,2025-05-23
T00210,P0013,E00167,Seem management relationship tonight remain travel few will.,Medium,In Progress,2025-06-07
T00211,P0002,E00182,Main care always practice condition factor read.,High,Open,2024-10-01
T00212,P0027,E00002,Recognize think have authority reach.,High,Completed,2025-07-19
T00213,P0038,E00174,Research manage true exist left window general consumer.,Medium,Open,2025-01-28
T00214,P0031,E00189,Join specific writer or.,High,In Progress,2024-12-08
T00215,P0013,E00018,Magazine such sell well.,High,Open,2025-06-10
T00216,P0005,E00113,Ok five continue new billion.,Low,Blocked,2025-04-13
T00217,P0028,E00135,Office traditional possible wife phone since least.,Medium,In Progress,2025-05-20
T00218,P0029,E00035,Again this scene always Congress then good.,Low,Completed,2025-08-24
T00219,P0036,E00148,Bad pass happen dog star.,Low,Completed,2025-06-16
T00220,P0033,E00065,Or purpose practice five fine life arm according.,High,Open,2025-03-14
T00221,P0020,E00124,Many heart rich.,Low,Completed,2025-04-13
T00222,P0045,E00117,Not probably participant society human.,Low,In Progress,2025-07-07
T00223,P0027,E00082,Help indicate when by audience national activity.,Medium,Completed,2025-01-21
T00224,P0025,E00178,Grow particularly statement need science everyone commercial too.,Medium,Open,2025-04-25
T00225,P0044,E00110,Beyond stage station remain score partner.,Medium,Blocked,2025-01-30
T00226,P0025,E00108,Ok decade read body.,Medium,Open,2025-06-24
T00227,P0022,E00118,Ago improve final blue.,Low,Open,2024-12-17
T00228,P0008,E00036,Director series safe act table safe.,Low,Blocked,2024-12-25
T00229,P0002,E00027,Down third town cell end information reduce.,High,Open,2025-07-29
T00230,P0045,E00087,Than when year cup what question describe.,High,In Progress,2025-07-23
T00231,P0049,E00095,Cause bag as society.,High,Blocked,2025-04-04
T00232,P0032,E00162,President now discover war film kitchen radio see.,High,In Progress,2025-08-11
T00233,P0027,E00047,Audience claim see way.,Medium,Completed,2025-02-25
T00234,P0009,E00089,Through design because paper west draw write.,Medium,Blocked,2025-08-18
T00235,P0006,E00090,Mean class drive staff rule free wife.,Low,In Progress,2025-08-15
T00236,P0013,E00089,Ago sport mouth.,High,Completed,2025-03-29
T00237,P0035,E00013,During individual natural.,High,Blocked,2025-02-07
T00238,P0005,E00130,Quality truth can may.,Medium,In Progress,2025-01-13
T00239,P0049,E00003,Agency beautiful animal military win.,Medium,In Progress,2024-10-16
T00240,P0018,E00038,Like knowledge society court service example paper.,Low,Blocked,2025-03-18
T00241,P0035,E00096,Decide campaign again.,Low,In Progress,2024-12-01
T00242,P0008,E00177,Professor eight right fill can.,High,Open,2024-10-09
T00243,P0005,E00183,At and again successful ability activity.,Low,In Progress,2025-01-08
T00244,P0038,E00140,Business from free seat number.,High,In Progress,2024-11-11
T00245,P0001,E00145,Service your range campaign discussion whether institution.,Low,Completed,2025-08-04
T00246,P0001,E00013,Candidate be help sit represent song outside.,Low,Blocked,2025-06-28
T00247,P0027,E00089,Never resource town statement make live just he.,High,Completed,2024-10-17
T00248,P0048,E00169,Lose prevent can defense Mr mouth off.,High,Open,2025-05-06
T00249,P0007,E00078,Among media different ever.,Low,Completed,2024-11-05
T00250,P0028,E00086,Five school improve member stock.,High,Open,2025-05-18
T00251,P0010,E00091,Stock development box new rate material window.,Medium,Blocked,2025-05-22
T00252,P0003,E00173,Road always phone somebody girl.,High,Open,2025-03-20
T00253,P0040,E00084,Member people trade black worker point.,High,Open,2024-12-20
T00254,P0010,E00175,Result almost too still over short.,Medium,Open,2025-04-25
T00255,P0018,E00101,Ball nor edge wall direction finish inside.,Low,Blocked,2025-03-09
T00256,P0039,E00018,With school white avoid.,High,Open,2025-01-31
T00257,P0034,E00196,Next evidence area time grow power rest.,Low,Blocked,2025-06-27
T00258,P0018,E00136,Environment view support late voice might.,High,In Progress,2025-04-29
T00259,P0025,E00035,Lay recognize me moment will onto.,Medium,Blocked,2025-08-10
T00260,P0006,E00106,Window sometimes several all.,High,In Progress,2024-10-08
T00261,P0025,E00114,Quickly across everyone shoulder.,High,Blocked,2025-05-08
T00262,P0005,E00117,Service attention by community I read happen.,High,Blocked,2025-03-22
T00263,P0021,E00048,Throughout evidence wall.,High,Blocked,2024-10-02
T00264,P0046,E00175,Necessary impact bank industry week.,High,Completed,2024-11-17
T00265,P0044,E00047,Call factor statement which arrive else.,High,Blocked,2025-04-12
T00266,P0040,E00026,Bank source woman maybe letter add drug.,Medium,Completed,2025-01-21
T00267,P0046,E00139,Realize process difference.,High,Blocked,2025-06-27
T00268,P0035,E00140,Each final heavy institution morning yeah themselves.,High,Open,2025-05-22
T00269,P0043,E00163,Over specific art degree simply.,Medium,Open,2024-12-28
T00270,P0045,E00036,Message big less person there.,Medium,Completed,2025-03-26
T00271,P0011,E00114,Of end success claim level executive month black.,Medium,Open,2025-09-01
T00272,P0024,E00010,Arrive memory should eye career.,High,Blocked,2024-10-24
T00273,P0022,E00087,Two ready spring best skin.,Low,Completed,2024-11-23
T00274,P0028,E00042,Organization today listen again even tough.,Medium,Completed,2025-03-11
T00275,P0035,E00021,Rock choice thousand south light.,High,Blocked,2024-10-04
T00276,P0029,E00133,Decide catch before power choice but.,High,Completed,2025-07-21
T00277,P0002,E00026,Body at option turn agree.,Low,Open,2024-11-13
T00278,P0037,E00052,Activity bill say power data six.,High,Blocked,2025-02-02
T00279,P0004,E00113,Computer within finally clearly.,Medium,Open,2025-08-06
T00280,P0020,E00044,Pressure watch security half customer enter.,Low,Open,2024-11-12
T00281,P0016,E00071,Build strategy board rate property perform.,High,Completed,2025-06-12
T00282,P0014,E00142,Establish center society be every.,High,In Progress,2025-07-23
T00283,P0035,E00170,Decide shake you first will husband.,Low,Completed,2024-11-09
T00284,P0002,E00075,Hard move especially partner stage prevent whose consumer.,Medium,In Progress,2024-12-03
T00285,P0020,E00122,Girl have discover girl argue.,High,Blocked,2024-12-08
T00286,P0044,E00187,Four population meet air agreement south firm their.,Low,Completed,2025-06-13
T00287,P0029,E00193,Because rather through start space guess small.,Low,In Progress,2025-07-22
T00288,P0027,E00170,Group exactly red manage.,Low,Blocked,2025-03-19
T00289,P0015,E00060,Single event hospital some early.,Low,Open,2025-01-14
T00290,P0016,E00079,Southern any across nothing them.,Medium,Completed,2025-08-28
T00291,P0020,E00102,Fear its whether public hair half.,High,Completed,2024-12-09
T00292,P0016,E00195,Order size spring none tough tend president.,Low,Open,2025-02-10
T00293,P0048,E00011,Beyond building though effect life teacher education within.,High,Completed,2025-06-18
T00294,P0019,E00154,Itself begin its of yard take sport center.,Medium,Blocked,2025-05-13
T00295,P0007,E00125,Light key century weight guess.,Medium,In Progress,2025-09-02
T00296,P0004,E00121,Religious father buy hour.,High,Open,2024-10-14
T00297,P0037,E00159,He power discuss quite.,Low,Completed,2025-06-04
T00298,P0026,E00115,Father purpose our various else environment choice news.,Medium,Open,2025-02-01
T00299,P0030,E00005,Interview skill material travel now.,High,Completed,2025-06-16
T00300,P0008,E00024,Unit fill recognize time represent government.,Low,In Progress,2025-03-10
T00301,P0046,E00090,Then community rise rise manage them race.,Medium,In Progress,2025-08-05
T00302,P0021,E00124,Keep blood direction sure.,High,Blocked,2025-08-31
T00303,P0009,E00018,Total claim outside decade television.,Low,Open,2025-08-24
T00304,P0010,E00135,Hold left truth establish air program without.,Low,Completed,2025-01-03
T00305,P0030,E00195,From hand ball need discuss bag.,High,Completed,2024-11-07
T00306,P0024,E00006,Go visit religious.,Low,Open,2025-07-15
T00307,P0049,E00066,Responsibility class live practice quickly full ground.,Medium,Completed,2025-07-11
T00308,P0005,E00089,With water kind use information loss evening.,Medium,Blocked,2024-12-08
T00309,P0044,E00061,Five enter treat director police.,Low,Completed,2025-08-12
T00310,P0047,E00115,Rule card key white part.,Low,Blocked,2025-07-02
T00311,P0024,E00112,Cost station general American case ability kid close.,Low,In Progress,2024-12-27
T00312,P0002,E00042,Phone west recent history theory project him so.,Low,Blocked,2025-07-25
T00313,P0021,E00139,Themselves attention total live born.,High,In Progress,2024-10-03
T00314,P0036,E00055,Above nothing create new.,High,Open,2024-12-14
T00315,P0021,E00050,Write appear performance subject level sure toward.,Medium,Open,2024-11-01
T00316,P0008,E00191,Partner writer threat every.,Low,Blocked,2024-10-25
T00317,P0046,E00101,Military appear without civil real.,High,Open,2025-05-27
T00318,P0043,E00117,Paper stop recent moment include respond.,Low,Open,2024-09-24
T00319,P0043,E00056,Line common night pick.,Low,Completed,2024-10-25
T00320,P0034,E00156,Want building once sell.,Low,In Progress,2025-01-04
T00321,P0015,E00166,Early you record now.,Medium,Blocked,2025-07-03
T00322,P0024,E00108,Doctor away foreign per.,Medium,Blocked,2025-07-06
T00323,P0040,E00070,Might let go least knowledge perform culture cultural.,Medium,Blocked,2025-07-20
T00324,P0035,E00084,Moment arm its able painting voice let.,Low,In Progress,2024-09-28
T00325,P0018,E00030,Business determine agency kitchen personal.,Medium,Completed,2025-02-25
T00326,P0010,E00108,Middle sit foot radio full yard.,High,Open,2025-04-27
T00327,P0032,E00113,Send field amount peace training compare easy.,Medium,Blocked,2025-02-21
T00328,P0041,E00074,Quality campaign concern investment fund.,Medium,Completed,2025-04-09
T00329,P0034,E00087,Explain ready always soldier.,High,Blocked,2025-08-26
T00330,P0036,E00096,Establish product tree radio read trade certainly.,Medium,Completed,2025-03-21
T00331,P0024,E00023,End cover fast thank teach toward.,High,In Progress,2024-11-02
T00332,P0018,E00036,Last why kid thus nice theory.,Medium,In Progress,2025-02-24
T00333,P0017,E00099,Save ten recent structure growth fire establish.,High,In Progress,2024-10-21
T00334,P0042,E00158,Area population visit leader.,High,Completed,2024-11-18
T00335,P0006,E00103,Face before language door often Mrs.,Medium,In Progress,2025-08-16
T00336,P0012,E00171,Lawyer appear whom everything defense.,High,Blocked,2025-07-29
T00337,P0014,E00084,Scientist ground prove miss chair throw.,Low,Open,2025-09-18
T00338,P0036,E00120,National establish able always pick cut.,Medium,Blocked,2025-01-28
T00339,P0016,E00067,Study health skill condition it recently operation.,High,Open,2025-06-28
T00340,P0018,E00073,Property we city well white.,High,Blocked,2025-07-05
T00341,P0043,E00125,Cell hope low continue.,Medium,Completed,2024-10-20
T00342,P0029,E00105,Above need game process television.,Low,Blocked,2025-01-29
T00343,P0043,E00185,Boy doctor relationship consider simply herself according music.,Low,Open,2025-06-15
T00344,P0013,E00018,Then four make.,High,Blocked,2025-04-08
T00345,P0050,E00046,President animal west air top environmental.,Medium,Blocked,2025-07-21
T00346,P0037,E00108,Start if pressure by middle.,Low,Blocked,2025-03-01
T00347,P0043,E00139,Environment three own teacher tend sort staff.,High,Blocked,2024-10-04
T00348,P0029,E00171,Soon international agent evening help story skin.,High,Completed,2024-12-23
T00349,P0047,E00045,All anything everyone option role produce.,Low,Completed,2025-09-22
T00350,P0044,E00180,Culture nice bar rock stay.,Low,Completed,2025-08-20
T00351,P0031,E00137,Mean reflect job themselves trade.,Medium,Blocked,2025-08-16
T00352,P0012,E00037,Son strategy school effort hear maybe investment.,Low,Blocked,2025-04-03
T00353,P0014,E00068,Set right film ever major.,Medium,Completed,2025-02-03
T00354,P0006,E00137,Physical economy rise page may.,High,Blocked,2024-11-26
T00355,P0021,E00198,Remember rather common plan carry.,Low,Completed,2025-06-12
T00356,P0015,E00022,Thank strong model subject truth but none.,Low,Open,2024-10-02
T00357,P0019,E00019,Recognize but technology catch receive face event.,High,In Progress,2025-03-30
T00358,P0046,E00134,Information type lot guy still entire.,Low,Blocked,2025-06-19
T00359,P0040,E00013,Practice here according firm nature study officer.,High,Blocked,2025-08-16
T00360,P0043,E00131,Rate school have present man skin.,Medium,Completed,2025-05-26
T00361,P0007,E00164,Sell human head listen item husband edge.,Medium,Blocked,2025-09-14
T00362,P0027,E00014,No call matter.,Low,Blocked,2025-06-20
