survey_id,subject_id,category,topic,rating,date
S00245,E00107,Customer,Satisfaction,1,2025-01-21
S00246,E00085,Employee,Net Promoter Score,3,2025-05-30
S00247,E00152,Employee,Experience,3,2024-04-21
S00248,E00002,Customer,Satisfaction,2,2023-11-26
S00249,C04517,Employee,Support,4,2025-10-04
S00250,E00337,Employee,Satisfaction,4,2025-01-02
S00251,E00146,Customer,Satisfaction,4,2025-08-04
S00252,C02881,Employee,Satisfaction,4,2024-12-20
S00253,C01467,Customer,Support,1,2025-07-23
S00254,C00332,Employee,Experience,5,2025-06-24
S00255,E00233,Customer,Support,5,2025-01-27
S00256,E00013,Employee,Satisfaction,1,2024-04-13
S00257,C04149,Customer,Net Promoter Score,2,2024-04-30
S00258,E00375,Customer,Satisfaction,1,2024-10-09
S00259,E00476,Employee,Support,1,2024-03-15
S00260,E00380,Customer,Support,4,2025-06-27
S00261,E00362,Employee,Experience,4,2023-11-17
S00262,E00066,Customer,Satisfaction,3,2025-09-20
S00263,E00058,Customer,Satisfaction,3,2025-01-03
S00264,C04761,Employee,Experience,3,2024-02-27
S00265,E00006,Employee,Net Promoter Score,5,2024-09-15
S00266,C01387,Employee,Support,4,2023-10-10
S00267,E00040,Customer,Experience,2,2024-08-15
S00268,C03692,Employee,Net Promoter Score,4,2023-12-02
S00269,E00078,Customer,Net Promoter Score,1,2024-10-05
S00270,C00747,Employee,Satisfaction,5,2025-03-15
S00271,C01624,Employee,Experience,2,2024-07-02
S00272,E00407,Employee,Satisfaction,3,2023-11-23
S00273,E00445,Customer,Net Promoter Score,3,2024-11-27
S00274,C04397,Customer,Support,5,2024-08-08
S00275,E00190,Customer,Support,3,2023-11-07
S00276,C04315,Employee,Net Promoter Score,4,2023-11-22
S00277,C04150,Employee,Experience,4,2025-04-05
S00278,E00379,Employee,Net Promoter Score,3,2025-06-22
S00279,E00362,Customer,Experience,5,2024-01-28
S00280,C01504,Customer,Satisfaction,1,2025-01-01
S00281,C03619,Employee,Experience,3,2025-06-22
S00282,E00301,Customer,Experience,5,2024-03-02
S00283,E00250,Employee,Satisfaction,4,2025-04-04
S00284,E00266,Employee,Support,3,2025-03-14
S00285,C04266,Employee,Experience,1,2024-10-23
S00286,E00398,Employee,Satisfaction,5,2023-12-28
S00287,E00093,Customer,Net Promoter Score,3,2024-06-09
S00288,C00759,Employee,Net Promoter Score,5,2024-03-02
S00289,C04582,Employee,Net Promoter Score,4,2024-09-02
S00290,C03332,Customer,Satisfaction,3,2024-07-07
S00291,C03781,Employee,Support,5,2025-07-19
S00292,C04943,Employee,Satisfaction,1,2024-05-25
S00293,E00329,Customer,Support,2,2024-12-04
S00294,E00452,Employee,Support,3,2025-01-27
S00295,C03645,Customer,Experience,1,2025-03-20
S00296,C03068,Employee,Support,3,2024-02-10
S00297,E00488,Employee,Support,4,2024-06-08
S00298,C04937,Customer,Experience,3,2025-08-08
S00299,C03990,Employee,Net Promoter Score,2,2023-10-30
S00300,C01582,Customer,Net Promoter Score,2,2024-04-07
S00301,C00282,Customer,Satisfaction,1,2023-10-14
S00302,C02778,Employee,Support,5,2024-05-05
S00303,E00426,Employee,Support,1,2024-09-05
S00304,E00446,Customer,Support,4,2024-07-14
S00305,E00245,Customer,Experience,2,2024-05-18
S00306,E00286,Customer,Support,1,2025-06-17
S00307,C01114,Customer,Experience,1,2024-08-27
S00308,E00441,Employee,Net Promoter Score,3,2025-01-09
S00309,E00292,Employee,Support,5,2024-03-22
S00310,C01570,Employee,Support,5,2024-12-05
S00311,E00222,Customer,Experience,2,2024-04-04
S00312,C02435,Employee,Satisfaction,3,2025-01-01
S00313,E00347,Employee,Net Promoter Score,2,2024-03-15
S00314,C01186,Customer,Net Promoter Score,1,2024-02-19
S00315,C03372,Employee,Experience,5,2024-04-17
S00316,E00459,Customer,Net Promoter Score,5,2024-07-25
S00317,E00417,Customer,Net Promoter Score,3,2025-03-01
S00318,C02591,Employee,Experience,2,2023-12-06
S00319,E00357,Employee,Support,3,2025-03-07
S00320,E00004,Employee,Satisfaction,4,2025-09-25
S00321,C00867,Customer,Support,5,2024-07-03
S00322,E00364,Customer,Net Promoter Score,5,2025-02-15
S00323,E00163,Customer,Satisfaction,2,2023-11-12
S00324,E00040,Employee,Satisfaction,1,2025-08-03
S00325,C01525,Employee,Net Promoter Score,1,2025-06-19
S00326,C00602,Employee,Net Promoter Score,1,2025-09-01
S00327,C04282,Employee,Experience,3,2024-09-16
S00328,C00472,Customer,Experience,4,2024-01-03
S00329,E00248,Customer,Experience,5,2024-04-03
S00330,C00188,Employee,Experience,2,2024-06-29
S00331,C00517,Customer,Net Promoter Score,5,2024-10-23
S00332,E00417,Customer,Net Promoter Score,1,2025-07-16
S00333,C04530,Employee,Satisfaction,5,2024-01-20
S00334,C01426,Employee,Net Promoter Score,5,2024-01-02
S00335,E00165,Customer,Support,5,2025-01-30
S00336,E00145,Employee,Support,1,2023-12-20
S00337,E00249,Employee,Satisfaction,4,2024-10-24
S00338,E00083,Customer,Support,1,2025-09-20
S00339,C00849,Customer,Experience,2,2024-07-11
S00340,C01678,Employee,Experience,2,2023-10-28
S00341,E00145,Employee,Satisfaction,2,2024-12-06
S00342,C04455,Employee,Experience,4,2024-02-27
S00343,C01663,Employee,Net Promoter Score,5,2024-07-27
S00344,C04115,Employee,Net Promoter Score,3,2025-02-13
S00345,C04863,Employee,Satisfaction,4,2025-05-21
S00346,E00212,Employee,Experience,5,2025-03-01
S00347,E00286,Employee,Net Promoter Score,5,2025-06-06
S00348,E00121,Customer,Satisfaction,1,2023-10-15
S00349,C02792,Employee,Experience,4,2023-10-08
S00350,C01341,Customer,Net Promoter Score,5,2025-07-10
S00351,C02390,Employee,Support,1,2023-12-28
S00352,E00334,Employee,Support,4,2025-05-24
S00353,E00155,Customer,Support,4,2023-12-24
S00354,E00289,Employee,Satisfaction,4,2024-06-22
S00355,C01934,Employee,Experience,2,2024-08-24
S00356,C04209,Customer,Experience,3,2024-10-01
S00357,E00037,Employee,Satisfaction,4,2024-06-21
S00358,E00093,Employee,Satisfaction,5,2024-08-14
S00359,C02365,Employee,Experience,2,2023-12-12
S00360,E00081,Employee,Experience,3,2023-11-06
S00361,E00025,Employee,Net Promoter Score,3,2023-10-21
S00362,E00332,Customer,Support,5,2025-06-14
S00363,C02339,Employee,Experience,2,2024-09-06
S00364,E00028,Employee,Experience,3,2023-11-30
S00365,E00015,Employee,Satisfaction,3,2025-07-27
S00366,C00329,Customer,Experience,3,2024-01-15
S00367,E00206,Employee,Net Promoter Score,4,2025-01-23
S00368,C04072,Employee,Experience,5,2024-06-02
S00369,C03447,Customer,Net Promoter Score,4,2025-01-10
S00370,E00047,Customer,Experience,2,2024-01-13
S00371,C01308,Customer,Satisfaction,2,2024-09-07
S00372,C00234,Customer,Experience,3,2024-11-14
S00373,E00298,Employee,Net Promoter Score,3,2023-11-08
S00374,E00383,Customer,Support,4,2025-08-18
S00375,C01850,Customer,Net Promoter Score,1,2025-02-26
S00376,E00361,Customer,Experience,2,2024-05-11
S00377,C02297,Customer,Support,2,2025-06-04
S00378,C02162,Employee,Support,1,2024-12-09
S00379,E00101,Customer,Net Promoter Score,4,2024-11-24
S00380,E00264,Employee,Experience,2,2025-07-22
S00381,C01189,Employee,Satisfaction,5,2025-08-24
S00382,E00076,Customer,Satisfaction,3,2024-03-01
S00383,E00157,Customer,Satisfaction,4,2024-04-24
S00384,C04903,Employee,Net Promoter Score,5,2025-09-16
S00385,C03825,Customer,Net Promoter Score,5,2025-09-20
S00386,E00203,Employee,Experience,2,2025-04-16
S00387,E00250,Customer,Satisfaction,2,2025-08-19
S00388,C01400,Customer,Net Promoter Score,1,2025-06-30
S00389,E00084,Customer,Experience,4,2023-11-04
S00390,C02911,Employee,Satisfaction,4,2024-08-08
S00391,C04704,Customer,Experience,2,2025-01-04
S00392,C03386,Customer,Experience,1,2025-03-02
S00393,E00115,Employee,Satisfaction,2,2025-01-23
S00394,E00189,Customer,Net Promoter Score,1,2025-06-22
S00395,C03490,Customer,Net Promoter Score,3,2025-03-25
S00396,C02683,Customer,Satisfaction,3,2024-09-26
S00397,E00069,Employee,Experience,1,2024-08-21
S00398,C03444,Employee,Experience,2,2025-04-07
S00399,E00058,Customer,Satisfaction,2,2025-09-03
S00400,E00131,Employee,Experience,1,2024-10-03
S00401,C02652,Customer,Experience,5,2023-11-28
S00402,E00150,Employee,Net Promoter Score,4,2024-09-22
S00403,C02786,Customer,Experience,1,2025-09-23
S00404,C04472,Customer,Support,5,2024-02-17
S00405,C02796,Customer,Satisfaction,1,2024-02-08
S00406,E00132,Employee,Experience,4,2024-09-17
S00407,C02110,Employee,Net Promoter Score,3,2025-03-28
S00408,E00269,Customer,Support,5,2025-10-02
S00409,C04151,Employee,Net Promoter Score,4,2025-04-08
S00410,C00178,Employee,Experience,3,2024-03-02
S00411,C02630,Customer,Net Promoter Score,1,2024-09-15
S00412,E00458,Employee,Support,1,2023-12-06
S00413,C03576,Customer,Net Promoter Score,2,2025-07-18
S00414,E00011,Employee,Net Promoter Score,1,2025-03-25
S00415,E00343,Employee,Net Promoter Score,4,2023-11-25
S00416,E00124,Customer,Support,3,2025-05-06
S00417,E00475,Employee,Satisfaction,2,2024-10-12
S00418,E00153,Employee,Net Promoter Score,4,2024-02-09
S00419,E00063,Customer,Satisfaction,5,2024-07-29
S00420,C02808,Customer,Experience,2,2024-02-08
S00421,E00459,Employee,Net Promoter Score,1,2024-07-03
S00422,E00351,Customer,Experience,3,2024-01-15
S00423,C02504,Customer,Net Promoter Score,2,2024-02-28
S00424,E00491,Employee,Net Promoter Score,3,2024-06-12
S00425,C02744,Customer,Experience,2,2023-12-31
S00426,E00130,Customer,Support,5,2024-02-04
S00427,E00258,Customer,Support,1,2024-06-14
S00428,C00435,Employee,Support,4,2024-07-16
S00429,C01465,Customer,Experience,1,2025-01-31
S00430,C03465,Customer,Support,5,2024-08-18
S00431,C01958,Employee,Satisfaction,2,2024-06-05
S00432,E00406,Employee,Experience,4,2025-01-29
S00433,C03115,Employee,Support,5,2024-12-23
S00434,E00414,Customer,Net Promoter Score,4,2025-03-30
S00435,C01468,Customer,Support,5,2024-06-21
S00436,E00356,Customer,Net Promoter Score,4,2025-08-29
S00437,C02959,Customer,Satisfaction,1,2024-03-26
S00438,C01680,Customer,Experience,2,2024-04-04
S00439,C03016,Customer,Net Promoter Score,2,2025-03-17
S00440,E00074,Customer,Net Promoter Score,3,2025-07-29
S00441,C02776,Employee,Net Promoter Score,2,2024-08-09
S00442,E00302,Customer,Net Promoter Score,3,2025-06-30
S00443,E00030,Customer,Satisfaction,1,2023-10-27
S00444,E00157,Customer,Experience,1,2024-03-14
S00445,E00498,Employee,Satisfaction,4,2024-01-02
S00446,C01831,Customer,Support,5,2024-07-17
S00447,C04622,Employee,Experience,1,2024-08-06
S00448,E00189,Customer,Net Promoter Score,4,2023-11-11
S00449,C01275,Employee,Experience,1,2025-09-18
S00450,C00847,Customer,Satisfaction,1,2024-10-04
S00451,C01352,Employee,Experience,3,2024-08-27
S00452,E00238,Employee,Experience,4,2023-11-15
S00453,C04691,Employee,Experience,2,2024-04-19
S00454,C00210,Customer,Satisfaction,1,2024-09-19
S00455,C00971,Customer,Experience,4,2024-10-25
S00456,C02158,Customer,Satisfaction,3,2025-05-18
S00457,E00255,Employee,Net Promoter Score,5,2024-06-23
S00458,C01219,Employee,Support,2,2024-08-12
S00459,E00184,Employee,Satisfaction,2,2025-10-04
S00460,E00486,Employee,Satisfaction,1,2024-10-12
S00461,C00350,Customer,Net Promoter Score,2,2024-06-10
S00462,C01656,Employee,Net Promoter Score,3,2025-05-29
S00463,E00035,Employee,Satisfaction,1,2024-06-15
S00464,E00426,Employee,Net Promoter Score,5,2024-03-10
S00465,C00618,Employee,Net Promoter Score,4,2024-06-06
S00466,C03027,Customer,Experience,3,2025-08-24
S00467,C03209,Customer,Net Promoter Score,4,2025-06-13
S00468,E00048,Customer,Satisfaction,3,2025-08-05
S00469,C02907,Employee,Satisfaction,1,2024-09-09
S00470,C00920,Customer,Net Promoter Score,2,2023-11-12
S00471,E00443,Employee,Satisfaction,1,2024-05-03
S00472,C04164,Employee,Net Promoter Score,1,2023-10-29
S00473,C01570,Customer,Net Promoter Score,2,2025-02-07
S00474,C04028,Customer,Net Promoter Score,1,2025-02-25
S00475,E00450,Employee,Net Promoter Score,3,2024-06-24
S00476,E00181,Customer,Experience,3,2025-09-24
S00477,C03639,Customer,Experience,3,2025-06-03
S00478,E00135,Employee,Experience,4,2023-10-27
S00479,E00343,Customer,Satisfaction,2,2024-07-29
S00480,E00022,Employee,Experience,1,2024-02-25
S00481,C04400,Customer,Net Promoter Score,5,2024-10-29
S00482,C04743,Customer,Net Promoter Score,4,2024-05-25
S00483,E00382,Customer,Satisfaction,5,2024-12-11
S00484,C03440,Customer,Support,2,2024-01-03
S00485,E00430,Employee,Satisfaction,3,2024-07-07
S00486,E00154,Customer,Support,4,2024-06-02
S00487,E00185,Customer,Satisfaction,5,2025-07-29
S00488,E00315,Customer,Net Promoter Score,3,2023-12-09
S00489,E00425,Employee,Net Promoter Score,1,2025-09-03
S00490,C02272,Customer,Net Promoter Score,3,2023-12-27
S00491,C04420,Customer,Satisfaction,2,2024-01-21
S00492,C01538,Employee,Support,1,2024-03-23
S00493,C04134,Customer,Experience,5,2024-03-06
S00494,E00042,Employee,Experience,3,2024-04-01
S00495,C04158,Employee,Support,4,2025-06-27
S00496,E00298,Employee,Satisfaction,2,2025-08-14
S00497,E00491,Customer,Net Promoter Score,3,2024-07-12
S00498,C01092,Employee,Net Promoter Score,3,2025-08-22
S00499,C01941,Employee,Satisfaction,4,2023-10-16
S00500,E00360,Employee,Experience,4,2024-07-23
S00501,E00256,Employee,Experience,5,2024-08-15
S00502,E00108,Customer,Satisfaction,2,2025-01-22
S00503,C03147,Employee,Net Promoter Score,3,2023-12-02
S00504,C00090,Employee,Net Promoter Score,1,2024-01-31
S00505,C02059,Employee,Support,1,2025-01-07
S00506,C04419,Employee,Net Promoter Score,4,2023-10-18
S00507,E00389,Customer,Satisfaction,4,2024-02-05
S00508,E00031,Employee,Net Promoter Score,2,2024-11-12
S00509,C00998,Customer,Experience,1,2024-10-11
S00510,C03464,Employee,Experience,4,2024-08-06
S00511,E00457,Employee,Net Promoter Score,1,2024-12-10
S00512,C02005,Customer,Support,3,2023-11-09
S00513,C02207,Employee,Satisfaction,1,2024-07-31
S00514,C02199,Employee,Experience,5,2024-04-19
S00515,E00095,Customer,Experience,2,2024-03-19
S00516,C01372,Employee,Support,4,2025-10-04
S00517,C00118,Employee,Support,5,2023-11-13
S00518,C03523,Customer,Experience,2,2023-10-21
S00519,E00294,Employee,Experience,1,2024-11-05
