call_id,customer_id,call_type,duration_min,date,cell_tower_id
e8c5eec8-e5f2-43c9-9fc2-3d2f032ca2c7,C01780,voice,19.27,2025-06-21,T188
7d41b553-5d49-4f4e-92aa-14ef00049586,C09748,voice,5.26,2025-06-25,T129
8222c407-7afc-48e8-99ee-ea3a47124272,C03329,voice,1.35,2025-08-04,T076
e6bc13bf-ea47-485a-9021-c452ab09c52e,C08353,data,41.17,2024-11-12,T181
2d26c363-be98-4de4-bad0-3b067ac801d9,C07167,voice,6.27,2025-04-16,T052
7d2e3471-5c94-4485-bcbc-01beb525e5f3,C06764,SMS,30.64,2025-02-18,T070
6f109a8c-5b96-4206-84c4-8f5ede7b5e61,C05700,voice,34.62,2024-12-26,T027
3646f2cc-58f8-4195-a9cc-31db9fa56c84,C06112,data,20.77,2025-06-29,T131
a79ef86c-9466-49eb-9adb-fba39e509c33,C02380,voice,43.82,2025-04-29,T174
78b10e1c-48ae-4b81-900f-6e1a9eb0fd65,C09534,data,20.87,2024-10-24,T153
40fd22b7-cd31-434b-b041-b88cb08047cb,C04458,SMS,50.29,2025-08-12,T068
6c26daa5-86b2-4d67-ac36-f57618a2083e,C07260,SMS,22.48,2025-03-22,T037
90aaad2a-8686-48d1-871b-4e3eb05839ae,C01337,voice,5.28,2025-05-09,T113
eeb7786f-ee00-485d-b085-619a1e764839,C05576,voice,23.95,2025-01-26,T185
6ea88d7a-a75a-45ea-a842-417a1a64e4da,C03672,data,12.31,2024-09-30,T093
48bfb6ba-4134-4c88-8302-aca98e799a36,C09923,data,13.32,2025-09-07,T047
3a6206f6-8922-4cf7-bc85-dbba5d1cd4f1,C06801,data,6.43,2025-08-06,T179
1b255f33-c2d2-4364-bfbb-5901b85c9d0a,C01437,SMS,56.52,2024-09-25,T011
789e990d-d6ea-4494-ab53-e5136ab45c8c,C04665,SMS,9.1,2024-10-07,T129
a0992c40-724f-47ed-b8d7-4e7cec9e91e1,C09707,data,48.7,2025-03-01,T027
af98bc5a-b7e1-47b7-a73a-de213f101bb0,C04685,data,13.89,2024-12-31,T128
04fa4ad7-38db-4c3f-9dc7-be3af444aeff,C03688,data,40.41,2024-10-06,T149
a2fca183-7544-4673-b2c1-7187cf1a5a6d,C08042,voice,30.73,2024-12-03,T107
7ad92e31-27ad-459a-9c11-97e5167024e5,C09217,data,6.17,2025-01-04,T195
15c1a55c-bd8b-4452-a762-3842a9f1c42b,C06337,data,51.26,2025-09-21,T150
336865e3-3ee9-4232-9f16-522389942477,C05095,data,24.99,2025-09-10,T171
3db33f46-4bc2-44d8-b5f2-5c929bed4400,C03783,data,45.84,2025-07-11,T052
c133c941-1ea8-4ea0-8e05-d7668691f32e,C06305,voice,8.74,2025-04-13,T198
7dd39ed5-fb2c-4668-8a48-8b220e0cee52,C08687,voice,22.84,2025-08-11,T012
74354383-305b-4278-854b-48635a0f0ee6,C01891,voice,40.51,2025-09-16,T077
2c8c8e08-f88c-40cb-a122-967f1b58ce16,C04030,SMS,12.77,2025-06-17,T067
29533e74-edb0-4bca-864a-1b14048f7a3e,C08740,voice,45.51,2025-09-14,T031
bbc29a0b-dfac-4694-a1f0-6a9f6c704285,C08784,voice,24.16,2025-03-04,T070
8350d061-c09b-47ef-af03-8c1557ae7f7b,C05877,data,43.79,2025-02-13,T046
a2a013d0-91de-4198-85a9-4545d2c7ae9b,C01286,SMS,55.95,2025-05-24,T067
0788204d-c1a9-4a28-a176-76f941f2e43f,C05119,data,11.51,2025-02-12,T034
893885ab-4b5e-4af3-974f-56a1dd236b8f,C08443,voice,1.57,2025-04-08,T069
aafa1f24-e332-4abc-a13e-a084808755a8,C03184,voice,30.19,2025-08-30,T120
8fabcdb8-c01f-4c03-a92c-2c78d6de7daa,C09943,data,35.89,2024-11-16,T142
c03f80f1-c737-47e3-b1e8-aa0bf9c6bad2,C09031,data,14.22,2025-03-01,T054
27b0a029-2638-409a-9165-80f7cb9284bc,C00649,SMS,58.8,2024-10-02,T107
497f5efa-89cc-4569-8f74-fb33307e0771,C08127,SMS,55.17,2025-07-31,T096
2c8fb498-021e-48fd-bbcf-f11d0fe9004c,C02864,voice,13.42,2025-09-09,T024
c6cd34f8-774f-4035-9817-ae9b1a370db3,C05367,data,24.55,2024-11-06,T072
10109407-ca01-4184-a03c-3839d4079913,C03817,voice,55.87,2025-05-03,T105
75080445-68fd-4d04-8c35-3b32b6fcbf6e,C00616,SMS,6.34,2024-11-19,T126
a819f311-c2cf-423f-83db-ab8498f59593,C05621,data,32.55,2025-08-13,T021
8be69a7f-1b35-44e3-8dce-22a7f50ad710,C01566,voice,17.69,2025-02-06,T011
d42e63d0-11ec-4389-b1b8-18f909892a36,C06253,SMS,56.24,2025-06-28,T139
33231753-f8d5-4223-80bf-d4ea35197f18,C09264,data,20.24,2025-07-29,T128
429f2f17-1117-4a78-9845-ca68ab8055da,C08487,voice,33.49,2025-03-03,T130
76053469-ff73-44ce-8a65-3e495c61db93,C08806,SMS,40.22,2025-02-18,T053
b1c4ea8e-896a-4090-86f2-c8ba892db0db,C09144,voice,33.02,2025-06-17,T135
52a25bdb-c522-4e5c-881e-660e8de9af45,C03844,SMS,27.94,2025-08-15,T120
7546684f-ba2b-4ca9-b52a-39b1c54ac14d,C00280,voice,51.54,2025-02-21,T001
913ce266-f855-48cc-acf6-202e007bab63,C02012,data,29.67,2025-07-24,T117
48a5141b-ebb0-4784-a5a2-30f7b4fdb956,C09366,data,40.06,2025-07-07,T076
7c0020b8-ef38-4faa-a3e0-7b88e09130ce,C03520,SMS,20.07,2024-12-11,T057
2f5de8eb-ade7-4321-aa09-2377045946c3,C01393,data,4.99,2024-11-03,T029
cb8bccb7-645e-4302-ba39-552498c65140,C02999,data,38.24,2024-11-08,T129
2370b811-334e-4c7e-827e-8182d3bf97fb,C00979,voice,5.94,2025-07-12,T021
156e97c3-eaeb-45f3-b86d-8ca34daa74bf,C01234,data,46.45,2025-03-19,T128
5c2ce4de-2f6e-4bce-ac1b-3226ccdd11e2,C00007,SMS,50.97,2025-02-04,T184
cf2f97e6-8db1-477e-997f-ab0a4af3d177,C08325,SMS,10.6,2025-08-28,T073
8ae846a8-1fce-4a01-85b4-3d1954047e65,C05845,data,27.88,2024-11-30,T151
03f3cc7f-fe40-4570-91fa-b5a795cfe913,C00122,voice,14.69,2025-05-06,T132
0e59ea60-1bed-470d-ae45-23f60288e2b8,C00632,data,50.57,2024-11-26,T197
95315bce-f5c6-4232-9e8e-22683eceea62,C00495,data,23.3,2025-06-01,T058
dbd3acc1-ec34-4bc4-aad2-e42703551cce,C04912,voice,24.56,2024-11-01,T056
b80de173-72bd-461d-87b7-172195211351,C00579,voice,5.82,2024-12-19,T069
c1b270f9-8f9b-4b39-85ab-f186f317481a,C01522,SMS,52.12,2025-04-16,T087
366080ae-dca6-4424-8018-d3274e2549b7,C04389,voice,44.88,2025-05-02,T097
73df2eed-0038-4fb9-ad4b-1c256c670a09,C02403,SMS,48.15,2025-05-23,T149
10cd37ff-d8f9-4318-9ef2-f164d5f93fed,C07358,voice,33.72,2025-08-22,T123
2d0e80a5-7634-443e-911d-6c55efc88f77,C09977,data,8.91,2025-07-18,T047
308323d0-0c35-47b3-bc7a-6f39984c8937,C05577,SMS,4.26,2024-12-29,T170
8b97cc79-5f5a-4157-ad18-f06b0e13b99e,C01535,data,13.83,2025-09-06,T136
bcd56e32-80fe-4c2d-a136-7eeac3cd2267,C08779,voice,2.29,2024-11-26,T121
408d5241-400d-4635-abe3-50890b185e75,C06078,data,1.05,2025-08-22,T019
48c5b0dd-96e8-4f6c-840d-5ffaab92bbef,C09917,data,6.51,2025-05-12,T007
a196b58c-9d04-43d9-b51f-b52ad27c681c,C03729,data,11.19,2025-06-30,T002
2e3f09a4-4a5f-4554-b89c-1b6dc2729a25,C00293,SMS,45.1,2024-11-18,T167
fdd4acec-97f0-48f1-bde2-8a347d88ffd9,C08016,data,52.92,2025-06-18,T148
db4efc61-4f2f-4acf-8273-3a0738a197be,C03481,SMS,56.45,2025-05-18,T127
34737695-523d-488e-8643-3dd21ab2a898,C08156,voice,10.79,2025-03-29,T121
3d6b4536-3268-4d88-8d91-14fceda7b72a,C09973,SMS,24.76,2024-11-25,T038
0955cbcb-e25c-4b57-b7f2-ea29375235e7,C03213,data,58.74,2024-10-20,T150
c674c2d8-8c90-4bec-b7e9-3ae897f9e969,C00401,voice,44.13,2025-02-12,T048
c6620ebc-838f-47d8-a2f2-9e87f9293ef5,C04513,data,55.65,2024-11-23,T018
2c4d101c-f723-4de4-b759-04e665b366db,C01477,data,27.51,2024-12-24,T092
98e4a330-105b-4193-99b5-5ba56b88c883,C05442,SMS,35.6,2025-08-10,T157
4867510f-1921-4734-a91f-d43a3127c484,C04764,data,11.4,2025-03-23,T198
9623d568-2349-4bc1-a35a-1dff53dcb752,C03017,data,24.25,2025-03-07,T124
5b7b3639-3f47-4437-a656-e6dc8b09ae09,C00504,voice,49.65,2025-01-27,T122
121d3ee2-f66e-4ed2-b598-bcc5f818a329,C01917,data,6.38,2025-08-29,T035
b718b069-a40b-4222-99a8-a70bef424c37,C06915,voice,1.52,2025-05-15,T027
b4cf76af-4ed2-424a-9faf-19514ae2baf0,C04830,voice,46.05,2025-07-11,T155
83b965d2-4c85-4caa-8ad5-091a99845f9e,C07247,data,55.53,2025-04-05,T065
f2cdc154-3306-4184-a455-d0d755fe80f8,C06293,voice,6.48,2025-01-07,T117
6e3df3b4-ecca-4509-9045-fc3d1947d216,C02333,SMS,15.6,2025-04-15,T024
dbc13cfa-1b3e-4c12-8ef5-c99486ee04cb,C02380,voice,47.92,2025-07-25,T079
f62e85d3-0ed5-4c9f-9609-a7407529d9f1,C08813,SMS,29.77,2025-04-12,T046
64758824-9817-41b8-bd5e-b36a6e96e3af,C08214,SMS,38.08,2025-02-06,T042
ed3a3190-5cbb-437a-a546-08e90a27facf,C01466,voice,3.37,2024-10-04,T058
671b4e5c-5eb0-4d2f-b283-cd4c25431998,C05580,SMS,42.37,2025-06-16,T063
c346024e-4c7c-4d15-9555-9318c7d5c015,C07378,voice,25.15,2024-10-07,T015
4092ffca-d713-4c76-9c27-512b741858bc,C09586,SMS,35.18,2025-08-04,T121
05c95c1f-fdca-4443-b5e1-d32614d3e755,C07908,voice,7.48,2025-01-19,T047
cae4160e-be44-46d8-94b7-34533eb78918,C06628,data,10.13,2025-07-20,T110
81c8d03b-19ae-4709-b143-6bc430f7095d,C08841,data,16.39,2024-12-19,T120
d511787f-e97f-48e1-a42b-c40c42cd9c7a,C09664,data,52.36,2025-04-29,T139
92b05bc3-94d6-495e-b342-77aa7db17129,C01260,SMS,18.79,2024-11-18,T102
0f012b2b-1a19-4565-9c76-b91e27480743,C05626,SMS,13.5,2025-06-15,T155
70f6aa9e-0adf-495f-9f90-470f8bfbcb95,C07537,voice,29.03,2025-03-07,T149
abd13488-e3d1-4f2c-9f1c-d5ccde251bea,C00356,voice,5.01,2025-03-29,T094
9c0ebc79-52d0-492c-bfca-380cc6cb2ce8,C07834,voice,42.57,2025-07-15,T160
adaef93e-15ed-46d0-9957-ed92a0c0a1bd,C01330,data,6.42,2025-05-08,T095
ad0d3f41-ace1-4dfc-96cd-ebcb83a67144,C09310,data,38.05,2024-11-18,T019
6f019201-7649-4a5a-9c26-488fc7e4e4a1,C05398,SMS,23.05,2025-09-24,T026
6dd25797-d7e5-40d8-9669-c832ffa754d7,C09858,voice,27.4,2025-07-14,T130
f86b8a56-3a2e-40a5-bf39-d515eff4503c,C04540,data,3.03,2025-04-07,T084
f758682d-7db2-45a3-82fa-e4523c5f9f3b,C03461,data,8.86,2025-07-26,T088
464065e4-68d4-4aa9-a626-59d66e3181ed,C00042,SMS,54.03,2025-02-26,T134
1e7bce17-656e-4884-b8a8-1707157aa2a2,C01290,voice,45.51,2025-01-24,T036
883f5857-1113-4e4d-8d58-e938a5bec48d,C07720,voice,50.57,2025-02-22,T021
53b6a204-3cb3-41dd-834d-a95f566753a7,C07185,SMS,54.64,2025-09-19,T187
bb208ada-e03b-4eb4-915f-667de24298b9,C06610,data,35.17,2025-06-28,T191
7fb34b44-a7df-4e32-b4d3-af600359c1d6,C07067,SMS,4.29,2025-04-08,T178
d8545e2b-f3ba-45b8-9187-153567f03879,C09358,voice,45.89,2024-10-30,T163
058c32bf-414a-4ed1-9ad0-f445f5e2753f,C07129,voice,58.27,2025-06-02,T034
3b3d5479-0532-4139-b3af-b1a56e4a57cc,C06541,voice,10.5,2025-01-13,T061
08bb196d-0541-4c71-b6fe-af15a80d36f9,C05064,SMS,27.28,2025-03-29,T143
7bb89f64-30eb-4b86-bd1d-e5d6653d457d,C00616,SMS,46.14,2025-09-05,T151
485d7dd9-ca69-41f2-a8ed-6facac1cbff7,C04912,SMS,42.81,2025-02-09,T036
58f04d5a-f86e-4a9b-a9ae-8ce122c15cd1,C01390,SMS,39.57,2024-10-10,T183
6f75fa40-750f-4f26-82ab-83bb729cee82,C07494,data,17.88,2024-11-25,T087
92f84981-d677-4b8e-8c32-f67f9042012a,C09910,data,21.12,2025-06-21,T102
bdb85305-8b17-4aad-bd2f-9ad4f14172d6,C04382,voice,15.74,2024-12-13,T014
3ac1f765-9208-4a7d-91b7-90ceafffaf48,C09321,voice,31.29,2024-09-29,T113
4136acf1-c883-436f-81cc-c7b1648e78fa,C09367,data,49.02,2025-04-19,T018
97096c7d-10e8-4fb1-b103-86ef0fb2b7a1,C05735,data,4.99,2025-04-27,T075
1e9a9e6e-53bb-407d-bbbe-3f835c8c9777,C05480,data,20.43,2024-11-01,T085
db6581b8-4baf-4391-80ab-80e213d62f89,C04601,data,6.64,2025-06-05,T025
2d8fe215-4913-406d-b13e-e8d2df95ced0,C05925,data,17.38,2025-04-09,T189
a1c82c8c-d8de-4932-91b7-311c74cca8c6,C09302,data,54.32,2025-02-20,T035
1cfff188-b1cd-4e0c-a7cf-c086338f7a03,C03918,voice,18.45,2025-06-19,T079
7710b32b-1ffa-451d-8c1a-3fbbc4044341,C01743,voice,52.0,2025-02-12,T076
2eaa6a7b-d8fe-4413-ac7d-2047009f8e7c,C08502,data,9.58,2025-03-05,T126
ff312501-21fe-48cc-ae7e-c1a31778f543,C07426,data,0.66,2025-02-23,T140
f27bb59c-0967-4075-86ec-328d5807f4a4,C02221,voice,36.94,2025-05-09,T178
5dc81f1e-a86a-4bba-a7df-0252ea752da7,C09482,data,44.61,2025-02-18,T146
3ab4afab-0149-4e7b-953c-4630dec22ab1,C08274,data,29.79,2025-04-28,T052
1f35413c-8f3a-421f-8c5b-2bb733adc96b,C01159,data,42.0,2024-10-16,T091
a3ab0111-4fe6-44c7-b0fd-022c3e0ce35f,C01836,voice,51.6,2025-01-27,T052
1c53ff95-305f-4d9a-92f9-054bc4c4fdc3,C02144,SMS,3.97,2025-05-15,T069
24f97edf-2135-40bb-b8a6-39e44f56aa8c,C09889,SMS,3.64,2024-10-29,T141
804194fe-9521-477f-b92c-78665cac45ae,C07398,data,30.09,2024-10-30,T027
c765919e-bd4d-48c9-bc5c-0df55c7125b9,C02945,SMS,35.83,2025-03-18,T083
c16ca2ad-908a-4a28-816c-f2edfc40c376,C06483,voice,40.11,2024-10-27,T150
acb77009-d571-4eba-a313-286e32c8545e,C07825,data,59.01,2025-03-06,T025
994016c4-a756-4238-85b1-8a0dfa87f2b8,C00216,SMS,26.33,2025-01-28,T134
71481798-de45-4dc4-98fb-f4d3d3d3b528,C00812,data,38.78,2025-05-05,T142
63e070bd-0f3b-4041-8a7e-a0bafbecd066,C00942,voice,37.58,2025-08-16,T186
ab6cd796-61d4-44f6-a6b4-0a5f9e3b4357,C00409,voice,58.85,2025-04-12,T127
7e006dca-130e-4cbe-85a2-c38d42d56f51,C03171,SMS,23.0,2025-07-18,T163
2fa1d905-f398-4502-988f-1b4ba2f147b4,C06683,data,51.38,2025-05-07,T115
17a5f9cc-1157-40c1-b7b8-e9f21a970628,C08262,SMS,36.69,2025-06-01,T004
2b24ac8c-d035-49ce-83de-60fdbe4f93c1,C03754,SMS,20.75,2025-01-22,T083
367df64b-cc8a-4a54-8aa4-fdec89ed5946,C01358,data,30.16,2025-01-04,T199
bbbd7c92-dc98-4ae4-97f4-20e52f187089,C06322,voice,57.79,2024-11-06,T009
8bda89c4-b144-41e9-9840-c4d728fbb015,C02903,voice,49.37,2025-08-06,T042
8669ea1f-89af-4264-aed7-8af5bb420162,C05745,data,3.58,2025-06-25,T128
4264f1c9-1831-4879-9654-91312b19cfc5,C07684,data,49.55,2025-01-31,T193
0b37cc6c-77da-429a-9407-c6bde15ec469,C02684,SMS,16.79,2025-05-19,T052
48497805-f49c-4512-abda-200351f1dd30,C06385,voice,16.81,2025-08-25,T014
27626bdb-17e7-4289-ad7a-9eb935946c63,C05807,SMS,53.74,2025-01-20,T136
cfb0565d-a775-48cc-9bc4-575cb3cf4e2b,C02900,data,58.55,2025-08-15,T105
b23582ac-e969-4e00-a401-ae153139bce0,C00429,SMS,31.78,2025-01-04,T032
9c191af6-bd5d-4a9b-b71b-231db54cca3c,C06038,SMS,19.41,2024-12-01,T140
83b24fe7-776d-4feb-bd43-39550f42336f,C03072,voice,39.31,2025-09-15,T019
064b9cb5-d129-4165-9c1d-f034a40cbd1d,C05662,voice,13.11,2025-01-23,T072
8c5c1e85-d6ac-4d9e-879a-7946e454ff1b,C06964,data,54.99,2025-04-26,T033
b5db8d5e-98d6-4b7a-a985-b3ffb15f4d17,C07523,voice,32.28,2025-01-01,T153
8a649d38-be84-4160-8d79-5483bc60a818,C06098,SMS,31.45,2025-06-03,T104
ffddaa15-a0c6-4523-a7c3-b0161526dc82,C06750,SMS,33.5,2025-03-12,T093
faaa366b-c3f2-4db1-aeae-37ef3e7b46e3,C09979,data,26.31,2024-12-12,T187
19900ab2-5f48-45da-be9a-759a95b901bd,C03793,data,9.45,2025-06-22,T159
83540f0b-378d-4871-b6cc-5f540b33b877,C00326,SMS,28.02,2025-02-08,T063
37e3abae-fd4b-4aba-8f46-6431513ca94b,C00899,voice,56.69,2025-01-08,T063
7a33b836-6c9a-4616-9c86-c048365f6c6d,C03215,SMS,11.06,2025-08-16,T024
58486647-1247-4666-8914-327497a8fea8,C07135,voice,12.55,2025-01-08,T101
9d886d9c-e3b8-49f7-818c-9339abda2ea5,C02743,SMS,43.07,2025-01-13,T086
5e05abf3-46e1-4fab-b1c3-37e918745035,C03561,data,27.16,2025-01-19,T168
8e3cf973-7d1b-41a9-8b3d-6b2f3204dbd4,C07545,SMS,52.95,2025-07-01,T188
f85dea6b-7c03-492a-8532-15b01ed49f7c,C00375,data,53.36,2024-10-30,T063
cfb83505-3a1c-4f82-96f0-9798537cec43,C02381,voice,40.22,2025-08-09,T098
4bf86ed9-3062-4bd7-a562-c21b0159a834,C05813,data,36.4,2024-10-07,T057
18b784f0-ff7c-4801-8cae-f9f76b0df8c4,C07998,data,3.52,2024-11-27,T047
f28be738-9655-4173-acf9-a937a53d923f,C05081,voice,0.92,2025-04-22,T044
af0a20ee-2618-4012-8d6d-e9d760803f74,C07833,voice,13.89,2025-08-23,T149
63255845-f0bf-49ed-838f-16133a57376d,C00786,data,7.22,2024-11-04,T025
70681b58-5da5-45ba-9c7b-49d1c4bdceca,C03243,data,20.64,2025-04-30,T065
4988e784-f13d-4936-a816-4d9a715dbf9a,C00876,voice,51.62,2025-08-29,T150
b6fec8be-87d1-4bc4-b7a4-e2993396cc9b,C07103,data,28.08,2025-03-27,T189
9038473a-ea07-4321-b3f0-8d0f0977fe5c,C03761,data,13.77,2025-06-10,T199
4ebef2ef-ed0a-4062-a23d-b259a4155da7,C00488,data,47.18,2025-03-12,T101
c1914a7d-3273-4394-a814-0ded5923471a,C02846,data,37.63,2025-07-08,T090
355af95b-d5d7-47e7-be48-657ac7eb703e,C07466,SMS,9.75,2025-06-05,T115
051c82c7-e12c-497d-a1d9-450650179a7d,C00643,voice,28.45,2024-11-02,T135
017260c1-91b0-462f-aacb-d5383a4475b7,C05372,voice,31.45,2025-07-24,T084
1dc8dd0f-c0ee-4f1c-9a7e-f0b3c99f2552,C04486,data,17.51,2025-06-10,T172
3c5d2128-9d4f-4b4d-8436-22f0ce882ab1,C07062,SMS,44.22,2025-01-05,T110
af8b2d23-5ac9-4677-b603-ac18a144ff9b,C07840,voice,5.48,2025-03-29,T003
239964c0-26ae-43cc-b2f8-13ffe97e7172,C00402,voice,27.45,2024-10-25,T025
c0cabb5b-1576-4ab1-9d37-3a832ab5214a,C04538,SMS,53.29,2025-09-21,T157
8d388f8d-0b2e-4a9d-9a7f-c9791376d2f5,C00246,SMS,36.39,2025-04-10,T192
9aabefbf-b364-48d5-8011-fcf9d14da000,C09841,SMS,35.12,2025-04-11,T037
634cf791-0c9e-4af4-ad07-31cc57f3334c,C01411,data,17.47,2025-02-21,T179
b456592f-c9ac-4d72-99e5-9cba5f647466,C08900,data,59.12,2025-07-30,T019
18091976-d522-4cae-a54d-cee3578a133d,C00098,voice,12.58,2025-06-12,T033
8c69d1af-063e-4884-8eff-eaacddfd1ac2,C02578,voice,35.76,2025-06-16,T178
210122b4-59aa-434a-ace5-d79a4d21bfa9,C04857,data,24.73,2025-08-17,T042
8d237e4d-cfc8-47f9-bada-b840e33bcf6b,C01506,SMS,28.95,2025-02-15,T149
27f8a907-97b9-439e-8928-bdd767075e18,C09913,SMS,20.03,2025-07-17,T031
43189d9e-4e93-411d-bd23-769e7bc75029,C05456,voice,46.2,2025-03-24,T114
40625adf-7b1b-426c-ad20-e7340430009d,C02136,SMS,43.78,2025-05-02,T087
238b220d-2c49-4f37-9504-fde7ba07b1c7,C09457,SMS,10.76,2025-01-11,T097
a924ead5-4394-42db-9e67-d2cfeec9990d,C03851,data,17.07,2025-05-04,T096
66252329-715e-4067-945c-8aa48bc36e76,C09253,voice,16.33,2025-08-16,T055
079ff5f0-60db-41fc-9ef0-28d491aed7be,C01792,voice,7.02,2024-10-12,T095
15198bf1-49f9-4885-919f-e8e06523460d,C00125,data,30.22,2025-06-05,T027
76ea3c03-8eda-4e57-adda-4a72536e4458,C00179,voice,31.69,2024-10-04,T002
20430df0-5928-4ba9-92ae-56e3e474d04b,C01176,data,53.45,2025-08-29,T140
cf4eaf7d-c1d4-4f39-8d63-f5dc591b2c13,C09390,data,27.58,2025-02-24,T016
4c006bc1-5609-497e-9ce9-68c6c1c9b95f,C06517,data,24.94,2024-11-04,T127
d34a532c-f130-43f0-be71-5bdbf909854b,C07460,data,40.93,2025-06-11,T176
fc51bd24-8698-4f30-b18d-565b6ef6b5f5,C00102,SMS,31.02,2025-05-13,T038
4deb2ff5-46d8-49b4-86b3-dcc538f9fef0,C07714,voice,2.45,2025-01-17,T198
e3a6ebff-e20e-4c3c-8710-3646771f9dbb,C03943,SMS,39.88,2025-08-17,T144
efffc716-8358-4753-9424-5ae1a5051f0f,C09327,voice,35.52,2025-08-26,T005
8e0bb873-102c-4ffb-ae5f-a86eae7cbf30,C08203,voice,1.15,2025-09-04,T034
d7506875-3e68-4c6e-a757-7a98d3fe5480,C02198,data,23.79,2024-11-13,T009
358ad68e-b84f-448d-81d3-ce224ceb4858,C09139,data,31.49,2025-09-18,T022
8952b58b-f5b2-4f72-823d-6f8151938dd3,C01702,SMS,40.31,2025-08-31,T016
dea5a6de-16fd-43f0-9a45-449cfac12886,C04285,voice,39.14,2024-11-06,T057
e7df9624-4285-4848-b6f6-c1a6e71e1a99,C03714,SMS,16.56,2025-03-31,T039
622c3002-199e-4617-b62f-7080a68b69ff,C04726,voice,43.05,2024-11-16,T153
87b7ec1d-9fdd-4b18-8836-4c53bec18734,C01756,data,30.5,2025-02-06,T021
56f913f9-0651-4416-ae85-7f0de9aef7f6,C08046,data,28.58,2025-02-28,T163
b1a90071-5560-48b5-81c4-089069e17d36,C01028,voice,52.05,2025-04-23,T182
318f9cf9-bcdf-4208-bb53-72e992367342,C00614,SMS,40.82,2024-11-17,T129
9386f62f-1078-4c90-a4cf-de0bffc0c91d,C05338,SMS,50.73,2025-03-13,T140
fa1dbc9f-5fee-45fd-a6c2-178c45b764bd,C06708,SMS,54.98,2025-02-16,T083
25e1d68b-87e7-493b-a183-9569f8d37880,C03759,voice,33.62,2025-02-08,T002
c5fb3006-284c-4e30-8bc9-5e2e995d0e38,C04122,data,58.59,2025-04-05,T029
cea0b10f-177f-4b9e-a4bf-82e1a343ab6b,C04015,data,54.97,2025-06-07,T183
69c17b26-b6f8-46bc-ba95-7514706232cb,C01920,SMS,11.6,2025-07-12,T134
904b7eea-81a5-4269-b8a3-2c9817faa4ce,C02296,data,53.2,2025-09-25,T028
05815e22-1dd2-49c1-8a2f-1f4fdf39c62e,C01272,voice,9.84,2024-11-11,T106
b73d468b-7fda-43fb-8b77-d6060a17a480,C09193,data,37.46,2025-01-17,T069
96e74f4d-885a-4ce4-b39a-817f2cda52df,C04386,data,8.27,2025-04-26,T024
a50277ea-5533-4456-ab6b-c3e7d67683f1,C09869,SMS,48.5,2025-06-17,T161
