redemption_id,customer_id,reward_type,date
RW0312,C00160,Event Ticket,2020-01-31
RW0313,C00079,Data Voucher,2025-06-22
RW0314,C00143,Discount Coupon,2022-10-28
RW0315,C00272,Discount Coupon,2024-02-14
RW0316,C00253,Data Voucher,2021-05-07
RW0317,C00020,Event Ticket,2021-11-27
RW0318,C00311,Discount Coupon,2022-10-17
RW0319,C00206,Event Ticket,2022-08-09
RW0320,C00405,Discount Coupon,2020-09-18
RW0321,C00223,Data Voucher,2022-02-19
RW0322,C00248,Event Ticket,2020-07-14
RW0323,C00074,Data Voucher,2020-08-06
RW0324,C00177,Data Voucher,2021-02-21
RW0325,C00466,Event Ticket,2020-10-08
RW0326,C00127,Discount Coupon,2022-07-13
RW0327,C00439,Data Voucher,2021-01-14
RW0328,C00251,Event Ticket,2023-06-24
RW0329,C00256,Event Ticket,2021-01-01
RW0330,C00391,Discount Coupon,2022-05-28
RW0331,C00288,Discount Coupon,2024-07-07
RW0332,C00057,Discount Coupon,2022-03-25
RW0333,C00475,Event Ticket,2024-04-06
RW0334,C00454,Data Voucher,2021-07-23
RW0335,C00218,Discount Coupon,2022-07-07
RW0336,C00385,Event Ticket,2021-03-02
RW0337,C00249,Data Voucher,2022-11-03
RW0338,C00136,Event Ticket,2025-09-23
RW0339,C00158,Discount Coupon,2022-04-19
RW0340,C00230,Data Voucher,2024-11-21
RW0341,C00166,Event Ticket,2021-03-14
RW0342,C00331,Discount Coupon,2024-11-28
RW0343,C00281,Data Voucher,2022-11-26
RW0344,C00205,Data Voucher,2023-10-13
RW0345,C00104,Data Voucher,2024-07-31
RW0346,C00243,Data Voucher,2023-03-16
RW0347,C00010,Event Ticket,2022-10-23
RW0348,C00441,Discount Coupon,2023-07-06
RW0349,C00196,Discount Coupon,2022-08-04
RW0350,C00431,Data Voucher,2021-07-05
RW0351,C00388,Data Voucher,2020-11-24
RW0352,C00010,Event Ticket,2025-07-27
RW0353,C00239,Discount Coupon,2022-06-11
RW0354,C00461,Data Voucher,2024-02-26
RW0355,C00077,Discount Coupon,2020-01-13
RW0356,C00183,Data Voucher,2021-05-06
RW0357,C00405,Discount Coupon,2025-03-24
RW0358,C00413,Event Ticket,2022-06-17
RW0359,C00322,Data Voucher,2022-10-23
RW0360,C00293,Data Voucher,2024-05-28
RW0361,C00436,Discount Coupon,2024-12-30
RW0362,C00137,Event Ticket,2025-06-14
RW0363,C00216,Event Ticket,2023-06-09
RW0364,C00077,Data Voucher,2024-12-09
RW0365,C00075,Data Voucher,2022-01-29
RW0366,C00354,Event Ticket,2021-03-15
RW0367,C00187,Event Ticket,2023-06-25
RW0368,C00431,Data Voucher,2022-10-03
RW0369,C00107,Discount Coupon,2024-09-29
RW0370,C00088,Data Voucher,2021-12-26
RW0371,C00206,Event Ticket,2025-02-14
RW0372,C00360,Data Voucher,2023-09-03
RW0373,C00456,Data Voucher,2021-03-17
RW0374,C00110,Event Ticket,2022-07-10
RW0375,C00270,Discount Coupon,2023-02-07
RW0376,C00418,Event Ticket,2023-04-09
RW0377,C00202,Event Ticket,2021-01-31
RW0378,C00043,Data Voucher,2023-01-04
RW0379,C00087,Data Voucher,2022-11-15
RW0380,C00114,Data Voucher,2021-06-10
RW0381,C00372,Event Ticket,2023-02-06
RW0382,C00239,Data Voucher,2020-04-07
RW0383,C00083,Discount Coupon,2025-08-22
RW0384,C00011,Event Ticket,2025-09-20
RW0385,C00482,Event Ticket,2020-07-20
RW0386,C00386,Discount Coupon,2025-01-16
RW0387,C00122,Discount Coupon,2025-05-15
RW0388,C00038,Event Ticket,2024-01-03
RW0389,C00260,Discount Coupon,2021-02-07
RW0390,C00005,Event Ticket,2024-07-15
RW0391,C00210,Data Voucher,2021-08-23
RW0392,C00056,Event Ticket,2020-04-16
RW0393,C00285,Data Voucher,2022-11-01
RW0394,C00146,Data Voucher,2020-03-22
RW0395,C00491,Data Voucher,2023-05-18
RW0396,C00359,Discount Coupon,2021-02-06
RW0397,C00245,Data Voucher,2020-01-15
RW0398,C00068,Data Voucher,2024-10-02
RW0399,C00395,Discount Coupon,2025-03-10
RW0400,C00306,Discount Coupon,2021-12-06
RW0401,C00388,Data Voucher,2024-07-08
RW0402,C00239,Discount Coupon,2025-07-04
RW0403,C00352,Event Ticket,2024-07-18
RW0404,C00209,Event Ticket,2022-03-19
RW0405,C00147,Event Ticket,2024-11-24
RW0406,C00263,Discount Coupon,2022-10-19
RW0407,C00170,Discount Coupon,2020-11-14
RW0408,C00131,Data Voucher,2022-01-06
RW0409,C00401,Data Voucher,2022-03-29
RW0410,C00029,Event Ticket,2023-10-11
RW0411,C00087,Discount Coupon,2024-05-06
RW0412,C00088,Data Voucher,2023-12-05
RW0413,C00393,Discount Coupon,2025-09-05
RW0414,C00478,Event Ticket,2021-08-26
RW0415,C00474,Discount Coupon,2020-03-31
RW0416,C00112,Discount Coupon,2020-12-06
RW0417,C00360,Data Voucher,2022-08-27
RW0418,C00394,Data Voucher,2023-01-01
RW0419,C00326,Discount Coupon,2024-09-03
RW0420,C00449,Event Ticket,2025-01-29
RW0421,C00232,Data Voucher,2022-10-09
RW0422,C00456,Event Ticket,2024-02-24
RW0423,C00380,Discount Coupon,2022-07-26
RW0424,C00022,Event Ticket,2023-11-28
RW0425,C00070,Event Ticket,2025-07-29
RW0426,C00436,Event Ticket,2021-01-12
RW0427,C00410,Discount Coupon,2020-03-06
RW0428,C00068,Data Voucher,2024-05-09
RW0429,C00056,Discount Coupon,2022-11-15
RW0430,C00489,Data Voucher,2021-12-04
RW0431,C00389,Data Voucher,2022-08-18
RW0432,C00399,Discount Coupon,2020-01-24
RW0433,C00241,Discount Coupon,2022-09-26
RW0434,C00282,Event Ticket,2020-07-13
RW0435,C00272,Event Ticket,2024-04-05
RW0436,C00040,Event Ticket,2023-04-13
RW0437,C00159,Event Ticket,2021-02-12
RW0438,C00181,Data Voucher,2020-03-13
RW0439,C00257,Discount Coupon,2021-12-13
RW0440,C00103,Event Ticket,2025-02-11
RW0441,C00024,Event Ticket,2022-06-22
RW0442,C00106,Data Voucher,2023-07-12
RW0443,C00216,Event Ticket,2024-12-27
RW0444,C00406,Event Ticket,2022-05-24
RW0445,C00433,Event Ticket,2023-02-01
RW0446,C00402,Event Ticket,2021-03-26
RW0447,C00370,Data Voucher,2025-08-31
RW0448,C00489,Discount Coupon,2024-10-28
RW0449,C00283,Discount Coupon,2024-05-11
RW0450,C00094,Event Ticket,2021-07-20
RW0451,C00375,Data Voucher,2020-07-25
RW0452,C00248,Data Voucher,2025-02-19
RW0453,C00265,Event Ticket,2020-03-01
RW0454,C00380,Event Ticket,2023-07-02
RW0455,C00382,Discount Coupon,2021-04-28
RW0456,C00345,Data Voucher,2025-06-20
RW0457,C00251,Data Voucher,2024-03-08
RW0458,C00186,Discount Coupon,2023-11-29
RW0459,C00436,Event Ticket,2021-11-24
RW0460,C00305,Data Voucher,2025-02-19
RW0461,C00428,Data Voucher,2024-01-30
RW0462,C00062,Event Ticket,2024-08-13
RW0463,C00443,Discount Coupon,2021-12-12
RW0464,C00034,Event Ticket,2024-09-08
RW0465,C00165,Data Voucher,2020-05-05
RW0466,C00459,Discount Coupon,2025-09-12
RW0467,C00030,Data Voucher,2024-08-02
RW0468,C00021,Event Ticket,2025-01-03
RW0469,C00127,Data Voucher,2021-11-25
RW0470,C00377,Event Ticket,2024-01-12
RW0471,C00041,Discount Coupon,2021-01-10
RW0472,C00385,Data Voucher,2024-04-16
RW0473,C00184,Discount Coupon,2021-03-23
RW0474,C00198,Event Ticket,2024-01-17
RW0475,C00342,Discount Coupon,2022-12-25
RW0476,C00285,Discount Coupon,2020-10-03
RW0477,C00430,Event Ticket,2021-02-22
RW0478,C00301,Data Voucher,2023-10-26
RW0479,C00095,Data Voucher,2023-10-03
RW0480,C00441,Event Ticket,2021-08-17
RW0481,C00457,Event Ticket,2020-01-20
RW0482,C00108,Discount Coupon,2023-07-07
RW0483,C00017,Event Ticket,2022-01-04
RW0484,C00373,Discount Coupon,2023-03-14
RW0485,C00458,Discount Coupon,2025-03-09
RW0486,C00044,Data Voucher,2025-04-26
RW0487,C00342,Event Ticket,2022-05-29
RW0488,C00091,Event Ticket,2020-08-05
RW0489,C00022,Data Voucher,2024-04-05
RW0490,C00147,Event Ticket,2024-11-18
RW0491,C00095,Discount Coupon,2025-07-16
RW0492,C00148,Discount Coupon,2023-12-24
RW0493,C00271,Discount Coupon,2022-02-25
RW0494,C00045,Data Voucher,2024-01-18
RW0495,C00012,Discount Coupon,2022-02-04
RW0496,C00046,Data Voucher,2025-01-14
RW0497,C00426,Event Ticket,2022-09-27
RW0498,C00416,Data Voucher,2020-12-16
RW0499,C00440,Event Ticket,2022-12-12
RW0500,C00282,Data Voucher,2024-06-02
RW0501,C00063,Data Voucher,2022-08-12
RW0502,C00310,Event Ticket,2024-04-03
RW0503,C00406,Discount Coupon,2023-02-19
RW0504,C00223,Event Ticket,2024-03-20
RW0505,C00339,Event Ticket,2020-11-09
RW0506,C00031,Discount Coupon,2021-07-14
RW0507,C00333,Discount Coupon,2022-11-23
RW0508,C00236,Data Voucher,2022-01-18
RW0509,C00404,Data Voucher,2024-10-04
RW0510,C00287,Event Ticket,2021-10-25
RW0511,C00415,Discount Coupon,2023-10-26
RW0512,C00160,Event Ticket,2020-07-03
RW0513,C00332,Discount Coupon,2021-09-23
RW0514,C00060,Data Voucher,2024-07-21
RW0515,C00408,Data Voucher,2024-05-23
RW0516,C00237,Event Ticket,2022-04-04
RW0517,C00452,Discount Coupon,2020-02-06
RW0518,C00446,Discount Coupon,2021-01-18
RW0519,C00301,Data Voucher,2023-03-26
RW0520,C00021,Data Voucher,2022-06-22
RW0521,C00307,Data Voucher,2025-01-16
RW0522,C00045,Discount Coupon,2024-10-20
RW0523,C00336,Data Voucher,2023-11-30
RW0524,C00355,Event Ticket,2025-05-21
RW0525,C00311,Data Voucher,2022-12-23
RW0526,C00368,Data Voucher,2022-12-17
RW0527,C00262,Discount Coupon,2021-02-06
RW0528,C00011,Event Ticket,2025-03-07
RW0529,C00247,Event Ticket,2020-06-02
RW0530,C00264,Discount Coupon,2021-10-21
RW0531,C00035,Event Ticket,2021-10-30
RW0532,C00125,Discount Coupon,2022-05-18
RW0533,C00351,Data Voucher,2025-09-06
RW0534,C00023,Data Voucher,2025-04-27
RW0535,C00324,Data Voucher,2022-01-02
RW0536,C00382,Event Ticket,2025-08-11
RW0537,C00429,Discount Coupon,2021-01-29
RW0538,C00196,Event Ticket,2021-09-07
RW0539,C00203,Event Ticket,2020-03-08
RW0540,C00108,Data Voucher,2022-03-02
RW0541,C00487,Event Ticket,2020-08-08
RW0542,C00156,Discount Coupon,2020-03-13
RW0543,C00371,Event Ticket,2023-06-26
RW0544,C00106,Data Voucher,2022-06-08
RW0545,C00112,Discount Coupon,2022-11-01
RW0546,C00011,Event Ticket,2022-02-05
RW0547,C00315,Event Ticket,2025-06-14
RW0548,C00121,Data Voucher,2023-03-13
RW0549,C00332,Discount Coupon,2023-07-07
RW0550,C00021,Event Ticket,2022-08-10
RW0551,C00069,Data Voucher,2022-07-16
RW0552,C00043,Discount Coupon,2025-01-04
RW0553,C00408,Discount Coupon,2020-10-30
RW0554,C00141,Discount Coupon,2025-06-15
RW0555,C00172,Discount Coupon,2025-05-02
RW0556,C00094,Data Voucher,2022-01-27
RW0557,C00110,Event Ticket,2023-12-25
RW0558,C00232,Discount Coupon,2024-11-23
RW0559,C00015,Event Ticket,2021-09-10
RW0560,C00276,Discount Coupon,2025-03-07
RW0561,C00381,Discount Coupon,2022-08-09
RW0562,C00260,Discount Coupon,2021-08-31
RW0563,C00382,Discount Coupon,2020-07-03
RW0564,C00162,Event Ticket,2021-05-04
RW0565,C00405,Discount Coupon,2021-10-14
RW0566,C00065,Event Ticket,2023-04-09
RW0567,C00098,Data Voucher,2024-12-06
RW0568,C00163,Discount Coupon,2025-07-31
RW0569,C00437,Event Ticket,2022-05-04
RW0570,C00414,Data Voucher,2020-12-24
RW0571,C00073,Discount Coupon,2024-07-21
RW0572,C00291,Event Ticket,2021-03-03
RW0573,C00172,Data Voucher,2025-02-22
RW0574,C00342,Discount Coupon,2021-02-11
RW0575,C00459,Data Voucher,2024-12-18
RW0576,C00111,Event Ticket,2022-04-24
RW0577,C00060,Event Ticket,2025-08-11
RW0578,C00119,Event Ticket,2022-03-30
RW0579,C00317,Event Ticket,2022-07-24
RW0580,C00237,Discount Coupon,2021-08-11
RW0581,C00187,Event Ticket,2024-01-17
RW0582,C00332,Data Voucher,2021-10-28
RW0583,C00374,Data Voucher,2021-07-03
RW0584,C00286,Event Ticket,2023-06-01
RW0585,C00261,Data Voucher,2021-11-22
RW0586,C00230,Discount Coupon,2021-07-05
RW0587,C00146,Data Voucher,2020-08-05
RW0588,C00044,Event Ticket,2024-09-17
RW0589,C00395,Event Ticket,2022-10-23
RW0590,C00319,Data Voucher,2020-05-28
RW0591,C00496,Event Ticket,2023-12-08
RW0592,C00484,Event Ticket,2025-07-07
RW0593,C00421,Data Voucher,2021-10-27
RW0594,C00068,Event Ticket,2023-11-04
RW0595,C00028,Event Ticket,2024-10-18
RW0596,C00444,Event Ticket,2024-02-22
RW0597,C00242,Event Ticket,2021-06-16
RW0598,C00278,Event Ticket,2023-11-26
RW0599,C00479,Discount Coupon,2023-08-21
