campaign_id,type,target_audience,engagement_rate,date_sent
CM034,SMS,"C039, C010, C081, C035, C037",0.62,2025-09-12
CM035,Push Notification,"C036, C001, C006, C039, C041",0.64,2025-09-12
CM036,Email,"C037, C070, C071, C072, C074",0.63,2025-09-12
CM037,SMS,"C022, C028, C065, C064, C009",0.39,2025-09-12
CM038,Push Notification,"C074, C080, C091, C081, C097",0.33,2025-09-12
CM039,Push Notification,"C055, C035, C037, C023, C074",0.08,2025-09-12
CM040,SMS,"C070, C055, C093, C017, C042",0.18,2025-09-12
CM041,Push Notification,"C031, C018, C035, C019, C018",0.06,2025-09-12
CM042,Email,"C086, C036, C014, C031, C030",0.45,2025-09-12
CM043,Push Notification,"C088, C018, C027, C016, C079",0.12,2025-09-12
CM044,SMS,"C060, C087, C050, C098, C069",0.4,2025-09-12
CM045,Email,"C083, C026, C019, C020, C081",0.33,2025-09-12
CM046,SMS,"C021, C024, C005, C048, C028",0.52,2025-09-12
CM047,Push Notification,"C029, C011, C073, C090, C069",0.37,2025-09-12
CM048,SMS,"C043, C044, C075, C022, C011",0.21,2025-09-12
CM049,SMS,"C087, C011, C042, C026, C017",0.61,2025-09-12
CM050,Email,"C032, C028, C005, C008, C067",0.64,2025-09-12
CM051,Email,"C056, C021, C012, C070, C083",0.58,2025-09-12
CM052,Push Notification,"C072, C037, C054, C099, C090",0.29,2025-09-12
CM053,Push Notification,"C046, C009, C006, C053, C094",0.25,2025-09-12
CM054,Push Notification,"C084, C005, C082, C004, C014",0.66,2025-09-12
CM055,Push Notification,"C077, C087, C048, C029, C039",0.19,2025-09-12
CM056,Push Notification,"C091, C036, C094, C062, C092",0.34,2025-09-12
CM057,SMS,"C059, C030, C023, C062, C026",0.3,2025-09-12
CM058,SMS,"C038, C010, C045, C011, C089",0.35,2025-09-12
CM059,SMS,"C066, C082, C080, C013, C043",0.53,2025-09-12
CM060,SMS,"C081, C049, C068, C092, C024",0.45,2025-09-12
CM061,Email,"C084, C038, C098, C031, C097",0.44,2025-09-12
CM062,Push Notification,"C051, C047, C048, C059, C018",0.55,2025-09-12
CM063,Push Notification,"C038, C013, C062, C046, C030",0.08,2025-09-12
CM064,SMS,"C095, C045, C030, C008, C036",0.33,2025-09-12
CM065,Email,"C039, C085, C064, C050, C100",0.4,2025-09-12
CM066,SMS,"C034, C045, C039, C063, C099",0.33,2025-09-12
CM067,Push Notification,"C066, C035, C063, C074, C024",0.34,2025-09-12
CM068,Push Notification,"C005, C004, C096, C051, C011",0.5,2025-09-12
CM069,Push Notification,"C070, C082, C096, C097, C022",0.29,2025-09-12
CM070,Push Notification,"C065, C088, C067, C025, C030",0.41,2025-09-12
CM071,SMS,"C061, C006, C037, C065, C026",0.11,2025-09-12
CM072,Email,"C056, C082, C068, C066, C069",0.67,2025-09-12
CM073,Email,"C016, C089, C024, C074, C026",0.14,2025-09-12
CM074,SMS,"C078, C029, C025, C020, C013",0.52,2025-09-12
CM075,Push Notification,"C084, C002, C082, C025, C038",0.23,2025-09-12
CM076,SMS,"C096, C036, C079, C045, C033",0.54,2025-09-12
CM077,SMS,"C005, C060, C096, C078, C065",0.39,2025-09-12
CM078,Email,"C044, C041, C091, C010, C001",0.38,2025-09-12
CM079,Push Notification,"C021, C076, C090, C091, C038",0.45,2025-09-12
CM080,Email,"C013, C094, C092, C048, C085",0.2,2025-09-12
CM081,Email,"C041, C079, C080, C056, C075",0.54,2025-09-12
CM082,SMS,"C033, C064, C004, C047, C096",0.28,2025-09-12
CM083,Push Notification,"C058, C021, C011, C049, C029",0.64,2025-09-12
CM084,SMS,"C079, C033, C100, C002, C027",0.5,2025-09-12
CM085,SMS,"C074, C099, C001, C044, C034",0.54,2025-09-12
CM086,SMS,"C063, C018, C048, C052, C011",0.33,2025-09-12
CM087,SMS,"C068, C009, C064, C052, C061",0.13,2025-09-12
CM088,Email,"C029, C096, C027, C037, C046",0.1,2025-09-12
CM089,SMS,"C001, C060, C092, C037, C034",0.41,2025-09-12
CM090,Email,"C046, C075, C099, C093, C071",0.12,2025-09-12
CM091,SMS,"C067, C029, C063, C002, C008",0.56,2025-09-12
CM092,Email,"C085, C006, C007, C060, C056",0.27,2025-09-12
CM093,Email,"C085, C096, C037, C018, C005",0.57,2025-09-12
CM094,Email,"C067, C039, C089, C095, C067",0.19,2025-09-12
CM095,SMS,"C090, C041, C014, C089, C080",0.44,2025-09-12
CM096,SMS,"C059, C097, C060, C073, C008",0.39,2025-09-12
CM097,Push Notification,"C015, C026, C088, C095, C020",0.52,2025-09-12
CM098,SMS,"C040, C027, C037, C020, C026",0.62,2025-09-12
CM099,SMS,"C094, C024, C069, C045, C071",0.6,2025-09-12
CM100,SMS,"C080, C033, C067, C092, C089",0.2,2025-09-12
CM101,Email,"C077, C043, C052, C003, C082",0.58,2025-09-12
CM102,Email,"C032, C046, C076, C046, C064",0.17,2025-09-12
CM103,Email,"C023, C035, C032, C071, C037",0.65,2025-09-12
CM104,SMS,"C095, C077, C057, C014, C002",0.63,2025-09-12
CM105,SMS,"C094, C019, C057, C009, C001",0.38,2025-09-12
CM106,SMS,"C021, C094, C057, C093, C013",0.21,2025-09-12
CM107,Email,"C084, C016, C066, C013, C035",0.62,2025-09-12
CM108,SMS,"C084, C012, C016, C016, C012",0.17,2025-09-12
CM109,SMS,"C085, C071, C007, C088, C074",0.48,2025-09-12
CM110,SMS,"C084, C054, C044, C046, C046",0.49,2025-09-12
CM111,SMS,"C098, C042, C079, C032, C097",0.36,2025-09-12
CM112,Push Notification,"C046, C038, C027, C048, C054",0.12,2025-09-12
CM113,Push Notification,"C095, C092, C007, C027, C062",0.54,2025-09-12
CM114,Push Notification,"C019, C002, C054, C065, C097",0.54,2025-09-12
CM115,Push Notification,"C038, C070, C043, C042, C002",0.05,2025-09-12
CM116,Push Notification,"C073, C093, C043, C003, C071",0.36,2025-09-12
CM117,Push Notification,"C098, C067, C069, C033, C074",0.59,2025-09-12
CM118,Push Notification,"C093, C065, C074, C052, C082",0.34,2025-09-12
CM119,Email,"C020, C050, C030, C017, C045",0.2,2025-09-12
CM120,SMS,"C015, C085, C021, C018, C039",0.32,2025-09-12
CM121,SMS,"C043, C070, C019, C043, C029",0.4,2025-09-12
CM122,Push Notification,"C018, C046, C048, C013, C052",0.31,2025-09-12
CM123,SMS,"C060, C046, C065, C003, C058",0.55,2025-09-12
CM124,Email,"C075, C079, C078, C014, C020",0.53,2025-09-12
CM125,Email,"C011, C028, C097, C004, C031",0.35,2025-09-12
CM126,Push Notification,"C034, C065, C074, C032, C044",0.23,2025-09-12
CM127,Push Notification,"C058, C040, C035, C077, C039",0.42,2025-09-12
CM128,Push Notification,"C082, C072, C090, C027, C040",0.47,2025-09-12
CM129,SMS,"C049, C076, C057, C100, C007",0.27,2025-09-12
CM130,SMS,"C095, C061, C031, C052, C032",0.57,2025-09-12
CM131,SMS,"C096, C009, C023, C029, C022",0.32,2025-09-12
CM132,Push Notification,"C075, C049, C013, C050, C093",0.14,2025-09-12
CM133,Email,"C087, C008, C023, C013, C028",0.7,2025-09-12
CM134,Email,"C087, C099, C087, C088, C080",0.62,2025-09-12
CM135,Push Notification,"C068, C052, C035, C071, C044",0.52,2025-09-12
CM136,Push Notification,"C006, C027, C020, C080, C060",0.61,2025-09-12
CM137,SMS,"C002, C046, C086, C094, C061",0.07,2025-09-12
CM138,SMS,"C031, C088, C037, C071, C065",0.37,2025-09-12
CM139,SMS,"C062, C046, C019, C024, C092",0.45,2025-09-12
CM140,SMS,"C053, C013, C055, C041, C075",0.21,2025-09-12
CM141,Push Notification,"C009, C028, C018, C019, C057",0.2,2025-09-12
CM142,SMS,"C016, C015, C030, C029, C098",0.55,2025-09-12
CM143,Push Notification,"C032, C093, C041, C074, C072",0.08,2025-09-12
CM144,Email,"C023, C001, C005, C038, C003",0.11,2025-09-12
CM145,Push Notification,"C046, C090, C037, C040, C013",0.26,2025-09-12
CM146,Push Notification,"C024, C086, C033, C055, C041",0.35,2025-09-12
CM147,Email,"C021, C019, C052, C017, C004",0.4,2025-09-12
CM148,Push Notification,"C025, C044, C096, C018, C018",0.64,2025-09-12
CM149,Push Notification,"C027, C075, C082, C091, C006",0.28,2025-09-12
CM150,SMS,"C008, C004, C017, C055, C018",0.33,2025-09-12
CM151,SMS,"C004, C038, C051, C051, C099",0.46,2025-09-12
CM152,Email,"C065, C044, C073, C081, C028",0.53,2025-09-12
CM153,Push Notification,"C076, C014, C064, C004, C028",0.49,2025-09-12
CM154,Push Notification,"C055, C042, C049, C016, C069",0.6,2025-09-12
CM155,SMS,"C020, C004, C082, C083, C098",0.41,2025-09-12
CM156,Email,"C029, C037, C023, C100, C004",0.46,2025-09-12
CM157,Push Notification,"C079, C039, C065, C024, C024",0.26,2025-09-12
CM158,Push Notification,"C002, C019, C028, C059, C068",0.33,2025-09-12
CM159,Email,"C100, C075, C068, C095, C012",0.27,2025-09-12
CM160,Email,"C061, C041, C056, C019, C078",0.33,2025-09-12
CM161,Push Notification,"C021, C041, C001, C001, C071",0.54,2025-09-12
CM162,Push Notification,"C024, C091, C063, C011, C009",0.14,2025-09-12
CM163,Email,"C079, C014, C006, C094, C004",0.67,2025-09-12
CM164,SMS,"C080, C067, C067, C076, C073",0.18,2025-09-12
CM165,Push Notification,"C038, C027, C072, C093, C042",0.09,2025-09-12
CM166,SMS,"C094, C014, C096, C062, C017",0.31,2025-09-12
CM167,Push Notification,"C001, C026, C005, C037, C058",0.23,2025-09-12
CM168,SMS,"C054, C067, C012, C045, C014",0.23,2025-09-12
CM169,SMS,"C035, C036, C079, C021, C020",0.07,2025-09-12
CM170,Push Notification,"C015, C020, C090, C084, C013",0.35,2025-09-12
CM171,SMS,"C095, C090, C038, C083, C077",0.6,2025-09-12
CM172,Email,"C018, C011, C004, C003, C036",0.48,2025-09-12
CM173,SMS,"C043, C092, C087, C024, C052",0.06,2025-09-12
CM174,Push Notification,"C080, C017, C045, C076, C076",0.42,2025-09-12
CM175,Push Notification,"C085, C018, C025, C093, C048",0.38,2025-09-12
CM176,Email,"C058, C007, C024, C084, C038",0.3,2025-09-12
CM177,Email,"C052, C091, C097, C030, C061",0.6,2025-09-12
CM178,SMS,"C083, C043, C014, C085, C037",0.66,2025-09-12
CM179,Push Notification,"C039, C026, C056, C005, C013",0.41,2025-09-12
CM180,Push Notification,"C042, C015, C075, C073, C012",0.46,2025-09-12
CM181,Push Notification,"C028, C026, C080, C078, C046",0.54,2025-09-12
CM182,Email,"C086, C089, C015, C064, C025",0.28,2025-09-12
CM183,Push Notification,"C046, C034, C024, C023, C060",0.42,2025-09-12
CM184,SMS,"C025, C031, C012, C075, C017",0.18,2025-09-12
CM185,Email,"C091, C037, C022, C086, C092",0.52,2025-09-12
CM186,Push Notification,"C059, C028, C084, C073, C020",0.16,2025-09-12
CM187,Push Notification,"C032, C096, C015, C095, C010",0.2,2025-09-12
CM188,Email,"C085, C100, C043, C076, C043",0.12,2025-09-12
CM189,Email,"C062, C084, C035, C014, C086",0.2,2025-09-12
CM190,SMS,"C085, C095, C075, C020, C027",0.42,2025-09-12
CM191,Push Notification,"C044, C084, C043, C014, C098",0.06,2025-09-12
CM192,Push Notification,"C008, C066, C001, C019, C082",0.17,2025-09-12
CM193,Push Notification,"C058, C081, C041, C051, C052",0.21,2025-09-12
CM194,SMS,"C036, C048, C067, C025, C004",0.62,2025-09-12
CM195,Push Notification,"C043, C052, C058, C095, C022",0.53,2025-09-12
CM196,Push Notification,"C058, C011, C060, C079, C054",0.68,2025-09-12
CM197,SMS,"C089, C031, C003, C052, C054",0.23,2025-09-12
CM198,Email,"C005, C001, C040, C099, C071",0.17,2025-09-12
CM199,SMS,"C046, C041, C028, C041, C061",0.55,2025-09-12
CM200,Email,"C013, C097, C072, C086, C097",0.12,2025-09-12
CM201,Push Notification,"C013, C010, C014, C068, C010",0.29,2025-09-12
CM202,Email,"C080, C027, C056, C038, C017",0.12,2025-09-12
CM203,Push Notification,"C029, C081, C099, C014, C084",0.51,2025-09-12
CM204,Email,"C056, C098, C047, C079, C066",0.52,2025-09-12
CM205,Email,"C094, C048, C044, C030, C014",0.41,2025-09-12
CM206,Email,"C058, C100, C069, C069, C012",0.16,2025-09-12
CM207,SMS,"C052, C014, C092, C014, C003",0.16,2025-09-12
CM208,Push Notification,"C056, C016, C079, C022, C080",0.49,2025-09-12
CM209,SMS,"C021, C091, C073, C003, C097",0.09,2025-09-12
CM210,Push Notification,"C041, C040, C093, C074, C064",0.41,2025-09-12
CM211,SMS,"C100, C018, C052, C017, C027",0.29,2025-09-12
CM212,Email,"C078, C058, C002, C065, C042",0.33,2025-09-12
CM213,Push Notification,"C099, C047, C014, C044, C083",0.53,2025-09-12
CM214,SMS,"C099, C008, C088, C038, C099",0.26,2025-09-12
CM215,Email,"C001, C052, C069, C042, C025",0.1,2025-09-12
CM216,Push Notification,"C008, C052, C095, C081, C016",0.35,2025-09-12
CM217,SMS,"C092, C024, C068, C073, C048",0.47,2025-09-12
CM218,SMS,"C010, C019, C092, C076, C010",0.66,2025-09-12
CM219,Push Notification,"C018, C022, C033, C098, C085",0.43,2025-09-12
CM220,Email,"C037, C020, C050, C027, C051",0.33,2025-09-12
CM221,Push Notification,"C015, C050, C028, C073, C017",0.24,2025-09-12
CM222,Email,"C100, C035, C043, C096, C026",0.65,2025-09-12
CM223,Email,"C084, C018, C033, C008, C018",0.36,2025-09-12
CM224,Push Notification,"C080, C081, C066, C094, C040",0.17,2025-09-12
CM225,Email,"C052, C019, C022, C064, C062",0.11,2025-09-12
CM226,SMS,"C052, C090, C040, C002, C007",0.38,2025-09-12
CM227,Email,"C088, C020, C055, C061, C085",0.2,2025-09-12
CM228,Email,"C080, C026, C011, C021, C029",0.07,2025-09-12
CM229,Email,"C024, C063, C073, C095, C050",0.1,2025-09-12
CM230,SMS,"C081, C044, C020, C027, C025",0.53,2025-09-12
CM231,Email,"C019, C039, C097, C068, C081",0.6,2025-09-12
CM232,Push Notification,"C076, C006, C012, C055, C067",0.62,2025-09-12
CM233,SMS,"C100, C077, C080, C001, C051",0.37,2025-09-12
CM234,Push Notification,"C038, C061, C087, C021, C006",0.56,2025-09-12
CM235,SMS,"C044, C007, C023, C049, C042",0.15,2025-09-12
CM236,Push Notification,"C072, C097, C077, C050, C017",0.51,2025-09-12
CM237,Email,"C034, C023, C041, C008, C022",0.55,2025-09-12
CM238,Push Notification,"C001, C085, C042, C073, C003",0.15,2025-09-12
CM239,SMS,"C062, C049, C034, C039, C019",0.66,2025-09-12
CM240,Push Notification,"C033, C038, C024, C022, C006",0.11,2025-09-12
CM241,SMS,"C039, C011, C062, C093, C005",0.2,2025-09-12
CM242,SMS,"C008, C017, C045, C038, C039",0.41,2025-09-12
CM243,SMS,"C032, C095, C019, C040, C006",0.47,2025-09-12
CM244,Email,"C062, C050, C076, C017, C079",0.58,2025-09-12
CM245,SMS,"C010, C084, C060, C081, C093",0.06,2025-09-12
CM246,SMS,"C049, C091, C053, C043, C071",0.17,2025-09-12
CM247,SMS,"C097, C057, C057, C062, C028",0.24,2025-09-12
CM248,Push Notification,"C027, C032, C096, C023, C042",0.11,2025-09-12
CM249,Push Notification,"C068, C032, C082, C095, C098",0.49,2025-09-12
CM250,Email,"C087, C068, C051, C076, C006",0.21,2025-09-12
CM251,Push Notification,"C026, C096, C072, C049, C056",0.68,2025-09-12
CM252,Email,"C035, C003, C010, C081, C080",0.34,2025-09-12
CM253,SMS,"C073, C057, C096, C083, C096",0.25,2025-09-12
CM254,SMS,"C013, C080, C078, C099, C065",0.3,2025-09-12
CM255,Push Notification,"C066, C025, C066, C072, C056",0.34,2025-09-12
CM256,Push Notification,"C089, C067, C061, C060, C079",0.08,2025-09-12
CM257,Email,"C051, C016, C024, C082, C027",0.23,2025-09-12
CM258,SMS,"C069, C052, C097, C034, C060",0.5,2025-09-12
CM259,SMS,"C077, C012, C100, C034, C092",0.23,2025-09-12
CM260,Push Notification,"C038, C042, C016, C039, C071",0.38,2025-09-12
CM261,Push Notification,"C007, C018, C080, C019, C034",0.33,2025-09-12
CM262,Push Notification,"C087, C098, C092, C095, C046",0.16,2025-09-12
CM263,Email,"C085, C079, C019, C065, C083",0.25,2025-09-12
CM264,SMS,"C096, C068, C036, C006, C032",0.12,2025-09-12
CM265,Push Notification,"C072, C038, C059, C072, C051",0.33,2025-09-12
CM266,SMS,"C080, C081, C056, C033, C003",0.58,2025-09-12
CM267,Email,"C095, C032, C008, C029, C027",0.24,2025-09-12
CM268,SMS,"C065, C026, C033, C030, C083",0.18,2025-09-12
CM269,SMS,"C086, C017, C069, C013, C072",0.45,2025-09-12
CM270,Email,"C079, C089, C093, C027, C045",0.44,2025-09-12
CM271,SMS,"C018, C047, C090, C027, C037",0.68,2025-09-12
CM272,Push Notification,"C072, C054, C074, C039, C035",0.18,2025-09-12
CM273,Email,"C062, C099, C094, C095, C026",0.44,2025-09-12
CM274,Push Notification,"C026, C086, C001, C090, C066",0.59,2025-09-12
CM275,SMS,"C078, C022, C025, C006, C027",0.19,2025-09-12
CM276,Push Notification,"C089, C095, C060, C085, C017",0.08,2025-09-12
CM277,Email,"C100, C075, C066, C018, C078",0.5,2025-09-12
CM278,SMS,"C075, C058, C061, C027, C004",0.12,2025-09-12
CM279,Email,"C059, C037, C017, C057, C002",0.15,2025-09-12
CM280,SMS,"C089, C034, C020, C053, C024",0.2,2025-09-12
CM281,Email,"C072, C099, C004, C076, C012",0.27,2025-09-12
CM282,SMS,"C039, C096, C053, C002, C049",0.06,2025-09-12
CM283,SMS,"C035, C008, C036, C079, C083",0.1,2025-09-12
CM284,Email,"C046, C014, C060, C073, C043",0.51,2025-09-12
CM285,Email,"C090, C012, C031, C087, C017",0.44,2025-09-12
CM286,Email,"C007, C063, C018, C080, C082",0.42,2025-09-12
CM287,SMS,"C002, C035, C051, C021, C053",0.46,2025-09-12
CM288,Push Notification,"C052, C036, C064, C025, C019",0.24,2025-09-12
CM289,Push Notification,"C040, C002, C087, C067, C089",0.5,2025-09-12
CM290,SMS,"C094, C081, C056, C028, C041",0.36,2025-09-12
CM291,Push Notification,"C083, C044, C028, C017, C009",0.39,2025-09-12
CM292,Email,"C025, C020, C090, C079, C015",0.42,2025-09-12
CM293,Email,"C071, C079, C095, C027, C020",0.43,2025-09-12
CM294,Email,"C075, C080, C100, C083, C080",0.55,2025-09-12
CM295,SMS,"C019, C002, C046, C011, C090",0.22,2025-09-12
CM296,Email,"C014, C024, C017, C018, C017",0.66,2025-09-12
CM297,SMS,"C032, C089, C009, C085, C043",0.1,2025-09-12
CM298,SMS,"C035, C008, C042, C078, C091",0.62,2025-09-12
CM299,SMS,"C087, C074, C088, C059, C043",0.26,2025-09-12
CM300,Push Notification,"C012, C011, C004, C037, C042",0.69,2025-09-12
CM301,Push Notification,"C012, C050, C065, C097, C089",0.14,2025-09-12
CM302,SMS,"C032, C039, C002, C020, C002",0.14,2025-09-12
CM303,Email,"C008, C005, C072, C043, C049",0.13,2025-09-12
CM304,Push Notification,"C006, C084, C057, C048, C052",0.14,2025-09-12
CM305,SMS,"C043, C016, C048, C055, C055",0.16,2025-09-12
CM306,SMS,"C099, C099, C019, C006, C074",0.2,2025-09-12
CM307,Push Notification,"C096, C045, C020, C054, C010",0.58,2025-09-12
CM308,Push Notification,"C056, C004, C047, C016, C040",0.48,2025-09-12
CM309,SMS,"C020, C013, C053, C012, C089",0.05,2025-09-12
CM310,SMS,"C091, C069, C098, C091, C056",0.37,2025-09-12
CM311,SMS,"C024, C057, C017, C050, C039",0.59,2025-09-12
CM312,SMS,"C099, C036, C040, C014, C043",0.15,2025-09-12
CM313,SMS,"C052, C059, C083, C039, C049",0.3,2025-09-12
CM314,Push Notification,"C002, C095, C059, C088, C025",0.69,2025-09-12
CM315,Push Notification,"C047, C074, C052, C025, C086",0.14,2025-09-12
CM316,SMS,"C051, C094, C007, C090, C018",0.07,2025-09-12
CM317,Push Notification,"C061, C086, C006, C034, C055",0.63,2025-09-12
CM318,Push Notification,"C045, C037, C010, C005, C014",0.36,2025-09-12
CM319,Email,"C006, C050, C080, C030, C025",0.62,2025-09-12
CM320,Email,"C050, C085, C051, C014, C030",0.35,2025-09-12
CM321,Push Notification,"C093, C011, C046, C005, C070",0.35,2025-09-12
CM322,Push Notification,"C009, C057, C065, C019, C002",0.05,2025-09-12
CM323,Email,"C073, C002, C065, C082, C012",0.48,2025-09-12
CM324,SMS,"C066, C100, C092, C098, C012",0.05,2025-09-12
CM325,Email,"C059, C005, C089, C059, C063",0.41,2025-09-12
CM326,Push Notification,"C002, C039, C032, C017, C085",0.09,2025-09-12
CM327,SMS,"C076, C043, C042, C064, C052",0.34,2025-09-12
CM328,SMS,"C090, C034, C050, C020, C013",0.42,2025-09-12
CM329,Push Notification,"C099, C090, C061, C058, C012",0.35,2025-09-12
CM330,SMS,"C074, C090, C093, C017, C059",0.38,2025-09-12
CM331,Push Notification,"C098, C001, C027, C021, C074",0.37,2025-09-12
CM332,Email,"C011, C013, C042, C009, C053",0.06,2025-09-12
CM333,SMS,"C068, C087, C057, C071, C092",0.67,2025-09-12
CM334,Push Notification,"C072, C037, C075, C052, C013",0.11,2025-09-12
CM335,SMS,"C081, C042, C026, C067, C093",0.11,2025-09-12
CM336,SMS,"C074, C009, C033, C100, C079",0.18,2025-09-12
CM337,Email,"C016, C088, C020, C097, C097",0.23,2025-09-12
CM338,Push Notification,"C060, C038, C080, C047, C038",0.23,2025-09-12
CM339,Email,"C026, C097, C005, C031, C031",0.23,2025-09-12
CM340,Push Notification,"C060, C034, C004, C018, C014",0.1,2025-09-12
CM341,SMS,"C097, C100, C099, C036, C071",0.26,2025-09-12
CM342,Email,"C058, C041, C067, C070, C021",0.13,2025-09-12
CM343,Push Notification,"C055, C040, C044, C062, C005",0.28,2025-09-12
CM344,Push Notification,"C020, C032, C029, C079, C047",0.68,2025-09-12
CM345,Push Notification,"C063, C028, C011, C038, C025",0.64,2025-09-12
CM346,Email,"C046, C096, C028, C062, C099",0.33,2025-09-12
CM347,SMS,"C049, C027, C004, C007, C049",0.27,2025-09-12
CM348,Push Notification,"C058, C005, C100, C079, C021",0.09,2025-09-12
CM349,Email,"C068, C089, C055, C021, C066",0.46,2025-09-12
CM350,Push Notification,"C010, C046, C090, C091, C064",0.05,2025-09-12
CM351,SMS,"C022, C055, C090, C085, C070",0.22,2025-09-12
CM352,SMS,"C031, C001, C038, C068, C061",0.3,2025-09-12
CM353,Push Notification,"C060, C007, C048, C092, C048",0.28,2025-09-12
CM354,SMS,"C057, C009, C021, C060, C050",0.49,2025-09-12
CM355,Push Notification,"C054, C019, C064, C048, C030",0.36,2025-09-12
CM356,Email,"C006, C029, C071, C087, C045",0.39,2025-09-12
CM357,SMS,"C049, C092, C041, C044, C026",0.13,2025-09-12
CM358,Email,"C079, C084, C019, C053, C024",0.61,2025-09-12
CM359,Push Notification,"C079, C039, C076, C027, C003",0.62,2025-09-12
CM360,SMS,"C065, C064, C040, C096, C046",0.48,2025-09-12
CM361,Push Notification,"C029, C010, C091, C072, C071",0.49,2025-09-12
CM362,Push Notification,"C083, C050, C071, C009, C011",0.49,2025-09-12
CM363,Email,"C027, C089, C082, C005, C031",0.55,2025-09-12
CM364,SMS,"C001, C061, C074, C017, C019",0.67,2025-09-12
CM365,Push Notification,"C092, C091, C020, C045, C066",0.32,2025-09-12
CM366,SMS,"C073, C043, C065, C100, C039",0.66,2025-09-12
CM367,Push Notification,"C070, C062, C079, C024, C011",0.33,2025-09-12
CM368,SMS,"C047, C039, C082, C053, C014",0.06,2025-09-12
CM369,Email,"C011, C089, C031, C084, C029",0.27,2025-09-12
CM370,Email,"C062, C076, C063, C036, C097",0.11,2025-09-12
CM371,SMS,"C092, C085, C092, C049, C049",0.09,2025-09-12
CM372,SMS,"C044, C096, C032, C041, C045",0.42,2025-09-12
CM373,Email,"C077, C063, C053, C032, C055",0.47,2025-09-12
CM374,Email,"C090, C054, C038, C021, C014",0.28,2025-09-12
CM375,Email,"C010, C077, C071, C032, C100",0.06,2025-09-12
CM376,Push Notification,"C062, C021, C066, C008, C031",0.44,2025-09-12
CM377,SMS,"C071, C009, C034, C067, C061",0.51,2025-09-12
CM378,Push Notification,"C085, C055, C032, C017, C081",0.26,2025-09-12
CM379,Push Notification,"C047, C019, C084, C041, C049",0.14,2025-09-12
CM380,SMS,"C045, C020, C048, C067, C005",0.36,2025-09-12
CM381,Email,"C005, C034, C006, C028, C019",0.12,2025-09-12
CM382,Email,"C079, C024, C065, C033, C054",0.29,2025-09-12
CM383,Push Notification,"C071, C001, C013, C032, C079",0.36,2025-09-12
CM384,Email,"C070, C012, C078, C044, C043",0.15,2025-09-12
CM385,Push Notification,"C069, C029, C050, C079, C083",0.66,2025-09-12
CM386,Email,"C067, C081, C070, C028, C012",0.5,2025-09-12
CM387,Push Notification,"C038, C054, C100, C044, C084",0.38,2025-09-12
CM388,SMS,"C075, C080, C057, C028, C058",0.68,2025-09-12
CM389,SMS,"C012, C050, C057, C058, C037",0.53,2025-09-12
CM390,Push Notification,"C031, C032, C089, C049, C012",0.19,2025-09-12
CM391,Push Notification,"C098, C017, C053, C098, C030",0.51,2025-09-12
CM392,SMS,"C007, C016, C056, C007, C056",0.18,2025-09-12
CM393,SMS,"C067, C071, C030, C039, C050",0.32,2025-09-12
