asset_id,type,topic,engagement_score
M120,Image,Event,0.88
M121,Image,Offer,0.73
M122,Video,Network,0.24
M123,Image,Offer,0.55
M124,Video,Network,0.33
M125,Audio,Network,0.5
M126,Audio,Customer Service,0.76
M127,Video,Event,0.64
M128,Audio,Offer,0.14
M129,Image,Offer,0.79
M130,Video,Network,0.69
M131,Audio,Network,0.96
M132,Audio,Offer,0.77
M133,Audio,Customer Service,0.25
M134,Audio,Offer,0.29
M135,Video,Customer Service,0.91
M136,Video,Network,0.46
M137,Video,Offer,0.46
M138,Video,Offer,0.13
M139,Image,Event,0.63
M140,Image,Network,0.21
M141,Audio,Event,0.69
M142,Audio,Event,0.57
M143,Audio,Offer,0.84
M144,Audio,Customer Service,0.83
M145,Audio,Network,0.43
M146,Image,Network,0.0
M147,Image,Event,0.33
M148,Image,Network,0.24
M149,Image,Network,0.4
M150,Image,Customer Service,0.45
M151,Image,Network,0.99
M152,Image,Network,1.0
M153,Audio,Event,0.82
M154,Audio,Event,0.9
M155,Video,Offer,0.49
M156,Audio,Customer Service,0.84
M157,Image,Network,0.09
M158,Video,Offer,0.24
M159,Audio,Offer,0.04
M160,Image,Event,0.53
M161,Audio,Customer Service,0.84
M162,Video,Network,0.43
M163,Image,Event,0.4
M164,Video,Customer Service,0.37
M165,Video,Customer Service,0.67
M166,Image,Event,0.16
M167,Audio,Network,0.09
M168,Audio,Offer,0.29
M169,Audio,Customer Service,0.01
M170,Audio,Event,0.9
M171,Video,Customer Service,0.91
M172,Image,Offer,0.03
M173,Audio,Customer Service,0.68
M174,Image,Offer,0.02
M175,Image,Event,0.49
M176,Audio,Offer,0.53
M177,Image,Offer,0.3
M178,Video,Event,0.52
M179,Video,Event,0.35
M180,Image,Customer Service,0.79
M181,Image,Offer,0.43
M182,Image,Offer,0.87
M183,Audio,Customer Service,0.1
M184,Image,Offer,0.65
M185,Video,Event,0.96
M186,Image,Event,0.69
M187,Video,Network,0.64
M188,Video,Customer Service,0.94
M189,Audio,Customer Service,0.26
M190,Video,Customer Service,0.94
M191,Audio,Customer Service,0.85
M192,Video,Customer Service,0.04
M193,Video,Event,0.03
M194,Audio,Network,0.83
M195,Video,Customer Service,0.32
M196,Video,Network,0.17
M197,Image,Network,0.49
M198,Video,Customer Service,0.49
M199,Video,Offer,0.29
M200,Audio,Network,0.51
M201,Audio,Event,0.48
M202,Audio,Network,0.61
M203,Video,Event,0.35
M204,Video,Customer Service,0.57
M205,Video,Network,0.73
M206,Video,Customer Service,0.31
M207,Video,Customer Service,0.06
M208,Audio,Event,0.87
M209,Video,Event,0.27
M210,Video,Customer Service,0.88
M211,Audio,Customer Service,0.51
M212,Image,Network,0.58
M213,Audio,Event,0.93
M214,Audio,Customer Service,0.04
M215,Audio,Offer,0.47
M216,Audio,Network,0.22
M217,Image,Network,0.76
M218,Image,Event,0.27
M219,Video,Network,0.69
M220,Video,Event,0.75
M221,Video,Network,0.11
M222,Audio,Event,0.99
M223,Audio,Offer,0.46
M224,Image,Event,0.43
M225,Video,Event,0.82
M226,Image,Customer Service,0.41
M227,Image,Customer Service,0.58
M228,Image,Offer,0.4
M229,Image,Offer,0.25
M230,Image,Event,0.02
M231,Video,Event,0.67
M232,Audio,Customer Service,0.94
M233,Image,Customer Service,0.86
M234,Audio,Customer Service,0.56
M235,Video,Offer,0.53
M236,Video,Network,0.37
M237,Image,Offer,0.69
M238,Image,Network,0.66
M239,Audio,Event,0.04
M240,Audio,Customer Service,0.03
M241,Audio,Offer,0.47
M242,Video,Event,0.46
M243,Audio,Offer,0.63
M244,Image,Event,0.13
M245,Audio,Customer Service,0.16
M246,Image,Offer,0.31
M247,Image,Customer Service,0.01
M248,Image,Customer Service,0.52
M249,Video,Event,0.46
M250,Video,Offer,0.84
M251,Video,Offer,0.55
M252,Image,Customer Service,0.92
M253,Image,Customer Service,0.1
M254,Video,Event,0.3
M255,Video,Customer Service,0.56
M256,Audio,Network,0.85
M257,Image,Event,0.38
M258,Audio,Customer Service,0.53
M259,Video,Offer,0.5
M260,Image,Network,0.39
M261,Audio,Event,0.23
M262,Video,Customer Service,0.32
M263,Audio,Event,0.81
M264,Video,Offer,0.48
M265,Image,Network,0.83
M266,Audio,Event,0.23
M267,Video,Network,0.85
M268,Video,Network,0.28
M269,Audio,Event,0.05
M270,Image,Event,0.02
M271,Video,Event,0.9
M272,Video,Offer,0.64
M273,Video,Offer,0.21
M274,Video,Network,0.11
M275,Video,Offer,0.4
M276,Video,Offer,0.76
M277,Image,Customer Service,0.16
M278,Video,Network,0.03
M279,Video,Network,0.45
M280,Video,Offer,0.77
M281,Image,Event,0.21
M282,Image,Offer,0.72
M283,Audio,Offer,0.09
M284,Audio,Network,0.17
M285,Image,Customer Service,0.74
M286,Video,Network,0.93
M287,Video,Network,0.75
M288,Video,Offer,0.22
M289,Video,Offer,0.32
M290,Video,Offer,0.28
M291,Image,Event,0.17
M292,Audio,Network,0.53
M293,Audio,Customer Service,0.99
M294,Image,Event,0.96
M295,Audio,Event,0.31
M296,Audio,Customer Service,0.56
M297,Image,Network,0.46
M298,Audio,Event,0.43
M299,Image,Event,0.99
M300,Image,Customer Service,0.39
M301,Image,Customer Service,0.79
M302,Audio,Event,0.41
M303,Video,Customer Service,0.81
M304,Video,Customer Service,0.26
M305,Video,Customer Service,0.9
M306,Image,Event,0.81
M307,Image,Event,0.33
M308,Image,Offer,0.0
M309,Video,Offer,0.47
M310,Video,Customer Service,0.1
M311,Audio,Customer Service,0.81
M312,Image,Customer Service,0.86
M313,Image,Customer Service,0.11
M314,Video,Network,0.14
M315,Image,Customer Service,0.73
M316,Audio,Network,0.21
M317,Video,Event,0.89
M318,Image,Event,0.69
M319,Image,Network,0.62
M320,Video,Event,0.73
M321,Image,Event,0.08
M322,Video,Offer,0.77
M323,Image,Customer Service,0.52
M324,Video,Offer,0.79
M325,Image,Customer Service,0.55
M326,Video,Customer Service,0.06
M327,Video,Event,0.42
M328,Video,Offer,0.29
M329,Image,Network,1.0
M330,Video,Offer,0.86
M331,Image,Network,0.61
M332,Image,Event,0.42
M333,Video,Network,0.57
M334,Image,Event,0.47
M335,Audio,Network,0.51
M336,Audio,Customer Service,0.85
M337,Video,Network,0.33
M338,Audio,Customer Service,0.58
M339,Video,Customer Service,0.77
M340,Audio,Offer,0.18
M341,Image,Customer Service,0.3
M342,Audio,Customer Service,0.87
M343,Video,Customer Service,0.39
M344,Image,Event,0.61
M345,Audio,Network,0.4
M346,Video,Customer Service,0.38
M347,Video,Customer Service,0.48
M348,Audio,Customer Service,0.88
M349,Image,Customer Service,0.73
M350,Image,Offer,0.87
M351,Audio,Network,0.44
M352,Audio,Event,0.01
M353,Video,Network,0.19
M354,Image,Offer,0.72
M355,Audio,Event,0.79
M356,Audio,Offer,0.11
M357,Video,Event,0.84
M358,Video,Event,0.19
M359,Audio,Network,0.64
M360,Image,Customer Service,0.03
M361,Audio,Offer,0.2
M362,Image,Customer Service,0.89
M363,Video,Customer Service,0.63
M364,Audio,Event,0.63
M365,Audio,Network,0.48
M366,Image,Customer Service,0.94
M367,Video,Customer Service,0.94
M368,Image,Offer,0.31
M369,Audio,Network,0.17
M370,Video,Offer,0.79
M371,Audio,Offer,0.2
M372,Audio,Network,0.72
M373,Image,Event,0.22
M374,Image,Event,0.44
M375,Image,Offer,0.59
M376,Audio,Event,0.93
M377,Video,Event,0.84
M378,Audio,Offer,0.15
M379,Image,Event,0.26
M380,Audio,Network,0.75
M381,Video,Event,0.7
M382,Image,Network,0.48
M383,Video,Customer Service,0.47
M384,Image,Event,0.12
M385,Image,Customer Service,0.72
M386,Image,Network,0.59
M387,Video,Offer,0.67
M388,Video,Customer Service,0.81
M389,Audio,Customer Service,0.88
M390,Image,Network,0.41
M391,Video,Offer,0.21
M392,Image,Customer Service,0.02
M393,Image,Offer,0.42
M394,Image,Offer,0.5
M395,Audio,Network,0.29
M396,Video,Offer,0.19
M397,Audio,Offer,0.32
M398,Image,Network,0.42
M399,Video,Event,0.99
M400,Audio,Customer Service,0.43
M401,Video,Customer Service,0.21
M402,Image,Customer Service,0.28
M403,Video,Event,0.79
M404,Video,Network,0.74
M405,Image,Network,0.58
M406,Video,Network,0.79
M407,Image,Offer,0.46
M408,Audio,Network,0.82
M409,Video,Network,0.88
M410,Audio,Event,0.12
M411,Audio,Event,0.55
M412,Audio,Customer Service,0.8
M413,Audio,Network,0.03
M414,Audio,Customer Service,0.6
M415,Image,Customer Service,0.32
M416,Video,Customer Service,0.29
M417,Audio,Offer,0.47
M418,Video,Customer Service,0.14
M419,Video,Offer,0.26
M420,Video,Offer,0.36
M421,Audio,Offer,0.9
M422,Image,Network,0.4
M423,Video,Customer Service,0.47
M424,Video,Customer Service,0.56
M425,Video,Event,0.43
M426,Audio,Event,0.35
M427,Image,Event,0.23
M428,Image,Event,0.86
M429,Image,Network,0.01
M430,Video,Customer Service,0.93
M431,Video,Offer,0.28
M432,Audio,Event,0.42
M433,Audio,Customer Service,0.33
M434,Audio,Customer Service,0.98
M435,Video,Event,0.52
M436,Image,Offer,0.83
M437,Image,Event,0.9
M438,Image,Network,0.55
M439,Image,Customer Service,0.75
M440,Audio,Event,0.36
M441,Audio,Offer,0.28
M442,Audio,Network,0.13
M443,Image,Customer Service,0.09
M444,Image,Customer Service,0.24
M445,Image,Network,0.01
M446,Audio,Event,0.3
M447,Audio,Customer Service,0.89
M448,Image,Network,0.49
M449,Image,Offer,0.77
M450,Audio,Offer,0.32
M451,Image,Network,0.31
M452,Video,Event,0.73
M453,Video,Network,0.44
M454,Audio,Customer Service,0.75
M455,Image,Network,0.24
M456,Image,Customer Service,0.07
M457,Image,Offer,0.55
M458,Audio,Event,0.71
M459,Video,Event,0.23
M460,Video,Offer,0.93
M461,Audio,Offer,0.44
M462,Video,Offer,0.33
M463,Video,Customer Service,0.43
M464,Image,Network,0.84
M465,Image,Event,0.44
M466,Audio,Customer Service,0.85
M467,Audio,Offer,0.55
M468,Video,Offer,0.04
M469,Video,Customer Service,0.37
M470,Image,Network,0.19
M471,Audio,Event,0.67
M472,Audio,Event,0.88
M473,Video,Offer,0.23
M474,Audio,Offer,0.14
M475,Image,Offer,0.53
M476,Image,Event,0.0
M477,Video,Customer Service,0.95
M478,Image,Customer Service,0.21
M479,Video,Event,0.04
M480,Video,Event,0.62
M481,Audio,Offer,0.67
M482,Video,Customer Service,0.99
M483,Audio,Network,0.91
M484,Image,Customer Service,0.12
M485,Audio,Customer Service,0.34
M486,Video,Network,0.68
M487,Audio,Event,0.78
M488,Image,Customer Service,0.78
M489,Video,Network,0.45
M490,Audio,Event,0.85
M491,Image,Offer,0.86
M492,Video,Event,0.15
M493,Video,Customer Service,0.54
M494,Video,Offer,0.14
M495,Video,Offer,0.57
M496,Video,Customer Service,0.85
M497,Image,Customer Service,0.26
M498,Image,Network,0.42
M499,Audio,Event,0.8
M500,Video,Event,0.58
M501,Video,Offer,0.51
M502,Audio,Offer,0.8
M503,Video,Customer Service,0.6
M504,Image,Offer,0.04
M505,Video,Network,0.71
M506,Video,Event,0.74
M507,Image,Customer Service,0.11
M508,Video,Offer,0.77
M509,Audio,Event,0.51
M510,Image,Network,0.24
M511,Video,Offer,0.27
M512,Image,Network,1.0
M513,Audio,Customer Service,0.52
M514,Video,Event,0.38
M515,Audio,Event,0.69
M516,Image,Event,0.0
M517,Audio,Customer Service,0.02
M518,Video,Customer Service,0.55
M519,Video,Event,0.15
M520,Image,Event,0.04
M521,Audio,Customer Service,0.11
M522,Video,Network,0.19
M523,Image,Customer Service,0.69
M524,Video,Customer Service,0.13
M525,Video,Network,0.09
M526,Audio,Network,0.99
M527,Audio,Customer Service,0.38
M528,Video,Offer,0.12
M529,Image,Network,0.16
M530,Image,Offer,0.42
M531,Audio,Customer Service,0.25
M532,Audio,Event,0.5
M533,Image,Event,0.02
M534,Audio,Event,0.52
M535,Image,Customer Service,0.1
M536,Video,Event,0.72
M537,Image,Network,0.66
M538,Image,Offer,0.39
M539,Audio,Customer Service,0.28
M540,Video,Event,0.81
M541,Video,Offer,0.23
M542,Audio,Offer,0.72
M543,Audio,Network,0.39
M544,Video,Network,0.99
M545,Video,Network,0.27
M546,Audio,Event,0.41
M547,Audio,Network,0.74
M548,Audio,Customer Service,0.28
M549,Audio,Customer Service,0.47
M550,Video,Offer,0.27
M551,Audio,Customer Service,0.34
M552,Audio,Network,0.46
M553,Audio,Event,0.99
M554,Image,Network,0.64
M555,Image,Offer,0.08
M556,Audio,Event,0.64
M557,Image,Network,0.58
M558,Image,Customer Service,0.5
M559,Audio,Customer Service,0.23
M560,Audio,Network,0.7
M561,Image,Customer Service,0.32
M562,Video,Event,0.17
M563,Image,Event,0.54
M564,Audio,Event,0.49
M565,Image,Customer Service,0.96
M566,Image,Network,0.05
M567,Image,Offer,0.77
M568,Audio,Network,0.62
M569,Image,Event,0.08
M570,Audio,Offer,0.82
M571,Audio,Event,0.6
M572,Video,Network,0.22
M573,Audio,Offer,0.61
M574,Image,Event,0.64
M575,Audio,Offer,0.06
M576,Image,Offer,0.96
M577,Audio,Event,0.05
M578,Image,Customer Service,0.47
M579,Image,Offer,0.56
M580,Audio,Event,0.24
M581,Image,Event,0.44
M582,Image,Network,0.07
M583,Audio,Customer Service,0.15
M584,Video,Event,0.59
M585,Video,Network,0.22
M586,Audio,Event,0.08
M587,Video,Customer Service,0.62
M588,Video,Network,0.38
M589,Audio,Event,0.08
M590,Video,Offer,0.72
M591,Audio,Customer Service,0.47
M592,Audio,Offer,0.11
M593,Video,Offer,0.0
M594,Image,Customer Service,0.75
M595,Audio,Network,0.82
M596,Audio,Customer Service,0.39
M597,Audio,Customer Service,0.87
M598,Audio,Event,0.2
M599,Video,Customer Service,0.75
M600,Audio,Event,0.91
M601,Image,Event,0.54
M602,Audio,Offer,0.92
M603,Image,Customer Service,0.84
M604,Image,Event,0.98
M605,Image,Customer Service,0.78
M606,Image,Customer Service,0.1
M607,Image,Offer,0.14
M608,Video,Customer Service,0.74
M609,Audio,Customer Service,0.86
M610,Video,Customer Service,0.97
M611,Image,Offer,0.97
M612,Audio,Offer,0.22
M613,Video,Offer,0.74
M614,Video,Event,0.36
M615,Audio,Offer,0.97
M616,Video,Customer Service,0.92
M617,Image,Event,0.84
M618,Audio,Event,0.17
M619,Image,Network,0.73
M620,Video,Network,0.63
M621,Video,Offer,0.0
M622,Audio,Event,0.61
M623,Audio,Customer Service,0.15
M624,Image,Offer,0.08
M625,Audio,Customer Service,0.24
M626,Audio,Event,0.94
M627,Audio,Event,0.94
M628,Video,Network,0.69
M629,Audio,Event,0.22
M630,Audio,Event,0.31
M631,Video,Network,0.02
M632,Video,Event,0.14
M633,Image,Network,0.93
M634,Audio,Customer Service,0.71
M635,Audio,Customer Service,0.36
M636,Video,Network,0.93
M637,Audio,Customer Service,0.2
M638,Video,Network,0.16
M639,Image,Network,0.4
M640,Audio,Network,0.15
M641,Video,Event,0.27
M642,Video,Event,0.54
M643,Audio,Customer Service,0.91
M644,Video,Offer,0.68
M645,Image,Network,0.89
M646,Video,Event,0.13
M647,Video,Network,0.66
M648,Image,Customer Service,0.73
M649,Audio,Customer Service,0.16
M650,Image,Offer,0.51
M651,Video,Customer Service,0.3
M652,Audio,Event,0.89
M653,Image,Event,0.59
M654,Audio,Offer,0.69
M655,Video,Network,0.64
M656,Video,Customer Service,0.43
M657,Image,Offer,0.06
M658,Image,Event,0.65
M659,Image,Offer,0.96
M660,Video,Customer Service,0.85
M661,Image,Customer Service,0.9
M662,Image,Customer Service,0.03
M663,Audio,Offer,0.51
M664,Audio,Customer Service,0.96
M665,Video,Event,0.46
M666,Video,Offer,0.58
M667,Image,Network,0.69
M668,Image,Network,0.32
M669,Video,Event,0.66
M670,Audio,Offer,0.27
M671,Audio,Event,0.88
M672,Video,Event,0.64
M673,Audio,Network,0.37
M674,Video,Network,0.12
M675,Image,Customer Service,0.99
M676,Audio,Offer,0.99
M677,Audio,Offer,0.02
M678,Video,Customer Service,0.05
M679,Video,Event,0.16
M680,Audio,Network,0.98
M681,Image,Offer,0.67
M682,Video,Customer Service,0.85
M683,Video,Offer,0.9
M684,Video,Offer,0.89
M685,Video,Network,0.06
M686,Image,Network,0.87
M687,Video,Network,0.69
M688,Video,Customer Service,0.36
M689,Audio,Offer,0.79
M690,Audio,Network,0.77
M691,Image,Offer,0.48
M692,Image,Offer,0.07
M693,Image,Customer Service,0.16
M694,Image,Network,0.16
M695,Image,Network,0.94
M696,Audio,Network,0.12
M697,Audio,Customer Service,0.03
M698,Audio,Customer Service,0.73
M699,Audio,Customer Service,0.98
M700,Audio,Offer,0.19
M701,Video,Event,0.57
M702,Video,Offer,0.52
M703,Audio,Customer Service,0.78
M704,Video,Offer,0.67
M705,Audio,Network,0.93
M706,Image,Offer,0.42
M707,Audio,Offer,0.93
M708,Image,Customer Service,0.63
M709,Video,Network,0.0
M710,Image,Offer,0.02
M711,Video,Network,0.98
M712,Audio,Offer,0.63
M713,Image,Event,0.44
M714,Video,Offer,0.81
M715,Image,Event,0.99
M716,Video,Offer,0.51
M717,Audio,Network,0.75
M718,Video,Event,0.26
M719,Image,Event,0.12
M720,Audio,Network,0.87
M721,Video,Network,0.62
M722,Image,Event,0.69
M723,Image,Offer,1.0
M724,Image,Event,0.46
M725,Audio,Network,0.3
M726,Audio,Customer Service,0.88
M727,Video,Event,0.83
M728,Video,Network,0.31
M729,Audio,Offer,0.81
M730,Audio,Offer,0.39
M731,Video,Customer Service,0.03
M732,Image,Customer Service,0.52
M733,Audio,Offer,0.21
M734,Audio,Network,0.85
M735,Image,Network,0.56
M736,Video,Event,0.01
M737,Video,Offer,0.93
M738,Audio,Event,0.63
M739,Audio,Network,0.96
M740,Audio,Customer Service,0.42
M741,Audio,Network,0.66
M742,Video,Network,0.49
M743,Image,Event,0.99
M744,Audio,Network,0.26
M745,Image,Customer Service,0.85
M746,Image,Event,0.84
M747,Video,Event,0.53
M748,Audio,Network,0.42
M749,Audio,Network,0.25
M750,Audio,Event,0.04
M751,Image,Customer Service,0.44
M752,Image,Customer Service,0.49
M753,Video,Event,0.97
M754,Audio,Offer,0.52
M755,Video,Offer,0.46
M756,Video,Offer,0.35
M757,Video,Customer Service,0.41
M758,Video,Offer,0.54
M759,Video,Network,0.36
M760,Audio,Customer Service,0.78
M761,Audio,Network,0.02
M762,Video,Customer Service,0.01
M763,Video,Customer Service,0.29
M764,Audio,Event,0.16
M765,Audio,Network,0.25
M766,Image,Event,0.98
M767,Image,Network,0.65
M768,Audio,Network,0.76
M769,Audio,Event,0.78
M770,Audio,Network,0.54
M771,Audio,Customer Service,0.21
M772,Audio,Customer Service,0.67
M773,Audio,Network,0.98
M774,Audio,Network,0.79
M775,Audio,Offer,0.54
M776,Audio,Event,0.08
M777,Audio,Customer Service,0.47
M778,Image,Customer Service,0.05
M779,Image,Event,0.87
M780,Image,Offer,0.27
M781,Video,Network,0.17
M782,Video,Network,0.01
M783,Video,Network,0.91
M784,Image,Customer Service,0.42
M785,Image,Event,0.72
M786,Video,Customer Service,0.7
M787,Audio,Network,0.77
M788,Image,Network,0.54
M789,Audio,Customer Service,0.61
M790,Audio,Network,0.32
M791,Image,Customer Service,0.97
M792,Audio,Customer Service,0.42
M793,Image,Customer Service,0.02
M794,Video,Customer Service,0.12
M795,Image,Network,0.66
M796,Audio,Customer Service,0.98
M797,Image,Offer,0.98
M798,Audio,Customer Service,0.66
M799,Image,Customer Service,0.42
M800,Image,Event,0.44
M801,Audio,Event,0.16
M802,Video,Offer,0.42
M803,Video,Offer,0.48
M804,Image,Network,0.32
M805,Video,Customer Service,0.85
M806,Video,Offer,0.38
M807,Video,Customer Service,0.59
M808,Audio,Customer Service,0.59
M809,Video,Offer,0.59
M810,Image,Offer,0.92
M811,Video,Network,0.51
M812,Audio,Event,0.73
M813,Audio,Customer Service,0.27
M814,Image,Offer,0.42
M815,Video,Offer,0.51
M816,Video,Offer,0.93
M817,Video,Customer Service,0.46
M818,Audio,Network,0.05
M819,Image,Network,0.45
M820,Image,Network,0.61
M821,Audio,Customer Service,0.34
M822,Audio,Offer,0.75
M823,Image,Event,0.29
M824,Video,Network,0.2
M825,Audio,Customer Service,0.33
M826,Audio,Event,0.34
M827,Video,Network,0.09
M828,Image,Offer,0.86
M829,Audio,Network,0.69
M830,Video,Offer,0.17
M831,Image,Offer,0.52
M832,Image,Network,0.4
M833,Image,Offer,0.02
M834,Audio,Offer,0.37
M835,Audio,Event,0.36
M836,Video,Offer,0.09
M837,Audio,Offer,0.04
M838,Image,Network,0.69
M839,Image,Customer Service,0.91
M840,Audio,Network,0.01
M841,Video,Customer Service,0.25
M842,Video,Customer Service,0.16
M843,Image,Event,0.11
M844,Image,Customer Service,0.07
M845,Audio,Customer Service,0.22
M846,Image,Offer,0.52
M847,Image,Offer,0.44
M848,Image,Network,0.72
M849,Video,Customer Service,0.64
M850,Image,Event,0.05
M851,Video,Network,0.74
M852,Audio,Customer Service,0.41
M853,Image,Offer,0.25
M854,Video,Offer,0.47
M855,Audio,Network,0.46
M856,Image,Network,0.11
M857,Audio,Customer Service,0.81
M858,Audio,Network,0.52
M859,Audio,Customer Service,0.59
M860,Audio,Network,0.16
M861,Image,Event,0.22
M862,Image,Network,0.7
M863,Video,Network,0.41
M864,Image,Offer,0.68
M865,Video,Network,0.39
M866,Video,Event,0.21
M867,Video,Offer,0.24
M868,Audio,Network,0.92
M869,Video,Offer,0.88
M870,Audio,Network,0.72
M871,Image,Network,0.23
M872,Video,Network,0.11
M873,Video,Event,0.5
M874,Video,Customer Service,0.14
M875,Audio,Offer,0.35
M876,Image,Offer,0.1
M877,Video,Network,0.88
M878,Image,Network,0.16
M879,Image,Customer Service,0.02
M880,Audio,Customer Service,0.21
M881,Audio,Customer Service,0.58
M882,Audio,Event,0.81
M883,Image,Event,0.14
M884,Video,Offer,0.01
M885,Image,Network,0.61
M886,Image,Event,0.29
M887,Image,Customer Service,0.92
M888,Image,Offer,0.2
M889,Image,Customer Service,0.49
M890,Audio,Event,0.07
M891,Audio,Network,0.94
M892,Image,Offer,0.38
M893,Audio,Customer Service,0.72
M894,Audio,Offer,0.84
M895,Video,Customer Service,0.08
M896,Image,Offer,0.43
M897,Image,Network,0.59
M898,Audio,Network,0.91
M899,Audio,Network,0.94
M900,Audio,Event,0.4
M901,Audio,Customer Service,0.25
M902,Audio,Network,0.76
M903,Audio,Offer,0.06
M904,Image,Customer Service,0.82
M905,Image,Network,0.69
M906,Video,Customer Service,0.3
M907,Audio,Offer,0.09
M908,Audio,Customer Service,0.62
M909,Video,Event,0.6
M910,Video,Network,0.78
M911,Video,Offer,0.69
M912,Image,Event,0.21
M913,Audio,Network,0.05
M914,Video,Network,0.99
M915,Audio,Customer Service,0.25
M916,Image,Offer,0.73
M917,Audio,Event,0.47
M918,Image,Network,0.49
M919,Audio,Customer Service,0.28
M920,Video,Network,0.22
M921,Image,Network,0.84
M922,Audio,Event,0.95
M923,Audio,Network,0.68
M924,Image,Network,0.89
M925,Image,Customer Service,0.76
M926,Image,Offer,0.66
M927,Audio,Offer,0.14
M928,Audio,Customer Service,0.22
M929,Video,Offer,0.01
M930,Video,Event,0.96
M931,Video,Network,0.02
M932,Audio,Network,0.02
M933,Image,Offer,0.65
M934,Video,Network,0.59
M935,Video,Customer Service,0.4
M936,Image,Network,0.99
M937,Video,Event,0.19
M938,Audio,Event,0.83
M939,Image,Customer Service,0.09
M940,Video,Offer,0.64
M941,Image,Customer Service,0.98
M942,Audio,Network,0.67
M943,Video,Customer Service,0.69
M944,Video,Offer,0.8
M945,Image,Event,0.93
M946,Audio,Network,1.0
M947,Video,Event,0.03
M948,Image,Customer Service,0.6
M949,Audio,Network,0.71
M950,Video,Customer Service,0.98
M951,Video,Network,0.9
M952,Image,Offer,0.83
M953,Image,Event,0.99
M954,Video,Customer Service,0.65
M955,Audio,Offer,0.47
M956,Image,Network,0.94
M957,Video,Event,0.13
M958,Video,Offer,0.04
M959,Image,Network,0.25
M960,Image,Event,0.07
M961,Image,Offer,0.87
M962,Image,Network,0.67
M963,Audio,Network,0.05
M964,Video,Customer Service,0.75
M965,Video,Network,0.22
M966,Video,Event,0.49
M967,Image,Customer Service,0.32
M968,Video,Offer,0.22
M969,Image,Customer Service,0.89
M970,Audio,Customer Service,0.21
