customer_id,interests,preferred_channel,last_engagement_date
C176,"Streaming, Travel",Email,2025-09-12
C177,"Gaming, Streaming",Email,2025-09-12
C178,"Travel, Streaming",WhatsApp,2025-09-12
C179,"Gaming, Streaming",App Notification,2025-09-12
C180,"Streaming, Finance",Email,2025-09-12
C181,"Gaming, Streaming",App Notification,2025-09-12
C182,"Travel, Streaming",Email,2025-09-12
C183,"Sports, News",SMS,2025-09-12
C184,"Streaming, Sports",App Notification,2025-09-12
C185,"Finance, Sports",Email,2025-09-12
C186,"News, Finance",App Notification,2025-09-12
C187,"Finance, Travel",WhatsApp,2025-09-12
C188,"Gaming, Finance",SMS,2025-09-12
C189,"Finance, Streaming",WhatsApp,2025-09-12
C190,"Finance, Travel",WhatsApp,2025-09-12
C191,"News, Travel",SMS,2025-09-12
C192,"Streaming, Finance",App Notification,2025-09-12
C193,"Travel, Streaming",App Notification,2025-09-12
C194,"Gaming, Finance",SMS,2025-09-12
C195,"Finance, Travel",SMS,2025-09-12
C196,"Travel, News",SMS,2025-09-12
C197,"Travel, Streaming",WhatsApp,2025-09-12
C198,"Finance, Streaming",App Notification,2025-09-12
C199,"Gaming, Streaming",SMS,2025-09-12
C200,"News, Travel",Email,2025-09-12
C201,"Travel, Finance",SMS,2025-09-12
C202,"Travel, Sports",Email,2025-09-12
C203,"Travel, News",SMS,2025-09-12
C204,"Streaming, Sports",WhatsApp,2025-09-12
C205,"Travel, Finance",WhatsApp,2025-09-12
C206,"Finance, Gaming",Email,2025-09-12
C207,"Streaming, Gaming",SMS,2025-09-12
C208,"Finance, Travel",SMS,2025-09-12
C209,"News, Travel",Email,2025-09-12
C210,"Gaming, News",App Notification,2025-09-12
C211,"Streaming, News",SMS,2025-09-12
C212,"Sports, News",SMS,2025-09-12
C213,"Sports, Gaming",WhatsApp,2025-09-12
C214,"Finance, Gaming",WhatsApp,2025-09-12
C215,"Streaming, Sports",Email,2025-09-12
C216,"Travel, News",Email,2025-09-12
C217,"Finance, Sports",WhatsApp,2025-09-12
C218,"Finance, Sports",SMS,2025-09-12
C219,"Sports, Streaming",App Notification,2025-09-12
C220,"Gaming, Travel",WhatsApp,2025-09-12
C221,"News, Streaming",Email,2025-09-12
C222,"Streaming, Travel",Email,2025-09-12
C223,"News, Sports",App Notification,2025-09-12
C224,"News, Travel",App Notification,2025-09-12
C225,"News, Gaming",Email,2025-09-12
C226,"Sports, Travel",WhatsApp,2025-09-12
C227,"Streaming, Gaming",Email,2025-09-12
C228,"Sports, News",App Notification,2025-09-12
C229,"News, Gaming",Email,2025-09-12
C230,"Gaming, Streaming",SMS,2025-09-12
C231,"Gaming, Travel",Email,2025-09-12
C232,"Travel, Sports",WhatsApp,2025-09-12
C233,"News, Sports",App Notification,2025-09-12
C234,"Gaming, News",SMS,2025-09-12
C235,"Travel, Gaming",App Notification,2025-09-12
C236,"Sports, Finance",SMS,2025-09-12
C237,"Streaming, Finance",WhatsApp,2025-09-12
C238,"Finance, News",WhatsApp,2025-09-12
C239,"News, Gaming",SMS,2025-09-12
C240,"Finance, News",App Notification,2025-09-12
C241,"Gaming, Sports",SMS,2025-09-12
C242,"Finance, News",Email,2025-09-12
C243,"Travel, News",App Notification,2025-09-12
C244,"News, Sports",WhatsApp,2025-09-12
C245,"Sports, Gaming",WhatsApp,2025-09-12
C246,"Finance, News",WhatsApp,2025-09-12
C247,"Gaming, Travel",Email,2025-09-12
C248,"Travel, Finance",App Notification,2025-09-12
C249,"Streaming, Sports",App Notification,2025-09-12
C250,"Sports, Finance",WhatsApp,2025-09-12
C251,"Travel, Gaming",Email,2025-09-12
C252,"Gaming, Travel",SMS,2025-09-12
C253,"Travel, Streaming",App Notification,2025-09-12
C254,"Travel, Gaming",SMS,2025-09-12
C255,"Sports, News",SMS,2025-09-12
C256,"Gaming, News",SMS,2025-09-12
C257,"News, Travel",App Notification,2025-09-12
C258,"News, Sports",App Notification,2025-09-12
C259,"News, Streaming",Email,2025-09-12
C260,"Sports, Finance",WhatsApp,2025-09-12
C261,"Streaming, News",App Notification,2025-09-12
C262,"Travel, Gaming",WhatsApp,2025-09-12
C263,"Streaming, Finance",SMS,2025-09-12
C264,"Streaming, Finance",WhatsApp,2025-09-12
C265,"Finance, Streaming",Email,2025-09-12
C266,"Gaming, News",App Notification,2025-09-12
C267,"Gaming, Travel",WhatsApp,2025-09-12
C268,"Gaming, News",SMS,2025-09-12
C269,"Finance, Sports",WhatsApp,2025-09-12
C270,"Sports, News",Email,2025-09-12
C271,"Finance, Sports",WhatsApp,2025-09-12
C272,"News, Finance",SMS,2025-09-12
C273,"News, Streaming",Email,2025-09-12
C274,"Sports, Finance",WhatsApp,2025-09-12
C275,"Travel, Streaming",Email,2025-09-12
C276,"Gaming, Streaming",SMS,2025-09-12
C277,"Sports, Travel",App Notification,2025-09-12
C278,"Finance, Sports",WhatsApp,2025-09-12
C279,"Travel, Gaming",WhatsApp,2025-09-12
C280,"News, Gaming",Email,2025-09-12
C281,"Finance, Sports",App Notification,2025-09-12
C282,"Gaming, News",WhatsApp,2025-09-12
C283,"Sports, News",Email,2025-09-12
C284,"Travel, Finance",Email,2025-09-12
C285,"Finance, Streaming",SMS,2025-09-12
C286,"Travel, Finance",Email,2025-09-12
C287,"Streaming, Sports",SMS,2025-09-12
C288,"News, Streaming",WhatsApp,2025-09-12
C289,"Gaming, Sports",SMS,2025-09-12
C290,"Gaming, News",WhatsApp,2025-09-12
C291,"Streaming, Finance",SMS,2025-09-12
C292,"Sports, Gaming",App Notification,2025-09-12
C293,"Finance, Streaming",WhatsApp,2025-09-12
C294,"Travel, Gaming",App Notification,2025-09-12
C295,"News, Sports",WhatsApp,2025-09-12
C296,"News, Finance",WhatsApp,2025-09-12
C297,"Streaming, News",App Notification,2025-09-12
C298,"Sports, Gaming",SMS,2025-09-12
C299,"News, Streaming",WhatsApp,2025-09-12
C300,"Travel, News",WhatsApp,2025-09-12
C301,"Travel, Gaming",WhatsApp,2025-09-12
C302,"Gaming, Sports",App Notification,2025-09-12
C303,"Gaming, Sports",SMS,2025-09-12
C304,"Gaming, Sports",App Notification,2025-09-12
C305,"News, Gaming",Email,2025-09-12
C306,"Streaming, Gaming",Email,2025-09-12
C307,"Gaming, Finance",App Notification,2025-09-12
C308,"Streaming, News",Email,2025-09-12
C309,"Streaming, News",Email,2025-09-12
C310,"Gaming, Streaming",SMS,2025-09-12
C311,"News, Gaming",Email,2025-09-12
C312,"Sports, Gaming",Email,2025-09-12
C313,"News, Sports",WhatsApp,2025-09-12
C314,"Finance, Gaming",SMS,2025-09-12
C315,"Travel, Streaming",WhatsApp,2025-09-12
C316,"Travel, Gaming",Email,2025-09-12
C317,"Gaming, Streaming",App Notification,2025-09-12
C318,"News, Sports",App Notification,2025-09-12
C319,"Gaming, Travel",SMS,2025-09-12
C320,"Finance, Streaming",App Notification,2025-09-12
C321,"News, Finance",WhatsApp,2025-09-12
C322,"Gaming, News",WhatsApp,2025-09-12
C323,"News, Streaming",Email,2025-09-12
C324,"Finance, Sports",Email,2025-09-12
C325,"Streaming, Sports",Email,2025-09-12
C326,"Travel, News",Email,2025-09-12
C327,"Finance, Travel",App Notification,2025-09-12
C328,"Gaming, Finance",WhatsApp,2025-09-12
C329,"News, Travel",Email,2025-09-12
C330,"Streaming, Finance",App Notification,2025-09-12
C331,"Sports, Streaming",App Notification,2025-09-12
C332,"Sports, Gaming",SMS,2025-09-12
C333,"Travel, Finance",Email,2025-09-12
C334,"Sports, Streaming",Email,2025-09-12
C335,"Finance, Sports",App Notification,2025-09-12
C336,"News, Finance",App Notification,2025-09-12
C337,"Travel, Gaming",SMS,2025-09-12
C338,"Finance, Sports",SMS,2025-09-12
C339,"Finance, News",Email,2025-09-12
C340,"Gaming, Sports",WhatsApp,2025-09-12
C341,"Sports, News",WhatsApp,2025-09-12
C342,"Gaming, News",SMS,2025-09-12
C343,"Gaming, News",WhatsApp,2025-09-12
C344,"Finance, Streaming",App Notification,2025-09-12
C345,"Streaming, Finance",Email,2025-09-12
C346,"Finance, Travel",SMS,2025-09-12
C347,"News, Finance",App Notification,2025-09-12
C348,"Travel, News",SMS,2025-09-12
C349,"News, Finance",App Notification,2025-09-12
C350,"Gaming, Finance",SMS,2025-09-12
C351,"Finance, News",App Notification,2025-09-12
C352,"News, Finance",Email,2025-09-12
C353,"Gaming, Streaming",SMS,2025-09-12
C354,"Travel, Gaming",Email,2025-09-12
C355,"News, Finance",App Notification,2025-09-12
C356,"Streaming, News",Email,2025-09-12
C357,"Finance, Travel",SMS,2025-09-12
C358,"Streaming, News",SMS,2025-09-12
C359,"Finance, Sports",SMS,2025-09-12
C360,"Streaming, News",App Notification,2025-09-12
C361,"News, Travel",SMS,2025-09-12
C362,"Finance, Gaming",WhatsApp,2025-09-12
C363,"Travel, Gaming",WhatsApp,2025-09-12
C364,"Gaming, Travel",App Notification,2025-09-12
C365,"Gaming, Sports",WhatsApp,2025-09-12
C366,"Finance, News",WhatsApp,2025-09-12
C367,"Streaming, Gaming",WhatsApp,2025-09-12
C368,"Streaming, Travel",SMS,2025-09-12
C369,"Finance, Streaming",SMS,2025-09-12
C370,"Finance, Gaming",WhatsApp,2025-09-12
C371,"Sports, Gaming",SMS,2025-09-12
C372,"Sports, Travel",WhatsApp,2025-09-12
C373,"Finance, Sports",WhatsApp,2025-09-12
C374,"Sports, Travel",App Notification,2025-09-12
C375,"News, Gaming",App Notification,2025-09-12
C376,"Gaming, Sports",WhatsApp,2025-09-12
C377,"Streaming, Sports",Email,2025-09-12
C378,"Travel, Finance",Email,2025-09-12
C379,"Streaming, Gaming",Email,2025-09-12
C380,"Finance, Travel",Email,2025-09-12
C381,"Finance, News",SMS,2025-09-12
C382,"Streaming, Sports",SMS,2025-09-12
C383,"Sports, News",SMS,2025-09-12
C384,"Travel, Streaming",WhatsApp,2025-09-12
C385,"News, Streaming",SMS,2025-09-12
C386,"News, Gaming",App Notification,2025-09-12
C387,"News, Streaming",App Notification,2025-09-12
C388,"Streaming, Sports",SMS,2025-09-12
C389,"Streaming, Sports",App Notification,2025-09-12
C390,"Sports, Travel",WhatsApp,2025-09-12
C391,"Finance, Gaming",App Notification,2025-09-12
C392,"Sports, Finance",SMS,2025-09-12
C393,"Travel, News",App Notification,2025-09-12
C394,"News, Sports",SMS,2025-09-12
C395,"Sports, News",App Notification,2025-09-12
C396,"Streaming, Finance",SMS,2025-09-12
C397,"Sports, Travel",SMS,2025-09-12
C398,"Travel, Gaming",SMS,2025-09-12
C399,"Sports, News",App Notification,2025-09-12
C400,"Sports, Travel",SMS,2025-09-12
C401,"Sports, Gaming",SMS,2025-09-12
C402,"Streaming, Finance",WhatsApp,2025-09-12
C403,"Sports, Travel",WhatsApp,2025-09-12
C404,"Streaming, News",Email,2025-09-12
C405,"Sports, Gaming",SMS,2025-09-12
C406,"Gaming, Travel",Email,2025-09-12
C407,"Travel, Gaming",SMS,2025-09-12
C408,"Gaming, Finance",WhatsApp,2025-09-12
C409,"Gaming, Sports",App Notification,2025-09-12
C410,"Sports, Streaming",SMS,2025-09-12
C411,"Travel, Gaming",WhatsApp,2025-09-12
C412,"Sports, Travel",Email,2025-09-12
C413,"Finance, News",App Notification,2025-09-12
C414,"Gaming, Streaming",WhatsApp,2025-09-12
C415,"News, Gaming",SMS,2025-09-12
C416,"News, Finance",WhatsApp,2025-09-12
C417,"Finance, Streaming",App Notification,2025-09-12
C418,"Sports, Gaming",WhatsApp,2025-09-12
C419,"Sports, Streaming",SMS,2025-09-12
C420,"News, Sports",Email,2025-09-12
C421,"Travel, Finance",App Notification,2025-09-12
C422,"Travel, Finance",App Notification,2025-09-12
C423,"Travel, Gaming",App Notification,2025-09-12
C424,"Sports, Gaming",WhatsApp,2025-09-12
C425,"Gaming, Streaming",WhatsApp,2025-09-12
C426,"Finance, Sports",Email,2025-09-12
C427,"Gaming, Streaming",WhatsApp,2025-09-12
C428,"News, Streaming",App Notification,2025-09-12
C429,"Sports, Streaming",WhatsApp,2025-09-12
C430,"Streaming, Finance",SMS,2025-09-12
C431,"Finance, Gaming",App Notification,2025-09-12
C432,"Finance, Travel",SMS,2025-09-12
C433,"Gaming, Streaming",App Notification,2025-09-12
C434,"Sports, Streaming",WhatsApp,2025-09-12
C435,"Sports, Streaming",WhatsApp,2025-09-12
C436,"Finance, News",SMS,2025-09-12
C437,"Gaming, Sports",WhatsApp,2025-09-12
C438,"Streaming, Finance",App Notification,2025-09-12
C439,"Travel, Gaming",Email,2025-09-12
C440,"Gaming, News",App Notification,2025-09-12
C441,"Sports, Gaming",SMS,2025-09-12
C442,"Sports, Travel",Email,2025-09-12
C443,"News, Gaming",SMS,2025-09-12
C444,"Finance, Travel",Email,2025-09-12
C445,"News, Travel",WhatsApp,2025-09-12
C446,"Streaming, News",SMS,2025-09-12
C447,"Sports, Finance",WhatsApp,2025-09-12
C448,"Travel, Sports",WhatsApp,2025-09-12
C449,"Finance, Streaming",App Notification,2025-09-12
C450,"News, Gaming",App Notification,2025-09-12
C451,"Sports, Travel",Email,2025-09-12
C452,"Sports, Gaming",WhatsApp,2025-09-12
C453,"Sports, Finance",Email,2025-09-12
C454,"Finance, Sports",App Notification,2025-09-12
C455,"Sports, Gaming",SMS,2025-09-12
C456,"Travel, Streaming",Email,2025-09-12
C457,"Finance, Gaming",Email,2025-09-12
C458,"Travel, News",Email,2025-09-12
C459,"Finance, Streaming",Email,2025-09-12
C460,"Streaming, Gaming",WhatsApp,2025-09-12
C461,"Finance, Travel",WhatsApp,2025-09-12
C462,"Finance, Gaming",WhatsApp,2025-09-12
C463,"Sports, Gaming",Email,2025-09-12
C464,"Streaming, Travel",WhatsApp,2025-09-12
C465,"Gaming, News",Email,2025-09-12
C466,"News, Finance",Email,2025-09-12
C467,"Travel, News",SMS,2025-09-12
C468,"Streaming, News",App Notification,2025-09-12
C469,"Sports, Gaming",App Notification,2025-09-12
C470,"Finance, Streaming",App Notification,2025-09-12
C471,"Finance, Streaming",Email,2025-09-12
C472,"Finance, Streaming",Email,2025-09-12
C473,"Gaming, Streaming",WhatsApp,2025-09-12
C474,"Travel, Gaming",WhatsApp,2025-09-12
C475,"News, Streaming",App Notification,2025-09-12
C476,"Streaming, Gaming",App Notification,2025-09-12
C477,"Gaming, Travel",WhatsApp,2025-09-12
C478,"Finance, Travel",SMS,2025-09-12
C479,"Travel, Sports",SMS,2025-09-12
C480,"News, Finance",Email,2025-09-12
C481,"Gaming, Sports",Email,2025-09-12
C482,"Sports, Gaming",SMS,2025-09-12
C483,"Gaming, Streaming",WhatsApp,2025-09-12
C484,"Gaming, Streaming",SMS,2025-09-12
C485,"News, Finance",SMS,2025-09-12
C486,"Gaming, News",Email,2025-09-12
C487,"News, Streaming",WhatsApp,2025-09-12
C488,"Finance, Travel",App Notification,2025-09-12
C489,"Travel, Gaming",SMS,2025-09-12
C490,"Finance, Travel",WhatsApp,2025-09-12
C491,"Sports, Streaming",App Notification,2025-09-12
C492,"Gaming, Finance",WhatsApp,2025-09-12
C493,"Sports, News",Email,2025-09-12
C494,"Sports, Gaming",WhatsApp,2025-09-12
C495,"Gaming, Sports",SMS,2025-09-12
C496,"Sports, News",SMS,2025-09-12
C497,"Gaming, News",SMS,2025-09-12
C498,"News, Gaming",WhatsApp,2025-09-12
C499,"News, Finance",WhatsApp,2025-09-12
C500,"News, Streaming",App Notification,2025-09-12
C501,"Sports, Gaming",Email,2025-09-12
C502,"Gaming, Finance",Email,2025-09-12
C503,"News, Finance",WhatsApp,2025-09-12
C504,"Finance, Travel",SMS,2025-09-12
C505,"Travel, News",SMS,2025-09-12
C506,"Sports, Finance",SMS,2025-09-12
C507,"Finance, Streaming",WhatsApp,2025-09-12
C508,"Finance, News",Email,2025-09-12
C509,"Travel, Streaming",Email,2025-09-12
C510,"News, Streaming",WhatsApp,2025-09-12
C511,"Sports, News",Email,2025-09-12
C512,"Travel, Gaming",SMS,2025-09-12
C513,"Gaming, Finance",Email,2025-09-12
C514,"Sports, Travel",Email,2025-09-12
C515,"Streaming, Travel",Email,2025-09-12
C516,"Sports, News",SMS,2025-09-12
C517,"Finance, Streaming",WhatsApp,2025-09-12
C518,"News, Streaming",WhatsApp,2025-09-12
C519,"Streaming, Sports",Email,2025-09-12
C520,"Streaming, Gaming",SMS,2025-09-12
C521,"Gaming, Travel",Email,2025-09-12
C522,"News, Travel",Email,2025-09-12
C523,"Finance, Streaming",Email,2025-09-12
C524,"Sports, News",Email,2025-09-12
C525,"News, Sports",WhatsApp,2025-09-12
C526,"Streaming, News",Email,2025-09-12
C527,"Streaming, News",App Notification,2025-09-12
C528,"Sports, Finance",App Notification,2025-09-12
C529,"Finance, Gaming",Email,2025-09-12
C530,"Travel, Sports",WhatsApp,2025-09-12
C531,"Travel, Streaming",SMS,2025-09-12
C532,"Streaming, Travel",App Notification,2025-09-12
C533,"Travel, Streaming",Email,2025-09-12
C534,"Gaming, Streaming",SMS,2025-09-12
C535,"Finance, Streaming",SMS,2025-09-12
C536,"Travel, Sports",SMS,2025-09-12
C537,"Travel, Gaming",WhatsApp,2025-09-12
C538,"Streaming, Finance",SMS,2025-09-12
C539,"News, Streaming",WhatsApp,2025-09-12
C540,"Travel, News",SMS,2025-09-12
C541,"Travel, Streaming",App Notification,2025-09-12
C542,"Gaming, Travel",App Notification,2025-09-12
C543,"Sports, Streaming",App Notification,2025-09-12
C544,"Travel, Gaming",Email,2025-09-12
C545,"Sports, Gaming",Email,2025-09-12
C546,"Streaming, News",SMS,2025-09-12
C547,"Sports, Travel",App Notification,2025-09-12
C548,"Streaming, Gaming",Email,2025-09-12
C549,"Finance, Sports",App Notification,2025-09-12
C550,"News, Streaming",Email,2025-09-12
C551,"News, Sports",WhatsApp,2025-09-12
C552,"Streaming, Finance",Email,2025-09-12
C553,"News, Travel",SMS,2025-09-12
C554,"Sports, News",SMS,2025-09-12
C555,"News, Travel",SMS,2025-09-12
C556,"Sports, News",WhatsApp,2025-09-12
C557,"Travel, Gaming",App Notification,2025-09-12
C558,"Sports, Travel",SMS,2025-09-12
C559,"Sports, Gaming",SMS,2025-09-12
C560,"Finance, Streaming",WhatsApp,2025-09-12
C561,"Gaming, Sports",Email,2025-09-12
C562,"Gaming, Sports",SMS,2025-09-12
C563,"Streaming, Finance",WhatsApp,2025-09-12
C564,"Travel, News",SMS,2025-09-12
C565,"Travel, Streaming",WhatsApp,2025-09-12
C566,"Streaming, Sports",Email,2025-09-12
C567,"Travel, Streaming",WhatsApp,2025-09-12
C568,"Gaming, Finance",App Notification,2025-09-12
C569,"Travel, Streaming",SMS,2025-09-12
C570,"News, Travel",Email,2025-09-12
C571,"Streaming, Finance",SMS,2025-09-12
C572,"Gaming, Travel",WhatsApp,2025-09-12
C573,"Gaming, Sports",WhatsApp,2025-09-12
C574,"Gaming, Streaming",Email,2025-09-12
C575,"Finance, Gaming",WhatsApp,2025-09-12
C576,"Travel, Finance",SMS,2025-09-12
C577,"Finance, Sports",WhatsApp,2025-09-12
C578,"Streaming, Sports",Email,2025-09-12
C579,"Gaming, News",Email,2025-09-12
C580,"Streaming, Gaming",WhatsApp,2025-09-12
C581,"Streaming, News",WhatsApp,2025-09-12
C582,"Sports, Gaming",WhatsApp,2025-09-12
C583,"Gaming, News",WhatsApp,2025-09-12
C584,"News, Travel",SMS,2025-09-12
C585,"Gaming, Finance",SMS,2025-09-12
C586,"News, Streaming",App Notification,2025-09-12
C587,"Travel, Streaming",Email,2025-09-12
C588,"Sports, Travel",App Notification,2025-09-12
