event_id,customer_id,event_name,attended,date
EV106,C00425,Music Festival,1,2023-02-17
EV107,C00200,Music Festival,0,2023-09-30
EV108,C00323,Music Festival,0,2025-02-07
EV109,C00163,Workshop,1,2022-10-16
EV110,C00280,Music Festival,1,2025-02-08
EV111,C00309,Workshop,1,2021-01-12
EV112,C00413,Football Tournament,1,2020-03-24
EV113,C00246,Music Festival,0,2020-09-13
EV114,C00189,Music Festival,0,2021-08-11
EV115,C00206,Music Festival,1,2021-01-19
EV116,C00122,Football Tournament,1,2023-08-09
EV117,C00443,Hackathon,0,2020-05-17
EV118,C00425,Workshop,0,2024-08-19
EV119,C00387,Hackathon,0,2020-07-17
EV120,C00060,Workshop,0,2021-04-29
EV121,C00447,Workshop,1,2021-01-06
EV122,C00021,Workshop,0,2022-02-28
EV123,C00366,Workshop,1,2024-10-14
EV124,C00157,Music Festival,1,2020-02-27
EV125,C00183,Music Festival,0,2024-05-30
EV126,C00053,Music Festival,1,2021-04-19
EV127,C00278,Workshop,0,2023-12-01
EV128,C00135,Football Tournament,1,2021-09-04
EV129,C00140,Hackathon,0,2021-10-29
EV130,C00288,Hackathon,0,2020-07-29
EV131,C00097,Music Festival,1,2024-01-20
EV132,C00161,Music Festival,0,2025-06-08
EV133,C00360,Workshop,0,2024-08-11
EV134,C00381,Hackathon,1,2024-11-20
EV135,C00128,Football Tournament,1,2021-02-07
EV136,C00260,Workshop,1,2021-11-21
EV137,C00391,Football Tournament,0,2021-05-21
EV138,C00006,Football Tournament,0,2022-12-18
EV139,C00128,Hackathon,1,2020-03-26
EV140,C00161,Music Festival,0,2023-02-02
EV141,C00370,Football Tournament,1,2024-06-09
EV142,C00149,Music Festival,1,2022-07-11
EV143,C00373,Music Festival,1,2020-10-20
EV144,C00324,Workshop,0,2021-03-14
EV145,C00252,Music Festival,1,2024-03-21
EV146,C00091,Workshop,0,2023-08-30
EV147,C00381,Workshop,0,2020-04-21
EV148,C00338,Football Tournament,0,2020-07-25
EV149,C00226,Hackathon,0,2024-03-29
EV150,C00469,Hackathon,1,2022-04-03
EV151,C00401,Workshop,1,2023-12-08
EV152,C00349,Hackathon,1,2020-03-21
EV153,C00402,Workshop,0,2024-07-03
EV154,C00109,Music Festival,0,2021-09-15
EV155,C00297,Music Festival,1,2025-07-11
EV156,C00413,Workshop,1,2022-06-01
EV157,C00401,Music Festival,1,2022-02-27
EV158,C00089,Music Festival,1,2022-02-10
EV159,C00158,Workshop,1,2024-12-09
EV160,C00158,Workshop,0,2022-08-05
EV161,C00449,Workshop,0,2025-05-30
EV162,C00237,Workshop,1,2023-04-25
EV163,C00483,Music Festival,0,2022-01-24
EV164,C00426,Hackathon,0,2020-06-09
EV165,C00048,Football Tournament,1,2024-06-17
EV166,C00084,Football Tournament,1,2025-01-10
EV167,C00372,Football Tournament,1,2023-02-21
EV168,C00077,Hackathon,0,2023-09-16
EV169,C00126,Hackathon,1,2020-06-02
EV170,C00224,Hackathon,0,2023-03-05
EV171,C00043,Music Festival,0,2024-03-12
EV172,C00066,Music Festival,0,2023-12-13
EV173,C00058,Hackathon,1,2021-08-16
EV174,C00350,Music Festival,0,2022-08-16
EV175,C00412,Hackathon,0,2020-11-19
EV176,C00373,Football Tournament,1,2022-12-18
EV177,C00159,Workshop,1,2023-08-08
EV178,C00023,Music Festival,0,2024-06-15
EV179,C00112,Workshop,0,2023-08-26
EV180,C00094,Football Tournament,1,2021-05-20
EV181,C00370,Workshop,1,2023-07-28
EV182,C00354,Hackathon,0,2020-03-10
EV183,C00409,Football Tournament,0,2021-11-18
EV184,C00375,Music Festival,0,2024-06-11
EV185,C00306,Music Festival,0,2022-11-14
EV186,C00389,Workshop,1,2020-08-26
EV187,C00183,Music Festival,0,2024-12-09
EV188,C00039,Hackathon,0,2021-03-08
EV189,C00167,Hackathon,0,2021-03-30
EV190,C00208,Music Festival,1,2022-08-27
EV191,C00241,Hackathon,0,2022-05-11
EV192,C00396,Hackathon,0,2021-03-26
EV193,C00135,Music Festival,1,2024-12-16
EV194,C00068,Workshop,0,2025-02-24
EV195,C00412,Music Festival,1,2020-07-22
EV196,C00400,Workshop,1,2025-08-06
EV197,C00449,Workshop,1,2023-12-27
EV198,C00149,Football Tournament,0,2022-05-31
EV199,C00157,Football Tournament,0,2022-05-15
EV200,C00027,Music Festival,0,2022-10-30
EV201,C00304,Music Festival,0,2020-09-06
EV202,C00020,Music Festival,1,2020-10-10
EV203,C00254,Football Tournament,0,2021-12-08
EV204,C00419,Workshop,0,2021-05-30
EV205,C00293,Workshop,1,2022-06-14
EV206,C00378,Music Festival,1,2022-01-27
EV207,C00251,Hackathon,0,2021-12-30
EV208,C00315,Music Festival,0,2025-07-28
EV209,C00310,Football Tournament,0,2022-11-24
EV210,C00100,Workshop,1,2021-11-19
EV211,C00100,Hackathon,1,2021-02-16
EV212,C00018,Hackathon,1,2021-03-04
EV213,C00483,Hackathon,1,2020-04-01
EV214,C00216,Football Tournament,0,2023-04-20
EV215,C00198,Hackathon,0,2020-03-05
EV216,C00260,Workshop,1,2020-04-30
EV217,C00264,Football Tournament,1,2025-01-03
EV218,C00439,Football Tournament,0,2024-12-30
EV219,C00495,Workshop,0,2022-10-16
EV220,C00298,Workshop,0,2023-12-03
EV221,C00176,Workshop,1,2022-04-23
EV222,C00039,Hackathon,1,2022-09-18
EV223,C00328,Music Festival,1,2023-11-02
EV224,C00351,Football Tournament,0,2022-10-04
EV225,C00353,Hackathon,1,2021-06-22
EV226,C00169,Music Festival,0,2025-07-08
EV227,C00087,Workshop,0,2022-08-04
EV228,C00206,Workshop,1,2020-05-14
EV229,C00325,Hackathon,0,2021-08-27
EV230,C00286,Workshop,0,2023-11-02
EV231,C00231,Workshop,1,2025-08-18
EV232,C00035,Football Tournament,1,2025-09-20
EV233,C00341,Football Tournament,0,2023-06-15
EV234,C00335,Workshop,1,2024-06-18
EV235,C00473,Music Festival,1,2020-09-30
EV236,C00396,Music Festival,1,2021-08-25
EV237,C00338,Hackathon,0,2024-09-24
EV238,C00459,Football Tournament,0,2022-06-30
EV239,C00062,Workshop,0,2021-12-31
EV240,C00205,Football Tournament,0,2023-04-15
EV241,C00488,Football Tournament,1,2021-09-26
EV242,C00091,Music Festival,1,2024-09-13
EV243,C00327,Hackathon,0,2021-07-25
EV244,C00057,Workshop,0,2021-05-11
EV245,C00145,Football Tournament,0,2023-11-13
EV246,C00425,Hackathon,0,2022-12-21
EV247,C00400,Music Festival,0,2020-06-14
EV248,C00452,Football Tournament,1,2023-04-28
EV249,C00099,Hackathon,0,2021-03-04
EV250,C00215,Hackathon,0,2024-02-28
EV251,C00385,Music Festival,1,2020-05-13
EV252,C00125,Hackathon,0,2020-04-12
EV253,C00414,Workshop,1,2025-06-02
EV254,C00265,Workshop,1,2023-07-06
EV255,C00127,Football Tournament,1,2021-11-21
EV256,C00496,Music Festival,0,2020-03-27
EV257,C00450,Workshop,0,2025-03-24
EV258,C00441,Music Festival,0,2022-03-26
EV259,C00434,Football Tournament,1,2021-09-29
EV260,C00032,Workshop,1,2024-04-26
EV261,C00064,Hackathon,1,2021-10-14
EV262,C00130,Hackathon,1,2020-08-23
EV263,C00022,Music Festival,0,2022-10-31
EV264,C00484,Workshop,0,2021-08-19
EV265,C00434,Music Festival,1,2022-04-16
EV266,C00204,Workshop,0,2023-09-19
EV267,C00227,Hackathon,0,2020-02-29
EV268,C00399,Music Festival,1,2023-09-22
EV269,C00378,Music Festival,0,2024-12-11
EV270,C00407,Football Tournament,0,2021-06-11
EV271,C00131,Music Festival,0,2024-01-26
EV272,C00115,Hackathon,1,2024-09-03
EV273,C00091,Workshop,0,2024-03-15
EV274,C00140,Football Tournament,1,2024-02-24
EV275,C00315,Football Tournament,0,2021-03-15
EV276,C00334,Music Festival,0,2021-12-22
EV277,C00447,Football Tournament,0,2022-02-15
EV278,C00014,Music Festival,0,2021-10-27
EV279,C00178,Hackathon,0,2021-09-20
EV280,C00020,Workshop,0,2022-07-09
EV281,C00132,Workshop,0,2023-10-09
EV282,C00406,Music Festival,1,2023-04-24
EV283,C00485,Football Tournament,0,2020-10-14
EV284,C00246,Hackathon,0,2021-05-23
EV285,C00052,Hackathon,1,2020-05-17
EV286,C00035,Football Tournament,1,2023-10-04
EV287,C00182,Hackathon,1,2021-10-15
EV288,C00442,Workshop,1,2020-03-27
EV289,C00070,Music Festival,0,2021-01-18
EV290,C00244,Football Tournament,1,2022-12-04
EV291,C00150,Hackathon,0,2020-02-15
EV292,C00098,Hackathon,1,2022-01-16
EV293,C00155,Football Tournament,1,2024-05-09
EV294,C00375,Music Festival,1,2021-03-15
EV295,C00395,Hackathon,0,2025-09-07
EV296,C00078,Music Festival,0,2025-05-27
EV297,C00375,Hackathon,0,2020-05-09
EV298,C00381,Workshop,0,2025-06-30
EV299,C00078,Workshop,0,2023-04-03
EV300,C00264,Music Festival,1,2024-08-02
EV301,C00365,Music Festival,1,2021-10-17
EV302,C00258,Football Tournament,0,2021-05-25
EV303,C00435,Workshop,1,2022-12-20
EV304,C00186,Workshop,0,2024-12-18
EV305,C00061,Workshop,0,2021-05-05
EV306,C00426,Hackathon,1,2020-03-17
EV307,C00063,Music Festival,1,2020-10-17
EV308,C00293,Music Festival,0,2021-04-30
EV309,C00448,Football Tournament,1,2023-03-13
EV310,C00397,Music Festival,0,2025-09-28
EV311,C00483,Workshop,1,2023-11-03
EV312,C00222,Hackathon,0,2024-06-18
EV313,C00049,Workshop,0,2022-08-27
EV314,C00274,Football Tournament,0,2021-12-24
EV315,C00411,Workshop,0,2021-12-06
EV316,C00217,Football Tournament,1,2022-05-05
EV317,C00096,Hackathon,1,2021-05-22
EV318,C00375,Hackathon,0,2020-09-05
EV319,C00002,Workshop,1,2025-08-07
EV320,C00423,Hackathon,1,2025-06-11
EV321,C00118,Football Tournament,1,2024-09-16
EV322,C00280,Music Festival,1,2021-03-10
EV323,C00417,Music Festival,1,2022-12-12
EV324,C00040,Hackathon,1,2025-03-14
EV325,C00194,Hackathon,1,2021-05-21
EV326,C00418,Music Festival,1,2021-12-01
EV327,C00268,Football Tournament,0,2023-02-13
EV328,C00068,Football Tournament,1,2021-06-08
EV329,C00032,Workshop,0,2021-01-22
EV330,C00290,Workshop,0,2024-02-13
EV331,C00084,Football Tournament,1,2021-12-15
EV332,C00278,Hackathon,0,2024-11-07
EV333,C00147,Hackathon,0,2021-06-13
EV334,C00482,Workshop,0,2024-09-14
EV335,C00234,Hackathon,1,2024-05-21
EV336,C00268,Hackathon,0,2023-08-25
EV337,C00153,Hackathon,0,2022-06-11
EV338,C00146,Football Tournament,0,2021-07-02
EV339,C00093,Football Tournament,1,2023-09-01
EV340,C00381,Workshop,1,2024-01-15
EV341,C00292,Workshop,0,2021-02-06
EV342,C00116,Music Festival,1,2023-10-28
EV343,C00319,Workshop,0,2024-04-15
EV344,C00493,Football Tournament,0,2022-06-24
EV345,C00013,Football Tournament,0,2025-02-22
EV346,C00388,Hackathon,0,2020-08-30
EV347,C00446,Music Festival,1,2025-04-03
EV348,C00261,Workshop,0,2024-08-31
EV349,C00415,Hackathon,1,2024-01-17
EV350,C00179,Hackathon,1,2024-05-26
EV351,C00435,Music Festival,1,2023-04-07
EV352,C00266,Workshop,0,2024-11-17
EV353,C00386,Football Tournament,0,2025-04-07
EV354,C00236,Football Tournament,1,2025-02-28
EV355,C00235,Hackathon,1,2025-03-02
EV356,C00285,Music Festival,0,2024-10-16
EV357,C00054,Workshop,1,2024-03-27
EV358,C00305,Workshop,1,2024-07-17
EV359,C00089,Hackathon,0,2021-03-25
EV360,C00098,Workshop,0,2023-08-02
EV361,C00201,Football Tournament,1,2022-05-19
EV362,C00174,Music Festival,0,2024-01-25
EV363,C00151,Workshop,1,2022-07-04
EV364,C00466,Workshop,1,2021-08-29
EV365,C00293,Football Tournament,1,2020-02-06
EV366,C00120,Workshop,1,2025-05-31
EV367,C00242,Hackathon,1,2020-08-27
EV368,C00438,Football Tournament,1,2022-03-15
EV369,C00228,Workshop,1,2023-12-24
EV370,C00173,Football Tournament,0,2020-08-21
EV371,C00066,Football Tournament,0,2021-04-21
EV372,C00472,Hackathon,1,2024-05-07
EV373,C00063,Workshop,0,2025-03-24
EV374,C00210,Workshop,1,2024-12-20
EV375,C00378,Workshop,0,2020-10-22
EV376,C00103,Hackathon,0,2021-09-29
EV377,C00421,Music Festival,1,2025-08-12
EV378,C00037,Football Tournament,0,2023-12-17
EV379,C00141,Music Festival,0,2022-08-07
EV380,C00304,Workshop,0,2025-01-04
EV381,C00057,Hackathon,1,2023-05-24
EV382,C00252,Workshop,0,2020-01-05
EV383,C00180,Football Tournament,0,2024-07-26
EV384,C00285,Football Tournament,1,2023-06-07
EV385,C00064,Football Tournament,1,2024-11-26
EV386,C00052,Football Tournament,1,2020-09-06
EV387,C00141,Hackathon,1,2023-11-06
EV388,C00116,Workshop,0,2021-02-14
EV389,C00299,Workshop,1,2024-01-15
EV390,C00314,Hackathon,0,2022-07-21
EV391,C00470,Football Tournament,1,2025-06-23
EV392,C00473,Hackathon,1,2021-12-04
EV393,C00185,Workshop,1,2024-09-08
EV394,C00484,Hackathon,1,2025-09-14
EV395,C00177,Football Tournament,0,2025-06-29
EV396,C00191,Workshop,0,2020-04-22
EV397,C00119,Workshop,1,2023-12-14
EV398,C00301,Workshop,1,2022-08-22
EV399,C00287,Hackathon,1,2023-10-06
EV400,C00269,Hackathon,0,2023-08-15
EV401,C00112,Music Festival,1,2021-04-17
EV402,C00218,Workshop,0,2020-07-19
EV403,C00283,Football Tournament,1,2024-03-01
EV404,C00317,Music Festival,1,2021-07-15
EV405,C00030,Workshop,0,2020-03-11
EV406,C00195,Hackathon,0,2021-12-06
EV407,C00321,Hackathon,1,2021-08-19
EV408,C00426,Football Tournament,1,2023-11-10
EV409,C00418,Football Tournament,0,2025-02-18
EV410,C00163,Music Festival,1,2020-05-22
EV411,C00381,Workshop,1,2021-12-27
EV412,C00185,Music Festival,1,2020-05-20
EV413,C00273,Music Festival,0,2022-11-19
EV414,C00028,Hackathon,1,2021-01-03
EV415,C00426,Hackathon,1,2023-09-23
EV416,C00049,Hackathon,1,2023-10-26
EV417,C00020,Hackathon,1,2025-03-13
EV418,C00274,Football Tournament,1,2022-07-09
EV419,C00148,Workshop,0,2024-08-04
EV420,C00267,Music Festival,0,2023-12-07
EV421,C00303,Hackathon,0,2025-03-25
EV422,C00367,Football Tournament,1,2024-07-08
EV423,C00387,Hackathon,1,2024-02-29
EV424,C00114,Football Tournament,1,2022-07-24
EV425,C00481,Football Tournament,1,2025-02-24
EV426,C00383,Hackathon,0,2024-09-20
EV427,C00381,Music Festival,0,2021-10-08
EV428,C00314,Hackathon,1,2021-03-15
EV429,C00234,Football Tournament,1,2020-08-30
EV430,C00037,Football Tournament,1,2024-06-16
EV431,C00382,Football Tournament,1,2024-09-21
EV432,C00353,Music Festival,1,2023-09-19
EV433,C00214,Hackathon,0,2021-07-01
EV434,C00320,Football Tournament,1,2020-01-18
EV435,C00395,Workshop,0,2021-04-24
EV436,C00134,Football Tournament,0,2023-08-11
EV437,C00418,Hackathon,1,2021-06-13
EV438,C00324,Music Festival,1,2020-09-23
EV439,C00236,Hackathon,0,2022-09-16
EV440,C00233,Football Tournament,0,2025-01-21
EV441,C00125,Workshop,0,2025-04-30
EV442,C00053,Workshop,1,2022-09-02
EV443,C00288,Music Festival,0,2021-07-09
EV444,C00310,Hackathon,1,2021-07-15
EV445,C00015,Music Festival,0,2023-09-18
EV446,C00083,Workshop,0,2023-02-27
EV447,C00455,Football Tournament,0,2022-02-16
EV448,C00380,Hackathon,1,2020-09-15
EV449,C00060,Music Festival,1,2022-10-12
EV450,C00162,Football Tournament,1,2024-05-22
EV451,C00121,Workshop,0,2020-07-26
EV452,C00128,Hackathon,0,2023-05-06
EV453,C00411,Hackathon,1,2022-03-01
EV454,C00376,Music Festival,1,2022-08-15
EV455,C00351,Hackathon,1,2025-04-30
EV456,C00236,Football Tournament,0,2020-02-05
EV457,C00374,Workshop,1,2024-05-05
EV458,C00019,Football Tournament,0,2021-12-01
EV459,C00307,Music Festival,1,2023-01-21
EV460,C00117,Football Tournament,1,2024-09-11
EV461,C00220,Workshop,0,2022-01-24
EV462,C00149,Hackathon,1,2021-10-25
EV463,C00135,Music Festival,1,2021-05-14
EV464,C00232,Football Tournament,1,2021-10-27
EV465,C00148,Football Tournament,0,2025-02-11
EV466,C00419,Hackathon,1,2023-08-06
EV467,C00116,Music Festival,0,2022-02-09
EV468,C00488,Football Tournament,1,2022-09-08
EV469,C00263,Hackathon,1,2023-02-05
EV470,C00283,Hackathon,1,2025-09-05
EV471,C00231,Music Festival,1,2021-09-17
EV472,C00200,Hackathon,1,2021-06-06
EV473,C00467,Workshop,1,2022-10-16
EV474,C00426,Football Tournament,0,2021-10-25
EV475,C00139,Music Festival,1,2025-02-03
EV476,C00031,Football Tournament,0,2022-02-16
EV477,C00059,Music Festival,0,2022-02-05
EV478,C00057,Football Tournament,1,2023-04-12
EV479,C00232,Workshop,1,2023-06-13
EV480,C00328,Workshop,1,2025-06-25
EV481,C00459,Football Tournament,1,2023-02-04
EV482,C00495,Football Tournament,1,2023-08-27
EV483,C00287,Music Festival,0,2025-02-21
EV484,C00351,Workshop,1,2023-05-18
EV485,C00401,Music Festival,1,2020-06-19
EV486,C00330,Hackathon,0,2024-01-15
EV487,C00095,Music Festival,0,2021-11-10
EV488,C00290,Workshop,1,2025-05-06
EV489,C00152,Music Festival,0,2025-06-29
EV490,C00231,Football Tournament,0,2024-10-24
EV491,C00041,Workshop,1,2023-06-26
EV492,C00491,Football Tournament,1,2023-01-04
EV493,C00243,Football Tournament,0,2023-03-22
EV494,C00457,Music Festival,0,2021-05-15
EV495,C00056,Hackathon,0,2024-01-24
EV496,C00161,Music Festival,1,2022-12-08
EV497,C00048,Music Festival,0,2024-05-01
EV498,C00271,Hackathon,1,2025-09-19
EV499,C00110,Workshop,0,2021-05-12
EV500,C00189,Football Tournament,1,2023-04-07
EV501,C00104,Hackathon,1,2025-08-02
EV502,C00048,Football Tournament,1,2023-09-15
EV503,C00106,Hackathon,1,2023-08-21
EV504,C00120,Football Tournament,0,2022-07-04
EV505,C00043,Hackathon,1,2022-08-17
EV506,C00072,Hackathon,0,2020-03-01
EV507,C00060,Football Tournament,0,2021-11-23
EV508,C00462,Hackathon,1,2020-03-08
EV509,C00384,Football Tournament,1,2024-06-11
EV510,C00189,Football Tournament,1,2024-11-04
EV511,C00128,Workshop,1,2020-07-22
EV512,C00198,Football Tournament,1,2025-06-23
EV513,C00126,Football Tournament,1,2024-01-27
EV514,C00133,Hackathon,0,2022-10-01
EV515,C00119,Music Festival,0,2023-06-22
EV516,C00351,Music Festival,1,2023-12-02
EV517,C00382,Hackathon,0,2022-09-17
EV518,C00276,Music Festival,0,2021-11-02
EV519,C00442,Music Festival,0,2024-06-24
EV520,C00190,Workshop,1,2020-07-05
EV521,C00308,Workshop,1,2024-02-09
EV522,C00074,Workshop,0,2024-11-28
EV523,C00320,Hackathon,0,2024-01-31
EV524,C00105,Football Tournament,1,2024-12-31
EV525,C00272,Music Festival,0,2024-11-26
EV526,C00397,Music Festival,1,2023-01-22
EV527,C00317,Workshop,0,2023-11-15
EV528,C00483,Football Tournament,0,2022-02-17
EV529,C00318,Workshop,0,2023-04-11
EV530,C00229,Hackathon,1,2020-11-29
EV531,C00122,Football Tournament,0,2020-03-31
EV532,C00240,Hackathon,0,2023-12-25
EV533,C00071,Workshop,1,2021-01-16
EV534,C00341,Hackathon,1,2024-08-06
EV535,C00451,Music Festival,0,2020-09-06
EV536,C00221,Hackathon,0,2020-11-07
EV537,C00017,Workshop,1,2024-12-24
EV538,C00310,Hackathon,0,2021-04-04
EV539,C00067,Workshop,1,2022-05-07
EV540,C00419,Music Festival,1,2024-01-10
EV541,C00304,Workshop,1,2025-06-04
EV542,C00257,Music Festival,1,2024-09-06
EV543,C00454,Hackathon,0,2025-08-06
EV544,C00237,Workshop,0,2025-09-03
EV545,C00101,Music Festival,1,2023-03-21
EV546,C00351,Workshop,1,2024-09-05
EV547,C00129,Music Festival,1,2022-03-24
EV548,C00211,Workshop,1,2023-09-16
EV549,C00002,Workshop,0,2025-02-08
EV550,C00213,Hackathon,0,2020-06-19
EV551,C00016,Music Festival,1,2025-08-27
EV552,C00407,Workshop,1,2021-01-30
EV553,C00165,Music Festival,1,2025-07-03
EV554,C00264,Workshop,0,2022-12-11
EV555,C00474,Hackathon,1,2024-12-12
EV556,C00011,Workshop,1,2025-09-27
EV557,C00447,Workshop,1,2025-05-10
EV558,C00323,Music Festival,0,2022-10-24
EV559,C00482,Music Festival,0,2021-12-14
EV560,C00080,Workshop,1,2024-04-24
EV561,C00028,Hackathon,0,2022-08-31
EV562,C00325,Workshop,0,2021-11-24
EV563,C00011,Workshop,1,2021-08-08
EV564,C00215,Hackathon,1,2025-09-24
EV565,C00193,Music Festival,1,2021-04-18
EV566,C00236,Hackathon,1,2025-09-17
EV567,C00258,Music Festival,1,2022-06-02
EV568,C00025,Hackathon,1,2021-06-29
EV569,C00379,Football Tournament,0,2023-12-17
EV570,C00198,Workshop,1,2022-10-24
EV571,C00292,Hackathon,0,2025-04-30
EV572,C00168,Hackathon,0,2024-01-12
EV573,C00066,Workshop,0,2021-06-23
EV574,C00424,Workshop,0,2022-02-28
EV575,C00149,Football Tournament,1,2024-10-26
EV576,C00228,Hackathon,0,2021-02-26
EV577,C00407,Workshop,0,2020-09-15
EV578,C00018,Football Tournament,0,2022-01-03
EV579,C00418,Workshop,0,2022-09-26
EV580,C00186,Hackathon,1,2023-03-27
EV581,C00231,Music Festival,0,2023-01-27
EV582,C00103,Football Tournament,0,2021-03-16
EV583,C00494,Football Tournament,0,2025-02-19
EV584,C00045,Music Festival,0,2024-12-17
EV585,C00183,Hackathon,1,2023-11-06
EV586,C00052,Workshop,1,2022-11-04
EV587,C00388,Music Festival,1,2024-10-31
EV588,C00278,Workshop,0,2021-06-12
EV589,C00114,Workshop,0,2020-01-26
EV590,C00319,Music Festival,0,2020-11-17
EV591,C00419,Football Tournament,1,2024-02-17
EV592,C00150,Music Festival,0,2021-11-29
EV593,C00363,Music Festival,0,2022-01-24
EV594,C00135,Workshop,0,2024-11-07
EV595,C00478,Music Festival,1,2021-09-12
EV596,C00478,Football Tournament,0,2022-12-15
EV597,C00026,Workshop,1,2021-07-14
EV598,C00310,Workshop,1,2022-10-21
EV599,C00418,Football Tournament,1,2021-01-14
EV600,C00077,Workshop,1,2025-06-28
EV601,C00275,Football Tournament,0,2022-09-17
EV602,C00262,Music Festival,0,2023-03-02
EV603,C00440,Football Tournament,1,2024-04-26
EV604,C00162,Workshop,0,2022-08-07
EV605,C00449,Music Festival,0,2021-02-15
EV606,C00229,Music Festival,0,2024-06-18
EV607,C00186,Hackathon,1,2024-07-19
EV608,C00103,Hackathon,0,2022-10-30
