interaction_id,customer_id,content_id,type,date
IN00114,C00074,M116,Like,2023-04-15
IN00115,C00109,M132,View,2021-01-12
IN00116,C00110,M198,View,2025-04-06
IN00117,C00130,M144,Like,2024-09-29
IN00118,C00090,M164,Share,2023-07-13
IN00119,C00053,M029,Like,2021-09-06
IN00120,C00029,M005,Click,2022-06-20
IN00121,C00442,M082,Share,2020-05-05
IN00122,C00366,M060,View,2022-12-12
IN00123,C00297,M131,Like,2025-06-03
IN00124,C00249,M073,Click,2024-05-10
IN00125,C00249,M174,View,2022-08-28
IN00126,C00410,M147,Click,2022-05-17
IN00127,C00140,M082,View,2024-07-30
IN00128,C00093,M198,View,2021-12-06
IN00129,C00446,M124,Like,2020-12-11
IN00130,C00407,M195,Share,2024-05-14
IN00131,C00069,M088,Like,2021-04-07
IN00132,C00259,M080,View,2021-02-20
IN00133,C00436,M132,View,2021-02-16
IN00134,C00216,M147,Share,2020-03-09
IN00135,C00446,M037,Click,2025-01-10
IN00136,C00471,M071,View,2020-04-24
IN00137,C00315,M136,Like,2021-12-25
IN00138,C00264,M099,View,2022-02-14
IN00139,C00085,M126,View,2022-04-20
IN00140,C00202,M064,Click,2023-04-04
IN00141,C00043,M032,View,2021-03-15
IN00142,C00133,M013,Click,2025-05-09
IN00143,C00121,M050,Click,2025-09-19
IN00144,C00051,M056,Share,2023-12-29
IN00145,C00471,M086,View,2023-01-09
IN00146,C00391,M046,Click,2021-04-21
IN00147,C00091,M169,Click,2024-10-27
IN00148,C00454,M176,View,2025-06-06
IN00149,C00088,M195,View,2023-06-11
IN00150,C00485,M116,Share,2023-07-07
IN00151,C00037,M135,View,2023-07-20
IN00152,C00101,M009,View,2022-06-30
IN00153,C00240,M181,View,2021-02-01
IN00154,C00363,M082,Like,2022-10-11
IN00155,C00169,M114,Like,2022-10-07
IN00156,C00282,M104,Click,2023-11-18
IN00157,C00263,M079,Share,2023-03-20
IN00158,C00349,M185,View,2024-10-24
IN00159,C00263,M075,Click,2023-04-22
IN00160,C00418,M043,Share,2021-05-28
IN00161,C00390,M144,Like,2020-01-31
IN00162,C00036,M089,Share,2020-02-08
IN00163,C00398,M123,Share,2021-04-17
IN00164,C00419,M190,View,2024-07-04
IN00165,C00249,M144,Click,2023-02-16
IN00166,C00393,M090,Like,2022-09-17
IN00167,C00351,M037,Click,2020-04-20
IN00168,C00046,M005,View,2024-08-22
IN00169,C00341,M132,Share,2024-10-12
IN00170,C00060,M170,View,2021-02-27
IN00171,C00014,M189,Share,2025-02-05
IN00172,C00198,M185,Like,2023-05-03
IN00173,C00364,M144,Like,2020-07-26
IN00174,C00406,M172,View,2025-02-18
IN00175,C00093,M121,Like,2024-03-29
IN00176,C00444,M157,Click,2022-08-16
IN00177,C00344,M101,View,2023-07-20
IN00178,C00271,M031,Share,2023-06-29
IN00179,C00342,M046,Click,2022-06-29
IN00180,C00019,M019,Like,2025-07-21
IN00181,C00327,M020,Click,2020-03-26
IN00182,C00493,M128,View,2021-08-20
IN00183,C00241,M100,Like,2022-06-19
IN00184,C00216,M154,Like,2022-08-08
IN00185,C00267,M093,Like,2023-08-08
IN00186,C00024,M102,Share,2024-12-30
IN00187,C00452,M056,Share,2022-08-07
IN00188,C00202,M160,View,2022-06-18
IN00189,C00432,M190,Click,2020-10-26
IN00190,C00250,M056,Like,2023-11-13
IN00191,C00476,M104,View,2020-02-14
IN00192,C00180,M195,View,2022-03-02
IN00193,C00223,M171,Like,2021-12-16
IN00194,C00223,M048,Like,2023-05-19
IN00195,C00275,M105,Like,2023-10-07
IN00196,C00331,M079,Like,2020-08-14
IN00197,C00331,M197,Click,2021-02-07
IN00198,C00256,M046,Click,2023-02-08
IN00199,C00121,M164,View,2023-05-27
IN00200,C00083,M004,Like,2022-04-18
IN00201,C00184,M084,View,2022-05-25
IN00202,C00156,M129,View,2023-06-27
IN00203,C00170,M108,Like,2020-01-13
IN00204,C00292,M070,Share,2022-05-24
IN00205,C00430,M154,Share,2023-08-11
IN00206,C00186,M067,Like,2023-09-01
IN00207,C00165,M019,Share,2022-12-09
IN00208,C00191,M161,Like,2023-03-17
IN00209,C00136,M061,Like,2020-09-29
IN00210,C00229,M007,View,2022-06-26
IN00211,C00326,M193,Share,2021-10-24
IN00212,C00129,M152,Click,2024-10-31
IN00213,C00216,M037,Share,2023-11-01
IN00214,C00351,M051,Click,2022-07-29
IN00215,C00048,M078,View,2020-08-12
IN00216,C00450,M003,Like,2025-06-28
IN00217,C00447,M132,Like,2020-04-22
IN00218,C00383,M078,Click,2021-10-14
IN00219,C00036,M002,Like,2020-03-13
IN00220,C00412,M014,Share,2025-08-07
IN00221,C00322,M042,Share,2024-04-15
IN00222,C00301,M085,Share,2021-11-21
IN00223,C00088,M055,Like,2023-09-12
IN00224,C00191,M049,View,2025-06-30
IN00225,C00052,M170,Share,2024-05-17
IN00226,C00468,M079,Share,2024-11-16
IN00227,C00331,M088,View,2021-03-13
IN00228,C00204,M158,Click,2023-04-24
IN00229,C00368,M128,Like,2021-09-19
IN00230,C00024,M090,Click,2025-04-12
IN00231,C00194,M199,View,2021-08-14
IN00232,C00079,M195,Click,2025-08-21
IN00233,C00438,M085,Click,2025-01-04
IN00234,C00437,M065,Click,2020-12-01
IN00235,C00321,M096,Click,2024-12-27
IN00236,C00261,M054,Like,2024-02-28
IN00237,C00307,M047,Share,2020-08-26
IN00238,C00273,M039,Click,2024-06-17
IN00239,C00306,M163,View,2024-08-03
IN00240,C00248,M149,Share,2024-09-16
IN00241,C00248,M013,Like,2022-02-20
IN00242,C00044,M118,Share,2025-06-11
IN00243,C00016,M178,Like,2022-02-01
IN00244,C00140,M069,Like,2020-05-23
IN00245,C00081,M047,Click,2023-01-10
IN00246,C00306,M054,View,2023-09-03
IN00247,C00079,M179,View,2024-11-03
IN00248,C00048,M165,Click,2023-07-09
IN00249,C00460,M191,Click,2024-07-13
IN00250,C00461,M054,Share,2022-12-22
IN00251,C00024,M137,View,2020-03-02
IN00252,C00337,M199,Share,2024-02-06
IN00253,C00337,M062,View,2020-07-21
IN00254,C00448,M071,View,2024-05-01
IN00255,C00266,M043,View,2020-07-20
IN00256,C00386,M181,Share,2021-02-13
IN00257,C00489,M146,View,2021-03-06
IN00258,C00307,M112,Click,2024-02-17
IN00259,C00374,M133,Like,2020-12-04
IN00260,C00174,M015,Share,2023-01-15
IN00261,C00074,M073,Like,2024-12-22
IN00262,C00139,M042,View,2022-10-27
IN00263,C00074,M162,Click,2020-08-21
IN00264,C00080,M116,View,2022-11-05
IN00265,C00046,M127,Share,2023-02-28
IN00266,C00447,M168,Like,2020-12-30
IN00267,C00483,M151,Click,2020-04-30
IN00268,C00063,M104,View,2022-12-16
IN00269,C00318,M195,Like,2021-11-28
IN00270,C00040,M069,View,2024-05-14
IN00271,C00441,M123,Share,2024-04-06
IN00272,C00263,M064,View,2022-01-06
IN00273,C00487,M052,Click,2020-12-16
IN00274,C00419,M098,Click,2020-04-29
IN00275,C00170,M145,Like,2021-09-22
IN00276,C00222,M019,View,2024-01-03
IN00277,C00058,M091,Click,2024-09-06
IN00278,C00430,M129,Share,2025-05-27
IN00279,C00258,M107,View,2024-09-13
IN00280,C00233,M054,Like,2023-08-21
IN00281,C00433,M014,View,2020-11-07
IN00282,C00208,M094,Like,2020-12-10
IN00283,C00435,M064,View,2020-11-26
IN00284,C00309,M142,Like,2021-08-21
IN00285,C00298,M171,Like,2021-07-09
IN00286,C00161,M047,View,2020-02-07
IN00287,C00402,M197,Share,2022-05-03
IN00288,C00396,M006,Share,2023-11-22
IN00289,C00052,M153,Like,2022-01-17
IN00290,C00056,M152,Share,2024-12-02
IN00291,C00311,M161,Click,2025-05-22
IN00292,C00001,M116,View,2023-10-24
IN00293,C00197,M050,View,2020-10-08
IN00294,C00236,M071,Share,2020-06-24
IN00295,C00224,M052,Like,2024-07-13
IN00296,C00149,M198,Share,2023-03-17
IN00297,C00309,M199,Share,2024-04-20
IN00298,C00270,M160,View,2024-07-27
IN00299,C00059,M179,Click,2022-12-04
IN00300,C00404,M045,Like,2025-09-07
IN00301,C00373,M106,Share,2022-10-30
IN00302,C00470,M026,Like,2022-07-02
IN00303,C00071,M075,Click,2021-12-12
IN00304,C00233,M045,View,2020-11-25
IN00305,C00257,M117,Share,2022-02-03
IN00306,C00481,M091,Click,2020-10-29
IN00307,C00149,M146,View,2020-06-07
IN00308,C00327,M011,View,2020-02-05
IN00309,C00260,M158,Like,2024-05-11
IN00310,C00210,M080,View,2022-07-02
IN00311,C00375,M132,Click,2020-08-19
IN00312,C00334,M168,Share,2025-05-15
IN00313,C00279,M050,View,2021-12-29
IN00314,C00385,M003,Like,2022-02-08
IN00315,C00269,M059,Click,2025-07-20
IN00316,C00095,M013,Share,2020-11-28
IN00317,C00292,M164,Share,2021-06-28
IN00318,C00110,M064,Like,2023-12-01
IN00319,C00085,M066,Share,2025-03-05
IN00320,C00121,M109,Share,2023-09-07
IN00321,C00354,M045,View,2021-10-31
IN00322,C00297,M099,Click,2024-10-06
IN00323,C00224,M102,View,2025-03-25
IN00324,C00069,M199,Share,2023-07-03
IN00325,C00175,M066,Share,2023-07-04
IN00326,C00105,M082,View,2023-06-01
IN00327,C00402,M097,View,2020-06-21
IN00328,C00054,M025,Share,2021-02-10
IN00329,C00310,M094,Like,2020-02-19
IN00330,C00424,M124,View,2023-05-21
IN00331,C00138,M140,View,2024-04-29
IN00332,C00171,M005,Share,2022-04-27
IN00333,C00231,M097,View,2023-03-07
IN00334,C00201,M156,Share,2021-01-24
IN00335,C00291,M159,View,2021-07-18
IN00336,C00093,M178,Like,2020-02-26
IN00337,C00409,M119,View,2021-04-06
IN00338,C00067,M112,Share,2022-05-25
IN00339,C00384,M106,View,2024-07-08
IN00340,C00473,M054,Share,2023-11-08
IN00341,C00265,M168,Like,2020-10-05
IN00342,C00046,M046,Share,2025-03-21
IN00343,C00001,M042,Like,2024-12-31
IN00344,C00460,M147,Click,2025-06-04
IN00345,C00480,M117,Like,2023-10-11
IN00346,C00374,M187,Share,2022-04-01
IN00347,C00469,M013,Like,2022-04-27
IN00348,C00422,M107,View,2025-09-06
IN00349,C00228,M073,Like,2025-09-29
IN00350,C00058,M190,Like,2023-07-23
IN00351,C00376,M154,Share,2020-05-12
IN00352,C00122,M169,Like,2023-08-18
IN00353,C00137,M122,Like,2024-08-07
IN00354,C00496,M039,View,2025-02-10
IN00355,C00283,M069,Share,2020-10-26
IN00356,C00419,M183,View,2021-03-29
IN00357,C00153,M084,View,2022-04-17
IN00358,C00297,M032,Click,2023-11-07
IN00359,C00205,M141,Like,2023-03-14
IN00360,C00498,M187,Click,2021-03-02
IN00361,C00039,M146,Share,2020-10-03
IN00362,C00446,M025,View,2024-04-10
IN00363,C00236,M035,Like,2020-06-23
IN00364,C00140,M012,View,2024-12-03
IN00365,C00185,M132,Share,2023-02-22
IN00366,C00129,M097,View,2023-01-30
IN00367,C00270,M067,Share,2020-08-18
IN00368,C00040,M021,View,2025-05-29
IN00369,C00453,M191,Share,2025-02-22
IN00370,C00181,M116,Click,2021-04-10
IN00371,C00136,M075,Like,2020-07-06
IN00372,C00291,M013,Click,2023-12-29
IN00373,C00176,M084,Click,2023-03-21
IN00374,C00056,M084,View,2022-07-15
IN00375,C00272,M170,Like,2024-12-20
IN00376,C00388,M007,Share,2021-04-28
IN00377,C00432,M133,Like,2024-03-18
IN00378,C00344,M108,Share,2020-06-21
IN00379,C00209,M134,Like,2021-08-27
IN00380,C00102,M035,Share,2025-09-12
IN00381,C00068,M055,Click,2024-02-17
IN00382,C00374,M111,Share,2023-12-03
IN00383,C00281,M186,Share,2024-09-11
IN00384,C00230,M095,Click,2025-02-19
IN00385,C00474,M044,View,2021-08-03
IN00386,C00279,M026,Like,2021-09-19
IN00387,C00495,M150,Share,2024-03-31
IN00388,C00191,M053,Like,2021-08-01
IN00389,C00344,M015,View,2022-01-14
IN00390,C00393,M086,View,2024-03-03
IN00391,C00424,M040,Share,2021-07-12
IN00392,C00357,M156,Like,2020-11-10
IN00393,C00214,M021,View,2024-01-05
IN00394,C00320,M154,Share,2025-04-24
IN00395,C00080,M077,View,2022-03-31
IN00396,C00152,M200,View,2021-12-12
IN00397,C00251,M101,Like,2023-08-11
IN00398,C00180,M034,Share,2020-11-12
IN00399,C00251,M125,Share,2024-03-20
IN00400,C00236,M093,Like,2021-09-21
IN00401,C00049,M096,Like,2024-10-02
IN00402,C00142,M016,Share,2024-01-29
IN00403,C00191,M021,Share,2024-11-24
IN00404,C00376,M125,Click,2020-07-08
IN00405,C00319,M146,Like,2023-06-13
IN00406,C00018,M081,Like,2021-12-06
IN00407,C00076,M170,View,2023-12-04
IN00408,C00382,M026,Share,2020-03-31
IN00409,C00480,M165,Click,2022-01-04
IN00410,C00194,M084,Like,2025-05-24
IN00411,C00344,M008,Share,2020-09-06
IN00412,C00145,M125,Like,2025-02-14
IN00413,C00453,M039,Share,2023-11-04
IN00414,C00181,M072,View,2025-04-29
IN00415,C00387,M022,View,2021-03-17
IN00416,C00490,M200,Share,2024-05-02
IN00417,C00338,M096,Share,2020-08-05
IN00418,C00251,M145,View,2020-10-03
IN00419,C00182,M189,Click,2023-06-19
IN00420,C00201,M064,View,2022-01-18
IN00421,C00182,M181,Share,2021-08-29
IN00422,C00355,M166,Share,2025-01-24
IN00423,C00158,M098,Like,2020-11-27
IN00424,C00177,M046,Click,2025-06-10
IN00425,C00058,M056,Click,2024-06-05
IN00426,C00353,M091,Share,2025-08-25
IN00427,C00066,M009,View,2023-05-16
IN00428,C00184,M078,Like,2020-03-23
IN00429,C00242,M120,Share,2021-10-25
IN00430,C00474,M170,Share,2022-03-13
IN00431,C00499,M061,Share,2024-05-12
IN00432,C00073,M024,Like,2025-02-07
IN00433,C00230,M067,Like,2020-10-06
IN00434,C00154,M165,Share,2024-06-08
IN00435,C00136,M084,View,2022-02-01
IN00436,C00245,M141,View,2024-02-13
IN00437,C00412,M078,Click,2022-10-26
IN00438,C00073,M064,Share,2020-12-10
IN00439,C00368,M129,Like,2022-01-08
IN00440,C00383,M143,Like,2021-06-26
IN00441,C00423,M166,Click,2024-11-25
IN00442,C00145,M062,View,2020-08-12
IN00443,C00399,M146,Like,2022-12-27
IN00444,C00138,M126,Like,2021-06-27
IN00445,C00456,M178,Share,2023-06-24
IN00446,C00212,M024,Click,2020-02-25
IN00447,C00177,M019,View,2021-08-07
IN00448,C00378,M098,View,2022-03-26
IN00449,C00398,M069,View,2022-08-16
IN00450,C00052,M080,Click,2021-08-17
IN00451,C00345,M113,View,2020-11-30
IN00452,C00463,M025,Like,2023-09-22
IN00453,C00273,M050,Like,2023-04-30
IN00454,C00478,M025,Click,2020-12-07
IN00455,C00317,M002,View,2022-03-20
IN00456,C00406,M162,Like,2020-07-02
IN00457,C00361,M078,Share,2024-04-19
IN00458,C00369,M056,View,2021-06-22
IN00459,C00171,M016,Like,2021-01-23
IN00460,C00302,M077,Share,2025-08-05
IN00461,C00290,M151,Click,2022-10-11
IN00462,C00192,M007,View,2021-06-20
IN00463,C00405,M176,Share,2022-03-21
IN00464,C00213,M184,Like,2020-04-14
IN00465,C00062,M032,View,2022-07-07
IN00466,C00445,M179,Share,2024-01-27
IN00467,C00388,M002,Share,2020-06-28
IN00468,C00362,M100,Share,2022-03-29
IN00469,C00146,M082,View,2022-01-25
IN00470,C00220,M162,Share,2022-11-07
IN00471,C00059,M142,Share,2022-09-27
IN00472,C00330,M039,View,2021-10-06
IN00473,C00448,M050,Click,2024-08-04
IN00474,C00154,M101,Like,2024-03-29
IN00475,C00370,M069,Share,2020-04-11
IN00476,C00185,M145,Share,2022-11-06
IN00477,C00272,M118,Like,2024-08-31
IN00478,C00279,M024,View,2024-08-01
IN00479,C00070,M048,Share,2025-09-17
IN00480,C00382,M091,Share,2020-04-08
IN00481,C00072,M167,Share,2025-02-02
IN00482,C00227,M084,Click,2024-12-02
IN00483,C00480,M142,Click,2022-03-10
IN00484,C00158,M183,Click,2020-11-11
IN00485,C00231,M162,Like,2020-07-15
IN00486,C00266,M073,Share,2022-08-20
IN00487,C00487,M029,Share,2023-03-01
IN00488,C00424,M117,Click,2020-06-08
IN00489,C00160,M043,Share,2022-04-22
IN00490,C00085,M086,Click,2024-05-05
IN00491,C00089,M162,Click,2020-12-05
IN00492,C00319,M017,Share,2022-06-23
IN00493,C00025,M184,Click,2021-06-08
IN00494,C00482,M157,Share,2023-02-04
IN00495,C00243,M104,Share,2025-07-21
IN00496,C00313,M156,View,2025-04-22
IN00497,C00215,M195,Click,2023-08-14
IN00498,C00085,M046,Share,2020-01-06
IN00499,C00443,M141,View,2023-05-13
IN00500,C00364,M018,Share,2022-12-16
IN00501,C00387,M194,Click,2023-08-30
IN00502,C00167,M053,Share,2022-03-08
IN00503,C00256,M193,Click,2023-02-26
IN00504,C00399,M004,Share,2022-11-08
IN00505,C00409,M171,Click,2022-10-22
IN00506,C00018,M068,Like,2024-12-12
IN00507,C00202,M057,Like,2023-02-23
IN00508,C00107,M180,Share,2025-01-14
IN00509,C00076,M067,Click,2020-05-16
IN00510,C00481,M157,Click,2020-09-10
IN00511,C00325,M143,View,2020-12-31
IN00512,C00479,M014,View,2020-04-18
IN00513,C00140,M150,Like,2024-06-01
IN00514,C00124,M187,View,2021-09-11
IN00515,C00450,M172,Like,2021-04-06
IN00516,C00123,M006,Like,2024-03-11
IN00517,C00302,M045,Click,2022-09-24
IN00518,C00488,M011,Like,2020-07-31
IN00519,C00191,M130,Share,2021-09-09
IN00520,C00444,M008,Click,2022-10-13
IN00521,C00384,M149,Click,2021-04-09
IN00522,C00013,M124,Share,2021-11-08
IN00523,C00183,M129,View,2025-05-27
IN00524,C00319,M167,View,2020-03-10
IN00525,C00480,M038,Share,2023-04-07
IN00526,C00095,M081,Click,2025-01-09
IN00527,C00440,M130,Like,2023-05-29
IN00528,C00088,M154,Click,2025-03-20
IN00529,C00319,M020,Share,2024-05-16
IN00530,C00293,M198,View,2025-01-21
IN00531,C00094,M087,View,2025-02-25
IN00532,C00273,M019,Click,2020-01-14
IN00533,C00457,M062,Share,2024-02-05
IN00534,C00368,M136,View,2024-09-26
IN00535,C00167,M045,View,2020-08-11
IN00536,C00091,M042,Click,2024-12-05
IN00537,C00452,M136,View,2025-02-26
IN00538,C00416,M113,Share,2021-04-23
IN00539,C00454,M087,Like,2025-01-11
IN00540,C00209,M053,Share,2024-07-20
IN00541,C00159,M140,Click,2023-04-28
IN00542,C00392,M040,Click,2024-07-27
IN00543,C00336,M099,View,2024-09-07
IN00544,C00145,M135,Share,2020-12-01
IN00545,C00085,M163,Click,2021-12-18
IN00546,C00221,M014,Click,2020-02-03
IN00547,C00196,M133,View,2020-09-24
IN00548,C00222,M007,Click,2022-10-14
IN00549,C00210,M108,Like,2025-05-07
IN00550,C00086,M142,Click,2022-06-20
IN00551,C00218,M108,Like,2024-05-13
IN00552,C00226,M059,Click,2020-01-21
IN00553,C00442,M082,Share,2022-06-15
IN00554,C00014,M152,View,2023-05-17
IN00555,C00272,M006,View,2022-12-22
IN00556,C00186,M126,View,2022-07-15
IN00557,C00219,M035,Click,2021-08-17
IN00558,C00324,M188,Click,2021-09-02
IN00559,C00065,M097,Share,2021-08-02
IN00560,C00450,M114,View,2023-07-08
IN00561,C00384,M131,Like,2020-06-05
IN00562,C00262,M105,Share,2025-02-09
IN00563,C00250,M012,Like,2024-05-01
IN00564,C00408,M070,Like,2021-03-23
IN00565,C00161,M154,Share,2022-01-09
IN00566,C00090,M179,Share,2021-06-21
IN00567,C00304,M084,View,2024-12-26
IN00568,C00236,M029,Like,2022-10-06
IN00569,C00326,M073,Share,2020-03-01
IN00570,C00366,M039,Click,2020-01-03
IN00571,C00149,M078,Like,2022-01-19
IN00572,C00441,M092,Like,2023-09-10
IN00573,C00361,M090,Like,2023-11-15
IN00574,C00269,M023,Share,2021-10-21
IN00575,C00043,M075,Share,2021-10-10
IN00576,C00103,M055,View,2020-02-18
IN00577,C00090,M151,Click,2021-11-11
IN00578,C00270,M012,Share,2020-02-08
IN00579,C00277,M101,Click,2023-09-23
IN00580,C00464,M084,Share,2024-11-07
IN00581,C00434,M110,Like,2023-09-20
IN00582,C00495,M157,Share,2022-01-13
IN00583,C00175,M093,View,2021-07-24
IN00584,C00220,M073,Like,2023-12-11
IN00585,C00061,M075,View,2022-12-28
IN00586,C00308,M055,Like,2021-08-04
IN00587,C00159,M052,Click,2021-11-21
IN00588,C00148,M046,Click,2021-06-02
IN00589,C00482,M026,Click,2022-08-11
IN00590,C00114,M081,Share,2022-04-17
IN00591,C00229,M160,Share,2021-04-05
IN00592,C00024,M168,Share,2025-07-05
IN00593,C00168,M081,Click,2024-12-09
IN00594,C00268,M191,Click,2020-04-29
IN00595,C00207,M191,Share,2023-05-08
IN00596,C00452,M146,Like,2025-01-18
IN00597,C00056,M147,Share,2020-02-06
IN00598,C00390,M065,Share,2023-08-29
IN00599,C00421,M044,Share,2021-09-20
IN00600,C00051,M198,Like,2025-04-25
IN00601,C00489,M147,Click,2022-04-11
IN00602,C00393,M077,Share,2020-05-25
IN00603,C00117,M061,Like,2022-04-06
IN00604,C00262,M021,Share,2025-03-22
IN00605,C00345,M149,Share,2021-12-04
IN00606,C00086,M188,Click,2024-02-02
IN00607,C00500,M125,Like,2022-02-08
IN00608,C00098,M117,Like,2025-03-29
IN00609,C00183,M099,Share,2025-05-30
IN00610,C00480,M139,View,2022-04-09
IN00611,C00084,M020,View,2021-03-10
IN00612,C00298,M196,View,2023-08-12
IN00613,C00063,M171,Share,2020-08-22
IN00614,C00498,M078,Share,2024-06-18
IN00615,C00349,M111,Click,2023-10-12
IN00616,C00008,M080,Click,2025-06-14
IN00617,C00077,M121,Share,2020-08-02
IN00618,C00377,M038,Click,2024-11-23
IN00619,C00127,M178,Share,2020-06-07
IN00620,C00162,M099,Share,2022-01-30
IN00621,C00392,M164,Click,2023-06-30
IN00622,C00311,M192,Like,2025-06-13
IN00623,C00147,M168,View,2025-01-05
IN00624,C00123,M038,Like,2020-06-25
IN00625,C00332,M114,View,2020-07-21
IN00626,C00123,M043,Like,2022-07-15
IN00627,C00399,M043,View,2023-08-25
IN00628,C00258,M103,Share,2022-11-08
IN00629,C00365,M065,View,2024-02-22
IN00630,C00357,M123,View,2023-02-05
IN00631,C00322,M133,View,2020-11-17
IN00632,C00124,M107,Click,2020-11-11
IN00633,C00184,M148,Share,2022-01-27
IN00634,C00232,M174,Click,2025-03-09
IN00635,C00155,M082,Share,2021-09-01
IN00636,C00396,M102,Share,2022-06-14
IN00637,C00297,M168,Share,2022-10-01
IN00638,C00489,M112,Click,2023-05-11
IN00639,C00243,M013,Share,2025-05-29
IN00640,C00144,M066,Like,2021-01-19
IN00641,C00189,M190,Click,2020-05-12
IN00642,C00281,M095,View,2020-04-25
