employee_id,department,role,completed_trainings,preferred_learning_mode
E253,Marketing,Manager,10,Video
E254,Operations,Manager,9,Interactive
E255,Finance,Analyst,4,Interactive
E256,HR,Manager,6,Video
E257,Finance,Intern,4,Text
E258,HR,Executive,10,Text
E259,IT,Executive,0,Interactive
E260,Finance,Analyst,2,Interactive
E261,Marketing,Executive,5,Interactive
E262,IT,Manager,3,Video
E263,Operations,Executive,1,Text
E264,Finance,Executive,5,Text
E265,Operations,Analyst,3,Text
E266,HR,Executive,3,Video
E267,Marketing,Executive,7,Text
E268,Marketing,Manager,1,Video
E269,HR,Manager,9,Video
E270,Operations,Analyst,3,Text
E271,Operations,Intern,1,Video
E272,HR,Intern,8,Text
E273,Marketing,Executive,1,Video
E274,Marketing,Manager,2,Interactive
E275,Marketing,Analyst,10,Interactive
E276,Marketing,Analyst,4,Video
E277,Operations,Manager,10,Video
E278,Operations,Executive,1,Interactive
E279,HR,Manager,2,Interactive
E280,Finance,Intern,6,Interactive
E281,IT,Intern,4,Video
E282,Marketing,Analyst,8,Video
E283,Marketing,Executive,6,Interactive
E284,HR,Manager,5,Interactive
E285,HR,Executive,3,Text
E286,Finance,Executive,3,Video
E287,IT,Analyst,5,Text
E288,IT,Manager,9,Video
E289,IT,Analyst,10,Video
E290,Operations,Manager,7,Interactive
E291,IT,Executive,4,Video
E292,Finance,Manager,3,Video
E293,IT,Analyst,4,Video
E294,IT,Executive,3,Interactive
E295,IT,Manager,10,Interactive
E296,IT,Intern,10,Video
E297,Operations,Analyst,3,Interactive
E298,HR,Intern,8,Text
E299,Marketing,Analyst,5,Text
E300,IT,Executive,8,Text
E301,HR,Executive,6,Interactive
E302,IT,Manager,10,Text
E303,IT,Intern,3,Video
E304,Operations,Executive,1,Interactive
E305,Marketing,Analyst,6,Interactive
E306,Operations,Manager,1,Text
E307,HR,Analyst,4,Video
E308,Marketing,Manager,1,Interactive
E309,Operations,Intern,9,Video
E310,Operations,Executive,1,Video
E311,HR,Intern,3,Interactive
E312,Finance,Intern,10,Text
E313,HR,Executive,4,Video
E314,IT,Executive,2,Interactive
E315,Finance,Executive,0,Video
E316,HR,Intern,7,Text
E317,Finance,Executive,3,Video
E318,IT,Manager,10,Text
E319,Operations,Analyst,2,Video
E320,Operations,Intern,5,Interactive
E321,HR,Intern,10,Text
E322,HR,Manager,5,Interactive
E323,Marketing,Analyst,6,Text
E324,Operations,Analyst,5,Video
E325,Marketing,Executive,8,Interactive
E326,Marketing,Executive,3,Text
E327,IT,Executive,5,Video
E328,Marketing,Executive,4,Text
E329,Marketing,Intern,1,Text
E330,HR,Executive,7,Video
E331,IT,Executive,2,Video
E332,Finance,Intern,3,Video
E333,Operations,Intern,5,Interactive
E334,Finance,Intern,6,Text
E335,Operations,Executive,4,Interactive
E336,HR,Analyst,9,Text
E337,IT,Intern,6,Video
E338,IT,Intern,4,Text
E339,Marketing,Executive,6,Text
E340,HR,Analyst,9,Interactive
E341,Marketing,Manager,4,Text
E342,IT,Executive,3,Interactive
E343,Operations,Intern,7,Video
E344,Finance,Executive,0,Text
E345,Marketing,Analyst,7,Text
E346,Finance,Analyst,9,Interactive
E347,Operations,Executive,0,Interactive
E348,HR,Analyst,7,Video
E349,IT,Intern,6,Interactive
E350,Operations,Executive,0,Text
E351,Marketing,Analyst,1,Video
E352,IT,Analyst,4,Interactive
E353,Operations,Analyst,3,Interactive
E354,IT,Analyst,0,Text
E355,HR,Executive,4,Interactive
E356,HR,Manager,10,Interactive
E357,Operations,Executive,0,Text
E358,Operations,Intern,6,Video
E359,HR,Intern,8,Text
E360,Finance,Analyst,3,Text
E361,Marketing,Analyst,10,Interactive
E362,Operations,Intern,6,Interactive
E363,HR,Intern,9,Text
E364,Marketing,Manager,3,Interactive
E365,Operations,Intern,8,Interactive
E366,Operations,Intern,10,Interactive
E367,HR,Analyst,4,Interactive
E368,Marketing,Manager,2,Interactive
E369,IT,Executive,5,Text
E370,HR,Manager,7,Text
E371,HR,Manager,6,Video
E372,IT,Manager,6,Text
E373,HR,Analyst,1,Video
E374,IT,Intern,4,Text
E375,HR,Intern,3,Text
E376,Operations,Intern,9,Text
E377,IT,Analyst,4,Text
E378,Operations,Analyst,6,Text
E379,Operations,Intern,5,Interactive
E380,IT,Executive,8,Text
E381,HR,Analyst,3,Video
E382,Marketing,Analyst,6,Interactive
E383,Marketing,Intern,10,Interactive
E384,Finance,Intern,2,Text
E385,Marketing,Analyst,3,Text
E386,HR,Executive,10,Interactive
E387,IT,Intern,6,Text
E388,IT,Executive,9,Video
E389,HR,Intern,7,Interactive
E390,Operations,Intern,1,Video
E391,Marketing,Intern,5,Interactive
E392,Marketing,Manager,10,Interactive
E393,HR,Executive,10,Video
E394,Operations,Executive,4,Video
E395,HR,Manager,6,Video
E396,Finance,Executive,2,Text
E397,Finance,Executive,10,Video
E398,Marketing,Intern,9,Text
E399,IT,Analyst,8,Text
E400,Marketing,Manager,2,Video
E401,Marketing,Executive,5,Interactive
E402,Operations,Executive,5,Text
E403,Finance,Intern,5,Text
E404,Finance,Intern,8,Interactive
E405,Finance,Intern,3,Text
E406,Operations,Manager,3,Interactive
E407,IT,Intern,8,Interactive
E408,Finance,Analyst,7,Text
E409,HR,Manager,5,Text
E410,Finance,Executive,9,Interactive
E411,HR,Intern,2,Text
E412,Marketing,Analyst,9,Text
E413,Operations,Analyst,4,Text
E414,HR,Executive,6,Interactive
E415,IT,Executive,1,Video
E416,Marketing,Intern,6,Text
E417,HR,Manager,4,Interactive
E418,Operations,Manager,5,Text
E419,HR,Intern,9,Video
E420,IT,Executive,0,Video
E421,Marketing,Analyst,5,Text
E422,Operations,Executive,4,Interactive
E423,IT,Executive,3,Text
E424,HR,Intern,2,Text
E425,Operations,Analyst,8,Video
E426,Operations,Analyst,8,Video
E427,HR,Intern,6,Interactive
E428,Finance,Executive,8,Video
E429,Marketing,Manager,8,Interactive
E430,HR,Analyst,2,Interactive
E431,Operations,Analyst,4,Text
E432,Marketing,Executive,3,Video
E433,IT,Executive,9,Video
E434,HR,Analyst,5,Text
E435,Operations,Intern,6,Video
E436,Finance,Executive,9,Text
E437,Operations,Executive,10,Video
E438,Marketing,Executive,10,Video
E439,IT,Analyst,5,Text
E440,Finance,Manager,8,Text
E441,Finance,Intern,5,Interactive
E442,HR,Executive,10,Video
E443,HR,Executive,3,Video
E444,HR,Analyst,1,Interactive
E445,HR,Executive,3,Text
E446,Operations,Analyst,0,Text
E447,Operations,Executive,9,Interactive
E448,Operations,Executive,9,Video
E449,Operations,Intern,2,Text
E450,Finance,Analyst,3,Interactive
E451,Finance,Analyst,7,Interactive
E452,IT,Executive,6,Interactive
E453,Operations,Executive,6,Interactive
E454,Finance,Analyst,9,Text
E455,IT,Analyst,0,Interactive
E456,Marketing,Executive,8,Video
E457,IT,Analyst,6,Text
E458,HR,Manager,1,Text
E459,Marketing,Analyst,7,Text
E460,HR,Executive,2,Video
E461,HR,Manager,9,Video
E462,HR,Intern,2,Interactive
E463,Finance,Executive,1,Video
E464,Finance,Intern,4,Interactive
E465,IT,Intern,7,Video
E466,Finance,Manager,1,Text
E467,Finance,Manager,8,Video
E468,Operations,Analyst,8,Video
E469,IT,Intern,7,Interactive
E470,Marketing,Executive,1,Text
E471,Finance,Manager,0,Video
E472,HR,Manager,3,Interactive
E473,Marketing,Analyst,0,Video
E474,Finance,Executive,0,Video
E475,Finance,Executive,3,Text
E476,Finance,Executive,10,Interactive
E477,Marketing,Executive,4,Video
E478,Marketing,Manager,3,Interactive
E479,HR,Executive,5,Text
E480,HR,Executive,1,Interactive
E481,Operations,Manager,6,Interactive
E482,Operations,Manager,8,Text
E483,IT,Manager,2,Interactive
E484,IT,Intern,2,Text
E485,Marketing,Intern,0,Text
E486,HR,Intern,9,Interactive
E487,HR,Executive,2,Text
E488,Operations,Analyst,0,Interactive
E489,IT,Analyst,2,Video
E490,Marketing,Manager,8,Interactive
E491,HR,Manager,1,Video
E492,Finance,Intern,2,Video
E493,Operations,Analyst,7,Video
E494,Finance,Intern,10,Interactive
E495,IT,Executive,2,Video
E496,Finance,Manager,4,Video
E497,Finance,Executive,4,Video
E498,IT,Executive,10,Interactive
E499,Operations,Manager,6,Text
E500,HR,Executive,7,Text
E501,IT,Executive,7,Video
E502,HR,Analyst,4,Text
E503,HR,Manager,6,Video
E504,Marketing,Analyst,9,Text
E505,IT,Analyst,9,Interactive
E506,Marketing,Intern,5,Interactive
E507,Marketing,Analyst,3,Video
E508,Finance,Manager,4,Text
E509,Marketing,Analyst,9,Text
E510,Marketing,Executive,5,Video
E511,Finance,Manager,10,Video
E512,Marketing,Analyst,7,Interactive
E513,Finance,Analyst,1,Interactive
E514,Operations,Intern,7,Interactive
E515,Operations,Analyst,3,Interactive
E516,Finance,Intern,10,Interactive
E517,IT,Manager,3,Text
E518,HR,Executive,0,Interactive
E519,HR,Analyst,8,Text
E520,HR,Executive,1,Text
E521,Marketing,Manager,6,Text
E522,HR,Executive,0,Video
E523,Marketing,Executive,1,Video
E524,Operations,Analyst,3,Interactive
E525,Marketing,Manager,8,Video
E526,HR,Intern,0,Text
E527,HR,Executive,5,Text
E528,IT,Manager,9,Video
E529,Marketing,Intern,5,Interactive
E530,Marketing,Manager,2,Text
E531,Operations,Manager,7,Text
E532,Marketing,Executive,0,Video
E533,Operations,Intern,4,Interactive
E534,Operations,Intern,5,Video
E535,Operations,Executive,1,Text
E536,HR,Intern,1,Interactive
E537,Finance,Analyst,3,Text
E538,IT,Analyst,1,Text
E539,Finance,Intern,6,Text
E540,Finance,Executive,9,Interactive
E541,HR,Intern,1,Interactive
E542,Marketing,Analyst,7,Text
E543,Finance,Intern,4,Interactive
E544,IT,Manager,6,Video
E545,Marketing,Intern,10,Video
E546,Finance,Intern,5,Video
E547,Marketing,Executive,3,Text
E548,Marketing,Intern,7,Interactive
E549,Finance,Analyst,8,Text
E550,Marketing,Manager,6,Video
E551,IT,Executive,0,Video
E552,HR,Analyst,9,Interactive
E553,Operations,Manager,5,Interactive
E554,Operations,Intern,0,Text
E555,IT,Intern,9,Video
E556,IT,Intern,1,Interactive
E557,Operations,Intern,8,Interactive
E558,Finance,Executive,8,Interactive
E559,Operations,Manager,1,Text
E560,IT,Intern,7,Interactive
E561,Operations,Manager,8,Interactive
E562,IT,Executive,1,Text
E563,Operations,Executive,0,Text
E564,IT,Executive,2,Video
E565,Finance,Executive,9,Text
E566,Finance,Manager,10,Text
E567,Operations,Intern,9,Video
E568,Operations,Executive,6,Text
E569,Operations,Analyst,3,Interactive
E570,Operations,Analyst,5,Interactive
E571,Finance,Manager,1,Video
E572,HR,Executive,9,Video
E573,Marketing,Manager,4,Text
E574,Marketing,Executive,4,Interactive
E575,Marketing,Executive,3,Interactive
E576,Finance,Intern,10,Interactive
E577,Marketing,Executive,5,Text
E578,IT,Executive,8,Video
E579,Finance,Intern,7,Video
E580,Finance,Analyst,9,Video
E581,HR,Manager,4,Video
E582,Finance,Manager,3,Video
E583,HR,Executive,3,Text
E584,Finance,Executive,7,Video
E585,Operations,Intern,6,Interactive
E586,Operations,Manager,3,Video
E587,HR,Manager,1,Text
E588,IT,Manager,3,Text
E589,HR,Intern,6,Video
E590,HR,Executive,6,Text
E591,HR,Manager,9,Video
E592,IT,Executive,9,Video
E593,Operations,Manager,10,Text
E594,IT,Manager,2,Video
E595,HR,Manager,8,Interactive
E596,Finance,Analyst,9,Video
E597,IT,Analyst,1,Text
E598,Operations,Analyst,8,Video
E599,HR,Executive,6,Interactive
E600,HR,Manager,7,Video
E601,Operations,Executive,10,Interactive
E602,Marketing,Analyst,8,Interactive
E603,Operations,Analyst,9,Text
E604,Marketing,Manager,4,Text
E605,HR,Manager,3,Interactive
E606,Finance,Intern,10,Text
E607,IT,Intern,0,Text
E608,Marketing,Intern,0,Video
E609,HR,Intern,3,Text
E610,IT,Intern,2,Interactive
E611,HR,Executive,4,Video
E612,Operations,Manager,6,Interactive
E613,HR,Intern,2,Text
E614,HR,Analyst,8,Video
E615,HR,Analyst,0,Interactive
E616,Operations,Analyst,7,Interactive
E617,HR,Executive,3,Video
E618,IT,Analyst,1,Video
E619,HR,Executive,10,Interactive
E620,IT,Manager,4,Interactive
E621,HR,Analyst,7,Video
E622,Finance,Analyst,6,Interactive
E623,Finance,Analyst,9,Interactive
E624,Marketing,Manager,1,Interactive
E625,Finance,Analyst,9,Text
E626,Operations,Executive,7,Interactive
E627,Operations,Analyst,1,Interactive
E628,Marketing,Analyst,0,Interactive
E629,IT,Executive,5,Text
E630,Marketing,Executive,10,Text
E631,Marketing,Executive,7,Video
E632,Operations,Intern,0,Video
E633,HR,Intern,8,Text
E634,Marketing,Analyst,10,Video
E635,IT,Manager,0,Video
E636,HR,Executive,3,Video
E637,Marketing,Intern,6,Text
E638,HR,Manager,2,Text
E639,Operations,Intern,4,Video
E640,IT,Intern,8,Video
E641,Marketing,Intern,4,Video
E642,Operations,Executive,0,Interactive
E643,Finance,Executive,10,Interactive
E644,HR,Manager,6,Video
E645,Finance,Intern,8,Video
E646,IT,Intern,2,Interactive
E647,HR,Intern,2,Text
E648,Finance,Analyst,9,Text
E649,Marketing,Executive,6,Text
E650,HR,Executive,5,Text
E651,Marketing,Manager,1,Video
E652,Operations,Executive,7,Text
E653,Finance,Analyst,9,Interactive
E654,Marketing,Intern,4,Interactive
E655,HR,Executive,2,Text
E656,Operations,Analyst,10,Interactive
E657,HR,Executive,2,Interactive
E658,Finance,Manager,4,Video
E659,Operations,Manager,4,Video
E660,Operations,Analyst,6,Text
E661,HR,Intern,8,Video
E662,Finance,Analyst,7,Text
E663,Marketing,Intern,8,Interactive
E664,Finance,Executive,8,Text
E665,IT,Intern,0,Text
E666,Operations,Manager,6,Video
E667,Finance,Executive,9,Interactive
E668,IT,Intern,7,Interactive
E669,IT,Intern,6,Text
E670,Operations,Manager,2,Video
E671,HR,Analyst,4,Video
E672,Finance,Manager,8,Interactive
E673,HR,Manager,10,Text
E674,IT,Intern,0,Interactive
E675,HR,Manager,5,Video
E676,Finance,Executive,10,Video
E677,HR,Manager,10,Text
E678,Operations,Analyst,9,Text
E679,IT,Analyst,10,Interactive
E680,HR,Executive,8,Interactive
E681,Marketing,Manager,3,Text
E682,IT,Executive,10,Video
E683,IT,Manager,3,Interactive
E684,Operations,Intern,9,Interactive
E685,IT,Manager,4,Text
E686,Operations,Executive,5,Text
E687,Finance,Manager,0,Video
E688,Operations,Executive,7,Text
E689,HR,Manager,8,Interactive
E690,HR,Analyst,7,Video
E691,Operations,Analyst,7,Interactive
E692,Operations,Manager,3,Video
E693,Finance,Intern,10,Video
E694,Finance,Intern,6,Interactive
E695,Marketing,Executive,4,Text
E696,Finance,Analyst,8,Interactive
E697,HR,Intern,5,Text
E698,IT,Analyst,10,Interactive
E699,IT,Intern,6,Text
E700,Operations,Executive,7,Interactive
E701,Marketing,Manager,6,Text
E702,Finance,Executive,2,Video
E703,HR,Executive,4,Text
E704,Finance,Intern,10,Text
E705,HR,Executive,7,Interactive
E706,Finance,Intern,4,Video
E707,Operations,Intern,5,Interactive
E708,HR,Analyst,4,Video
E709,Operations,Manager,8,Interactive
E710,IT,Analyst,2,Video
E711,Operations,Manager,6,Text
E712,HR,Analyst,6,Text
E713,IT,Intern,9,Interactive
E714,Operations,Executive,1,Text
E715,HR,Analyst,6,Video
E716,HR,Manager,6,Interactive
E717,HR,Manager,10,Text
E718,Marketing,Executive,0,Interactive
E719,Marketing,Analyst,8,Text
E720,Finance,Intern,1,Text
E721,Marketing,Executive,3,Interactive
E722,Operations,Manager,2,Video
E723,Finance,Intern,0,Video
E724,Finance,Intern,1,Text
E725,HR,Intern,5,Interactive
E726,Marketing,Intern,10,Interactive
E727,Marketing,Executive,7,Interactive
E728,HR,Executive,4,Interactive
E729,HR,Analyst,7,Text
E730,IT,Executive,9,Interactive
E731,IT,Analyst,3,Interactive
E732,Marketing,Intern,4,Text
E733,Finance,Analyst,7,Text
E734,Operations,Analyst,8,Text
E735,HR,Intern,7,Video
E736,IT,Executive,3,Interactive
E737,IT,Executive,4,Text
E738,Marketing,Manager,7,Video
E739,HR,Executive,4,Text
E740,Finance,Analyst,7,Text
E741,Marketing,Executive,6,Interactive
E742,Finance,Executive,4,Interactive
E743,Operations,Intern,5,Text
E744,IT,Executive,7,Text
E745,HR,Manager,9,Video
E746,Marketing,Executive,5,Video
E747,HR,Manager,2,Interactive
E748,Marketing,Analyst,6,Video
E749,Operations,Manager,5,Interactive
E750,Finance,Executive,3,Text
E751,Finance,Executive,3,Interactive
E752,Marketing,Analyst,3,Video
E753,Marketing,Analyst,7,Interactive
E754,HR,Manager,2,Interactive
E755,Finance,Manager,4,Text
E756,Operations,Executive,8,Video
E757,Marketing,Manager,2,Video
E758,Finance,Intern,7,Video
E759,IT,Executive,2,Video
E760,Finance,Intern,4,Interactive
E761,Operations,Executive,2,Text
E762,IT,Manager,3,Text
E763,Operations,Analyst,2,Video
E764,Operations,Intern,7,Text
E765,HR,Executive,0,Text
E766,Finance,Analyst,7,Text
E767,Marketing,Executive,2,Text
E768,IT,Analyst,8,Text
E769,HR,Executive,7,Video
E770,Operations,Executive,7,Interactive
E771,Finance,Executive,1,Text
E772,Operations,Analyst,5,Video
E773,Operations,Analyst,7,Interactive
E774,HR,Intern,5,Video
E775,Operations,Executive,10,Text
E776,Finance,Analyst,4,Interactive
E777,Operations,Executive,9,Video
E778,Finance,Intern,1,Video
E779,Marketing,Manager,10,Interactive
E780,Operations,Intern,7,Video
E781,HR,Executive,9,Video
E782,HR,Analyst,7,Interactive
E783,Finance,Analyst,2,Interactive
E784,HR,Executive,1,Video
E785,IT,Manager,7,Video
E786,Operations,Executive,0,Interactive
E787,HR,Executive,10,Video
E788,Finance,Executive,5,Video
E789,HR,Analyst,2,Text
E790,Marketing,Manager,0,Text
E791,HR,Intern,8,Video
E792,Finance,Intern,4,Interactive
E793,HR,Intern,9,Video
E794,Marketing,Analyst,2,Video
E795,Operations,Manager,1,Text
E796,Marketing,Intern,9,Text
E797,Operations,Executive,7,Interactive
E798,IT,Manager,8,Interactive
E799,IT,Manager,4,Interactive
E800,Finance,Manager,4,Text
E801,Finance,Intern,1,Video
E802,Marketing,Manager,9,Interactive
E803,IT,Executive,9,Text
E804,IT,Analyst,7,Text
E805,Marketing,Intern,7,Text
E806,Finance,Manager,10,Text
E807,HR,Analyst,10,Video
E808,Marketing,Intern,0,Text
E809,HR,Intern,6,Video
E810,IT,Manager,3,Video
E811,Operations,Analyst,6,Video
E812,HR,Intern,7,Video
E813,IT,Intern,9,Video
E814,Finance,Analyst,9,Interactive
E815,HR,Analyst,2,Interactive
E816,IT,Intern,2,Video
E817,Marketing,Intern,8,Video
E818,Marketing,Analyst,1,Video
E819,Finance,Intern,6,Text
E820,HR,Manager,3,Video
E821,HR,Intern,6,Video
E822,Marketing,Intern,6,Text
E823,Operations,Analyst,9,Interactive
E824,IT,Intern,4,Interactive
E825,Marketing,Analyst,6,Interactive
E826,Operations,Intern,3,Interactive
E827,HR,Intern,2,Text
E828,HR,Executive,3,Interactive
E829,Operations,Manager,9,Video
E830,Finance,Intern,7,Video
E831,IT,Executive,6,Text
E832,Marketing,Analyst,6,Video
E833,Finance,Intern,7,Interactive
E834,Operations,Executive,10,Interactive
E835,Finance,Intern,1,Interactive
E836,Marketing,Manager,3,Video
