survey_id,customer_id,score,comment,date
SV0104,C00033,3,Too expensive,2021-09-03
SV0105,C00138,3,Happy with Zain,2025-08-31
SV0106,C00187,4,Great service,2023-12-27
SV0107,C00186,1,Too expensive,2023-04-28
SV0108,C00401,4,Too expensive,2025-03-05
SV0109,C00220,3,Too expensive,2024-11-11
SV0110,C00219,2,Network issue,2024-06-26
SV0111,C00384,1,Great service,2021-07-16
SV0112,C00410,4,Network issue,2023-09-18
SV0113,C00039,2,Happy with Zain,2020-07-16
SV0114,C00075,2,Network issue,2020-01-13
SV0115,C00457,1,Too expensive,2024-03-17
SV0116,C00096,4,Happy with Zain,2022-09-19
SV0117,C00350,3,Network issue,2023-09-05
SV0118,C00276,3,Too expensive,2025-01-02
SV0119,C00118,1,Happy with Zain,2021-01-22
SV0120,C00245,4,Happy with Zain,2024-04-23
SV0121,C00001,2,Happy with Zain,2021-12-08
SV0122,C00460,2,Too expensive,2022-04-12
SV0123,C00017,3,Network issue,2022-09-28
SV0124,C00039,4,Happy with Zain,2022-10-18
SV0125,C00487,4,Great service,2021-08-23
SV0126,C00269,5,Network issue,2023-05-04
SV0127,C00046,4,Great service,2023-07-11
SV0128,C00460,1,Happy with Zain,2024-08-11
SV0129,C00414,2,Happy with Zain,2023-04-07
SV0130,C00363,3,Happy with Zain,2024-05-09
SV0131,C00320,3,Happy with Zain,2020-12-16
SV0132,C00217,2,Great service,2022-11-21
SV0133,C00244,1,Network issue,2025-09-05
SV0134,C00178,3,Happy with Zain,2024-10-21
SV0135,C00230,4,Great service,2024-07-29
SV0136,C00427,1,Network issue,2021-11-01
SV0137,C00383,1,Too expensive,2023-03-23
SV0138,C00309,3,Network issue,2023-01-31
SV0139,C00400,3,Great service,2020-08-04
SV0140,C00407,2,Happy with Zain,2020-11-28
SV0141,C00063,5,Too expensive,2022-06-16
SV0142,C00209,5,Too expensive,2020-09-23
SV0143,C00465,1,Too expensive,2024-10-30
SV0144,C00062,4,Great service,2020-12-11
SV0145,C00322,5,Great service,2021-09-22
SV0146,C00358,3,Happy with Zain,2023-09-17
SV0147,C00102,3,Happy with Zain,2021-03-03
SV0148,C00113,5,Great service,2021-02-13
SV0149,C00386,4,Too expensive,2020-05-13
SV0150,C00269,1,Happy with Zain,2021-11-15
SV0151,C00500,1,Happy with Zain,2020-09-15
SV0152,C00035,2,Network issue,2024-12-23
SV0153,C00329,2,Happy with Zain,2023-06-04
SV0154,C00061,2,Too expensive,2024-02-25
SV0155,C00408,4,Happy with Zain,2022-04-03
SV0156,C00491,2,Too expensive,2020-10-30
SV0157,C00086,4,Happy with Zain,2021-06-09
SV0158,C00283,2,Happy with Zain,2022-03-02
SV0159,C00418,5,Too expensive,2020-05-14
SV0160,C00352,2,Too expensive,2023-08-16
SV0161,C00249,1,Great service,2024-12-28
SV0162,C00497,5,Too expensive,2023-06-01
SV0163,C00240,3,Too expensive,2021-07-06
SV0164,C00002,2,Too expensive,2024-07-30
SV0165,C00094,5,Great service,2023-10-24
SV0166,C00039,3,Too expensive,2022-08-03
SV0167,C00140,5,Great service,2022-05-23
SV0168,C00113,1,Happy with Zain,2023-07-02
SV0169,C00445,4,Great service,2020-07-30
SV0170,C00250,5,Great service,2024-05-28
SV0171,C00343,4,Happy with Zain,2023-11-04
SV0172,C00064,1,Network issue,2024-11-08
SV0173,C00406,1,Happy with Zain,2021-04-23
SV0174,C00046,5,Too expensive,2022-05-22
SV0175,C00390,5,Great service,2022-10-21
SV0176,C00281,4,Too expensive,2022-02-06
SV0177,C00223,4,Great service,2024-08-12
SV0178,C00381,5,Too expensive,2023-01-26
SV0179,C00331,5,Happy with Zain,2025-04-11
SV0180,C00246,3,Too expensive,2025-01-08
SV0181,C00214,1,Too expensive,2022-01-02
SV0182,C00169,1,Too expensive,2021-12-21
SV0183,C00492,3,Too expensive,2022-08-04
SV0184,C00330,1,Too expensive,2024-04-01
SV0185,C00003,2,Happy with Zain,2020-02-11
SV0186,C00127,2,Too expensive,2022-02-03
SV0187,C00426,5,Network issue,2023-03-03
SV0188,C00055,4,Happy with Zain,2020-01-19
SV0189,C00306,2,Happy with Zain,2025-02-01
SV0190,C00010,4,Too expensive,2023-04-27
SV0191,C00413,5,Happy with Zain,2021-05-27
SV0192,C00406,3,Great service,2020-07-24
SV0193,C00169,1,Happy with Zain,2022-11-13
SV0194,C00003,2,Too expensive,2023-04-01
SV0195,C00325,1,Too expensive,2023-08-16
SV0196,C00304,1,Network issue,2020-08-28
SV0197,C00049,4,Happy with Zain,2023-12-20
SV0198,C00288,5,Great service,2025-05-29
SV0199,C00151,1,Network issue,2021-08-28
SV0200,C00343,5,Too expensive,2023-06-09
SV0201,C00010,1,Too expensive,2020-07-31
SV0202,C00002,2,Great service,2023-12-11
SV0203,C00437,2,Network issue,2023-05-27
SV0204,C00090,3,Happy with Zain,2021-10-04
SV0205,C00173,5,Happy with Zain,2023-11-12
SV0206,C00470,5,Network issue,2023-09-01
SV0207,C00182,3,Happy with Zain,2022-04-29
SV0208,C00315,1,Great service,2020-01-04
SV0209,C00120,1,Too expensive,2022-07-10
SV0210,C00310,3,Network issue,2022-01-07
SV0211,C00113,3,Network issue,2023-09-02
SV0212,C00169,3,Too expensive,2025-05-23
SV0213,C00105,3,Network issue,2021-08-07
SV0214,C00437,3,Too expensive,2022-09-02
SV0215,C00215,4,Great service,2025-06-05
SV0216,C00424,5,Happy with Zain,2021-09-02
SV0217,C00224,1,Network issue,2024-05-04
SV0218,C00154,4,Happy with Zain,2021-03-17
SV0219,C00305,1,Great service,2024-04-15
SV0220,C00357,2,Great service,2022-04-09
SV0221,C00119,4,Happy with Zain,2023-10-11
SV0222,C00347,2,Too expensive,2023-03-13
SV0223,C00284,5,Happy with Zain,2024-06-28
SV0224,C00365,4,Network issue,2025-09-07
SV0225,C00103,4,Great service,2020-02-22
SV0226,C00202,2,Great service,2022-12-21
SV0227,C00428,3,Great service,2021-06-03
SV0228,C00469,3,Happy with Zain,2024-07-27
SV0229,C00448,1,Great service,2022-04-21
SV0230,C00035,5,Network issue,2024-08-10
SV0231,C00238,3,Happy with Zain,2021-01-16
SV0232,C00167,4,Too expensive,2025-08-02
SV0233,C00103,1,Network issue,2025-07-11
SV0234,C00464,2,Great service,2022-09-18
SV0235,C00318,3,Great service,2020-12-24
SV0236,C00453,1,Network issue,2025-03-19
SV0237,C00423,4,Happy with Zain,2025-01-02
SV0238,C00217,4,Great service,2023-02-12
SV0239,C00486,1,Network issue,2023-07-08
SV0240,C00370,4,Network issue,2025-05-22
SV0241,C00335,2,Too expensive,2020-10-14
SV0242,C00069,4,Happy with Zain,2024-11-16
SV0243,C00206,2,Great service,2023-06-06
SV0244,C00362,3,Too expensive,2024-08-11
SV0245,C00478,4,Great service,2022-05-26
SV0246,C00074,4,Great service,2022-04-20
SV0247,C00270,3,Great service,2020-09-04
SV0248,C00321,3,Too expensive,2022-12-15
SV0249,C00287,3,Network issue,2024-03-14
SV0250,C00009,4,Great service,2021-01-13
SV0251,C00198,3,Happy with Zain,2024-08-10
SV0252,C00374,1,Great service,2023-02-16
SV0253,C00148,1,Happy with Zain,2022-12-29
SV0254,C00369,3,Too expensive,2022-01-29
SV0255,C00061,2,Great service,2020-01-10
SV0256,C00162,3,Network issue,2020-12-11
SV0257,C00476,4,Great service,2020-01-09
SV0258,C00267,3,Network issue,2023-05-01
SV0259,C00411,1,Too expensive,2020-05-20
SV0260,C00125,3,Great service,2020-07-09
SV0261,C00203,2,Network issue,2024-07-11
SV0262,C00317,4,Happy with Zain,2020-11-15
SV0263,C00272,3,Happy with Zain,2023-06-06
SV0264,C00371,4,Too expensive,2024-05-08
SV0265,C00345,4,Happy with Zain,2022-07-09
SV0266,C00022,1,Too expensive,2024-02-21
SV0267,C00136,4,Too expensive,2022-02-19
SV0268,C00101,2,Network issue,2020-05-17
SV0269,C00102,1,Too expensive,2020-04-29
SV0270,C00089,1,Too expensive,2024-05-07
SV0271,C00204,1,Great service,2024-05-19
SV0272,C00028,2,Great service,2020-09-30
SV0273,C00448,1,Great service,2025-06-21
SV0274,C00027,2,Happy with Zain,2022-11-01
SV0275,C00469,4,Happy with Zain,2024-11-14
SV0276,C00257,2,Too expensive,2021-04-17
SV0277,C00424,2,Great service,2021-03-09
SV0278,C00033,5,Great service,2023-08-23
SV0279,C00129,3,Too expensive,2023-10-06
SV0280,C00277,2,Happy with Zain,2022-09-27
SV0281,C00019,2,Great service,2024-09-20
SV0282,C00496,3,Great service,2022-07-31
SV0283,C00050,4,Great service,2024-05-12
SV0284,C00433,4,Network issue,2023-03-29
SV0285,C00441,1,Network issue,2023-03-22
SV0286,C00487,4,Great service,2022-02-01
SV0287,C00449,2,Great service,2023-01-23
SV0288,C00454,4,Network issue,2021-03-25
SV0289,C00314,3,Happy with Zain,2021-09-26
SV0290,C00423,4,Happy with Zain,2022-11-22
SV0291,C00101,4,Great service,2022-09-22
SV0292,C00287,1,Network issue,2021-03-21
SV0293,C00354,3,Network issue,2025-08-04
SV0294,C00205,3,Happy with Zain,2021-02-13
SV0295,C00469,2,Network issue,2024-08-14
SV0296,C00457,3,Happy with Zain,2024-04-14
SV0297,C00216,5,Great service,2023-09-11
SV0298,C00358,1,Great service,2024-07-23
SV0299,C00290,5,Network issue,2025-04-23
SV0300,C00356,1,Too expensive,2022-04-29
SV0301,C00146,1,Great service,2023-10-21
SV0302,C00034,4,Network issue,2023-01-07
SV0303,C00073,5,Happy with Zain,2025-02-10
SV0304,C00121,2,Network issue,2021-10-15
SV0305,C00225,4,Too expensive,2023-11-15
SV0306,C00488,2,Great service,2025-07-04
SV0307,C00407,3,Too expensive,2023-04-17
SV0308,C00252,5,Too expensive,2021-09-06
SV0309,C00307,4,Happy with Zain,2023-03-25
SV0310,C00287,3,Too expensive,2020-10-02
SV0311,C00500,1,Too expensive,2020-01-22
SV0312,C00277,4,Network issue,2021-07-21
SV0313,C00490,5,Great service,2020-11-22
SV0314,C00408,3,Great service,2025-03-25
SV0315,C00066,4,Too expensive,2022-05-04
SV0316,C00142,4,Great service,2023-09-30
SV0317,C00075,3,Too expensive,2025-01-09
SV0318,C00337,2,Happy with Zain,2024-05-23
SV0319,C00092,4,Happy with Zain,2020-01-18
SV0320,C00043,2,Too expensive,2025-01-07
SV0321,C00024,5,Great service,2024-03-07
SV0322,C00450,3,Happy with Zain,2020-07-03
SV0323,C00062,5,Too expensive,2024-06-21
SV0324,C00416,4,Happy with Zain,2021-04-03
SV0325,C00051,2,Too expensive,2021-05-27
SV0326,C00108,4,Too expensive,2021-02-17
SV0327,C00168,2,Network issue,2025-08-18
SV0328,C00134,3,Network issue,2025-09-06
SV0329,C00079,4,Great service,2024-05-04
SV0330,C00448,3,Network issue,2020-09-17
SV0331,C00275,4,Too expensive,2021-05-24
SV0332,C00300,5,Happy with Zain,2025-03-25
SV0333,C00418,4,Too expensive,2021-09-23
SV0334,C00140,2,Too expensive,2025-08-30
SV0335,C00253,4,Great service,2025-03-02
SV0336,C00201,4,Happy with Zain,2020-06-20
SV0337,C00251,5,Happy with Zain,2024-08-23
SV0338,C00268,1,Great service,2020-06-27
SV0339,C00189,2,Network issue,2023-05-05
SV0340,C00256,1,Network issue,2021-11-10
SV0341,C00360,1,Network issue,2024-10-24
SV0342,C00400,4,Happy with Zain,2022-06-12
SV0343,C00417,4,Great service,2020-06-04
SV0344,C00395,5,Network issue,2024-02-02
SV0345,C00235,1,Happy with Zain,2025-01-12
SV0346,C00491,4,Network issue,2020-08-18
SV0347,C00329,1,Network issue,2025-06-23
SV0348,C00437,5,Too expensive,2023-05-01
SV0349,C00453,5,Great service,2020-08-07
SV0350,C00157,1,Network issue,2022-10-23
SV0351,C00216,1,Happy with Zain,2022-04-24
SV0352,C00298,2,Network issue,2022-04-26
SV0353,C00458,4,Too expensive,2022-04-01
SV0354,C00271,4,Network issue,2021-07-05
SV0355,C00486,2,Happy with Zain,2020-04-05
SV0356,C00275,4,Too expensive,2020-01-14
SV0357,C00369,2,Great service,2023-07-06
SV0358,C00053,1,Network issue,2020-08-22
SV0359,C00157,3,Network issue,2021-02-21
SV0360,C00393,5,Happy with Zain,2021-01-08
SV0361,C00017,3,Great service,2024-05-08
SV0362,C00475,3,Too expensive,2025-09-10
SV0363,C00193,2,Too expensive,2023-01-01
SV0364,C00127,4,Happy with Zain,2024-04-09
SV0365,C00441,4,Network issue,2020-03-17
SV0366,C00259,4,Great service,2022-07-15
SV0367,C00174,1,Network issue,2025-08-05
SV0368,C00074,1,Network issue,2020-04-28
SV0369,C00423,2,Network issue,2024-06-10
SV0370,C00271,1,Too expensive,2023-01-11
SV0371,C00417,3,Great service,2021-03-19
SV0372,C00093,4,Great service,2022-01-19
SV0373,C00179,5,Happy with Zain,2022-09-20
SV0374,C00132,4,Great service,2020-05-23
SV0375,C00207,3,Too expensive,2025-04-24
SV0376,C00278,3,Great service,2023-02-18
SV0377,C00022,1,Happy with Zain,2021-07-23
SV0378,C00182,5,Great service,2025-04-20
SV0379,C00164,2,Happy with Zain,2022-04-22
SV0380,C00367,1,Great service,2024-11-04
SV0381,C00382,1,Network issue,2024-01-21
SV0382,C00393,3,Network issue,2025-01-29
SV0383,C00403,5,Too expensive,2025-03-04
SV0384,C00097,4,Too expensive,2024-10-29
SV0385,C00115,1,Network issue,2025-01-09
SV0386,C00160,4,Great service,2022-06-12
SV0387,C00403,5,Great service,2024-05-05
SV0388,C00465,2,Too expensive,2020-04-30
SV0389,C00070,2,Too expensive,2023-11-20
SV0390,C00401,5,Too expensive,2022-11-15
SV0391,C00201,5,Network issue,2024-02-21
SV0392,C00197,2,Great service,2023-01-21
SV0393,C00035,4,Great service,2022-03-16
SV0394,C00066,5,Too expensive,2024-09-15
SV0395,C00474,5,Happy with Zain,2023-08-06
SV0396,C00479,4,Too expensive,2020-04-28
SV0397,C00381,4,Too expensive,2022-01-25
SV0398,C00203,2,Happy with Zain,2023-11-25
SV0399,C00493,2,Great service,2021-04-05
SV0400,C00219,2,Network issue,2024-12-23
SV0401,C00457,4,Happy with Zain,2024-02-21
SV0402,C00074,3,Happy with Zain,2022-07-28
SV0403,C00187,2,Network issue,2022-07-13
SV0404,C00273,3,Great service,2025-07-10
SV0405,C00187,3,Happy with Zain,2021-11-09
SV0406,C00057,5,Happy with Zain,2024-07-27
SV0407,C00165,2,Network issue,2024-02-22
SV0408,C00247,5,Too expensive,2020-03-13
SV0409,C00199,4,Great service,2024-05-19
SV0410,C00464,3,Happy with Zain,2021-09-02
SV0411,C00405,3,Great service,2022-03-24
SV0412,C00246,3,Network issue,2023-08-16
SV0413,C00294,4,Network issue,2024-11-29
SV0414,C00176,1,Too expensive,2022-12-07
SV0415,C00423,3,Great service,2020-03-07
SV0416,C00333,1,Network issue,2021-02-14
SV0417,C00444,2,Too expensive,2022-12-23
SV0418,C00094,1,Great service,2025-02-25
SV0419,C00437,1,Happy with Zain,2025-08-19
SV0420,C00095,1,Great service,2020-07-09
SV0421,C00025,3,Great service,2020-01-18
SV0422,C00120,3,Too expensive,2021-10-27
SV0423,C00436,3,Network issue,2020-11-08
SV0424,C00422,5,Great service,2023-09-06
SV0425,C00118,2,Happy with Zain,2021-12-03
SV0426,C00089,1,Network issue,2020-03-19
SV0427,C00109,5,Network issue,2025-07-22
SV0428,C00249,2,Too expensive,2021-06-18
SV0429,C00177,2,Great service,2023-01-30
SV0430,C00498,4,Network issue,2025-01-03
SV0431,C00387,5,Too expensive,2022-07-16
SV0432,C00355,4,Network issue,2022-06-10
SV0433,C00453,4,Great service,2025-03-15
SV0434,C00052,2,Happy with Zain,2021-07-13
SV0435,C00417,1,Happy with Zain,2023-04-19
SV0436,C00102,2,Great service,2021-03-17
SV0437,C00182,4,Great service,2022-06-28
SV0438,C00181,4,Happy with Zain,2023-08-31
SV0439,C00378,5,Great service,2021-12-23
SV0440,C00319,5,Happy with Zain,2020-07-21
SV0441,C00375,3,Too expensive,2020-04-11
SV0442,C00053,4,Great service,2023-11-15
SV0443,C00323,5,Happy with Zain,2024-10-12
SV0444,C00495,5,Happy with Zain,2023-01-26
SV0445,C00361,4,Great service,2020-08-10
SV0446,C00309,2,Network issue,2021-06-27
SV0447,C00036,5,Great service,2023-09-29
SV0448,C00211,5,Too expensive,2023-01-15
SV0449,C00137,5,Network issue,2021-12-25
SV0450,C00222,1,Happy with Zain,2021-06-24
SV0451,C00017,4,Happy with Zain,2021-01-19
SV0452,C00353,5,Too expensive,2020-11-11
SV0453,C00450,5,Happy with Zain,2024-11-15
SV0454,C00094,1,Great service,2025-04-11
SV0455,C00047,2,Great service,2024-04-11
SV0456,C00323,3,Network issue,2025-03-17
SV0457,C00286,2,Too expensive,2020-04-11
SV0458,C00403,5,Great service,2021-12-14
SV0459,C00021,1,Great service,2020-12-10
SV0460,C00468,3,Network issue,2022-01-23
SV0461,C00045,5,Too expensive,2025-01-12
SV0462,C00127,5,Network issue,2024-09-11
SV0463,C00353,5,Happy with Zain,2020-02-02
SV0464,C00222,4,Great service,2023-10-10
SV0465,C00379,4,Great service,2025-06-28
SV0466,C00258,5,Happy with Zain,2022-02-16
SV0467,C00320,3,Happy with Zain,2025-08-27
SV0468,C00279,3,Network issue,2024-11-25
SV0469,C00023,4,Happy with Zain,2025-03-12
SV0470,C00019,4,Great service,2021-01-05
SV0471,C00178,2,Network issue,2024-06-11
SV0472,C00234,4,Network issue,2021-02-03
SV0473,C00237,1,Network issue,2021-02-11
SV0474,C00223,5,Too expensive,2021-12-05
SV0475,C00203,4,Too expensive,2024-10-23
SV0476,C00372,3,Network issue,2020-04-03
SV0477,C00058,3,Too expensive,2022-07-18
SV0478,C00367,3,Great service,2023-12-23
SV0479,C00047,2,Network issue,2020-04-10
SV0480,C00027,5,Great service,2020-01-13
SV0481,C00454,4,Happy with Zain,2022-04-14
SV0482,C00084,1,Network issue,2022-12-01
SV0483,C00127,5,Too expensive,2020-11-28
SV0484,C00013,3,Network issue,2021-07-18
SV0485,C00057,2,Network issue,2021-04-22
SV0486,C00457,3,Network issue,2025-06-04
SV0487,C00042,2,Network issue,2021-08-07
SV0488,C00022,4,Happy with Zain,2020-02-12
SV0489,C00041,5,Network issue,2023-12-31
SV0490,C00460,4,Great service,2022-12-23
SV0491,C00299,2,Happy with Zain,2020-01-17
SV0492,C00449,1,Happy with Zain,2024-06-29
SV0493,C00481,4,Too expensive,2021-05-07
SV0494,C00196,5,Too expensive,2023-04-20
SV0495,C00217,4,Network issue,2020-06-04
SV0496,C00431,3,Network issue,2025-02-01
SV0497,C00381,5,Too expensive,2024-12-26
SV0498,C00280,2,Network issue,2020-08-26
SV0499,C00377,5,Too expensive,2025-08-10
SV0500,C00197,3,Too expensive,2022-10-25
SV0501,C00376,2,Great service,2025-05-02
SV0502,C00099,2,Network issue,2022-11-17
SV0503,C00169,1,Great service,2024-05-11
SV0504,C00351,3,Happy with Zain,2021-12-27
SV0505,C00041,4,Great service,2025-06-28
SV0506,C00257,5,Happy with Zain,2023-05-13
SV0507,C00283,4,Great service,2025-06-26
SV0508,C00383,1,Happy with Zain,2021-03-17
SV0509,C00354,5,Happy with Zain,2020-08-24
SV0510,C00278,2,Happy with Zain,2020-06-27
SV0511,C00023,1,Network issue,2024-06-24
SV0512,C00352,5,Happy with Zain,2024-06-27
SV0513,C00462,1,Too expensive,2022-08-09
SV0514,C00065,4,Network issue,2021-11-14
SV0515,C00127,4,Happy with Zain,2020-06-02
SV0516,C00378,5,Too expensive,2021-07-08
SV0517,C00108,4,Happy with Zain,2020-03-20
SV0518,C00166,2,Too expensive,2020-11-04
SV0519,C00163,4,Great service,2021-02-24
SV0520,C00356,3,Great service,2022-06-03
SV0521,C00128,1,Network issue,2025-09-04
SV0522,C00406,1,Happy with Zain,2024-03-02
SV0523,C00447,3,Too expensive,2020-10-17
SV0524,C00127,2,Great service,2020-10-02
SV0525,C00448,2,Network issue,2021-07-29
SV0526,C00268,5,Happy with Zain,2020-10-17
SV0527,C00147,2,Network issue,2021-12-17
SV0528,C00480,3,Network issue,2021-09-23
SV0529,C00199,1,Network issue,2024-01-14
SV0530,C00154,2,Happy with Zain,2023-01-14
SV0531,C00059,5,Too expensive,2021-02-22
SV0532,C00109,3,Network issue,2021-03-14
SV0533,C00495,5,Great service,2024-04-11
SV0534,C00376,2,Great service,2020-05-02
SV0535,C00354,4,Great service,2022-08-30
SV0536,C00269,2,Too expensive,2022-02-23
SV0537,C00087,4,Happy with Zain,2022-04-12
SV0538,C00176,2,Network issue,2021-08-26
SV0539,C00419,5,Too expensive,2024-07-15
SV0540,C00486,4,Network issue,2025-09-25
SV0541,C00188,3,Too expensive,2025-02-13
SV0542,C00377,2,Great service,2024-10-30
SV0543,C00237,3,Too expensive,2021-11-12
SV0544,C00189,1,Happy with Zain,2021-07-09
SV0545,C00335,5,Great service,2020-01-21
SV0546,C00255,4,Great service,2024-11-15
SV0547,C00408,2,Great service,2025-08-26
SV0548,C00042,1,Network issue,2024-10-12
SV0549,C00098,3,Great service,2020-05-02
SV0550,C00406,5,Network issue,2021-01-25
SV0551,C00285,2,Happy with Zain,2023-08-28
SV0552,C00001,3,Happy with Zain,2025-02-04
SV0553,C00109,5,Network issue,2021-06-24
SV0554,C00394,4,Too expensive,2020-09-27
SV0555,C00342,5,Great service,2021-10-25
SV0556,C00256,3,Network issue,2024-10-17
SV0557,C00383,3,Network issue,2020-07-19
SV0558,C00417,4,Too expensive,2020-04-29
SV0559,C00192,3,Happy with Zain,2025-05-25
SV0560,C00191,5,Great service,2025-03-10
SV0561,C00191,4,Great service,2023-03-30
SV0562,C00121,4,Happy with Zain,2024-08-07
SV0563,C00144,3,Too expensive,2023-03-25
SV0564,C00067,5,Network issue,2021-12-30
SV0565,C00455,2,Too expensive,2023-04-20
SV0566,C00448,3,Happy with Zain,2021-07-24
SV0567,C00368,1,Great service,2023-12-19
SV0568,C00392,2,Great service,2021-07-20
SV0569,C00277,3,Too expensive,2022-12-29
SV0570,C00234,4,Too expensive,2021-09-28
SV0571,C00307,4,Network issue,2024-02-29
SV0572,C00437,2,Network issue,2023-06-18
SV0573,C00223,1,Too expensive,2021-05-13
SV0574,C00180,3,Great service,2023-04-22
SV0575,C00415,5,Happy with Zain,2024-12-25
SV0576,C00264,5,Too expensive,2024-04-29
SV0577,C00210,3,Network issue,2021-11-21
SV0578,C00248,5,Great service,2025-08-02
SV0579,C00294,2,Great service,2025-06-06
SV0580,C00435,3,Network issue,2023-01-28
SV0581,C00249,3,Network issue,2024-03-24
SV0582,C00499,5,Happy with Zain,2023-12-31
SV0583,C00351,3,Network issue,2024-07-15
SV0584,C00063,4,Great service,2020-07-26
SV0585,C00144,2,Too expensive,2020-03-20
SV0586,C00225,5,Happy with Zain,2023-10-26
SV0587,C00338,2,Too expensive,2025-03-07
SV0588,C00442,5,Too expensive,2020-03-02
SV0589,C00268,3,Great service,2021-10-29
