record_id,region,signal_strength,latency_ms,downtime_minutes,date
NP00054,Muharraq,3,75,21,2024-01-22
NP00055,Muharraq,3,69,8,2023-02-28
NP00056,Isa Town,2,113,21,2021-11-29
NP00057,Riffa,3,133,48,2021-07-27
NP00058,Riffa,2,59,33,2022-04-17
NP00059,Isa Town,3,126,11,2023-04-26
NP00060,Muharraq,5,114,53,2020-07-14
NP00061,Manama,5,124,24,2023-10-04
NP00062,Muharraq,5,108,56,2023-12-18
NP00063,Muharraq,2,73,33,2022-11-09
NP00064,Manama,3,68,3,2023-01-27
NP00065,Riffa,5,69,42,2024-03-07
NP00066,Isa Town,5,124,57,2022-10-20
NP00067,Isa Town,3,180,60,2023-07-12
NP00068,Isa Town,3,66,19,2021-09-17
NP00069,Muharraq,2,34,57,2025-08-04
NP00070,Muharraq,3,78,26,2020-05-20
NP00071,Isa Town,3,166,38,2020-06-13
NP00072,Riffa,5,54,28,2022-08-09
NP00073,Isa Town,4,84,27,2024-02-09
NP00074,Muharraq,1,15,34,2021-04-11
NP00075,Muharraq,2,121,30,2021-05-06
NP00076,Riffa,5,28,20,2021-09-28
NP00077,Muharraq,2,142,7,2022-06-08
NP00078,Manama,2,155,49,2025-04-13
NP00079,Isa Town,4,42,37,2021-06-25
NP00080,Manama,3,19,23,2022-12-31
NP00081,Riffa,4,70,54,2021-03-29
NP00082,Isa Town,3,36,6,2023-04-19
NP00083,Manama,2,184,52,2024-03-22
NP00084,Manama,5,125,60,2020-12-05
NP00085,Manama,5,183,46,2024-12-22
NP00086,Muharraq,5,39,22,2022-12-03
NP00087,Riffa,4,186,21,2021-06-20
NP00088,Riffa,5,154,4,2020-08-09
NP00089,Muharraq,5,84,10,2025-03-30
NP00090,Riffa,5,160,8,2025-03-03
NP00091,Isa Town,4,12,57,2025-09-18
NP00092,Riffa,3,200,58,2022-12-13
NP00093,Manama,4,44,39,2025-04-27
NP00094,Riffa,2,105,47,2022-07-11
NP00095,Isa Town,2,99,4,2024-10-08
NP00096,Muharraq,2,72,50,2022-04-12
NP00097,Isa Town,3,171,39,2021-09-29
NP00098,Riffa,5,41,45,2025-04-16
NP00099,Muharraq,5,123,7,2025-05-29
NP00100,Manama,3,111,51,2020-01-14
NP00101,Riffa,1,159,37,2021-07-14
NP00102,Riffa,5,62,59,2020-10-19
NP00103,Isa Town,2,176,6,2023-08-21
NP00104,Muharraq,1,82,15,2021-11-19
NP00105,Riffa,1,152,21,2023-06-05
NP00106,Muharraq,3,30,10,2024-09-03
NP00107,Isa Town,1,194,21,2020-08-23
NP00108,Muharraq,3,155,57,2025-07-17
NP00109,Manama,2,44,48,2023-04-09
NP00110,Riffa,4,116,38,2023-06-09
NP00111,Riffa,2,16,24,2021-10-18
NP00112,Riffa,4,174,30,2023-03-02
NP00113,Riffa,3,14,17,2023-07-17
NP00114,Muharraq,4,91,42,2021-03-29
NP00115,Isa Town,1,35,37,2025-08-20
NP00116,Isa Town,3,193,8,2020-07-26
NP00117,Isa Town,1,104,51,2022-03-28
NP00118,Muharraq,2,46,31,2023-09-11
NP00119,Muharraq,3,40,28,2020-11-27
NP00120,Isa Town,3,27,57,2023-12-07
NP00121,Muharraq,4,164,60,2020-05-04
NP00122,Riffa,5,66,21,2024-04-12
NP00123,Riffa,4,12,4,2023-12-24
NP00124,Manama,3,199,3,2023-05-04
NP00125,Manama,5,144,18,2022-01-15
NP00126,Muharraq,3,101,52,2023-10-08
NP00127,Manama,4,55,12,2022-10-11
NP00128,Riffa,4,87,26,2023-11-24
NP00129,Manama,5,82,43,2023-07-21
NP00130,Riffa,4,163,41,2020-05-01
NP00131,Isa Town,3,95,53,2021-04-10
NP00132,Riffa,5,37,4,2024-03-13
NP00133,Muharraq,4,46,23,2020-09-06
NP00134,Riffa,1,120,56,2020-04-03
NP00135,Isa Town,3,116,48,2022-02-01
NP00136,Riffa,3,39,38,2024-05-09
NP00137,Isa Town,2,197,59,2021-05-13
NP00138,Muharraq,2,91,9,2022-11-21
NP00139,Manama,3,183,41,2020-08-28
NP00140,Isa Town,4,41,17,2020-11-27
NP00141,Riffa,3,83,47,2022-04-08
NP00142,Isa Town,5,90,36,2024-06-02
NP00143,Isa Town,3,191,27,2020-10-26
NP00144,Riffa,4,186,14,2022-03-29
NP00145,Isa Town,1,199,58,2024-02-22
NP00146,Isa Town,1,53,55,2024-01-29
NP00147,Manama,2,153,47,2021-11-11
NP00148,Manama,4,74,39,2022-12-13
NP00149,Riffa,1,111,48,2023-06-17
NP00150,Isa Town,1,80,29,2024-01-04
NP00151,Isa Town,2,75,60,2020-08-23
NP00152,Muharraq,1,190,38,2024-01-20
NP00153,Riffa,3,26,48,2024-07-03
NP00154,Riffa,5,125,44,2025-04-16
NP00155,Manama,2,159,39,2025-05-17
NP00156,Muharraq,2,113,36,2024-12-04
NP00157,Muharraq,1,18,4,2020-07-19
NP00158,Muharraq,4,76,46,2022-09-21
NP00159,Riffa,3,125,36,2022-05-26
NP00160,Isa Town,2,28,24,2021-10-19
NP00161,Muharraq,1,106,50,2020-12-24
NP00162,Isa Town,5,50,26,2025-05-22
NP00163,Muharraq,2,163,51,2020-08-09
NP00164,Isa Town,2,125,26,2020-01-30
NP00165,Riffa,5,34,56,2023-10-27
NP00166,Manama,3,87,44,2022-10-03
NP00167,Manama,1,27,34,2021-03-23
NP00168,Manama,4,122,4,2020-11-05
NP00169,Riffa,4,164,18,2024-03-29
NP00170,Riffa,2,163,21,2025-04-26
NP00171,Muharraq,2,53,44,2023-05-01
NP00172,Riffa,5,165,44,2022-08-28
NP00173,Manama,3,50,49,2023-10-22
NP00174,Manama,4,129,12,2025-06-12
NP00175,Muharraq,1,116,6,2025-08-23
NP00176,Riffa,4,131,36,2020-12-12
NP00177,Riffa,2,191,34,2022-01-09
NP00178,Manama,4,42,24,2023-01-16
NP00179,Isa Town,5,183,34,2020-10-02
NP00180,Riffa,4,88,57,2020-05-08
NP00181,Isa Town,4,19,26,2025-05-12
NP00182,Isa Town,1,153,40,2021-09-09
NP00183,Muharraq,1,10,23,2021-06-15
NP00184,Muharraq,1,187,56,2025-06-08
NP00185,Isa Town,4,135,16,2025-03-20
NP00186,Riffa,5,82,26,2022-04-16
NP00187,Isa Town,5,161,14,2022-07-22
NP00188,Manama,2,185,51,2021-10-31
NP00189,Riffa,3,179,49,2020-12-26
NP00190,Manama,1,123,34,2023-11-15
NP00191,Isa Town,1,146,27,2024-10-21
NP00192,Manama,3,177,37,2023-02-13
NP00193,Muharraq,1,12,19,2020-09-23
NP00194,Manama,4,161,54,2021-07-08
NP00195,Riffa,4,136,33,2020-09-29
NP00196,Riffa,3,18,43,2021-09-01
NP00197,Isa Town,2,140,7,2020-02-01
NP00198,Riffa,2,25,9,2022-05-06
NP00199,Riffa,1,146,51,2023-01-24
NP00200,Isa Town,5,190,55,2024-02-14
NP00201,Manama,2,196,12,2024-03-22
NP00202,Manama,5,36,0,2024-01-24
NP00203,Riffa,3,14,36,2025-06-16
NP00204,Riffa,2,115,56,2025-08-09
NP00205,Isa Town,3,20,38,2020-06-18
NP00206,Manama,3,21,58,2021-03-06
NP00207,Muharraq,2,139,32,2024-10-04
NP00208,Muharraq,5,195,35,2024-05-30
NP00209,Riffa,2,171,12,2022-10-07
NP00210,Isa Town,1,199,50,2021-02-10
NP00211,Riffa,1,195,22,2025-03-28
NP00212,Riffa,2,146,43,2023-04-09
NP00213,Isa Town,1,84,5,2020-11-10
NP00214,Isa Town,4,189,19,2023-05-25
NP00215,Isa Town,2,23,14,2020-02-16
NP00216,Riffa,3,43,16,2022-08-26
NP00217,Manama,5,197,15,2022-04-02
NP00218,Manama,5,123,58,2023-09-20
NP00219,Riffa,5,95,20,2024-08-02
NP00220,Manama,3,186,27,2024-01-21
NP00221,Riffa,2,116,37,2022-01-18
NP00222,Riffa,5,88,30,2024-11-07
NP00223,Riffa,5,26,41,2020-09-19
NP00224,Manama,4,102,8,2020-02-09
NP00225,Isa Town,2,121,59,2021-02-20
NP00226,Manama,5,115,52,2024-01-13
NP00227,Muharraq,2,79,25,2023-10-28
NP00228,Isa Town,5,175,12,2020-02-29
NP00229,Isa Town,5,46,27,2023-02-12
NP00230,Isa Town,3,76,4,2025-04-13
NP00231,Muharraq,5,191,40,2021-06-11
NP00232,Isa Town,4,152,6,2020-12-10
NP00233,Manama,1,75,40,2025-02-26
NP00234,Manama,2,134,16,2021-07-20
NP00235,Riffa,2,200,32,2021-01-26
NP00236,Isa Town,5,56,40,2023-09-20
NP00237,Muharraq,1,189,45,2025-09-22
NP00238,Manama,2,99,5,2024-08-29
NP00239,Riffa,1,134,43,2022-10-04
NP00240,Manama,3,183,37,2024-05-03
NP00241,Muharraq,1,123,47,2024-10-03
NP00242,Isa Town,3,188,6,2020-07-13
NP00243,Muharraq,5,119,23,2024-03-09
NP00244,Riffa,2,156,45,2024-09-23
NP00245,Muharraq,4,88,44,2023-02-03
NP00246,Isa Town,4,43,14,2022-08-07
NP00247,Isa Town,3,99,51,2021-01-14
NP00248,Isa Town,2,35,25,2022-08-17
NP00249,Muharraq,1,156,25,2020-01-04
NP00250,Muharraq,2,170,44,2023-08-06
NP00251,Isa Town,2,123,25,2023-05-31
NP00252,Manama,1,82,27,2020-06-30
NP00253,Isa Town,1,36,45,2020-06-01
NP00254,Muharraq,2,101,37,2021-05-08
NP00255,Riffa,3,194,55,2021-09-30
NP00256,Muharraq,4,61,49,2022-01-10
NP00257,Isa Town,4,37,58,2020-08-19
NP00258,Isa Town,1,89,2,2021-04-18
NP00259,Isa Town,4,58,42,2025-04-03
NP00260,Isa Town,4,136,58,2020-07-27
NP00261,Isa Town,5,126,51,2024-12-08
NP00262,Isa Town,5,16,53,2024-12-13
NP00263,Isa Town,3,111,8,2025-09-13
NP00264,Riffa,1,195,6,2023-05-25
NP00265,Isa Town,5,49,0,2021-08-30
NP00266,Riffa,4,49,57,2024-02-24
NP00267,Manama,2,175,48,2024-04-26
NP00268,Riffa,2,97,39,2023-01-04
NP00269,Riffa,3,149,1,2021-07-30
NP00270,Manama,4,93,30,2021-03-19
NP00271,Manama,5,34,13,2021-02-12
NP00272,Riffa,3,125,13,2025-02-22
NP00273,Muharraq,2,188,26,2021-02-24
NP00274,Muharraq,5,35,20,2021-12-28
NP00275,Muharraq,2,21,30,2024-10-01
NP00276,Muharraq,4,117,14,2023-02-25
NP00277,Muharraq,2,12,7,2024-07-20
NP00278,Muharraq,4,188,49,2023-05-04
NP00279,Muharraq,1,171,52,2023-09-17
NP00280,Muharraq,4,182,21,2024-11-30
NP00281,Manama,4,167,42,2022-08-15
NP00282,Isa Town,1,151,34,2023-04-04
NP00283,Manama,2,45,16,2025-04-12
NP00284,Muharraq,3,176,25,2024-11-16
NP00285,Muharraq,1,181,29,2022-04-22
NP00286,Riffa,1,200,44,2022-11-08
NP00287,Riffa,3,33,29,2024-02-05
NP00288,Isa Town,2,36,26,2025-03-05
NP00289,Manama,1,95,49,2020-12-14
NP00290,Muharraq,5,183,27,2022-07-15
NP00291,Riffa,1,25,41,2024-03-17
NP00292,Muharraq,4,92,49,2020-03-21
NP00293,Muharraq,4,42,40,2024-04-03
NP00294,Manama,3,27,41,2025-06-16
NP00295,Muharraq,4,137,31,2020-03-27
NP00296,Muharraq,5,170,38,2023-01-01
NP00297,Riffa,4,149,45,2023-07-29
NP00298,Manama,2,79,53,2025-02-03
NP00299,Muharraq,3,53,2,2020-04-28
NP00300,Muharraq,4,127,45,2021-08-10
NP00301,Riffa,4,36,9,2021-06-12
NP00302,Riffa,1,151,31,2021-11-02
NP00303,Riffa,3,199,31,2020-04-29
NP00304,Isa Town,1,117,37,2024-09-08
NP00305,Muharraq,1,134,19,2021-06-16
NP00306,Manama,2,119,25,2021-03-07
NP00307,Isa Town,4,134,52,2024-03-31
NP00308,Manama,2,192,43,2021-03-07
NP00309,Muharraq,3,27,22,2024-01-11
NP00310,Riffa,3,95,57,2025-05-04
NP00311,Riffa,4,93,31,2022-10-17
NP00312,Isa Town,4,20,3,2022-05-31
NP00313,Riffa,2,89,24,2020-02-13
NP00314,Isa Town,3,101,4,2023-06-20
NP00315,Isa Town,3,175,1,2024-01-19
NP00316,Manama,3,152,37,2020-07-23
NP00317,Riffa,5,168,14,2025-05-24
NP00318,Muharraq,3,74,34,2025-05-14
NP00319,Riffa,5,11,0,2020-02-01
NP00320,Manama,4,180,36,2023-09-04
NP00321,Muharraq,3,93,3,2020-02-13
NP00322,Riffa,4,77,36,2022-08-25
NP00323,Riffa,2,76,17,2020-07-08
NP00324,Manama,3,148,30,2025-01-22
NP00325,Isa Town,1,112,27,2022-12-17
NP00326,Riffa,2,150,43,2022-09-28
NP00327,Muharraq,4,51,30,2024-10-04
NP00328,Muharraq,2,95,30,2020-08-13
NP00329,Riffa,2,29,20,2020-01-14
NP00330,Riffa,5,27,28,2021-11-20
NP00331,Muharraq,1,43,7,2020-01-14
NP00332,Manama,2,15,16,2025-03-04
NP00333,Riffa,2,173,0,2024-09-30
NP00334,Isa Town,1,172,20,2021-04-14
NP00335,Riffa,4,145,19,2023-06-04
NP00336,Riffa,1,39,55,2025-08-16
NP00337,Manama,3,53,25,2023-03-23
NP00338,Muharraq,4,63,50,2023-11-16
NP00339,Muharraq,4,19,16,2022-04-12
NP00340,Manama,5,53,54,2023-04-27
NP00341,Isa Town,2,25,4,2021-08-29
NP00342,Riffa,5,19,30,2022-02-20
NP00343,Riffa,5,94,19,2022-10-06
NP00344,Riffa,3,179,41,2022-04-22
NP00345,Manama,5,198,20,2025-08-21
NP00346,Muharraq,3,197,44,2021-05-23
NP00347,Muharraq,4,127,50,2020-12-08
NP00348,Muharraq,4,17,60,2021-12-04
NP00349,Isa Town,5,179,9,2025-08-22
NP00350,Manama,4,71,57,2020-10-22
NP00351,Muharraq,2,183,43,2020-09-22
NP00352,Riffa,2,149,15,2020-05-28
NP00353,Riffa,2,32,48,2024-06-16
NP00354,Manama,1,10,52,2022-11-24
NP00355,Muharraq,5,37,30,2022-02-21
NP00356,Manama,2,100,5,2023-02-09
NP00357,Riffa,3,192,58,2023-08-05
NP00358,Manama,3,41,37,2020-03-11
NP00359,Muharraq,3,179,13,2021-10-04
NP00360,Muharraq,4,96,2,2023-12-16
NP00361,Manama,4,25,53,2025-01-15
NP00362,Isa Town,4,27,47,2021-03-27
NP00363,Muharraq,2,128,2,2022-04-09
NP00364,Muharraq,2,47,34,2024-04-16
NP00365,Muharraq,4,193,15,2022-03-08
NP00366,Manama,1,182,20,2024-06-05
NP00367,Riffa,2,23,9,2021-07-31
NP00368,Riffa,1,116,34,2024-02-23
NP00369,Isa Town,2,194,60,2022-07-04
NP00370,Manama,2,117,50,2022-09-02
NP00371,Muharraq,4,25,42,2022-10-20
NP00372,Muharraq,5,78,13,2022-11-06
NP00373,Isa Town,5,162,31,2023-12-15
NP00374,Manama,4,179,5,2024-04-24
NP00375,Riffa,2,132,10,2020-09-18
NP00376,Muharraq,4,41,49,2025-03-05
NP00377,Manama,2,54,43,2021-06-25
NP00378,Isa Town,4,194,36,2024-08-22
NP00379,Riffa,2,60,23,2022-08-30
NP00380,Riffa,4,177,30,2020-12-05
NP00381,Riffa,5,150,39,2023-04-15
NP00382,Manama,1,134,16,2024-02-03
NP00383,Riffa,4,113,60,2022-12-23
NP00384,Isa Town,1,94,36,2023-04-08
NP00385,Isa Town,4,70,53,2022-01-17
NP00386,Isa Town,2,162,48,2022-11-03
NP00387,Isa Town,1,47,14,2020-04-25
NP00388,Isa Town,5,150,56,2025-06-17
NP00389,Manama,5,17,34,2020-02-11
NP00390,Isa Town,4,33,35,2024-09-04
NP00391,Muharraq,4,99,6,2023-07-27
NP00392,Manama,5,86,57,2021-05-15
NP00393,Riffa,2,153,38,2021-10-09
NP00394,Isa Town,4,66,28,2023-09-09
NP00395,Muharraq,4,178,47,2023-12-04
NP00396,Muharraq,4,138,19,2020-09-02
NP00397,Riffa,2,31,58,2023-12-01
NP00398,Manama,2,102,41,2022-04-10
NP00399,Muharraq,3,29,29,2021-10-16
NP00400,Manama,5,37,44,2020-09-10
NP00401,Isa Town,3,180,2,2025-08-25
NP00402,Riffa,4,76,36,2023-06-07
NP00403,Isa Town,3,45,31,2022-07-12
NP00404,Muharraq,1,183,55,2022-07-05
NP00405,Isa Town,2,110,52,2022-02-07
NP00406,Muharraq,2,123,3,2025-07-30
NP00407,Riffa,3,170,6,2023-03-24
NP00408,Riffa,1,146,22,2023-06-16
NP00409,Muharraq,5,46,56,2020-08-21
NP00410,Muharraq,2,93,47,2022-06-04
NP00411,Manama,3,130,6,2022-05-14
NP00412,Muharraq,4,39,8,2025-09-01
NP00413,Muharraq,3,100,2,2020-12-27
NP00414,Manama,2,151,1,2024-10-17
NP00415,Riffa,4,145,41,2023-12-08
NP00416,Manama,5,166,19,2024-08-21
NP00417,Riffa,3,129,58,2022-02-18
NP00418,Manama,3,93,1,2025-07-23
NP00419,Muharraq,3,200,16,2020-05-28
NP00420,Isa Town,1,173,46,2025-09-10
NP00421,Riffa,3,109,25,2025-07-04
NP00422,Isa Town,2,128,49,2023-11-11
NP00423,Riffa,3,195,54,2024-12-30
NP00424,Isa Town,3,75,58,2020-12-08
NP00425,Riffa,5,49,55,2020-12-28
NP00426,Muharraq,1,114,29,2020-02-07
NP00427,Isa Town,5,99,4,2022-09-02
NP00428,Isa Town,5,96,45,2024-09-27
NP00429,Riffa,3,164,23,2022-03-20
NP00430,Riffa,1,96,5,2022-12-06
NP00431,Isa Town,4,93,37,2024-07-30
NP00432,Muharraq,2,63,34,2025-06-13
NP00433,Riffa,1,24,24,2025-05-06
NP00434,Riffa,1,11,3,2025-04-06
NP00435,Manama,2,193,51,2024-05-19
NP00436,Manama,5,158,3,2024-10-21
NP00437,Riffa,5,103,32,2022-01-16
NP00438,Isa Town,1,170,15,2022-06-07
NP00439,Riffa,5,114,25,2022-01-27
NP00440,Manama,2,191,60,2024-01-16
NP00441,Isa Town,5,58,17,2025-09-27
NP00442,Isa Town,4,120,47,2021-09-02
NP00443,Isa Town,4,132,13,2025-02-22
NP00444,Riffa,2,177,19,2025-03-02
NP00445,Riffa,1,139,31,2024-03-11
NP00446,Isa Town,4,34,16,2024-08-21
NP00447,Manama,4,86,48,2020-10-06
NP00448,Muharraq,1,167,11,2021-04-24
NP00449,Riffa,1,175,21,2024-08-20
NP00450,Manama,4,99,19,2020-10-29
NP00451,Isa Town,1,49,19,2024-08-06
NP00452,Riffa,2,43,36,2022-04-27
NP00453,Muharraq,4,91,4,2022-12-04
NP00454,Isa Town,3,17,21,2022-08-01
NP00455,Manama,5,47,37,2020-11-30
NP00456,Riffa,5,90,48,2025-08-17
NP00457,Isa Town,5,84,57,2024-04-30
NP00458,Muharraq,1,84,52,2021-08-26
NP00459,Isa Town,3,140,45,2020-06-04
NP00460,Manama,2,109,49,2022-06-09
NP00461,Muharraq,2,31,58,2024-11-06
NP00462,Muharraq,2,10,16,2023-09-03
NP00463,Manama,4,25,34,2022-02-22
NP00464,Manama,5,98,42,2024-09-28
NP00465,Isa Town,2,180,26,2021-05-18
NP00466,Muharraq,2,81,32,2020-03-15
NP00467,Manama,3,143,32,2023-04-05
NP00468,Muharraq,2,16,24,2020-04-09
NP00469,Manama,1,186,37,2025-03-16
NP00470,Riffa,2,178,47,2025-01-14
NP00471,Muharraq,5,68,26,2022-06-05
NP00472,Manama,5,58,4,2023-08-01
NP00473,Manama,2,194,19,2025-03-23
NP00474,Isa Town,4,147,20,2024-11-21
NP00475,Muharraq,1,55,54,2024-12-29
NP00476,Muharraq,5,19,4,2021-08-22
NP00477,Isa Town,4,89,39,2020-07-01
NP00478,Isa Town,1,119,25,2025-09-03
NP00479,Riffa,1,103,17,2021-11-04
NP00480,Riffa,5,156,53,2022-10-11
NP00481,Isa Town,3,196,53,2020-07-09
NP00482,Muharraq,3,110,26,2022-08-22
NP00483,Muharraq,3,141,55,2023-08-17
NP00484,Muharraq,3,89,17,2025-03-26
NP00485,Isa Town,2,20,48,2022-11-11
NP00486,Manama,5,13,7,2024-06-07
NP00487,Isa Town,3,70,37,2020-06-14
NP00488,Riffa,2,172,11,2020-08-21
NP00489,Muharraq,3,196,49,2022-07-31
NP00490,Muharraq,1,51,46,2020-09-02
NP00491,Isa Town,5,117,52,2023-12-11
NP00492,Manama,5,36,41,2023-02-09
NP00493,Muharraq,4,147,35,2022-10-25
NP00494,Muharraq,2,90,34,2024-02-04
NP00495,Isa Town,2,194,51,2024-08-09
NP00496,Manama,1,78,43,2023-11-21
NP00497,Manama,2,113,5,2020-12-01
NP00498,Isa Town,3,81,12,2020-05-13
NP00499,Manama,1,70,35,2022-10-04
NP00500,Muharraq,3,33,24,2022-12-31
NP00501,Riffa,1,144,29,2020-04-15
NP00502,Manama,2,194,37,2024-12-31
NP00503,Muharraq,5,124,50,2024-02-22
NP00504,Manama,1,177,18,2023-10-13
NP00505,Muharraq,4,197,46,2024-02-11
NP00506,Isa Town,3,147,37,2022-04-26
NP00507,Muharraq,5,152,22,2024-11-01
NP00508,Isa Town,3,196,37,2023-07-06
NP00509,Manama,4,183,59,2020-10-01
NP00510,Manama,2,140,12,2022-12-23
NP00511,Isa Town,4,134,42,2022-06-05
NP00512,Isa Town,2,61,44,2021-10-26
NP00513,Manama,3,198,19,2022-06-08
NP00514,Riffa,1,18,55,2023-02-26
NP00515,Riffa,2,14,58,2023-05-12
NP00516,Manama,2,163,42,2024-09-03
NP00517,Isa Town,1,113,15,2024-02-04
NP00518,Isa Town,2,91,44,2025-08-23
NP00519,Riffa,3,15,60,2023-03-20
NP00520,Riffa,2,70,15,2024-09-27
NP00521,Manama,2,177,21,2025-01-09
NP00522,Manama,1,28,36,2025-02-16
NP00523,Manama,3,50,33,2023-08-12
NP00524,Isa Town,4,42,38,2025-04-03
NP00525,Manama,4,65,48,2024-10-05
NP00526,Riffa,2,76,55,2025-09-21
NP00527,Manama,5,178,4,2024-08-14
NP00528,Riffa,4,40,4,2022-06-07
NP00529,Manama,1,101,42,2021-07-29
NP00530,Isa Town,3,96,40,2021-09-19
NP00531,Manama,4,180,19,2022-04-21
NP00532,Isa Town,2,93,12,2022-07-09
NP00533,Riffa,5,96,55,2021-09-12
NP00534,Manama,5,60,21,2021-06-18
NP00535,Muharraq,4,74,11,2022-08-07
NP00536,Manama,5,93,47,2020-09-30
NP00537,Manama,1,125,30,2025-08-13
NP00538,Muharraq,3,139,47,2024-01-04
NP00539,Riffa,2,76,58,2022-06-14
NP00540,Riffa,1,95,41,2021-09-24
NP00541,Muharraq,2,49,28,2025-02-23
NP00542,Isa Town,1,39,17,2025-05-30
NP00543,Muharraq,1,29,53,2022-08-04
NP00544,Manama,5,122,39,2024-04-15
NP00545,Manama,5,41,26,2022-01-12
NP00546,Manama,2,36,45,2024-09-08
NP00547,Isa Town,3,63,55,2020-09-06
NP00548,Muharraq,2,84,10,2024-12-03
NP00549,Riffa,2,130,40,2021-10-22
NP00550,Muharraq,4,75,35,2024-03-08
NP00551,Isa Town,4,81,25,2020-12-11
NP00552,Isa Town,2,123,5,2021-03-11
NP00553,Manama,3,200,53,2023-09-16
NP00554,Isa Town,1,54,35,2021-08-13
NP00555,Muharraq,1,141,5,2020-01-24
NP00556,Manama,4,128,19,2020-09-27
NP00557,Manama,3,178,39,2021-12-04
NP00558,Muharraq,1,61,6,2020-04-11
NP00559,Riffa,2,182,42,2024-03-27
NP00560,Muharraq,3,149,50,2020-02-13
NP00561,Muharraq,1,73,52,2024-01-31
NP00562,Riffa,3,36,28,2020-03-17
NP00563,Isa Town,5,29,6,2021-04-02
NP00564,Manama,3,92,54,2022-05-01
NP00565,Manama,3,126,10,2024-05-03
NP00566,Muharraq,4,51,4,2025-02-15
NP00567,Riffa,2,91,8,2021-07-27
NP00568,Riffa,4,159,15,2023-02-24
NP00569,Manama,4,50,37,2021-04-20
NP00570,Muharraq,3,48,39,2023-07-10
NP00571,Manama,2,119,12,2020-01-08
NP00572,Manama,4,106,2,2024-06-14
NP00573,Isa Town,4,140,35,2021-03-19
NP00574,Muharraq,3,17,51,2021-06-03
NP00575,Isa Town,5,104,48,2022-01-21
NP00576,Muharraq,1,35,52,2023-02-15
NP00577,Isa Town,2,196,17,2020-04-24
NP00578,Manama,5,54,60,2023-05-15
NP00579,Riffa,5,21,23,2021-05-20
NP00580,Isa Town,3,94,46,2021-08-28
NP00581,Riffa,1,131,32,2020-10-07
NP00582,Isa Town,5,59,40,2024-07-29
NP00583,Isa Town,3,175,23,2020-10-31
NP00584,Manama,4,158,3,2022-01-31
NP00585,Riffa,4,14,31,2021-07-25
NP00586,Manama,4,184,60,2025-09-23
NP00587,Isa Town,1,76,42,2020-11-22
NP00588,Manama,4,14,33,2021-10-05
NP00589,Manama,4,76,26,2023-05-01
NP00590,Manama,5,60,45,2025-04-04
NP00591,Isa Town,4,95,14,2020-07-22
NP00592,Manama,5,108,24,2023-03-16
NP00593,Riffa,1,44,37,2021-05-27
NP00594,Manama,3,79,12,2023-02-16
NP00595,Riffa,5,46,10,2021-11-03
NP00596,Isa Town,1,89,17,2025-01-14
NP00597,Isa Town,4,150,9,2024-08-09
NP00598,Muharraq,2,107,16,2020-03-25
NP00599,Riffa,3,111,12,2024-12-24
