usage_id,customer_id,date,data_used_gb,app_category
U161,C006,2024-09-24,1.89,Education
U162,C075,2024-12-03,7.44,Streaming
U163,C008,2025-08-06,9.59,Social Media
U164,C044,2025-01-17,5.54,Social Media
U165,C079,2024-11-21,2.5,Gaming
U166,C058,2024-11-26,2.99,Gaming
U167,C009,2024-09-14,5.33,Gaming
U168,C053,2024-11-12,8.78,Gaming
U169,C088,2025-01-20,6.41,Work
U170,C095,2024-09-26,0.74,Gaming
U171,C010,2025-07-05,7.9,Education
U172,C007,2025-08-09,8.25,Gaming
U173,C054,2025-07-03,3.58,Streaming
U174,C010,2025-01-15,1.07,Work
U175,C019,2025-09-03,5.09,Education
U176,C034,2024-10-23,2.13,Gaming
U177,C080,2025-08-01,4.73,Social Media
U178,C025,2024-12-03,3.81,Gaming
U179,C015,2025-01-13,0.79,Education
U180,C078,2025-01-10,5.06,Social Media
U181,C064,2025-06-01,8.12,Education
U182,C091,2025-08-06,3.06,Social Media
U183,C030,2024-12-03,1.18,Social Media
U184,C048,2025-02-07,7.17,Gaming
U185,C095,2025-03-15,2.51,Gaming
U186,C090,2025-04-02,0.22,Gaming
U187,C067,2025-04-05,0.37,Streaming
U188,C049,2025-05-24,8.09,Streaming
U189,C056,2024-11-27,5.9,Work
U190,C072,2024-11-21,1.44,Gaming
U191,C097,2025-06-22,5.96,Gaming
U192,C059,2024-11-21,2.76,Education
U193,C024,2024-11-10,3.33,Work
U194,C054,2025-07-20,5.71,Gaming
U195,C053,2025-02-03,6.53,Education
U196,C036,2024-11-10,0.68,Gaming
U197,C019,2025-02-15,4.15,Social Media
U198,C022,2024-09-14,0.66,Social Media
U199,C061,2025-03-27,5.55,Gaming
U200,C031,2025-01-16,4.77,Social Media
U201,C004,2025-06-12,8.47,Social Media
U202,C041,2025-03-28,2.36,Social Media
U203,C020,2025-05-06,0.67,Gaming
U204,C005,2024-10-26,7.36,Social Media
U205,C052,2025-07-13,2.08,Work
U206,C051,2025-06-27,2.29,Gaming
U207,C065,2025-06-14,4.22,Education
U208,C003,2024-10-15,9.99,Gaming
U209,C011,2025-07-30,2.47,Education
U210,C028,2024-10-03,1.28,Social Media
U211,C032,2025-06-24,8.2,Social Media
U212,C072,2025-06-13,6.86,Gaming
U213,C071,2025-02-02,6.64,Social Media
U214,C066,2025-08-10,9.53,Streaming
U215,C062,2025-04-23,0.7,Social Media
U216,C020,2025-04-25,8.8,Work
U217,C094,2025-08-26,6.3,Social Media
U218,C057,2024-10-25,6.06,Social Media
U219,C036,2024-12-09,7.75,Education
U220,C023,2025-03-12,2.66,Education
U221,C031,2024-11-23,0.97,Gaming
U222,C088,2025-03-07,4.33,Streaming
U223,C088,2025-01-03,9.09,Social Media
U224,C035,2025-01-26,8.61,Social Media
U225,C070,2024-11-09,0.22,Work
U226,C079,2025-08-09,2.87,Education
U227,C066,2025-01-30,0.19,Social Media
U228,C082,2025-04-17,4.19,Education
U229,C048,2025-07-26,2.32,Gaming
U230,C099,2025-05-04,4.74,Gaming
U231,C089,2025-04-07,4.88,Gaming
U232,C010,2025-08-08,8.59,Education
U233,C056,2025-01-15,0.61,Streaming
U234,C013,2025-09-07,2.33,Social Media
U235,C004,2024-10-17,4.91,Social Media
U236,C095,2024-10-30,8.55,Streaming
U237,C037,2025-02-03,4.66,Work
U238,C089,2024-10-09,1.25,Streaming
U239,C082,2024-12-04,1.37,Gaming
U240,C052,2025-03-07,7.92,Streaming
U241,C100,2024-12-05,5.95,Gaming
U242,C068,2025-02-05,2.7,Education
U243,C038,2025-08-23,5.7,Work
U244,C080,2025-07-21,8.54,Gaming
U245,C001,2024-12-21,1.54,Gaming
U246,C001,2025-01-06,1.11,Work
U247,C068,2025-05-14,6.14,Work
U248,C028,2025-03-17,3.58,Work
U249,C097,2025-08-13,9.62,Education
U250,C055,2024-12-13,6.89,Work
U251,C093,2024-10-19,6.05,Social Media
U252,C057,2025-08-09,6.32,Streaming
U253,C061,2025-05-26,9.8,Work
U254,C099,2025-08-03,8.9,Education
U255,C010,2025-02-14,9.53,Social Media
U256,C058,2025-02-23,6.91,Gaming
U257,C068,2025-06-19,2.22,Social Media
U258,C097,2024-09-21,7.15,Work
U259,C062,2025-04-09,7.56,Social Media
U260,C004,2024-11-08,2.46,Work
U261,C060,2025-06-10,3.39,Work
U262,C048,2025-03-26,5.36,Work
U263,C086,2024-12-19,6.28,Gaming
U264,C076,2025-07-29,9.24,Gaming
U265,C052,2024-12-19,4.85,Streaming
U266,C072,2024-11-20,8.3,Gaming
U267,C024,2025-05-28,7.48,Social Media
U268,C075,2024-10-04,4.59,Work
U269,C036,2025-05-22,7.54,Education
U270,C007,2025-07-23,4.73,Education
U271,C097,2025-01-19,9.89,Social Media
U272,C053,2025-01-06,2.87,Work
U273,C092,2024-12-20,0.63,Streaming
U274,C036,2025-06-02,4.03,Education
U275,C047,2024-11-02,6.66,Work
U276,C049,2025-04-12,5.11,Social Media
U277,C047,2024-10-20,0.82,Education
U278,C039,2024-12-08,4.61,Gaming
U279,C085,2025-07-16,7.94,Gaming
U280,C066,2025-03-20,4.49,Work
U281,C093,2025-02-20,3.91,Streaming
U282,C056,2025-08-13,6.74,Education
U283,C044,2025-02-27,2.32,Gaming
U284,C089,2024-11-02,7.06,Social Media
U285,C089,2025-03-01,7.71,Social Media
U286,C024,2025-09-03,2.4,Work
U287,C055,2025-01-27,4.82,Work
U288,C004,2025-06-10,3.75,Work
U289,C009,2025-07-23,2.42,Work
U290,C037,2024-11-07,2.84,Education
U291,C096,2024-10-16,1.86,Work
U292,C033,2025-03-30,8.12,Education
U293,C063,2025-05-29,7.29,Education
U294,C047,2024-12-14,0.9,Gaming
U295,C052,2025-07-01,0.78,Streaming
U296,C096,2025-01-07,8.95,Gaming
U297,C078,2025-08-19,3.23,Work
U298,C077,2025-06-28,1.94,Streaming
U299,C009,2025-04-16,5.26,Streaming
U300,C015,2025-06-08,8.86,Gaming
U301,C023,2025-09-01,8.53,Work
U302,C005,2024-12-31,2.0,Social Media
U303,C094,2025-03-29,5.66,Work
U304,C027,2025-03-11,2.51,Social Media
U305,C065,2025-02-16,9.66,Education
U306,C054,2025-05-02,0.32,Work
U307,C009,2025-07-12,6.83,Social Media
U308,C036,2024-11-23,5.29,Gaming
U309,C066,2024-11-27,4.85,Streaming
U310,C076,2024-12-06,0.49,Social Media
U311,C095,2024-11-13,9.95,Social Media
U312,C065,2025-04-15,8.21,Education
U313,C014,2025-04-04,2.66,Education
U314,C054,2025-01-19,2.86,Work
U315,C036,2025-01-21,1.89,Education
U316,C037,2025-04-26,9.96,Education
U317,C022,2024-10-02,8.55,Work
U318,C042,2025-01-14,7.76,Streaming
U319,C006,2025-06-01,9.65,Social Media
U320,C039,2025-05-13,6.34,Work
U321,C040,2025-08-29,5.05,Social Media
U322,C098,2024-12-21,3.72,Gaming
U323,C076,2025-08-01,5.97,Work
U324,C095,2025-01-12,2.72,Streaming
U325,C028,2025-03-15,9.8,Work
U326,C051,2025-06-26,0.92,Social Media
U327,C059,2025-06-08,4.08,Gaming
U328,C064,2025-03-25,0.25,Streaming
U329,C058,2025-07-12,6.13,Gaming
U330,C083,2025-03-29,9.89,Social Media
U331,C033,2025-09-02,5.93,Education
U332,C085,2025-01-07,7.95,Social Media
U333,C013,2025-02-19,1.13,Streaming
U334,C035,2025-06-29,7.97,Education
U335,C079,2024-10-31,1.3,Work
U336,C045,2025-06-27,2.47,Gaming
U337,C049,2024-09-18,0.91,Education
U338,C083,2025-03-16,1.8,Social Media
U339,C001,2025-02-04,1.0,Streaming
U340,C007,2024-10-27,1.63,Education
U341,C075,2025-04-13,6.4,Gaming
U342,C092,2024-11-12,3.15,Education
U343,C016,2025-01-01,7.99,Streaming
U344,C052,2024-11-30,4.82,Streaming
U345,C010,2025-06-24,6.7,Education
U346,C027,2025-07-29,2.91,Gaming
U347,C059,2025-06-08,1.73,Social Media
U348,C061,2024-10-11,2.6,Work
U349,C008,2025-04-14,1.53,Work
U350,C061,2024-11-12,8.48,Gaming
U351,C005,2024-11-09,4.07,Social Media
U352,C093,2024-11-18,8.52,Work
U353,C081,2025-01-18,2.11,Work
U354,C087,2025-06-15,9.57,Education
U355,C049,2025-03-26,2.61,Education
U356,C058,2025-01-19,1.06,Gaming
U357,C032,2025-06-30,6.04,Work
U358,C099,2025-08-19,9.05,Social Media
U359,C095,2025-02-07,7.81,Education
U360,C066,2025-06-16,3.96,Education
U361,C001,2025-09-08,6.77,Social Media
U362,C009,2025-02-22,7.85,Streaming
U363,C026,2025-04-02,0.49,Gaming
U364,C100,2024-11-20,6.18,Streaming
U365,C046,2025-06-17,4.86,Social Media
U366,C008,2025-07-31,7.14,Social Media
U367,C075,2025-05-06,8.13,Streaming
U368,C078,2024-10-15,9.88,Social Media
U369,C016,2025-08-24,6.74,Gaming
U370,C099,2025-06-29,0.33,Work
U371,C022,2024-12-10,4.15,Gaming
U372,C076,2024-12-21,3.8,Education
U373,C063,2024-12-26,3.34,Education
U374,C070,2025-04-09,9.56,Gaming
U375,C038,2025-04-17,9.14,Work
U376,C077,2025-06-27,6.44,Social Media
U377,C074,2025-04-21,2.75,Gaming
U378,C067,2025-05-09,3.9,Streaming
U379,C014,2025-02-03,5.81,Education
U380,C007,2025-07-13,2.53,Work
U381,C099,2025-02-21,6.92,Social Media
U382,C053,2024-10-31,1.89,Streaming
U383,C035,2025-02-04,5.52,Social Media
U384,C031,2024-12-16,8.55,Streaming
U385,C076,2025-07-13,7.56,Gaming
U386,C024,2025-01-15,7.81,Education
U387,C062,2025-07-16,1.36,Work
U388,C054,2025-08-30,3.28,Social Media
U389,C095,2025-01-22,3.07,Streaming
U390,C006,2024-11-22,8.0,Work
U391,C084,2024-10-06,7.6,Streaming
U392,C016,2025-07-14,6.35,Work
U393,C086,2025-05-06,3.71,Work
U394,C062,2024-09-18,4.94,Work
U395,C055,2024-12-05,9.79,Education
U396,C015,2024-10-09,4.69,Social Media
U397,C004,2025-06-08,2.96,Streaming
U398,C033,2024-10-12,7.15,Social Media
U399,C005,2024-12-01,7.12,Streaming
U400,C065,2025-01-25,4.05,Gaming
U401,C064,2024-11-24,6.33,Streaming
U402,C026,2025-04-26,0.95,Work
U403,C011,2024-10-31,7.47,Social Media
U404,C034,2024-12-30,4.46,Education
U405,C066,2025-02-28,1.38,Gaming
U406,C070,2024-10-13,1.1,Gaming
U407,C056,2025-04-16,2.86,Work
U408,C038,2025-01-29,8.45,Education
U409,C086,2024-09-14,4.32,Gaming
U410,C046,2024-09-29,6.03,Gaming
U411,C015,2025-08-31,6.72,Work
U412,C012,2025-08-19,2.53,Gaming
U413,C092,2024-11-03,5.19,Education
U414,C057,2025-03-08,6.98,Education
U415,C043,2024-09-25,3.4,Social Media
U416,C034,2025-02-05,3.88,Streaming
U417,C003,2025-02-05,7.34,Social Media
U418,C100,2025-08-15,7.31,Streaming
U419,C064,2025-06-12,9.26,Social Media
U420,C071,2025-07-13,8.57,Education
U421,C025,2024-10-02,1.57,Work
U422,C051,2025-09-04,4.31,Streaming
U423,C093,2025-07-27,4.17,Gaming
U424,C032,2025-02-02,0.24,Gaming
U425,C093,2024-11-30,7.4,Social Media
U426,C013,2025-03-23,6.94,Streaming
U427,C052,2025-08-21,4.29,Gaming
U428,C033,2024-09-15,7.33,Work
U429,C073,2025-04-09,0.22,Gaming
U430,C081,2024-12-04,4.34,Work
U431,C097,2024-11-14,7.38,Gaming
U432,C006,2024-12-20,1.35,Education
U433,C059,2024-10-14,0.85,Education
U434,C074,2025-07-11,2.35,Social Media
U435,C077,2025-05-11,2.68,Streaming
U436,C031,2025-07-22,8.17,Streaming
U437,C094,2025-05-16,2.64,Education
U438,C092,2024-11-26,0.56,Social Media
U439,C079,2025-07-26,6.8,Work
U440,C030,2024-11-23,1.02,Streaming
U441,C073,2025-02-09,0.73,Gaming
U442,C010,2024-09-16,3.96,Work
U443,C020,2025-08-20,1.21,Streaming
U444,C039,2025-04-25,2.36,Social Media
U445,C082,2024-12-24,5.27,Gaming
U446,C078,2024-10-16,6.74,Streaming
U447,C020,2025-02-18,2.76,Education
U448,C086,2024-11-01,6.98,Streaming
U449,C088,2024-11-24,1.21,Social Media
U450,C042,2024-10-18,5.96,Gaming
U451,C024,2025-01-17,5.77,Work
U452,C070,2025-08-07,5.99,Gaming
U453,C064,2024-12-26,9.41,Education
U454,C080,2025-08-13,5.17,Work
U455,C022,2024-11-22,7.49,Work
U456,C003,2024-11-16,4.94,Education
U457,C064,2025-03-02,8.21,Social Media
U458,C077,2025-08-05,8.08,Gaming
U459,C018,2025-03-22,7.79,Gaming
U460,C009,2025-03-05,6.96,Streaming
U461,C017,2025-02-12,9.81,Education
U462,C003,2025-08-14,5.67,Work
U463,C015,2024-09-23,2.46,Streaming
U464,C071,2025-07-23,5.49,Education
U465,C041,2024-11-27,9.23,Streaming
U466,C088,2024-12-12,8.1,Gaming
U467,C031,2024-12-27,3.28,Education
U468,C038,2025-04-28,6.1,Streaming
U469,C094,2024-09-28,7.26,Work
U470,C060,2024-12-22,5.82,Streaming
U471,C040,2025-02-15,3.63,Social Media
U472,C074,2024-10-07,2.9,Education
U473,C032,2025-01-09,1.52,Social Media
U474,C051,2025-01-14,4.83,Gaming
U475,C044,2025-03-18,4.15,Work
U476,C097,2025-02-20,7.57,Gaming
U477,C051,2025-09-12,5.54,Work
U478,C050,2025-07-14,4.7,Education
U479,C092,2025-03-11,4.02,Streaming
U480,C035,2025-04-25,0.45,Education
U481,C019,2024-11-20,7.57,Education
U482,C005,2024-12-30,6.14,Work
U483,C007,2024-11-17,7.42,Gaming
U484,C082,2025-07-31,4.28,Education
U485,C027,2024-12-26,1.89,Work
U486,C028,2024-12-01,6.84,Gaming
U487,C075,2025-01-02,7.54,Work
U488,C011,2025-06-21,3.14,Gaming
U489,C096,2024-10-10,3.44,Streaming
U490,C082,2025-03-12,9.77,Social Media
U491,C015,2024-12-01,0.57,Education
U492,C072,2025-01-16,6.89,Work
U493,C084,2025-06-24,7.23,Gaming
U494,C057,2025-06-30,5.76,Social Media
U495,C059,2025-03-14,7.14,Work
U496,C003,2025-02-01,6.97,Work
U497,C096,2024-12-14,6.87,Streaming
U498,C035,2025-04-08,5.07,Gaming
U499,C088,2025-09-12,9.04,Social Media
U500,C096,2024-11-11,1.87,Education
U501,C066,2025-07-28,0.61,Education
U502,C053,2025-06-21,3.35,Gaming
U503,C073,2025-01-25,0.43,Streaming
U504,C093,2024-12-03,0.74,Work
U505,C066,2025-07-17,3.33,Work
U506,C026,2024-11-01,3.56,Work
U507,C020,2025-04-04,0.17,Education
U508,C060,2024-09-27,8.72,Social Media
U509,C083,2025-05-21,8.96,Education
U510,C032,2024-11-14,4.15,Work
U511,C039,2025-03-19,3.81,Work
U512,C077,2025-06-07,6.74,Education
U513,C070,2024-12-18,7.98,Streaming
U514,C010,2025-05-08,4.01,Social Media
U515,C077,2025-09-05,5.81,Education
U516,C092,2024-09-13,5.22,Streaming
U517,C036,2025-01-14,1.44,Work
U518,C084,2025-03-14,7.99,Education
U519,C095,2025-01-13,0.76,Social Media
U520,C069,2025-08-02,2.54,Social Media
U521,C097,2025-03-07,0.4,Gaming
U522,C031,2025-08-23,9.51,Work
U523,C012,2024-11-14,9.6,Gaming
U524,C022,2025-02-02,1.71,Work
U525,C077,2024-12-22,8.34,Streaming
U526,C056,2025-01-07,1.76,Gaming
U527,C036,2025-04-15,2.3,Streaming
U528,C059,2024-09-17,5.48,Education
U529,C044,2025-07-01,3.64,Gaming
U530,C087,2025-04-12,7.63,Streaming
U531,C049,2024-12-01,9.95,Streaming
U532,C063,2025-03-26,9.39,Work
U533,C027,2024-12-16,0.28,Streaming
U534,C026,2025-02-15,9.21,Social Media
U535,C031,2025-01-01,1.12,Gaming
U536,C005,2025-07-18,5.19,Work
U537,C048,2025-05-02,3.52,Social Media
U538,C064,2025-06-08,2.28,Education
U539,C078,2024-12-28,7.13,Social Media
U540,C097,2025-02-25,9.11,Social Media
U541,C087,2025-08-27,4.9,Work
U542,C011,2025-03-22,5.15,Education
U543,C059,2024-12-21,2.59,Gaming
U544,C034,2025-02-26,8.91,Streaming
U545,C028,2025-02-04,1.29,Education
U546,C016,2025-01-27,0.76,Social Media
U547,C084,2025-03-29,9.08,Work
U548,C032,2025-02-24,1.06,Education
U549,C013,2025-05-08,7.07,Education
U550,C094,2025-07-22,9.08,Work
U551,C045,2025-07-30,7.56,Work
U552,C096,2024-12-14,5.31,Streaming
U553,C052,2025-02-10,8.21,Work
U554,C003,2025-03-02,2.75,Gaming
U555,C096,2025-05-18,9.22,Education
U556,C072,2025-01-31,9.71,Work
U557,C028,2024-12-06,8.68,Education
U558,C051,2025-04-02,3.41,Work
U559,C092,2025-07-05,8.56,Streaming
U560,C017,2025-08-31,2.16,Social Media
U561,C025,2024-10-06,0.38,Education
U562,C043,2025-05-11,9.38,Streaming
U563,C071,2025-07-31,8.93,Education
U564,C064,2024-10-13,0.46,Work
U565,C063,2025-01-26,4.36,Social Media
U566,C021,2025-03-20,8.14,Streaming
U567,C033,2025-04-22,4.49,Streaming
U568,C032,2024-09-24,2.52,Streaming
U569,C021,2024-10-03,4.44,Education
U570,C008,2025-02-24,5.17,Social Media
U571,C002,2025-08-16,5.65,Education
U572,C060,2024-11-12,9.16,Social Media
U573,C026,2025-07-17,3.14,Gaming
U574,C067,2024-09-16,6.36,Social Media
U575,C093,2025-03-20,4.7,Work
U576,C025,2025-01-12,7.63,Streaming
U577,C038,2025-05-25,3.55,Work
U578,C042,2025-05-07,9.43,Gaming
U579,C076,2025-07-15,4.11,Gaming
U580,C091,2025-01-30,4.04,Education
U581,C087,2024-12-27,2.01,Education
U582,C002,2024-12-07,3.55,Gaming
U583,C021,2025-02-09,8.82,Education
U584,C053,2025-07-31,4.16,Work
U585,C049,2024-09-24,3.74,Gaming
U586,C004,2025-08-07,4.05,Social Media
U587,C073,2024-12-04,2.18,Streaming
U588,C060,2024-12-11,3.16,Social Media
U589,C095,2024-12-18,9.66,Work
U590,C083,2025-02-14,9.67,Education
U591,C018,2025-03-17,2.75,Gaming
U592,C071,2024-11-28,7.02,Social Media
U593,C030,2025-02-04,9.54,Streaming
U594,C083,2025-05-05,2.54,Streaming
U595,C061,2025-05-13,6.65,Work
U596,C035,2024-09-20,1.75,Gaming
U597,C022,2025-02-07,7.9,Gaming
U598,C012,2025-05-26,4.45,Work
U599,C047,2025-08-02,4.34,Work
U600,C043,2024-10-26,5.42,Gaming
U601,C053,2025-08-19,5.92,Social Media
U602,C070,2024-11-17,0.92,Gaming
U603,C034,2024-11-18,8.22,Work
U604,C031,2025-02-09,3.83,Social Media
U605,C046,2025-07-22,1.73,Gaming
U606,C058,2025-08-11,7.66,Gaming
U607,C012,2025-05-05,4.44,Work
U608,C083,2025-06-23,2.95,Gaming
U609,C020,2025-04-24,7.69,Work
U610,C049,2025-06-21,0.94,Gaming
U611,C045,2025-02-24,2.54,Streaming
U612,C082,2025-05-06,6.62,Work
U613,C033,2025-02-16,1.83,Gaming
U614,C010,2024-11-30,9.36,Work
U615,C056,2025-06-17,1.47,Streaming
U616,C051,2025-05-17,4.21,Streaming
U617,C041,2025-07-04,0.12,Work
U618,C001,2024-09-29,3.38,Social Media
U619,C096,2025-03-03,7.52,Work
U620,C065,2024-11-26,6.37,Work
U621,C053,2025-02-10,6.29,Gaming
U622,C024,2025-01-01,5.52,Streaming
U623,C026,2025-07-06,1.48,Education
U624,C031,2025-05-24,3.63,Streaming
U625,C063,2025-05-23,7.43,Streaming
U626,C061,2025-07-26,1.03,Education
U627,C011,2025-03-15,8.29,Streaming
U628,C001,2025-03-07,9.7,Work
U629,C001,2025-02-05,3.04,Gaming
U630,C004,2025-06-10,6.08,Education
U631,C023,2025-01-05,9.49,Social Media
U632,C009,2025-09-10,7.75,Streaming
U633,C037,2025-01-08,5.48,Streaming
U634,C054,2024-09-20,3.75,Gaming
U635,C011,2025-05-15,1.45,Work
U636,C071,2024-12-31,7.72,Streaming
U637,C036,2024-11-01,5.13,Social Media
U638,C083,2025-07-12,5.79,Gaming
U639,C062,2025-05-24,1.09,Work
U640,C030,2024-10-03,6.12,Social Media
U641,C078,2025-05-07,0.23,Gaming
U642,C100,2025-04-05,6.77,Streaming
U643,C081,2025-06-18,5.73,Social Media
U644,C077,2025-06-18,4.09,Social Media
U645,C011,2025-03-30,4.69,Streaming
U646,C063,2025-02-05,2.47,Education
U647,C091,2025-06-03,2.12,Education
U648,C091,2024-09-22,4.81,Work
U649,C080,2025-02-02,7.63,Social Media
U650,C032,2024-11-19,1.03,Education
U651,C032,2024-10-04,2.35,Gaming
U652,C092,2024-10-07,5.58,Gaming
U653,C099,2025-06-18,7.67,Work
U654,C066,2025-04-11,9.51,Education
U655,C011,2025-08-30,4.27,Gaming
U656,C046,2025-08-06,2.35,Work
U657,C056,2024-09-17,1.18,Social Media
U658,C072,2024-11-21,8.55,Social Media
