customer_id,income_bracket,household_size,nationality
C00139,Low,5,Expats-GCC
C00140,Low,2,Expats-GCC
C00141,High,4,Expats-Other
C00142,High,3,Expats-GCC
C00143,High,1,Bahraini
C00144,High,6,Expats-Other
C00145,High,7,Expats-Asia
C00146,High,7,Expats-Other
C00147,Medium,7,Expats-GCC
C00148,Medium,3,Expats-GCC
C00149,Medium,1,Expats-Asia
C00150,Medium,5,Expats-Asia
C00151,Low,1,Bahraini
C00152,High,6,Expats-GCC
C00153,High,4,Expats-Asia
C00154,Medium,6,Expats-GCC
C00155,Medium,3,Bahraini
C00156,Medium,7,Expats-Other
C00157,High,6,Expats-Asia
C00158,Low,4,Expats-Other
C00159,Low,5,Expats-GCC
C00160,Low,1,Expats-Asia
C00161,Low,3,Bahraini
C00162,Medium,6,Expats-Other
C00163,High,6,Expats-GCC
C00164,Medium,2,Expats-Asia
C00165,High,1,Expats-Asia
C00166,Medium,6,Expats-GCC
C00167,High,1,Expats-Asia
C00168,High,3,Expats-Asia
C00169,Low,3,Expats-GCC
C00170,High,5,Expats-Other
C00171,Medium,1,Expats-Other
C00172,High,1,Bahraini
C00173,High,3,Bahraini
C00174,Medium,3,Expats-Asia
C00175,Low,6,Expats-Asia
C00176,Low,7,Bahraini
C00177,High,4,Expats-GCC
C00178,Medium,3,Expats-GCC
C00179,High,7,Expats-Asia
C00180,High,5,Expats-GCC
C00181,High,2,Expats-Other
C00182,Low,7,Expats-Other
C00183,High,7,Expats-GCC
C00184,High,4,Expats-Other
C00185,Low,6,Expats-Asia
C00186,Medium,2,Expats-Other
C00187,High,6,Bahraini
C00188,Medium,3,Bahraini
C00189,High,5,Expats-Other
C00190,Medium,7,Expats-Other
C00191,Low,6,Bahraini
C00192,Medium,4,Bahraini
C00193,Low,2,Expats-GCC
C00194,High,5,Expats-GCC
C00195,High,4,Expats-Asia
C00196,Low,6,Expats-Asia
C00197,High,5,Expats-Other
C00198,Medium,3,Expats-Asia
C00199,Medium,4,Expats-GCC
C00200,Medium,3,Expats-GCC
C00201,Medium,1,Expats-Asia
C00202,Medium,7,Expats-Asia
C00203,Medium,1,Expats-Other
C00204,High,3,Expats-Other
C00205,Medium,5,Bahraini
C00206,High,6,Bahraini
C00207,High,4,Expats-Asia
C00208,High,5,Expats-Other
C00209,Medium,4,Expats-Other
C00210,High,7,Bahraini
C00211,High,2,Expats-Asia
C00212,High,4,Bahraini
C00213,High,7,Bahraini
C00214,Low,7,Expats-Asia
C00215,Medium,2,Bahraini
C00216,Medium,2,Expats-GCC
C00217,Low,7,Bahraini
C00218,Medium,5,Expats-GCC
C00219,Medium,7,Expats-Other
C00220,High,7,Expats-GCC
C00221,Low,3,Expats-Asia
C00222,Low,4,Expats-Other
C00223,Medium,2,Expats-Other
C00224,High,1,Expats-Asia
C00225,Medium,2,Bahraini
C00226,High,1,Bahraini
C00227,Medium,6,Expats-Asia
C00228,High,3,Expats-GCC
C00229,Low,1,Expats-GCC
C00230,Medium,5,Expats-Other
C00231,High,3,Bahraini
C00232,High,5,Bahraini
C00233,Low,4,Expats-GCC
C00234,Low,7,Bahraini
C00235,High,2,Bahraini
C00236,Low,5,Expats-Other
C00237,Medium,2,Expats-Other
C00238,Low,5,Bahraini
C00239,High,1,Expats-Asia
C00240,High,5,Expats-GCC
C00241,Low,1,Expats-Other
C00242,Medium,7,Expats-GCC
C00243,Low,2,Expats-Other
C00244,Medium,3,Expats-Other
C00245,Low,7,Expats-Other
C00246,High,3,Expats-Other
C00247,High,2,Expats-Other
C00248,High,7,Expats-Other
C00249,Medium,2,Expats-Other
C00250,Low,6,Bahraini
C00251,High,4,Bahraini
C00252,High,1,Expats-GCC
C00253,Low,5,Expats-GCC
C00254,Low,4,Expats-GCC
C00255,High,4,Expats-Other
C00256,Medium,3,Bahraini
C00257,High,3,Expats-Asia
C00258,Medium,4,Bahraini
C00259,Medium,4,Bahraini
C00260,Medium,5,Expats-GCC
C00261,Medium,1,Expats-Other
C00262,High,3,Expats-Asia
C00263,Medium,6,Expats-GCC
C00264,Low,7,Expats-Asia
C00265,High,1,Expats-Other
C00266,High,1,Expats-Other
C00267,High,6,Expats-Asia
C00268,High,5,Expats-Asia
C00269,High,2,Expats-Other
C00270,Low,4,Bahraini
C00271,High,7,Expats-Asia
C00272,Low,1,Expats-GCC
C00273,Medium,5,Bahraini
C00274,High,7,Expats-GCC
C00275,Medium,5,Expats-Other
C00276,Medium,3,Expats-Other
C00277,Low,6,Expats-GCC
C00278,Low,3,Expats-Other
C00279,Medium,3,Expats-GCC
C00280,Low,5,Bahraini
C00281,Low,2,Expats-Asia
C00282,High,2,Bahraini
C00283,High,6,Expats-Asia
C00284,High,6,Expats-Other
C00285,Low,4,Expats-Other
C00286,Medium,3,Bahraini
C00287,Medium,7,Expats-Other
C00288,Medium,1,Bahraini
C00289,Low,5,Expats-Asia
C00290,Medium,6,Expats-Other
C00291,Medium,6,Expats-GCC
C00292,High,2,Expats-Asia
C00293,High,3,Bahraini
C00294,Low,2,Expats-GCC
C00295,Medium,2,Expats-Asia
C00296,High,1,Bahraini
C00297,Medium,7,Expats-Other
C00298,Low,1,Expats-Other
C00299,High,1,Expats-Asia
C00300,Medium,2,Expats-Other
C00301,Medium,5,Expats-GCC
C00302,Low,1,Expats-GCC
C00303,Medium,2,Expats-Asia
C00304,Medium,7,Bahraini
C00305,High,1,Expats-Other
C00306,Low,5,Expats-Other
C00307,Medium,5,Expats-Other
C00308,Low,3,Expats-GCC
C00309,Medium,2,Expats-Asia
C00310,High,5,Bahraini
C00311,Medium,3,Expats-Asia
C00312,High,5,Expats-GCC
C00313,High,6,Expats-Asia
C00314,Low,6,Expats-GCC
C00315,High,4,Expats-Other
C00316,Low,5,Expats-Other
C00317,Medium,6,Expats-Other
C00318,Medium,2,Expats-Other
C00319,High,6,Expats-Asia
C00320,Medium,6,Expats-Other
C00321,Low,7,Bahraini
C00322,Medium,4,Expats-GCC
C00323,Low,5,Expats-Other
C00324,Low,5,Bahraini
C00325,High,1,Expats-GCC
C00326,High,6,Expats-Asia
C00327,High,1,Bahraini
C00328,Low,1,Bahraini
C00329,Medium,2,Expats-Other
C00330,High,6,Bahraini
C00331,Low,5,Expats-Asia
C00332,High,5,Bahraini
C00333,Medium,6,Bahraini
C00334,Low,5,Expats-GCC
C00335,Low,7,Bahraini
C00336,Medium,4,Expats-GCC
C00337,High,5,Expats-Asia
C00338,Medium,7,Expats-Other
C00339,High,7,Bahraini
C00340,Low,1,Expats-GCC
C00341,High,1,Expats-GCC
C00342,Low,3,Bahraini
C00343,Low,2,Expats-Asia
C00344,Medium,4,Bahraini
C00345,Medium,3,Bahraini
C00346,High,5,Expats-GCC
C00347,Medium,2,Expats-Other
C00348,Low,2,Bahraini
C00349,High,4,Bahraini
C00350,High,1,Expats-GCC
C00351,Low,3,Expats-GCC
C00352,High,4,Expats-GCC
C00353,Medium,3,Expats-Asia
C00354,Low,3,Expats-GCC
C00355,Medium,4,Expats-GCC
C00356,High,5,Expats-GCC
C00357,Medium,5,Expats-Other
C00358,Low,1,Expats-Other
C00359,High,5,Expats-Asia
C00360,Low,7,Expats-GCC
C00361,Low,1,Bahraini
C00362,Low,4,Expats-GCC
C00363,High,3,Bahraini
C00364,Medium,4,Bahraini
C00365,Medium,1,Expats-Asia
C00366,Medium,4,Expats-Asia
C00367,Low,3,Bahraini
C00368,High,2,Expats-Other
C00369,Low,2,Bahraini
C00370,Low,2,Expats-GCC
C00371,High,2,Bahraini
C00372,Low,3,Expats-Other
C00373,Medium,5,Expats-GCC
C00374,Medium,5,Expats-Other
C00375,Medium,7,Expats-Other
C00376,Medium,5,Expats-GCC
C00377,Low,6,Bahraini
C00378,High,5,Expats-Asia
C00379,Medium,2,Expats-Other
C00380,Medium,6,Expats-Other
C00381,Low,6,Expats-Asia
C00382,Medium,6,Bahraini
C00383,High,6,Bahraini
C00384,Medium,6,Expats-Asia
C00385,Low,7,Expats-GCC
C00386,High,3,Bahraini
C00387,Medium,6,Expats-Other
C00388,Medium,7,Expats-GCC
C00389,High,1,Expats-Asia
C00390,Low,5,Expats-Asia
C00391,Low,3,Expats-Other
C00392,Low,6,Expats-Asia
C00393,Medium,3,Expats-Asia
C00394,High,6,Expats-GCC
C00395,Medium,7,Expats-GCC
C00396,Medium,5,Expats-Other
C00397,High,5,Expats-Asia
C00398,Medium,6,Bahraini
C00399,High,5,Expats-Other
C00400,Medium,7,Expats-Other
C00401,Low,4,Bahraini
C00402,Low,6,Bahraini
C00403,High,3,Expats-GCC
C00404,Low,7,Expats-GCC
C00405,Medium,4,Expats-GCC
C00406,Medium,7,Bahraini
C00407,Low,1,Expats-GCC
C00408,Low,3,Expats-Other
C00409,Low,3,Expats-Other
C00410,High,6,Bahraini
C00411,High,5,Bahraini
C00412,Low,2,Expats-Asia
C00413,Medium,5,Expats-Other
C00414,High,2,Expats-Asia
C00415,Low,4,Bahraini
C00416,Medium,5,Expats-GCC
C00417,Medium,7,Expats-Asia
C00418,Medium,3,Expats-GCC
C00419,High,3,Expats-GCC
C00420,High,5,Expats-GCC
C00421,Low,4,Bahraini
C00422,High,7,Expats-Asia
C00423,Low,7,Bahraini
C00424,Medium,4,Bahraini
C00425,Medium,5,Expats-GCC
C00426,Low,5,Expats-Other
C00427,Medium,2,Bahraini
C00428,High,1,Bahraini
C00429,High,2,Expats-GCC
C00430,Low,7,Expats-GCC
C00431,High,3,Expats-Other
C00432,Medium,7,Expats-Asia
C00433,Medium,7,Expats-Asia
C00434,Medium,6,Expats-Asia
C00435,High,5,Expats-Other
C00436,High,2,Bahraini
C00437,Medium,5,Bahraini
C00438,Medium,2,Expats-Asia
C00439,Low,5,Expats-GCC
C00440,Low,4,Expats-Asia
C00441,Low,4,Expats-GCC
C00442,Low,4,Bahraini
C00443,Medium,4,Bahraini
C00444,Medium,6,Expats-Asia
C00445,Medium,1,Expats-Asia
C00446,High,7,Expats-GCC
C00447,Low,2,Bahraini
C00448,Low,4,Expats-Asia
C00449,Low,6,Expats-Asia
C00450,Medium,3,Expats-Other
C00451,Low,4,Expats-Other
C00452,Medium,3,Bahraini
C00453,Medium,1,Expats-Other
C00454,Medium,6,Expats-Other
C00455,Medium,6,Bahraini
C00456,Low,7,Expats-GCC
C00457,Medium,2,Expats-Other
C00458,Medium,2,Expats-Other
C00459,High,5,Expats-Asia
C00460,Low,4,Expats-Other
C00461,High,1,Bahraini
C00462,Medium,1,Expats-Asia
C00463,High,7,Expats-Asia
C00464,Medium,4,Expats-Other
C00465,Medium,2,Expats-GCC
C00466,Low,6,Expats-Other
C00467,High,2,Bahraini
C00468,Low,2,Expats-Asia
C00469,Medium,7,Expats-Other
C00470,High,6,Expats-Asia
C00471,Low,1,Expats-GCC
C00472,High,5,Expats-GCC
C00473,Medium,3,Expats-Other
C00474,Low,7,Expats-Other
C00475,Low,2,Expats-Other
C00476,High,6,Expats-GCC
C00477,Low,5,Expats-Other
C00478,High,4,Expats-GCC
C00479,Low,3,Bahraini
C00480,Medium,2,Bahraini
C00481,Low,2,Expats-Other
C00482,Medium,2,Expats-Asia
C00483,Low,7,Expats-Asia
C00484,High,6,Expats-GCC
C00485,Medium,4,Expats-GCC
C00486,High,6,Expats-Asia
C00487,High,5,Bahraini
C00488,Low,5,Expats-Asia
C00489,Medium,3,Expats-Asia
C00490,High,6,Bahraini
C00491,Low,2,Expats-GCC
C00492,High,1,Expats-Asia
C00493,Low,1,Bahraini
C00494,Medium,7,Expats-GCC
C00495,Medium,2,Expats-Asia
C00496,Low,5,Bahraini
C00497,Low,2,Expats-GCC
C00498,High,5,Expats-Other
C00499,Low,2,Expats-Other
C00500,High,5,Bahraini
C00501,Low,3,Expats-GCC
C00502,High,4,Expats-Asia
C00503,Medium,6,Expats-GCC
C00504,Medium,4,Expats-Other
C00505,High,6,Expats-Other
C00506,Medium,6,Expats-GCC
C00507,High,2,Expats-Asia
C00508,High,5,Expats-Other
C00509,High,6,Expats-Other
C00510,Medium,3,Bahraini
C00511,High,5,Expats-Asia
C00512,Low,3,Expats-Other
C00513,Medium,2,Expats-Asia
C00514,Low,2,Expats-GCC
C00515,High,2,Expats-Asia
C00516,Low,7,Expats-Asia
C00517,Low,7,Expats-Asia
C00518,Low,2,Expats-Asia
C00519,High,2,Bahraini
C00520,Medium,6,Expats-Other
C00521,Medium,4,Bahraini
C00522,Medium,1,Expats-Asia
C00523,High,2,Expats-GCC
C00524,Medium,6,Expats-GCC
C00525,High,5,Expats-Asia
C00526,Medium,7,Bahraini
C00527,High,5,Expats-GCC
C00528,Low,3,Expats-Asia
C00529,Medium,7,Bahraini
C00530,Low,3,Expats-Other
C00531,High,7,Expats-Asia
C00532,High,5,Expats-GCC
C00533,Low,3,Expats-Other
C00534,High,3,Expats-Asia
C00535,Low,2,Expats-Asia
C00536,Medium,4,Expats-Asia
C00537,High,2,Expats-Other
C00538,Medium,7,Expats-Other
C00539,High,5,Expats-GCC
C00540,Low,4,Bahraini
C00541,High,7,Expats-GCC
C00542,Low,2,Bahraini
C00543,High,5,Expats-Other
C00544,High,7,Expats-GCC
C00545,Medium,4,Bahraini
C00546,Low,1,Expats-Other
C00547,Low,2,Expats-Other
C00548,Low,2,Bahraini
C00549,Medium,5,Expats-Asia
C00550,High,1,Expats-Asia
C00551,High,1,Bahraini
C00552,Medium,3,Expats-GCC
C00553,Medium,1,Expats-Other
C00554,High,2,Expats-Asia
C00555,Low,4,Expats-Other
C00556,Medium,3,Expats-GCC
C00557,High,5,Expats-Asia
C00558,Low,7,Expats-GCC
C00559,Medium,7,Expats-GCC
C00560,Low,6,Expats-GCC
C00561,Medium,3,Expats-Asia
C00562,Medium,5,Bahraini
C00563,Low,1,Expats-GCC
C00564,High,3,Bahraini
C00565,Low,3,Bahraini
C00566,High,4,Expats-Other
C00567,Low,1,Bahraini
C00568,High,1,Expats-Asia
C00569,High,4,Bahraini
C00570,Medium,4,Expats-Asia
C00571,Medium,5,Expats-Asia
C00572,Low,5,Expats-Asia
C00573,High,7,Expats-GCC
C00574,Low,5,Bahraini
C00575,Medium,2,Expats-Asia
C00576,Low,6,Expats-GCC
C00577,High,3,Bahraini
C00578,High,4,Bahraini
C00579,Low,7,Expats-Asia
C00580,Low,5,Bahraini
C00581,Low,1,Expats-Asia
C00582,High,3,Bahraini
C00583,Medium,1,Expats-Other
C00584,Low,2,Expats-GCC
C00585,Low,5,Bahraini
C00586,Medium,4,Expats-GCC
C00587,Low,4,Bahraini
C00588,Low,3,Bahraini
C00589,Low,3,Bahraini
C00590,High,4,Expats-Other
C00591,Medium,3,Expats-Asia
C00592,Medium,5,Expats-Asia
C00593,High,1,Expats-GCC
C00594,Low,2,Expats-Asia
C00595,High,5,Expats-Asia
C00596,High,1,Expats-Other
C00597,High,4,Expats-Asia
C00598,High,2,Expats-Asia
C00599,Medium,7,Expats-Asia
C00600,Medium,4,Bahraini
C00601,Medium,6,Expats-Other
C00602,Low,6,Bahraini
C00603,High,2,Expats-Asia
C00604,High,7,Expats-Other
C00605,High,2,Expats-Other
C00606,High,7,Expats-Other
C00607,Low,2,Expats-Asia
C00608,High,2,Expats-Other
C00609,High,4,Expats-GCC
C00610,High,5,Bahraini
C00611,Low,2,Expats-GCC
C00612,Low,7,Expats-GCC
C00613,Low,2,Expats-Asia
C00614,High,6,Bahraini
C00615,Low,7,Expats-GCC
C00616,High,1,Expats-GCC
C00617,Medium,7,Expats-GCC
C00618,Medium,6,Expats-GCC
C00619,High,1,Bahraini
C00620,Low,3,Bahraini
C00621,High,3,Bahraini
C00622,Medium,4,Bahraini
C00623,Low,3,Expats-Other
C00624,High,1,Expats-Other
C00625,Low,5,Expats-Asia
C00626,Medium,2,Expats-GCC
C00627,Low,1,Expats-Asia
C00628,Medium,3,Expats-Other
C00629,Medium,5,Expats-Asia
C00630,Medium,6,Expats-Asia
C00631,Medium,7,Expats-GCC
C00632,Low,3,Expats-GCC
C00633,Low,2,Bahraini
C00634,Low,3,Bahraini
C00635,Low,2,Expats-Asia
C00636,Low,7,Expats-Other
C00637,Low,5,Expats-GCC
C00638,Medium,7,Expats-GCC
C00639,High,1,Bahraini
C00640,Low,2,Expats-Asia
C00641,Low,2,Expats-Other
C00642,High,7,Expats-Other
C00643,Medium,5,Expats-Asia
C00644,Medium,5,Bahraini
C00645,High,4,Expats-GCC
C00646,Low,6,Expats-GCC
C00647,Medium,4,Bahraini
C00648,Medium,6,Expats-Other
C00649,High,6,Expats-Asia
C00650,Medium,5,Bahraini
C00651,Low,7,Expats-Asia
C00652,Low,6,Expats-Asia
C00653,Low,3,Bahraini
C00654,Medium,5,Expats-Asia
C00655,Low,3,Bahraini
C00656,Low,2,Bahraini
C00657,High,4,Bahraini
C00658,High,4,Expats-Asia
C00659,High,7,Expats-Other
C00660,Low,3,Expats-Other
C00661,Medium,4,Expats-Other
C00662,High,4,Expats-Other
C00663,Medium,4,Expats-Asia
C00664,Medium,7,Expats-GCC
C00665,Medium,3,Expats-GCC
C00666,Low,1,Expats-Asia
C00667,Medium,4,Bahraini
C00668,Medium,2,Bahraini
C00669,Low,2,Expats-Asia
C00670,High,4,Bahraini
C00671,Medium,4,Expats-GCC
C00672,Medium,1,Expats-Asia
C00673,High,6,Expats-Other
C00674,Medium,6,Bahraini
C00675,Medium,5,Expats-Asia
C00676,Medium,6,Expats-Other
C00677,Medium,6,Expats-Asia
C00678,Low,7,Bahraini
C00679,Low,3,Expats-Asia
C00680,High,5,Bahraini
C00681,Medium,2,Bahraini
C00682,High,2,Expats-Asia
C00683,Medium,3,Expats-Asia
C00684,Low,2,Expats-GCC
C00685,High,3,Expats-Other
C00686,Medium,2,Bahraini
C00687,Low,2,Expats-GCC
C00688,High,6,Expats-Asia
C00689,High,4,Expats-GCC
C00690,High,4,Bahraini
C00691,High,1,Expats-Asia
C00692,Low,5,Bahraini
C00693,High,6,Bahraini
C00694,High,3,Bahraini
C00695,High,6,Expats-Asia
C00696,Low,3,Expats-GCC
C00697,Medium,7,Expats-Other
C00698,Low,5,Expats-Asia
C00699,High,2,Bahraini
C00700,Medium,7,Bahraini
C00701,Medium,3,Expats-Asia
C00702,High,1,Expats-GCC
C00703,Low,4,Expats-Asia
C00704,Medium,1,Expats-Asia
C00705,Low,1,Expats-Other
C00706,High,1,Bahraini
C00707,Low,3,Expats-Asia
C00708,Low,3,Expats-Asia
C00709,High,7,Bahraini
C00710,Low,5,Expats-Other
C00711,Low,6,Expats-Other
C00712,Medium,6,Expats-Asia
C00713,Low,5,Expats-Other
C00714,Low,5,Expats-GCC
C00715,Medium,2,Expats-Asia
C00716,High,4,Expats-GCC
C00717,Low,1,Expats-GCC
C00718,Low,7,Bahraini
C00719,High,2,Expats-GCC
C00720,Low,6,Bahraini
C00721,High,4,Expats-Other
C00722,Medium,3,Expats-GCC
C00723,Medium,7,Expats-Asia
C00724,Low,4,Expats-Asia
C00725,Medium,1,Expats-Asia
C00726,Medium,7,Bahraini
C00727,Medium,2,Expats-Asia
C00728,High,1,Expats-Other
C00729,High,3,Expats-Asia
C00730,Low,4,Expats-Other
C00731,High,4,Expats-GCC
C00732,Medium,1,Expats-Other
C00733,Low,5,Expats-Asia
C00734,High,4,Bahraini
C00735,Low,6,Expats-GCC
C00736,Medium,5,Expats-Asia
C00737,Medium,1,Expats-Asia
C00738,Medium,4,Expats-Asia
C00739,Low,2,Expats-Asia
C00740,Low,5,Expats-Asia
C00741,Medium,3,Expats-Other
C00742,Medium,2,Expats-Asia
C00743,Low,4,Expats-GCC
C00744,Low,2,Expats-Other
C00745,Low,7,Expats-GCC
C00746,Medium,1,Bahraini
C00747,Low,4,Bahraini
C00748,Low,6,Bahraini
C00749,Low,2,Expats-Asia
C00750,High,7,Expats-Other
C00751,Medium,3,Expats-Other
C00752,Low,5,Expats-GCC
C00753,High,6,Expats-Other
C00754,Low,1,Expats-Asia
C00755,Low,6,Expats-Other
C00756,Medium,5,Bahraini
C00757,Medium,6,Bahraini
C00758,Medium,1,Expats-Other
C00759,High,4,Expats-GCC
C00760,Low,2,Expats-GCC
C00761,Low,2,Expats-Asia
C00762,High,2,Expats-Asia
C00763,Low,2,Expats-GCC
C00764,Low,5,Bahraini
C00765,High,5,Expats-Asia
C00766,Medium,6,Expats-Other
C00767,High,6,Expats-Asia
C00768,Medium,6,Expats-Other
C00769,Medium,5,Expats-Asia
C00770,Medium,7,Bahraini
C00771,High,6,Bahraini
C00772,Low,7,Expats-Other
C00773,Medium,7,Expats-Other
C00774,Low,6,Expats-Asia
C00775,Medium,1,Expats-Asia
C00776,High,3,Expats-Other
C00777,Medium,5,Bahraini
C00778,Low,3,Expats-Other
C00779,High,1,Expats-GCC
C00780,Low,6,Expats-GCC
C00781,High,4,Expats-GCC
C00782,High,4,Expats-Asia
C00783,High,3,Expats-GCC
C00784,Low,6,Expats-Asia
C00785,Low,2,Expats-Asia
C00786,High,4,Bahraini
C00787,Medium,2,Expats-GCC
C00788,High,2,Expats-Asia
C00789,Medium,2,Expats-Asia
C00790,Medium,5,Expats-Asia
C00791,Medium,6,Expats-Other
C00792,Medium,7,Expats-Asia
C00793,High,5,Bahraini
C00794,Low,3,Expats-GCC
C00795,Medium,5,Expats-GCC
C00796,High,7,Bahraini
C00797,Medium,3,Expats-Other
C00798,Medium,4,Expats-Other
C00799,High,1,Bahraini
C00800,Low,2,Expats-Asia
C00801,Medium,7,Bahraini
C00802,Low,3,Expats-Asia
C00803,Medium,2,Expats-GCC
C00804,Low,6,Expats-GCC
C00805,Medium,4,Expats-Other
C00806,Medium,3,Expats-Other
C00807,Low,3,Expats-Asia
C00808,High,4,Expats-Other
C00809,Medium,4,Expats-GCC
C00810,Low,7,Expats-Other
C00811,Low,5,Expats-GCC
C00812,Low,3,Expats-Other
C00813,Medium,5,Expats-GCC
C00814,Low,7,Expats-GCC
C00815,Low,2,Expats-Asia
C00816,Medium,1,Bahraini
C00817,Medium,4,Expats-Asia
C00818,Medium,6,Expats-Other
C00819,Low,6,Expats-GCC
C00820,Low,7,Expats-Other
C00821,High,1,Expats-Asia
C00822,Medium,5,Expats-GCC
C00823,Medium,1,Bahraini
C00824,High,5,Bahraini
C00825,Low,4,Expats-Asia
C00826,Low,5,Bahraini
C00827,High,2,Expats-GCC
C00828,High,1,Bahraini
C00829,Medium,4,Expats-GCC
C00830,Medium,4,Expats-GCC
C00831,Low,4,Expats-GCC
C00832,Medium,1,Expats-Asia
C00833,High,1,Expats-GCC
C00834,Low,7,Bahraini
C00835,Medium,3,Expats-Asia
C00836,High,7,Expats-GCC
C00837,Low,6,Expats-GCC
C00838,High,4,Expats-Other
C00839,Low,4,Expats-GCC
C00840,Medium,2,Bahraini
C00841,High,1,Expats-GCC
C00842,Low,4,Expats-GCC
C00843,High,1,Expats-Other
C00844,High,4,Expats-Other
C00845,Low,4,Expats-Other
C00846,Medium,5,Expats-GCC
C00847,Low,2,Expats-GCC
C00848,Low,5,Bahraini
C00849,High,2,Expats-GCC
C00850,Low,2,Expats-Other
C00851,Medium,7,Expats-Other
C00852,Low,2,Expats-Other
C00853,Medium,1,Bahraini
C00854,High,3,Expats-Other
C00855,Low,4,Expats-Other
C00856,High,1,Expats-GCC
C00857,Low,6,Expats-Other
C00858,Medium,1,Expats-GCC
C00859,Low,5,Expats-Asia
