post_id,platform,sentiment,topic,date
S157,Instagram,Positive,Network,2025-02-20
S158,Facebook,Negative,Event,2024-09-29
S159,Instagram,Positive,Customer Service,2025-02-17
S160,Instagram,Negative,Network,2025-01-01
S161,Twitter,Negative,Offer,2025-04-19
S162,Facebook,Negative,Offer,2024-10-03
S163,Twitter,Negative,Offer,2025-01-17
S164,Facebook,Negative,Customer Service,2025-07-03
S165,Facebook,Positive,Customer Service,2024-10-05
S166,Facebook,Neutral,Customer Service,2024-10-17
S167,Facebook,Positive,Customer Service,2025-06-17
S168,Instagram,Neutral,Event,2025-04-25
S169,Twitter,Positive,Event,2025-08-10
S170,Facebook,Neutral,Offer,2025-03-11
S171,Instagram,Positive,Event,2025-04-06
S172,Instagram,Neutral,Offer,2024-10-16
S173,Twitter,Positive,Offer,2025-07-25
S174,Twitter,Neutral,Customer Service,2025-04-29
S175,Twitter,Neutral,Event,2024-10-08
S176,Instagram,Positive,Network,2025-09-04
S177,Facebook,Neutral,Event,2024-11-09
S178,Twitter,Positive,Customer Service,2025-06-27
S179,Twitter,Positive,Event,2025-03-26
S180,Instagram,Neutral,Customer Service,2024-10-01
S181,Twitter,Negative,Network,2025-04-28
S182,Twitter,Negative,Offer,2025-07-17
S183,Facebook,Negative,Offer,2025-02-14
S184,Facebook,Neutral,Offer,2025-05-18
S185,Twitter,Negative,Network,2025-05-04
S186,Instagram,Negative,Offer,2025-07-11
S187,Twitter,Positive,Network,2025-03-22
S188,Facebook,Neutral,Customer Service,2025-08-04
S189,Facebook,Positive,Customer Service,2025-07-13
S190,Instagram,Positive,Event,2025-01-02
S191,Instagram,Negative,Offer,2024-10-11
S192,Facebook,Positive,Customer Service,2025-08-06
S193,Twitter,Neutral,Network,2025-02-15
S194,Facebook,Positive,Offer,2025-06-03
S195,Facebook,Negative,Event,2024-10-17
S196,Facebook,Positive,Network,2025-03-05
S197,Facebook,Neutral,Offer,2025-03-01
S198,Facebook,Neutral,Customer Service,2024-11-06
S199,Facebook,Neutral,Event,2025-04-23
S200,Twitter,Negative,Event,2024-11-10
S201,Instagram,Negative,Customer Service,2024-09-12
S202,Facebook,Negative,Network,2025-08-03
S203,Instagram,Negative,Customer Service,2025-03-02
S204,Twitter,Neutral,Customer Service,2025-04-03
S205,Facebook,Positive,Offer,2024-09-22
S206,Facebook,Negative,Network,2025-06-09
S207,Facebook,Neutral,Offer,2025-06-11
S208,Facebook,Neutral,Network,2025-01-16
S209,Instagram,Negative,Offer,2024-11-07
S210,Twitter,Positive,Network,2025-09-12
S211,Instagram,Neutral,Event,2024-09-16
S212,Twitter,Positive,Customer Service,2025-04-28
S213,Facebook,Positive,Offer,2025-03-06
S214,Instagram,Neutral,Offer,2025-05-30
S215,Facebook,Neutral,Customer Service,2025-04-15
S216,Instagram,Neutral,Customer Service,2025-05-27
S217,Facebook,Neutral,Event,2025-05-26
S218,Facebook,Positive,Customer Service,2024-11-15
S219,Instagram,Neutral,Customer Service,2025-09-12
S220,Twitter,Neutral,Customer Service,2024-09-24
S221,Twitter,Positive,Network,2024-10-03
S222,Twitter,Neutral,Customer Service,2024-10-12
S223,Instagram,Neutral,Offer,2024-10-05
S224,Instagram,Neutral,Offer,2025-06-26
S225,Twitter,Negative,Network,2025-07-25
S226,Instagram,Positive,Customer Service,2024-10-15
S227,Twitter,Negative,Offer,2025-01-17
S228,Instagram,Positive,Network,2025-04-04
S229,Facebook,Neutral,Customer Service,2025-02-18
S230,Facebook,Positive,Network,2025-06-21
S231,Facebook,Positive,Event,2025-05-21
S232,Twitter,Neutral,Event,2025-04-23
S233,Twitter,Negative,Offer,2025-05-01
S234,Twitter,Positive,Offer,2025-03-02
S235,Twitter,Positive,Event,2024-12-17
S236,Twitter,Positive,Network,2025-08-29
S237,Twitter,Negative,Offer,2025-04-23
S238,Facebook,Positive,Customer Service,2025-04-15
S239,Instagram,Positive,Offer,2025-07-17
S240,Twitter,Neutral,Customer Service,2025-07-25
S241,Twitter,Positive,Customer Service,2025-08-19
S242,Instagram,Negative,Offer,2024-11-17
S243,Instagram,Positive,Network,2025-01-22
S244,Facebook,Negative,Customer Service,2025-04-19
S245,Twitter,Positive,Customer Service,2024-09-25
S246,Instagram,Negative,Event,2024-09-15
S247,Facebook,Neutral,Offer,2025-07-24
S248,Facebook,Neutral,Event,2025-07-05
S249,Instagram,Positive,Network,2024-12-06
S250,Instagram,Neutral,Customer Service,2024-12-17
S251,Twitter,Positive,Event,2025-04-27
S252,Instagram,Positive,Customer Service,2024-10-31
S253,Facebook,Neutral,Network,2024-11-04
S254,Instagram,Neutral,Event,2025-08-14
S255,Twitter,Negative,Network,2025-03-08
S256,Instagram,Neutral,Customer Service,2025-06-17
S257,Facebook,Negative,Network,2024-10-02
S258,Twitter,Negative,Network,2025-01-09
S259,Twitter,Negative,Event,2025-01-01
S260,Facebook,Positive,Customer Service,2025-05-18
S261,Twitter,Negative,Event,2025-02-13
S262,Instagram,Positive,Customer Service,2024-11-14
S263,Facebook,Neutral,Network,2025-04-25
S264,Facebook,Negative,Event,2025-06-11
S265,Twitter,Negative,Event,2025-06-10
S266,Twitter,Neutral,Event,2024-12-17
S267,Twitter,Negative,Offer,2025-05-24
S268,Instagram,Positive,Network,2024-12-14
S269,Instagram,Neutral,Network,2025-06-27
S270,Twitter,Negative,Event,2024-10-15
S271,Instagram,Neutral,Customer Service,2025-03-22
S272,Facebook,Negative,Event,2024-09-13
S273,Instagram,Neutral,Network,2024-10-26
S274,Instagram,Neutral,Customer Service,2025-05-07
S275,Twitter,Positive,Network,2025-01-14
S276,Facebook,Negative,Event,2025-02-07
S277,Facebook,Neutral,Network,2024-12-22
S278,Twitter,Neutral,Offer,2024-10-18
S279,Facebook,Negative,Event,2025-08-31
S280,Twitter,Negative,Network,2025-07-27
S281,Facebook,Neutral,Network,2024-10-19
S282,Twitter,Positive,Customer Service,2025-04-27
S283,Instagram,Positive,Event,2025-06-18
S284,Facebook,Negative,Customer Service,2025-01-22
S285,Facebook,Neutral,Customer Service,2025-01-24
S286,Facebook,Positive,Customer Service,2025-09-04
S287,Instagram,Negative,Customer Service,2024-11-08
S288,Instagram,Positive,Customer Service,2025-08-20
S289,Facebook,Positive,Network,2025-03-03
S290,Twitter,Positive,Customer Service,2024-09-17
S291,Twitter,Negative,Offer,2025-06-16
S292,Instagram,Negative,Offer,2025-04-23
S293,Twitter,Neutral,Customer Service,2024-12-09
S294,Twitter,Neutral,Customer Service,2025-02-28
S295,Instagram,Positive,Network,2025-08-06
S296,Instagram,Positive,Network,2025-07-07
S297,Twitter,Neutral,Customer Service,2024-11-05
S298,Twitter,Neutral,Event,2025-09-05
S299,Instagram,Neutral,Network,2024-12-01
S300,Instagram,Positive,Customer Service,2024-12-23
S301,Twitter,Negative,Customer Service,2024-12-12
S302,Facebook,Positive,Offer,2024-11-03
S303,Instagram,Negative,Event,2025-06-09
S304,Twitter,Neutral,Event,2025-04-08
S305,Facebook,Neutral,Customer Service,2025-06-30
S306,Instagram,Negative,Customer Service,2025-03-07
S307,Facebook,Positive,Customer Service,2025-04-10
S308,Twitter,Neutral,Offer,2025-02-17
S309,Facebook,Negative,Customer Service,2025-08-23
S310,Twitter,Positive,Network,2024-11-11
S311,Twitter,Negative,Network,2024-09-14
S312,Instagram,Negative,Network,2024-11-23
S313,Facebook,Neutral,Network,2024-12-02
S314,Twitter,Neutral,Offer,2024-09-18
S315,Instagram,Negative,Customer Service,2025-02-12
S316,Instagram,Negative,Offer,2024-12-15
S317,Facebook,Neutral,Customer Service,2025-05-22
S318,Facebook,Neutral,Offer,2025-06-21
S319,Facebook,Positive,Customer Service,2025-06-02
S320,Facebook,Neutral,Network,2024-09-28
S321,Instagram,Positive,Customer Service,2025-08-04
S322,Twitter,Positive,Event,2025-06-25
S323,Twitter,Positive,Customer Service,2024-11-13
S324,Twitter,Negative,Offer,2025-08-04
S325,Instagram,Positive,Customer Service,2024-09-27
S326,Instagram,Positive,Offer,2025-07-22
S327,Facebook,Negative,Offer,2025-03-29
S328,Facebook,Neutral,Event,2025-03-21
S329,Instagram,Negative,Customer Service,2024-11-19
S330,Twitter,Positive,Network,2025-06-07
S331,Twitter,Positive,Network,2025-03-21
S332,Twitter,Neutral,Customer Service,2025-06-12
S333,Twitter,Positive,Offer,2025-04-11
S334,Facebook,Negative,Event,2025-07-26
S335,Facebook,Negative,Customer Service,2025-06-13
S336,Facebook,Neutral,Event,2024-09-20
S337,Twitter,Neutral,Network,2025-02-15
S338,Twitter,Negative,Customer Service,2025-06-14
S339,Facebook,Neutral,Network,2025-04-30
S340,Instagram,Negative,Offer,2025-01-22
S341,Facebook,Positive,Network,2025-03-16
S342,Facebook,Negative,Event,2025-02-28
S343,Facebook,Negative,Customer Service,2024-11-30
S344,Facebook,Negative,Offer,2024-09-19
S345,Instagram,Positive,Customer Service,2024-10-04
S346,Twitter,Negative,Network,2025-01-18
S347,Instagram,Positive,Customer Service,2024-10-30
S348,Facebook,Neutral,Network,2025-05-17
S349,Twitter,Positive,Event,2025-02-12
S350,Twitter,Negative,Offer,2025-06-15
S351,Twitter,Neutral,Event,2025-08-20
S352,Facebook,Neutral,Network,2025-05-13
S353,Twitter,Neutral,Event,2025-09-02
S354,Twitter,Negative,Customer Service,2025-09-10
S355,Facebook,Neutral,Offer,2025-01-26
S356,Facebook,Neutral,Network,2024-09-19
S357,Facebook,Positive,Network,2024-10-12
S358,Twitter,Neutral,Event,2024-11-23
S359,Instagram,Positive,Offer,2024-10-31
S360,Instagram,Negative,Event,2025-08-22
S361,Instagram,Positive,Customer Service,2025-06-12
S362,Facebook,Neutral,Event,2025-09-08
S363,Twitter,Neutral,Offer,2024-11-29
S364,Twitter,Neutral,Offer,2024-12-31
S365,Instagram,Positive,Network,2024-10-16
S366,Facebook,Neutral,Event,2025-08-09
S367,Facebook,Neutral,Offer,2024-12-25
S368,Facebook,Positive,Customer Service,2025-08-23
S369,Facebook,Negative,Event,2025-03-05
S370,Twitter,Neutral,Customer Service,2025-01-13
S371,Twitter,Positive,Customer Service,2025-01-28
S372,Instagram,Neutral,Customer Service,2025-05-25
S373,Instagram,Negative,Customer Service,2025-03-17
S374,Twitter,Positive,Network,2025-05-17
S375,Facebook,Neutral,Network,2024-11-28
S376,Twitter,Negative,Network,2025-03-09
S377,Facebook,Positive,Customer Service,2024-12-07
S378,Twitter,Neutral,Offer,2025-02-19
S379,Facebook,Negative,Event,2025-04-15
S380,Facebook,Negative,Customer Service,2025-03-27
S381,Instagram,Positive,Customer Service,2024-09-14
S382,Twitter,Neutral,Event,2024-09-23
S383,Twitter,Negative,Network,2025-07-05
S384,Twitter,Positive,Network,2025-09-02
S385,Twitter,Positive,Customer Service,2025-01-11
S386,Facebook,Positive,Event,2025-03-16
S387,Facebook,Positive,Network,2025-03-28
S388,Facebook,Neutral,Network,2025-04-13
S389,Facebook,Positive,Network,2025-06-09
S390,Facebook,Positive,Event,2024-10-09
S391,Facebook,Positive,Offer,2024-11-15
S392,Instagram,Negative,Offer,2024-11-05
S393,Facebook,Positive,Event,2025-06-25
S394,Twitter,Negative,Offer,2024-12-02
S395,Instagram,Positive,Event,2025-05-11
S396,Facebook,Negative,Network,2025-04-23
S397,Instagram,Negative,Customer Service,2025-07-02
S398,Instagram,Neutral,Network,2025-01-10
S399,Twitter,Negative,Customer Service,2025-05-21
S400,Facebook,Positive,Offer,2025-01-23
S401,Instagram,Neutral,Network,2024-11-22
S402,Facebook,Neutral,Network,2025-05-06
S403,Twitter,Negative,Event,2025-06-28
S404,Twitter,Positive,Offer,2025-02-01
S405,Facebook,Negative,Network,2025-07-04
S406,Instagram,Negative,Offer,2025-01-11
S407,Instagram,Neutral,Customer Service,2024-11-09
S408,Instagram,Neutral,Offer,2025-01-09
S409,Twitter,Negative,Customer Service,2025-01-30
S410,Facebook,Negative,Event,2025-08-21
S411,Facebook,Neutral,Event,2024-11-07
S412,Instagram,Positive,Customer Service,2025-03-29
S413,Twitter,Negative,Customer Service,2025-07-29
S414,Facebook,Negative,Customer Service,2024-11-26
S415,Instagram,Positive,Offer,2024-12-23
S416,Facebook,Positive,Event,2025-02-08
S417,Twitter,Neutral,Network,2024-12-14
S418,Facebook,Neutral,Network,2024-12-19
S419,Facebook,Neutral,Offer,2025-09-06
S420,Facebook,Negative,Offer,2025-04-15
S421,Facebook,Positive,Event,2025-05-21
S422,Facebook,Positive,Offer,2025-01-31
S423,Instagram,Neutral,Customer Service,2024-11-27
S424,Instagram,Neutral,Offer,2024-10-02
S425,Facebook,Neutral,Offer,2024-10-09
S426,Twitter,Positive,Offer,2025-05-18
S427,Instagram,Neutral,Network,2025-08-23
S428,Facebook,Positive,Event,2024-09-28
S429,Twitter,Negative,Event,2025-06-05
S430,Facebook,Neutral,Customer Service,2025-04-08
S431,Facebook,Positive,Event,2025-06-30
S432,Instagram,Positive,Offer,2024-11-25
S433,Twitter,Neutral,Event,2025-04-19
S434,Facebook,Negative,Offer,2025-01-14
S435,Facebook,Neutral,Event,2024-09-25
S436,Instagram,Neutral,Event,2025-01-30
S437,Facebook,Neutral,Offer,2025-07-19
S438,Instagram,Positive,Network,2024-11-24
S439,Facebook,Neutral,Customer Service,2025-06-02
S440,Twitter,Negative,Customer Service,2025-04-25
S441,Facebook,Positive,Network,2024-10-07
S442,Instagram,Negative,Network,2024-11-04
S443,Instagram,Negative,Event,2025-04-13
S444,Facebook,Positive,Customer Service,2025-09-12
S445,Facebook,Positive,Customer Service,2025-01-28
S446,Instagram,Negative,Offer,2025-01-02
S447,Facebook,Negative,Network,2024-11-18
S448,Instagram,Positive,Event,2025-03-16
S449,Facebook,Negative,Network,2025-05-26
S450,Instagram,Neutral,Customer Service,2025-06-29
S451,Twitter,Positive,Customer Service,2024-10-20
S452,Instagram,Negative,Event,2024-10-02
S453,Twitter,Negative,Network,2025-02-13
S454,Twitter,Neutral,Network,2024-11-20
S455,Twitter,Negative,Event,2024-09-16
S456,Twitter,Positive,Offer,2025-01-27
S457,Twitter,Neutral,Event,2025-01-11
S458,Instagram,Neutral,Network,2025-08-26
S459,Instagram,Negative,Offer,2025-06-15
S460,Instagram,Neutral,Customer Service,2025-08-12
S461,Facebook,Neutral,Network,2025-01-05
S462,Instagram,Neutral,Network,2024-09-24
S463,Twitter,Positive,Offer,2025-04-12
S464,Instagram,Neutral,Offer,2025-04-24
S465,Facebook,Neutral,Customer Service,2024-10-08
S466,Twitter,Positive,Event,2024-11-29
S467,Twitter,Neutral,Event,2024-11-12
S468,Facebook,Negative,Event,2025-03-24
S469,Instagram,Positive,Offer,2025-04-24
S470,Facebook,Positive,Event,2025-05-17
S471,Twitter,Positive,Customer Service,2025-07-10
S472,Instagram,Positive,Network,2025-05-17
S473,Facebook,Negative,Event,2025-08-23
S474,Facebook,Positive,Offer,2025-08-03
S475,Instagram,Negative,Network,2025-06-17
S476,Instagram,Positive,Event,2025-03-20
S477,Instagram,Neutral,Customer Service,2025-01-30
S478,Instagram,Positive,Offer,2024-09-23
S479,Instagram,Positive,Event,2024-10-07
S480,Facebook,Negative,Offer,2025-08-01
S481,Twitter,Negative,Offer,2024-09-13
S482,Twitter,Neutral,Offer,2024-10-18
S483,Twitter,Positive,Network,2025-04-18
S484,Instagram,Negative,Customer Service,2024-11-14
S485,Facebook,Negative,Offer,2025-08-28
S486,Instagram,Positive,Offer,2025-05-27
S487,Facebook,Neutral,Network,2024-09-21
S488,Instagram,Negative,Customer Service,2025-06-24
S489,Twitter,Negative,Customer Service,2025-02-10
S490,Instagram,Negative,Event,2024-09-22
S491,Twitter,Neutral,Event,2025-05-07
S492,Twitter,Negative,Network,2025-09-06
S493,Twitter,Negative,Network,2025-05-12
S494,Instagram,Neutral,Offer,2024-12-25
S495,Facebook,Negative,Offer,2025-06-25
S496,Instagram,Neutral,Network,2024-12-20
S497,Instagram,Positive,Event,2025-07-02
S498,Instagram,Negative,Event,2025-03-09
S499,Instagram,Negative,Event,2025-06-24
S500,Twitter,Positive,Offer,2025-07-16
S501,Instagram,Positive,Offer,2024-11-14
S502,Instagram,Negative,Network,2025-07-23
S503,Twitter,Positive,Event,2025-05-31
S504,Instagram,Negative,Customer Service,2025-03-11
S505,Facebook,Negative,Offer,2025-03-12
S506,Instagram,Negative,Network,2025-02-11
S507,Facebook,Positive,Offer,2025-07-25
S508,Instagram,Neutral,Offer,2025-06-24
S509,Twitter,Neutral,Network,2024-12-02
S510,Instagram,Positive,Offer,2025-08-23
S511,Instagram,Positive,Event,2025-05-31
S512,Instagram,Neutral,Network,2024-10-09
S513,Twitter,Negative,Offer,2025-08-15
S514,Facebook,Negative,Event,2024-10-02
S515,Facebook,Positive,Offer,2025-01-01
S516,Twitter,Negative,Customer Service,2025-03-18
S517,Instagram,Neutral,Network,2024-12-29
S518,Facebook,Neutral,Customer Service,2024-12-09
S519,Instagram,Positive,Offer,2025-06-21
S520,Twitter,Neutral,Event,2025-09-06
S521,Facebook,Neutral,Network,2025-04-08
S522,Instagram,Negative,Network,2025-03-09
S523,Twitter,Negative,Network,2025-08-28
S524,Facebook,Negative,Event,2025-01-27
S525,Instagram,Neutral,Network,2025-06-01
S526,Facebook,Positive,Offer,2024-12-16
S527,Twitter,Neutral,Event,2024-10-24
S528,Instagram,Positive,Customer Service,2024-10-26
S529,Twitter,Neutral,Event,2025-06-16
S530,Facebook,Negative,Customer Service,2024-09-24
S531,Twitter,Positive,Offer,2025-07-05
S532,Facebook,Neutral,Event,2025-07-19
S533,Facebook,Negative,Event,2025-03-03
S534,Facebook,Negative,Event,2025-02-28
S535,Instagram,Negative,Event,2025-04-19
S536,Facebook,Positive,Customer Service,2025-05-31
S537,Twitter,Negative,Network,2025-05-23
S538,Instagram,Positive,Network,2024-12-04
S539,Instagram,Neutral,Customer Service,2024-10-27
S540,Instagram,Negative,Customer Service,2025-08-31
S541,Instagram,Positive,Event,2025-01-20
S542,Instagram,Neutral,Customer Service,2025-05-23
S543,Instagram,Negative,Customer Service,2025-01-03
S544,Twitter,Neutral,Network,2024-09-14
S545,Instagram,Neutral,Network,2024-10-02
S546,Twitter,Negative,Offer,2025-05-21
S547,Twitter,Negative,Event,2024-10-21
S548,Facebook,Positive,Customer Service,2024-10-08
S549,Facebook,Negative,Customer Service,2025-03-24
S550,Instagram,Neutral,Network,2025-02-22
S551,Instagram,Neutral,Event,2025-06-13
S552,Twitter,Neutral,Network,2025-01-02
S553,Twitter,Neutral,Offer,2025-05-27
S554,Twitter,Negative,Customer Service,2025-07-26
S555,Facebook,Neutral,Offer,2025-03-11
S556,Twitter,Negative,Offer,2025-01-05
S557,Instagram,Neutral,Network,2025-03-30
S558,Facebook,Negative,Customer Service,2024-10-15
S559,Facebook,Positive,Offer,2024-10-11
S560,Instagram,Neutral,Offer,2025-01-06
S561,Instagram,Positive,Event,2025-07-06
S562,Twitter,Neutral,Network,2024-09-20
S563,Twitter,Neutral,Offer,2024-12-01
S564,Twitter,Neutral,Network,2025-07-22
S565,Facebook,Positive,Network,2024-10-24
S566,Facebook,Neutral,Network,2025-01-15
S567,Instagram,Negative,Offer,2025-07-25
S568,Twitter,Positive,Offer,2024-11-12
S569,Twitter,Negative,Network,2025-02-04
S570,Instagram,Positive,Event,2025-04-02
S571,Facebook,Negative,Event,2025-04-07
S572,Facebook,Neutral,Network,2024-09-15
S573,Instagram,Positive,Network,2025-01-15
S574,Instagram,Positive,Network,2024-10-17
S575,Twitter,Negative,Customer Service,2024-09-27
S576,Twitter,Negative,Network,2025-09-03
S577,Twitter,Neutral,Event,2025-07-11
S578,Instagram,Negative,Offer,2025-02-27
S579,Instagram,Positive,Customer Service,2025-05-11
S580,Twitter,Neutral,Offer,2024-11-17
S581,Facebook,Negative,Customer Service,2025-01-08
S582,Instagram,Positive,Network,2024-12-03
S583,Twitter,Positive,Offer,2025-07-26
S584,Instagram,Positive,Offer,2024-11-13
S585,Twitter,Positive,Offer,2024-11-22
S586,Facebook,Neutral,Network,2025-05-08
S587,Instagram,Positive,Offer,2024-10-09
S588,Twitter,Positive,Customer Service,2025-05-12
S589,Facebook,Neutral,Offer,2025-08-27
S590,Twitter,Negative,Network,2024-11-15
S591,Facebook,Neutral,Event,2025-07-20
S592,Facebook,Negative,Offer,2025-05-08
S593,Instagram,Neutral,Network,2025-04-04
S594,Twitter,Negative,Offer,2025-07-19
S595,Twitter,Neutral,Customer Service,2025-07-13
S596,Twitter,Negative,Offer,2025-01-04
S597,Twitter,Positive,Customer Service,2024-10-09
