ticket_id,customer_id,issue_category,priority,date_opened,status
T110,C092,Network,High,2025-09-12,Resolved
T111,C024,Network,Medium,2025-09-12,Resolved
T112,C047,Service,Medium,2025-09-12,Open
T113,C048,Service,Low,2025-09-12,Pending
T114,C052,Technical,Medium,2025-09-12,Open
T115,C032,Network,High,2025-09-12,Resolved
T116,C038,Billing,High,2025-09-12,Pending
T117,C010,Network,Medium,2025-09-12,Pending
T118,C057,Billing,Low,2025-09-12,Open
T119,C042,Network,High,2025-09-12,Resolved
T120,C083,Technical,High,2025-09-12,Pending
T121,C094,Service,High,2025-09-12,Pending
T122,C100,Technical,Low,2025-09-12,Pending
T123,C081,Service,Low,2025-09-12,Pending
T124,C057,Technical,Low,2025-09-12,Open
T125,C040,Network,High,2025-09-12,Pending
T126,C096,Service,Low,2025-09-12,Resolved
T127,C008,Billing,Low,2025-09-12,Resolved
T128,C033,Technical,High,2025-09-12,Resolved
T129,C013,Service,Low,2025-09-12,Resolved
T130,C020,Service,High,2025-09-12,Pending
T131,C064,Technical,Medium,2025-09-12,Pending
T132,C084,Billing,Medium,2025-09-12,Pending
T133,C028,Technical,High,2025-09-12,Resolved
T134,C084,Technical,Low,2025-09-12,Open
T135,C012,Billing,High,2025-09-12,Open
T136,C030,Billing,High,2025-09-12,Pending
T137,C014,Service,High,2025-09-12,Pending
T138,C046,Billing,Medium,2025-09-12,Pending
T139,C028,Billing,High,2025-09-12,Pending
T140,C009,Network,High,2025-09-12,Pending
T141,C052,Network,High,2025-09-12,Resolved
T142,C050,Billing,Medium,2025-09-12,Resolved
T143,C030,Service,High,2025-09-12,Open
T144,C047,Service,High,2025-09-12,Open
T145,C036,Network,Medium,2025-09-12,Pending
T146,C051,Billing,Medium,2025-09-12,Pending
T147,C088,Network,Medium,2025-09-12,Pending
T148,C087,Technical,Low,2025-09-12,Open
T149,C050,Technical,Medium,2025-09-12,Open
T150,C055,Technical,Medium,2025-09-12,Open
T151,C026,Technical,Medium,2025-09-12,Resolved
T152,C096,Service,High,2025-09-12,Open
T153,C018,Technical,Low,2025-09-12,Resolved
T154,C064,Billing,Low,2025-09-12,Resolved
T155,C080,Billing,Low,2025-09-12,Open
T156,C093,Billing,Low,2025-09-12,Pending
T157,C053,Service,Medium,2025-09-12,Pending
T158,C068,Network,High,2025-09-12,Pending
T159,C047,Billing,High,2025-09-12,Resolved
T160,C074,Technical,Low,2025-09-12,Open
T161,C068,Service,Medium,2025-09-12,Pending
T162,C071,Technical,Low,2025-09-12,Open
T163,C090,Service,High,2025-09-12,Pending
T164,C005,Service,Medium,2025-09-12,Open
T165,C002,Technical,Low,2025-09-12,Open
T166,C003,Billing,High,2025-09-12,Pending
T167,C045,Service,High,2025-09-12,Open
T168,C090,Billing,High,2025-09-12,Open
T169,C090,Billing,High,2025-09-12,Resolved
T170,C019,Network,Low,2025-09-12,Resolved
T171,C026,Service,Medium,2025-09-12,Resolved
T172,C039,Network,Low,2025-09-12,Resolved
T173,C063,Billing,Low,2025-09-12,Open
T174,C078,Service,High,2025-09-12,Open
T175,C038,Billing,High,2025-09-12,Resolved
T176,C067,Billing,Low,2025-09-12,Resolved
T177,C031,Billing,Low,2025-09-12,Resolved
T178,C042,Service,High,2025-09-12,Resolved
T179,C048,Technical,High,2025-09-12,Resolved
T180,C089,Network,Medium,2025-09-12,Pending
T181,C062,Billing,Medium,2025-09-12,Pending
T182,C051,Technical,Low,2025-09-12,Open
T183,C080,Technical,High,2025-09-12,Pending
T184,C072,Technical,High,2025-09-12,Pending
T185,C073,Service,Low,2025-09-12,Open
T186,C069,Service,Medium,2025-09-12,Resolved
T187,C074,Service,Medium,2025-09-12,Pending
T188,C060,Technical,Medium,2025-09-12,Pending
T189,C097,Billing,Medium,2025-09-12,Pending
T190,C038,Technical,High,2025-09-12,Open
T191,C012,Billing,Medium,2025-09-12,Resolved
T192,C058,Service,Medium,2025-09-12,Resolved
T193,C064,Billing,High,2025-09-12,Open
T194,C084,Network,Low,2025-09-12,Pending
T195,C026,Billing,High,2025-09-12,Pending
T196,C031,Service,High,2025-09-12,Pending
T197,C038,Technical,Medium,2025-09-12,Open
T198,C082,Billing,Medium,2025-09-12,Open
T199,C027,Technical,High,2025-09-12,Resolved
T200,C094,Service,Medium,2025-09-12,Open
T201,C097,Service,Medium,2025-09-12,Resolved
T202,C028,Billing,Low,2025-09-12,Resolved
T203,C055,Technical,Medium,2025-09-12,Open
T204,C039,Network,Low,2025-09-12,Resolved
T205,C034,Billing,High,2025-09-12,Resolved
T206,C052,Network,Low,2025-09-12,Pending
T207,C009,Network,Low,2025-09-12,Pending
T208,C041,Technical,High,2025-09-12,Resolved
T209,C040,Network,Low,2025-09-12,Open
T210,C037,Network,Medium,2025-09-12,Open
T211,C011,Network,Medium,2025-09-12,Pending
T212,C069,Technical,Medium,2025-09-12,Pending
T213,C090,Network,Low,2025-09-12,Open
T214,C070,Technical,Medium,2025-09-12,Open
T215,C006,Service,Low,2025-09-12,Open
T216,C098,Technical,Medium,2025-09-12,Pending
T217,C043,Billing,Low,2025-09-12,Pending
T218,C002,Service,High,2025-09-12,Pending
T219,C016,Billing,Medium,2025-09-12,Open
T220,C076,Service,High,2025-09-12,Pending
T221,C062,Technical,Low,2025-09-12,Resolved
T222,C039,Billing,Low,2025-09-12,Pending
T223,C076,Network,High,2025-09-12,Open
T224,C067,Network,Low,2025-09-12,Open
T225,C005,Service,Low,2025-09-12,Resolved
T226,C044,Billing,Low,2025-09-12,Open
T227,C058,Service,High,2025-09-12,Pending
T228,C087,Technical,Medium,2025-09-12,Open
T229,C040,Network,Medium,2025-09-12,Open
T230,C049,Technical,Medium,2025-09-12,Open
T231,C069,Billing,Medium,2025-09-12,Pending
T232,C056,Network,Low,2025-09-12,Open
T233,C004,Technical,High,2025-09-12,Resolved
T234,C018,Technical,High,2025-09-12,Pending
T235,C017,Network,Low,2025-09-12,Open
T236,C004,Billing,Medium,2025-09-12,Open
T237,C028,Technical,High,2025-09-12,Open
T238,C079,Service,Low,2025-09-12,Resolved
T239,C081,Network,Low,2025-09-12,Pending
T240,C022,Billing,Medium,2025-09-12,Open
T241,C082,Service,Medium,2025-09-12,Open
T242,C065,Billing,Low,2025-09-12,Pending
T243,C024,Network,Medium,2025-09-12,Open
T244,C090,Billing,High,2025-09-12,Pending
T245,C003,Service,High,2025-09-12,Resolved
T246,C090,Service,Medium,2025-09-12,Pending
T247,C076,Billing,Medium,2025-09-12,Open
T248,C025,Technical,High,2025-09-12,Pending
T249,C029,Technical,Medium,2025-09-12,Open
T250,C059,Billing,Medium,2025-09-12,Open
T251,C094,Network,Medium,2025-09-12,Open
T252,C008,Network,Low,2025-09-12,Resolved
T253,C079,Technical,Medium,2025-09-12,Open
T254,C091,Technical,Medium,2025-09-12,Resolved
T255,C050,Network,Medium,2025-09-12,Resolved
T256,C056,Billing,High,2025-09-12,Open
T257,C018,Billing,Medium,2025-09-12,Pending
T258,C087,Network,High,2025-09-12,Open
T259,C035,Service,High,2025-09-12,Pending
T260,C078,Network,High,2025-09-12,Resolved
T261,C065,Network,High,2025-09-12,Pending
T262,C086,Network,Low,2025-09-12,Resolved
T263,C002,Network,High,2025-09-12,Resolved
T264,C098,Service,High,2025-09-12,Resolved
T265,C036,Billing,Low,2025-09-12,Open
T266,C053,Technical,High,2025-09-12,Pending
T267,C051,Service,Low,2025-09-12,Pending
T268,C040,Network,High,2025-09-12,Open
T269,C049,Service,Medium,2025-09-12,Pending
T270,C095,Network,Medium,2025-09-12,Resolved
T271,C057,Service,Low,2025-09-12,Open
T272,C028,Service,Low,2025-09-12,Pending
T273,C064,Network,High,2025-09-12,Open
T274,C014,Network,Low,2025-09-12,Resolved
T275,C009,Billing,Low,2025-09-12,Open
T276,C065,Service,High,2025-09-12,Resolved
T277,C054,Billing,Low,2025-09-12,Open
T278,C086,Technical,Medium,2025-09-12,Resolved
T279,C075,Network,Low,2025-09-12,Resolved
T280,C027,Service,Low,2025-09-12,Pending
T281,C089,Network,High,2025-09-12,Resolved
T282,C095,Technical,Low,2025-09-12,Pending
T283,C079,Technical,Medium,2025-09-12,Open
T284,C093,Service,Medium,2025-09-12,Resolved
T285,C076,Network,High,2025-09-12,Resolved
T286,C001,Technical,Low,2025-09-12,Resolved
T287,C002,Technical,High,2025-09-12,Open
T288,C072,Network,Low,2025-09-12,Resolved
T289,C028,Network,Low,2025-09-12,Resolved
T290,C046,Technical,Medium,2025-09-12,Resolved
T291,C002,Technical,High,2025-09-12,Pending
T292,C056,Service,High,2025-09-12,Resolved
T293,C026,Network,Medium,2025-09-12,Pending
T294,C022,Billing,High,2025-09-12,Open
T295,C066,Service,Low,2025-09-12,Pending
T296,C075,Service,Low,2025-09-12,Pending
T297,C068,Technical,Low,2025-09-12,Open
T298,C089,Technical,High,2025-09-12,Resolved
T299,C084,Service,Medium,2025-09-12,Resolved
T300,C006,Billing,Medium,2025-09-12,Resolved
T301,C090,Billing,High,2025-09-12,Pending
T302,C049,Billing,Medium,2025-09-12,Pending
T303,C008,Service,Medium,2025-09-12,Open
T304,C032,Technical,Low,2025-09-12,Resolved
T305,C059,Service,Medium,2025-09-12,Pending
T306,C067,Network,High,2025-09-12,Open
T307,C050,Billing,Low,2025-09-12,Pending
T308,C048,Network,Low,2025-09-12,Resolved
T309,C007,Technical,Medium,2025-09-12,Open
T310,C051,Billing,Medium,2025-09-12,Pending
T311,C038,Service,Medium,2025-09-12,Resolved
T312,C055,Network,Medium,2025-09-12,Open
T313,C093,Technical,Low,2025-09-12,Resolved
T314,C092,Technical,High,2025-09-12,Pending
T315,C064,Billing,Medium,2025-09-12,Resolved
T316,C008,Technical,Low,2025-09-12,Open
T317,C096,Network,Low,2025-09-12,Resolved
T318,C092,Technical,Low,2025-09-12,Pending
T319,C091,Technical,Medium,2025-09-12,Pending
T320,C064,Technical,High,2025-09-12,Resolved
T321,C062,Service,Low,2025-09-12,Pending
T322,C015,Billing,High,2025-09-12,Open
T323,C100,Billing,High,2025-09-12,Resolved
T324,C011,Network,High,2025-09-12,Open
T325,C027,Network,High,2025-09-12,Resolved
T326,C057,Network,Medium,2025-09-12,Open
T327,C027,Billing,Low,2025-09-12,Pending
T328,C094,Network,Medium,2025-09-12,Open
T329,C048,Technical,High,2025-09-12,Pending
T330,C038,Billing,High,2025-09-12,Open
T331,C019,Technical,Low,2025-09-12,Pending
T332,C082,Billing,Low,2025-09-12,Open
T333,C087,Billing,Low,2025-09-12,Resolved
T334,C008,Billing,Medium,2025-09-12,Pending
T335,C081,Billing,High,2025-09-12,Pending
T336,C003,Billing,Low,2025-09-12,Resolved
T337,C020,Service,Low,2025-09-12,Open
T338,C054,Network,Medium,2025-09-12,Open
T339,C072,Billing,High,2025-09-12,Resolved
T340,C034,Service,High,2025-09-12,Pending
T341,C016,Service,Medium,2025-09-12,Pending
T342,C036,Service,High,2025-09-12,Open
T343,C012,Service,Medium,2025-09-12,Resolved
T344,C093,Service,Low,2025-09-12,Open
T345,C026,Billing,Medium,2025-09-12,Open
T346,C095,Technical,Low,2025-09-12,Open
T347,C041,Billing,High,2025-09-12,Pending
T348,C080,Billing,High,2025-09-12,Resolved
T349,C018,Network,Low,2025-09-12,Resolved
T350,C014,Technical,Low,2025-09-12,Resolved
T351,C036,Network,Medium,2025-09-12,Open
T352,C048,Network,Medium,2025-09-12,Pending
T353,C093,Network,Low,2025-09-12,Open
T354,C013,Service,Low,2025-09-12,Pending
T355,C006,Network,Medium,2025-09-12,Resolved
T356,C066,Billing,Low,2025-09-12,Resolved
T357,C038,Network,High,2025-09-12,Pending
T358,C002,Service,Medium,2025-09-12,Pending
T359,C038,Service,Low,2025-09-12,Pending
T360,C065,Service,Medium,2025-09-12,Open
T361,C043,Service,High,2025-09-12,Open
T362,C061,Service,High,2025-09-12,Open
T363,C089,Service,High,2025-09-12,Open
T364,C014,Technical,High,2025-09-12,Open
T365,C041,Network,High,2025-09-12,Pending
T366,C065,Technical,Medium,2025-09-12,Resolved
T367,C051,Network,Medium,2025-09-12,Pending
T368,C049,Network,Low,2025-09-12,Pending
T369,C045,Network,High,2025-09-12,Resolved
T370,C006,Network,Low,2025-09-12,Pending
T371,C063,Network,Medium,2025-09-12,Resolved
T372,C028,Service,Low,2025-09-12,Pending
T373,C017,Network,Medium,2025-09-12,Open
T374,C064,Network,Low,2025-09-12,Resolved
T375,C037,Service,Low,2025-09-12,Open
T376,C013,Service,Medium,2025-09-12,Open
T377,C024,Billing,Medium,2025-09-12,Pending
T378,C006,Billing,Medium,2025-09-12,Pending
T379,C027,Network,Low,2025-09-12,Open
T380,C074,Technical,High,2025-09-12,Resolved
T381,C065,Service,Low,2025-09-12,Resolved
T382,C003,Billing,Medium,2025-09-12,Open
T383,C001,Billing,Low,2025-09-12,Open
T384,C089,Service,Medium,2025-09-12,Resolved
T385,C042,Billing,High,2025-09-12,Pending
T386,C012,Technical,Medium,2025-09-12,Pending
T387,C032,Technical,High,2025-09-12,Open
T388,C074,Network,Medium,2025-09-12,Pending
T389,C099,Service,High,2025-09-12,Pending
T390,C022,Network,Medium,2025-09-12,Open
T391,C087,Billing,Low,2025-09-12,Pending
T392,C100,Technical,Low,2025-09-12,Open
T393,C084,Network,High,2025-09-12,Open
T394,C060,Network,Medium,2025-09-12,Open
T395,C100,Technical,High,2025-09-12,Open
T396,C046,Billing,Low,2025-09-12,Pending
T397,C075,Technical,Low,2025-09-12,Resolved
T398,C064,Billing,Medium,2025-09-12,Pending
T399,C033,Service,High,2025-09-12,Pending
T400,C042,Service,Low,2025-09-12,Pending
T401,C048,Technical,Low,2025-09-12,Resolved
T402,C002,Service,High,2025-09-12,Pending
T403,C087,Technical,Medium,2025-09-12,Open
T404,C099,Technical,High,2025-09-12,Pending
T405,C022,Technical,Medium,2025-09-12,Open
T406,C008,Technical,Low,2025-09-12,Resolved
T407,C089,Network,Medium,2025-09-12,Resolved
T408,C007,Billing,Low,2025-09-12,Open
T409,C073,Technical,Medium,2025-09-12,Resolved
T410,C058,Technical,Medium,2025-09-12,Open
T411,C019,Service,Low,2025-09-12,Resolved
T412,C023,Service,Low,2025-09-12,Resolved
T413,C066,Technical,Medium,2025-09-12,Pending
T414,C075,Technical,High,2025-09-12,Open
T415,C014,Technical,Medium,2025-09-12,Open
T416,C070,Billing,High,2025-09-12,Resolved
T417,C061,Technical,High,2025-09-12,Pending
T418,C092,Service,Low,2025-09-12,Open
T419,C025,Network,Medium,2025-09-12,Resolved
T420,C028,Service,Low,2025-09-12,Open
T421,C090,Network,Low,2025-09-12,Open
T422,C079,Billing,High,2025-09-12,Pending
T423,C098,Billing,Low,2025-09-12,Pending
T424,C044,Network,Medium,2025-09-12,Resolved
T425,C010,Billing,Medium,2025-09-12,Pending
T426,C089,Billing,Medium,2025-09-12,Pending
T427,C053,Service,Medium,2025-09-12,Open
T428,C058,Network,Low,2025-09-12,Open
T429,C032,Technical,High,2025-09-12,Resolved
T430,C015,Service,Low,2025-09-12,Resolved
T431,C038,Network,Low,2025-09-12,Open
T432,C007,Service,High,2025-09-12,Pending
T433,C015,Network,Low,2025-09-12,Open
T434,C035,Service,Medium,2025-09-12,Resolved
T435,C089,Network,High,2025-09-12,Resolved
T436,C092,Billing,Medium,2025-09-12,Pending
T437,C007,Network,Low,2025-09-12,Resolved
T438,C018,Technical,Low,2025-09-12,Open
T439,C047,Billing,High,2025-09-12,Open
T440,C069,Technical,Low,2025-09-12,Resolved
T441,C009,Network,High,2025-09-12,Resolved
T442,C053,Network,Medium,2025-09-12,Resolved
T443,C038,Network,Medium,2025-09-12,Pending
T444,C027,Billing,Medium,2025-09-12,Open
T445,C019,Service,Medium,2025-09-12,Pending
T446,C008,Service,Low,2025-09-12,Pending
T447,C050,Service,Low,2025-09-12,Open
T448,C083,Network,Low,2025-09-12,Pending
T449,C059,Billing,Low,2025-09-12,Resolved
T450,C092,Billing,Low,2025-09-12,Resolved
T451,C029,Service,Low,2025-09-12,Resolved
T452,C058,Technical,High,2025-09-12,Pending
T453,C009,Service,Medium,2025-09-12,Open
T454,C070,Billing,High,2025-09-12,Open
T455,C085,Service,Low,2025-09-12,Resolved
T456,C038,Network,Low,2025-09-12,Pending
T457,C076,Billing,Medium,2025-09-12,Open
T458,C095,Technical,Medium,2025-09-12,Open
T459,C025,Technical,High,2025-09-12,Pending
T460,C049,Network,Low,2025-09-12,Pending
T461,C038,Technical,Medium,2025-09-12,Open
T462,C081,Network,High,2025-09-12,Pending
T463,C041,Network,High,2025-09-12,Resolved
T464,C003,Technical,Medium,2025-09-12,Resolved
T465,C097,Technical,Low,2025-09-12,Open
T466,C098,Billing,Low,2025-09-12,Resolved
T467,C067,Service,Low,2025-09-12,Open
T468,C052,Billing,Low,2025-09-12,Open
T469,C036,Network,High,2025-09-12,Open
T470,C070,Technical,Low,2025-09-12,Resolved
T471,C076,Network,High,2025-09-12,Open
T472,C083,Technical,Medium,2025-09-12,Open
T473,C080,Technical,High,2025-09-12,Resolved
T474,C011,Service,High,2025-09-12,Pending
T475,C008,Network,High,2025-09-12,Pending
T476,C057,Billing,Low,2025-09-12,Open
T477,C098,Technical,Low,2025-09-12,Resolved
T478,C026,Technical,Medium,2025-09-12,Open
T479,C092,Service,High,2025-09-12,Resolved
T480,C055,Technical,Low,2025-09-12,Open
T481,C026,Billing,Medium,2025-09-12,Open
T482,C078,Service,High,2025-09-12,Resolved
T483,C005,Network,Medium,2025-09-12,Pending
T484,C086,Service,Low,2025-09-12,Pending
T485,C023,Network,Medium,2025-09-12,Open
T486,C070,Service,Medium,2025-09-12,Pending
T487,C082,Network,High,2025-09-12,Pending
T488,C005,Technical,Medium,2025-09-12,Pending
T489,C020,Service,Low,2025-09-12,Pending
T490,C029,Technical,Medium,2025-09-12,Resolved
T491,C053,Service,High,2025-09-12,Resolved
T492,C001,Network,Low,2025-09-12,Resolved
T493,C055,Technical,Medium,2025-09-12,Open
T494,C069,Service,Medium,2025-09-12,Open
T495,C083,Technical,High,2025-09-12,Pending
T496,C090,Network,High,2025-09-12,Open
T497,C044,Service,Low,2025-09-12,Pending
T498,C043,Network,Low,2025-09-12,Resolved
T499,C016,Technical,Low,2025-09-12,Open
T500,C097,Technical,High,2025-09-12,Open
T501,C023,Network,High,2025-09-12,Pending
T502,C025,Network,Low,2025-09-12,Pending
T503,C045,Network,Medium,2025-09-12,Pending
T504,C005,Network,Low,2025-09-12,Resolved
T505,C039,Network,Medium,2025-09-12,Open
T506,C088,Network,High,2025-09-12,Pending
T507,C003,Technical,High,2025-09-12,Pending
T508,C093,Billing,Medium,2025-09-12,Resolved
T509,C074,Network,High,2025-09-12,Open
T510,C079,Network,Medium,2025-09-12,Open
T511,C024,Service,Low,2025-09-12,Pending
T512,C032,Technical,High,2025-09-12,Pending
T513,C018,Technical,Medium,2025-09-12,Open
T514,C078,Network,High,2025-09-12,Pending
T515,C002,Network,Medium,2025-09-12,Pending
T516,C065,Service,Low,2025-09-12,Open
T517,C048,Technical,Low,2025-09-12,Resolved
T518,C035,Technical,Medium,2025-09-12,Open
T519,C046,Billing,Low,2025-09-12,Resolved
T520,C029,Network,Low,2025-09-12,Open
T521,C034,Network,Low,2025-09-12,Pending
T522,C080,Service,Medium,2025-09-12,Pending
T523,C016,Billing,High,2025-09-12,Resolved
T524,C097,Service,High,2025-09-12,Open
T525,C044,Network,High,2025-09-12,Resolved
T526,C061,Billing,High,2025-09-12,Resolved
T527,C059,Service,High,2025-09-12,Pending
T528,C075,Network,High,2025-09-12,Resolved
T529,C072,Network,Medium,2025-09-12,Resolved
T530,C021,Technical,Medium,2025-09-12,Pending
T531,C008,Technical,Medium,2025-09-12,Resolved
T532,C079,Network,High,2025-09-12,Resolved
T533,C090,Network,Low,2025-09-12,Pending
T534,C008,Network,Medium,2025-09-12,Open
T535,C100,Service,High,2025-09-12,Pending
T536,C091,Service,Medium,2025-09-12,Pending
T537,C092,Service,High,2025-09-12,Resolved
T538,C014,Service,High,2025-09-12,Open
T539,C014,Technical,High,2025-09-12,Pending
T540,C099,Technical,Medium,2025-09-12,Pending
T541,C092,Network,Low,2025-09-12,Resolved
T542,C001,Service,High,2025-09-12,Pending
T543,C046,Service,High,2025-09-12,Open
T544,C016,Network,High,2025-09-12,Open
T545,C059,Network,Low,2025-09-12,Open
T546,C077,Service,Medium,2025-09-12,Resolved
T547,C070,Service,High,2025-09-12,Open
T548,C006,Service,Low,2025-09-12,Open
T549,C094,Technical,Medium,2025-09-12,Pending
T550,C025,Billing,Medium,2025-09-12,Pending
T551,C098,Network,High,2025-09-12,Pending
T552,C003,Billing,Low,2025-09-12,Pending
T553,C086,Billing,Low,2025-09-12,Pending
T554,C075,Technical,Medium,2025-09-12,Resolved
T555,C045,Billing,Medium,2025-09-12,Open
T556,C091,Technical,Medium,2025-09-12,Resolved
T557,C083,Network,High,2025-09-12,Resolved
T558,C017,Network,Low,2025-09-12,Resolved
T559,C041,Billing,Low,2025-09-12,Pending
T560,C079,Billing,Low,2025-09-12,Open
T561,C069,Service,High,2025-09-12,Open
T562,C019,Service,High,2025-09-12,Pending
T563,C041,Network,High,2025-09-12,Pending
T564,C060,Network,High,2025-09-12,Open
T565,C053,Network,Medium,2025-09-12,Resolved
T566,C029,Service,Low,2025-09-12,Open
T567,C100,Network,Medium,2025-09-12,Resolved
T568,C036,Service,Low,2025-09-12,Resolved
T569,C064,Service,High,2025-09-12,Pending
T570,C100,Service,Medium,2025-09-12,Pending
T571,C026,Technical,Low,2025-09-12,Resolved
T572,C074,Service,High,2025-09-12,Resolved
T573,C045,Service,High,2025-09-12,Resolved
T574,C094,Billing,Low,2025-09-12,Resolved
T575,C040,Service,Low,2025-09-12,Open
T576,C051,Billing,Low,2025-09-12,Pending
T577,C005,Network,Low,2025-09-12,Resolved
T578,C071,Service,Medium,2025-09-12,Resolved
T579,C035,Technical,Low,2025-09-12,Open
T580,C019,Technical,Medium,2025-09-12,Open
T581,C041,Technical,High,2025-09-12,Resolved
T582,C086,Service,Low,2025-09-12,Pending
T583,C090,Technical,High,2025-09-12,Resolved
T584,C092,Network,Medium,2025-09-12,Pending
T585,C100,Service,High,2025-09-12,Open
T586,C038,Billing,Medium,2025-09-12,Resolved
T587,C017,Billing,Medium,2025-09-12,Resolved
T588,C032,Service,Medium,2025-09-12,Pending
T589,C013,Network,Low,2025-09-12,Open
T590,C042,Technical,Low,2025-09-12,Resolved
T591,C006,Network,Medium,2025-09-12,Pending
T592,C028,Service,High,2025-09-12,Resolved
T593,C005,Technical,Low,2025-09-12,Resolved
T594,C076,Service,Medium,2025-09-12,Pending
