transaction_id,customer_id,amount,method,date,status
TX00188,C00363,183.02,Top-up,2022-06-04,Pending
TX00189,C00044,190.46,Roaming,2022-10-04,Failed
TX00190,C00131,101.88,Bill Payment,2021-12-04,Failed
TX00191,C00367,40.22,Top-up,2020-01-13,Pending
TX00192,C00392,21.41,Add-on,2023-01-23,Pending
TX00193,C00310,97.81,Bill Payment,2025-04-19,Success
TX00194,C00128,115.67,Bill Payment,2021-11-01,Pending
TX00195,C00320,195.38,Bill Payment,2023-04-07,Success
TX00196,C00114,26.57,Bill Payment,2023-06-02,Success
TX00197,C00412,141.87,Bill Payment,2023-03-27,Failed
TX00198,C00496,179.42,Bill Payment,2021-11-14,Success
TX00199,C00284,172.07,Top-up,2025-01-15,Success
TX00200,C00228,55.7,Add-on,2023-01-31,Success
TX00201,C00436,84.45,Add-on,2023-03-08,Failed
TX00202,C00176,52.0,Top-up,2022-06-06,Success
TX00203,C00183,14.27,Add-on,2020-02-27,Pending
TX00204,C00095,103.59,Top-up,2022-06-29,Success
TX00205,C00199,97.63,Roaming,2025-07-30,Failed
TX00206,C00215,10.71,Bill Payment,2024-04-27,Success
TX00207,C00052,12.88,Bill Payment,2021-07-03,Pending
TX00208,C00295,72.83,Roaming,2023-03-10,Pending
TX00209,C00009,83.67,Top-up,2025-01-07,Success
TX00210,C00151,74.9,Add-on,2025-01-08,Success
TX00211,C00395,167.65,Bill Payment,2021-02-23,Success
TX00212,C00483,52.71,Top-up,2020-04-15,Success
TX00213,C00481,78.61,Roaming,2021-04-11,Failed
TX00214,C00445,122.36,Bill Payment,2022-12-12,Pending
TX00215,C00156,60.55,Bill Payment,2021-12-04,Success
TX00216,C00132,99.61,Roaming,2025-07-02,Failed
TX00217,C00500,26.78,Top-up,2020-08-05,Failed
TX00218,C00458,158.12,Add-on,2022-10-18,Success
TX00219,C00339,71.35,Top-up,2025-07-02,Pending
TX00220,C00118,65.55,Top-up,2025-09-13,Pending
TX00221,C00469,141.22,Top-up,2024-06-12,Pending
TX00222,C00449,119.28,Top-up,2025-08-20,Success
TX00223,C00133,13.87,Top-up,2023-07-22,Success
TX00224,C00198,97.55,Top-up,2025-04-14,Failed
TX00225,C00009,151.06,Bill Payment,2022-12-03,Failed
TX00226,C00334,175.96,Roaming,2022-06-17,Failed
TX00227,C00086,126.26,Bill Payment,2023-03-04,Failed
TX00228,C00382,118.64,Top-up,2020-11-11,Pending
TX00229,C00153,54.89,Add-on,2021-10-12,Success
TX00230,C00324,12.35,Add-on,2020-07-21,Failed
TX00231,C00121,182.37,Roaming,2025-07-26,Failed
TX00232,C00295,154.08,Roaming,2024-04-21,Pending
TX00233,C00467,145.29,Add-on,2021-05-17,Failed
TX00234,C00379,6.43,Add-on,2025-05-21,Success
TX00235,C00302,8.86,Add-on,2021-10-29,Success
TX00236,C00066,97.45,Top-up,2024-04-29,Success
TX00237,C00399,167.42,Top-up,2024-10-28,Success
TX00238,C00441,185.05,Add-on,2023-05-25,Success
TX00239,C00198,162.09,Bill Payment,2023-11-06,Pending
TX00240,C00300,9.45,Add-on,2020-09-11,Pending
TX00241,C00155,178.78,Top-up,2020-04-24,Failed
TX00242,C00404,10.78,Roaming,2020-08-22,Failed
TX00243,C00300,40.21,Top-up,2024-10-18,Failed
TX00244,C00106,12.02,Roaming,2020-07-28,Pending
TX00245,C00238,48.24,Add-on,2023-04-18,Success
TX00246,C00052,73.1,Add-on,2020-04-19,Pending
TX00247,C00132,143.75,Bill Payment,2021-05-14,Success
TX00248,C00133,1.42,Roaming,2023-07-30,Failed
TX00249,C00032,166.71,Bill Payment,2022-06-17,Pending
TX00250,C00107,193.39,Add-on,2020-02-21,Failed
TX00251,C00271,131.92,Add-on,2021-07-26,Success
TX00252,C00324,49.77,Roaming,2020-04-23,Failed
TX00253,C00222,159.91,Top-up,2024-03-07,Pending
TX00254,C00329,70.57,Top-up,2021-06-01,Failed
TX00255,C00462,177.62,Bill Payment,2020-02-04,Success
TX00256,C00314,130.7,Roaming,2020-09-21,Success
TX00257,C00191,63.7,Top-up,2022-08-20,Success
TX00258,C00007,81.78,Top-up,2025-01-16,Pending
TX00259,C00031,142.41,Bill Payment,2020-04-13,Failed
TX00260,C00280,121.22,Add-on,2025-04-24,Failed
TX00261,C00270,101.86,Bill Payment,2022-08-11,Success
TX00262,C00310,81.16,Roaming,2025-03-21,Success
TX00263,C00098,119.64,Bill Payment,2021-02-22,Failed
TX00264,C00107,95.07,Roaming,2021-06-29,Pending
TX00265,C00172,190.75,Bill Payment,2024-08-19,Failed
TX00266,C00441,30.76,Bill Payment,2020-01-20,Failed
TX00267,C00362,63.57,Bill Payment,2025-08-05,Pending
TX00268,C00089,52.79,Top-up,2024-11-22,Failed
TX00269,C00325,147.51,Top-up,2023-07-05,Failed
TX00270,C00109,72.62,Top-up,2021-06-26,Success
TX00271,C00454,114.89,Add-on,2022-06-06,Failed
TX00272,C00167,193.72,Top-up,2024-07-11,Success
TX00273,C00163,65.1,Top-up,2020-04-15,Failed
TX00274,C00081,160.51,Bill Payment,2022-07-19,Failed
TX00275,C00449,2.11,Roaming,2020-06-25,Success
TX00276,C00170,42.87,Bill Payment,2020-04-21,Pending
TX00277,C00328,33.57,Bill Payment,2025-09-05,Pending
TX00278,C00185,99.02,Add-on,2023-01-18,Pending
TX00279,C00251,96.97,Roaming,2024-12-28,Pending
TX00280,C00175,118.57,Bill Payment,2021-09-21,Pending
TX00281,C00342,11.22,Add-on,2025-02-17,Failed
TX00282,C00259,59.54,Roaming,2023-06-21,Pending
TX00283,C00137,133.91,Add-on,2021-08-17,Success
TX00284,C00043,181.3,Bill Payment,2022-01-27,Success
TX00285,C00225,59.39,Top-up,2021-11-02,Pending
TX00286,C00222,51.3,Top-up,2023-01-07,Failed
TX00287,C00413,134.74,Top-up,2022-09-04,Pending
TX00288,C00211,20.03,Bill Payment,2024-05-04,Pending
TX00289,C00160,27.96,Bill Payment,2024-03-09,Pending
TX00290,C00142,123.42,Add-on,2020-05-09,Pending
TX00291,C00110,199.53,Add-on,2023-01-30,Success
TX00292,C00314,196.38,Bill Payment,2023-10-08,Success
TX00293,C00460,125.72,Bill Payment,2021-07-06,Pending
TX00294,C00195,144.35,Roaming,2021-02-06,Pending
TX00295,C00322,67.2,Roaming,2020-11-14,Success
TX00296,C00011,136.99,Add-on,2025-02-08,Failed
TX00297,C00123,92.0,Top-up,2022-01-20,Failed
TX00298,C00393,180.1,Roaming,2025-06-19,Pending
TX00299,C00101,49.22,Roaming,2020-08-07,Pending
TX00300,C00133,34.7,Bill Payment,2023-12-31,Pending
TX00301,C00169,2.76,Add-on,2022-04-19,Pending
TX00302,C00159,96.62,Bill Payment,2024-05-30,Pending
TX00303,C00189,52.85,Add-on,2023-03-01,Pending
TX00304,C00481,59.82,Bill Payment,2022-01-26,Failed
TX00305,C00293,36.58,Top-up,2024-06-08,Failed
TX00306,C00260,1.17,Bill Payment,2021-11-28,Pending
TX00307,C00187,130.16,Roaming,2023-04-11,Pending
TX00308,C00268,61.2,Bill Payment,2021-02-05,Pending
TX00309,C00321,107.55,Roaming,2024-12-24,Pending
TX00310,C00097,99.24,Roaming,2023-10-18,Success
TX00311,C00316,119.51,Roaming,2022-01-12,Pending
TX00312,C00434,88.51,Top-up,2025-01-03,Failed
TX00313,C00248,78.41,Roaming,2022-02-14,Failed
TX00314,C00152,35.75,Top-up,2023-07-03,Success
TX00315,C00482,147.5,Bill Payment,2024-07-28,Success
TX00316,C00321,66.19,Add-on,2024-06-24,Failed
TX00317,C00084,78.14,Top-up,2024-06-09,Success
TX00318,C00350,198.31,Add-on,2024-03-22,Pending
TX00319,C00497,115.2,Roaming,2024-12-17,Success
TX00320,C00132,5.64,Top-up,2021-10-25,Success
TX00321,C00272,37.66,Bill Payment,2020-03-23,Success
TX00322,C00439,1.85,Add-on,2021-12-11,Pending
TX00323,C00075,189.34,Roaming,2022-05-14,Failed
TX00324,C00345,140.99,Add-on,2022-11-17,Pending
TX00325,C00156,61.32,Add-on,2024-01-20,Failed
TX00326,C00303,144.62,Add-on,2020-01-12,Success
TX00327,C00381,65.07,Top-up,2021-06-26,Failed
TX00328,C00453,135.93,Add-on,2020-11-27,Failed
TX00329,C00119,193.0,Add-on,2022-11-22,Failed
TX00330,C00394,40.78,Bill Payment,2022-08-23,Failed
TX00331,C00316,48.96,Top-up,2023-03-03,Failed
TX00332,C00064,61.3,Add-on,2024-04-10,Success
TX00333,C00483,4.97,Bill Payment,2021-09-27,Pending
TX00334,C00290,6.39,Bill Payment,2024-09-03,Pending
TX00335,C00098,52.78,Top-up,2024-10-03,Pending
TX00336,C00488,69.53,Roaming,2025-09-11,Failed
TX00337,C00300,149.04,Top-up,2023-03-22,Pending
TX00338,C00421,157.29,Roaming,2022-08-08,Success
TX00339,C00479,21.3,Top-up,2022-01-12,Failed
TX00340,C00218,82.7,Top-up,2022-01-09,Pending
TX00341,C00131,161.04,Add-on,2022-12-29,Failed
TX00342,C00122,175.96,Roaming,2020-12-10,Success
TX00343,C00135,24.28,Top-up,2021-03-05,Success
TX00344,C00055,57.19,Top-up,2023-04-15,Pending
TX00345,C00100,82.38,Bill Payment,2020-03-23,Pending
TX00346,C00073,175.17,Roaming,2022-06-11,Pending
TX00347,C00120,57.29,Top-up,2022-07-27,Success
TX00348,C00449,38.97,Roaming,2021-05-02,Failed
TX00349,C00361,68.8,Bill Payment,2021-05-03,Pending
TX00350,C00455,195.78,Roaming,2021-12-07,Failed
TX00351,C00415,41.02,Bill Payment,2023-02-12,Failed
TX00352,C00368,84.53,Top-up,2020-05-18,Success
TX00353,C00109,7.77,Roaming,2025-09-16,Failed
TX00354,C00018,98.1,Add-on,2022-02-18,Pending
TX00355,C00428,70.05,Roaming,2024-11-02,Pending
TX00356,C00197,194.62,Top-up,2021-06-19,Pending
TX00357,C00335,69.22,Bill Payment,2021-08-27,Pending
TX00358,C00311,69.33,Roaming,2021-03-06,Success
TX00359,C00397,152.34,Add-on,2023-12-02,Pending
TX00360,C00381,36.77,Add-on,2023-10-16,Pending
TX00361,C00040,36.21,Top-up,2021-03-08,Pending
TX00362,C00357,168.64,Top-up,2023-01-17,Pending
TX00363,C00291,179.07,Top-up,2025-07-20,Success
TX00364,C00488,197.33,Top-up,2020-08-09,Failed
TX00365,C00447,95.47,Top-up,2021-10-10,Failed
TX00366,C00048,62.06,Top-up,2023-02-20,Failed
TX00367,C00278,154.66,Roaming,2020-10-17,Failed
TX00368,C00102,117.14,Add-on,2024-12-26,Failed
TX00369,C00150,109.83,Add-on,2021-12-05,Failed
TX00370,C00447,177.24,Add-on,2021-05-02,Pending
TX00371,C00011,124.2,Add-on,2023-04-13,Failed
TX00372,C00240,36.81,Add-on,2025-08-31,Failed
TX00373,C00383,186.96,Add-on,2021-01-08,Pending
TX00374,C00139,75.13,Bill Payment,2020-11-07,Failed
TX00375,C00234,150.73,Bill Payment,2020-01-18,Pending
TX00376,C00197,172.69,Top-up,2020-07-29,Success
TX00377,C00032,124.43,Top-up,2025-08-09,Failed
TX00378,C00278,133.29,Add-on,2024-07-02,Pending
TX00379,C00175,133.85,Add-on,2024-03-13,Pending
TX00380,C00480,72.02,Bill Payment,2025-01-27,Success
TX00381,C00163,80.14,Roaming,2022-11-21,Success
TX00382,C00452,32.22,Bill Payment,2021-05-27,Pending
TX00383,C00470,134.16,Add-on,2024-04-24,Pending
TX00384,C00074,15.84,Add-on,2021-10-08,Success
TX00385,C00204,22.2,Top-up,2021-11-15,Success
TX00386,C00213,7.81,Add-on,2023-11-03,Success
TX00387,C00081,7.87,Roaming,2025-04-27,Failed
TX00388,C00094,65.35,Roaming,2020-02-20,Success
TX00389,C00145,36.91,Top-up,2025-05-29,Pending
TX00390,C00182,193.9,Roaming,2021-06-21,Failed
TX00391,C00156,70.56,Top-up,2022-08-31,Pending
TX00392,C00383,5.18,Bill Payment,2022-05-07,Pending
TX00393,C00040,20.24,Top-up,2023-06-12,Success
TX00394,C00359,192.44,Top-up,2022-10-24,Success
TX00395,C00252,69.16,Add-on,2020-05-22,Success
TX00396,C00413,111.85,Bill Payment,2024-07-28,Pending
TX00397,C00017,30.14,Top-up,2022-12-15,Success
TX00398,C00311,5.23,Roaming,2022-05-06,Pending
TX00399,C00142,153.36,Add-on,2022-11-02,Pending
TX00400,C00398,188.34,Bill Payment,2023-01-06,Failed
TX00401,C00330,163.82,Roaming,2020-05-31,Success
TX00402,C00084,40.57,Top-up,2021-08-23,Failed
TX00403,C00461,169.62,Roaming,2020-01-13,Failed
TX00404,C00320,6.11,Add-on,2024-01-28,Failed
TX00405,C00349,74.25,Top-up,2022-01-18,Failed
TX00406,C00105,91.21,Top-up,2023-01-21,Failed
TX00407,C00288,43.27,Add-on,2023-02-02,Failed
TX00408,C00213,89.63,Add-on,2021-06-14,Failed
TX00409,C00304,11.09,Add-on,2025-02-25,Failed
TX00410,C00250,177.2,Add-on,2023-10-27,Success
TX00411,C00071,196.71,Bill Payment,2022-07-17,Pending
TX00412,C00200,131.73,Bill Payment,2021-05-12,Success
TX00413,C00100,28.67,Roaming,2023-02-22,Success
TX00414,C00101,148.52,Roaming,2025-09-06,Failed
TX00415,C00155,199.02,Add-on,2023-08-04,Success
TX00416,C00423,76.1,Top-up,2022-08-08,Success
TX00417,C00353,101.64,Add-on,2021-06-25,Pending
TX00418,C00107,123.51,Add-on,2023-10-25,Success
TX00419,C00466,64.27,Roaming,2024-07-03,Failed
TX00420,C00432,141.71,Add-on,2024-09-23,Failed
TX00421,C00249,46.98,Roaming,2023-10-22,Success
TX00422,C00350,96.32,Bill Payment,2022-07-13,Success
TX00423,C00346,33.72,Add-on,2020-08-23,Pending
TX00424,C00329,53.34,Roaming,2020-11-03,Pending
TX00425,C00489,172.07,Roaming,2023-05-21,Success
TX00426,C00292,52.62,Roaming,2021-07-25,Success
TX00427,C00187,85.34,Top-up,2022-05-30,Failed
TX00428,C00464,27.34,Bill Payment,2021-05-05,Failed
TX00429,C00036,142.56,Add-on,2024-12-02,Success
TX00430,C00272,110.68,Bill Payment,2024-06-24,Failed
TX00431,C00387,193.31,Roaming,2024-08-08,Failed
TX00432,C00361,93.05,Add-on,2025-03-08,Pending
TX00433,C00308,197.07,Bill Payment,2024-10-31,Failed
TX00434,C00163,169.15,Top-up,2024-12-24,Pending
TX00435,C00079,104.57,Bill Payment,2020-07-01,Failed
TX00436,C00105,137.7,Add-on,2020-08-24,Pending
TX00437,C00131,186.09,Top-up,2024-02-14,Success
TX00438,C00081,135.05,Bill Payment,2025-09-24,Success
TX00439,C00242,159.34,Top-up,2025-09-14,Failed
TX00440,C00276,60.14,Roaming,2023-12-07,Pending
TX00441,C00324,5.62,Roaming,2021-09-12,Success
TX00442,C00023,46.05,Roaming,2021-09-02,Failed
TX00443,C00229,164.15,Top-up,2020-01-13,Pending
TX00444,C00423,170.23,Roaming,2025-08-13,Success
TX00445,C00381,69.22,Roaming,2021-06-29,Failed
TX00446,C00188,64.03,Top-up,2021-09-02,Pending
TX00447,C00257,7.33,Add-on,2023-11-10,Success
TX00448,C00286,125.99,Roaming,2024-10-04,Failed
TX00449,C00437,162.25,Top-up,2020-08-27,Success
TX00450,C00283,159.18,Roaming,2025-08-03,Success
TX00451,C00494,28.09,Top-up,2025-07-07,Pending
TX00452,C00182,163.55,Add-on,2024-10-28,Pending
TX00453,C00265,1.37,Add-on,2020-06-02,Failed
TX00454,C00018,114.73,Roaming,2023-02-07,Failed
TX00455,C00337,101.3,Add-on,2021-07-22,Pending
TX00456,C00092,110.61,Bill Payment,2023-12-01,Pending
TX00457,C00109,119.02,Add-on,2025-01-11,Failed
TX00458,C00215,85.61,Add-on,2020-10-24,Success
TX00459,C00297,22.02,Bill Payment,2023-03-10,Pending
TX00460,C00194,123.99,Roaming,2020-05-04,Pending
TX00461,C00353,67.67,Bill Payment,2025-05-27,Failed
TX00462,C00133,75.36,Add-on,2021-06-03,Pending
TX00463,C00376,61.21,Roaming,2021-02-06,Success
TX00464,C00264,146.65,Bill Payment,2025-06-03,Failed
TX00465,C00329,149.56,Bill Payment,2023-11-03,Failed
TX00466,C00463,86.95,Add-on,2022-10-10,Pending
TX00467,C00173,71.79,Top-up,2020-02-16,Pending
TX00468,C00080,75.0,Add-on,2020-10-25,Pending
TX00469,C00470,153.68,Roaming,2025-02-21,Failed
TX00470,C00498,81.77,Roaming,2022-06-12,Success
TX00471,C00447,22.12,Bill Payment,2024-10-03,Pending
TX00472,C00265,44.43,Add-on,2022-09-07,Pending
TX00473,C00310,93.36,Top-up,2025-08-18,Success
TX00474,C00150,21.89,Top-up,2023-05-29,Pending
TX00475,C00435,11.5,Roaming,2025-05-23,Success
TX00476,C00457,194.71,Roaming,2020-05-08,Failed
TX00477,C00169,6.6,Top-up,2021-01-27,Pending
TX00478,C00462,51.52,Roaming,2024-05-11,Pending
TX00479,C00251,108.53,Bill Payment,2022-07-03,Failed
