call_id,customer_id,call_type,duration_min,date
CL136,C034,data,32.23,2024-10-21
CL137,C030,SMS,25.68,2025-02-01
CL138,C005,voice,36.7,2025-06-02
CL139,C048,SMS,55.29,2025-05-18
CL140,C044,data,42.38,2025-07-23
CL141,C096,data,55.48,2025-08-21
CL142,C058,SMS,49.39,2025-02-28
CL143,C024,SMS,21.13,2025-04-09
CL144,C098,SMS,2.76,2025-04-07
CL145,C008,SMS,24.93,2025-03-20
CL146,C068,data,17.74,2024-11-10
CL147,C025,voice,37.49,2025-01-29
CL148,C005,data,55.93,2025-06-11
CL149,C070,voice,42.52,2025-08-16
CL150,C055,voice,42.93,2024-10-30
CL151,C077,SMS,11.09,2024-09-17
CL152,C088,voice,34.14,2025-07-01
CL153,C042,data,47.11,2025-08-26
CL154,C096,data,26.3,2024-10-13
CL155,C025,SMS,6.04,2024-12-12
CL156,C014,voice,54.21,2025-03-29
CL157,C001,voice,29.99,2025-01-13
CL158,C081,data,51.12,2025-02-03
CL159,C088,voice,7.88,2025-04-25
CL160,C020,voice,37.36,2025-01-22
CL161,C079,data,46.83,2025-05-11
CL162,C005,voice,41.77,2025-06-25
CL163,C064,SMS,50.72,2025-07-05
CL164,C042,SMS,55.57,2025-04-22
CL165,C047,SMS,47.28,2024-10-27
CL166,C043,SMS,8.73,2025-04-08
CL167,C089,voice,34.73,2025-01-07
CL168,C037,SMS,25.25,2024-12-17
CL169,C053,data,37.19,2024-11-16
CL170,C095,SMS,50.17,2025-02-28
CL171,C059,data,47.82,2025-02-20
CL172,C080,data,52.26,2025-03-01
CL173,C085,data,0.91,2025-08-31
CL174,C044,voice,36.34,2025-03-06
CL175,C071,voice,35.39,2025-07-18
CL176,C077,data,46.48,2024-11-30
CL177,C008,SMS,22.88,2024-10-03
CL178,C028,voice,23.69,2025-08-21
CL179,C052,voice,43.8,2024-12-22
CL180,C044,data,6.28,2025-04-23
CL181,C030,voice,22.17,2025-01-04
CL182,C032,voice,30.8,2024-10-05
CL183,C005,voice,14.0,2024-11-16
CL184,C021,SMS,24.91,2025-06-19
CL185,C062,SMS,40.04,2024-12-22
CL186,C096,SMS,33.44,2025-07-27
CL187,C072,SMS,44.04,2024-10-28
CL188,C055,SMS,5.84,2025-04-30
CL189,C066,voice,59.02,2024-11-04
CL190,C080,data,56.89,2025-04-26
CL191,C001,SMS,39.52,2024-09-30
CL192,C073,data,44.16,2024-10-23
CL193,C064,voice,10.97,2024-09-26
CL194,C099,data,20.66,2025-05-20
CL195,C015,SMS,50.73,2025-07-23
CL196,C058,voice,56.35,2025-04-12
CL197,C034,voice,59.3,2024-09-27
CL198,C074,voice,26.63,2025-06-01
CL199,C010,data,3.48,2024-10-04
CL200,C030,data,37.79,2025-05-31
CL201,C044,SMS,57.9,2024-12-15
CL202,C006,SMS,53.01,2024-12-15
CL203,C030,data,13.55,2025-05-18
CL204,C083,SMS,50.34,2025-07-22
CL205,C036,voice,37.74,2025-01-19
CL206,C037,SMS,22.81,2025-06-01
CL207,C055,voice,24.43,2025-04-19
CL208,C072,SMS,12.91,2025-01-18
CL209,C080,data,56.38,2024-10-10
CL210,C065,SMS,43.44,2025-02-21
CL211,C049,data,39.31,2025-03-18
CL212,C030,SMS,58.97,2024-12-07
CL213,C011,voice,48.54,2025-01-09
CL214,C018,SMS,25.4,2025-01-25
CL215,C013,data,24.26,2025-07-10
CL216,C007,SMS,56.99,2025-02-11
CL217,C038,voice,42.5,2025-05-04
CL218,C004,SMS,18.05,2025-07-29
CL219,C097,data,24.54,2024-11-03
CL220,C055,SMS,6.44,2025-01-09
CL221,C066,voice,23.42,2025-06-27
CL222,C072,voice,27.64,2025-01-12
CL223,C044,SMS,45.87,2025-02-08
CL224,C032,data,15.24,2025-05-08
CL225,C008,data,48.54,2025-03-03
CL226,C019,data,9.73,2025-09-03
CL227,C100,voice,5.94,2025-04-27
CL228,C061,voice,22.38,2024-11-09
CL229,C091,voice,26.03,2024-09-28
CL230,C063,voice,7.2,2025-08-18
CL231,C062,SMS,56.78,2025-08-11
CL232,C009,voice,20.86,2024-09-21
CL233,C014,data,47.65,2025-04-22
CL234,C075,data,9.96,2025-07-04
CL235,C056,data,36.29,2025-03-17
CL236,C031,SMS,0.93,2025-06-24
CL237,C076,SMS,2.85,2025-03-16
CL238,C025,data,37.4,2025-04-12
CL239,C047,voice,14.34,2025-01-15
CL240,C004,voice,37.99,2024-11-29
CL241,C073,data,25.99,2025-07-13
CL242,C070,data,56.34,2024-09-23
CL243,C055,voice,20.31,2025-06-04
CL244,C038,voice,8.87,2025-01-29
CL245,C002,data,47.87,2025-09-12
CL246,C046,SMS,45.63,2024-10-10
CL247,C039,SMS,15.33,2024-10-10
CL248,C093,SMS,2.65,2025-08-20
CL249,C051,SMS,59.74,2024-12-03
CL250,C018,SMS,25.11,2025-03-15
CL251,C066,SMS,4.54,2025-04-10
CL252,C004,voice,7.01,2025-03-31
CL253,C009,data,59.92,2025-02-12
CL254,C039,SMS,8.37,2025-06-07
CL255,C025,data,55.44,2025-07-19
CL256,C040,SMS,50.54,2025-03-24
CL257,C008,voice,8.71,2024-09-30
CL258,C092,SMS,6.61,2025-03-03
CL259,C033,SMS,15.45,2025-03-22
CL260,C020,SMS,22.5,2025-02-20
CL261,C018,voice,30.21,2024-12-19
CL262,C080,voice,58.5,2025-07-14
CL263,C002,SMS,18.51,2024-12-28
CL264,C011,data,6.78,2024-12-10
CL265,C087,data,23.4,2024-12-09
CL266,C078,data,43.1,2025-06-19
CL267,C066,voice,59.03,2025-01-22
CL268,C082,data,53.26,2025-02-25
CL269,C042,voice,31.49,2025-06-12
CL270,C097,voice,45.96,2024-10-24
CL271,C095,voice,54.4,2024-12-09
CL272,C056,SMS,48.54,2025-06-07
CL273,C035,data,1.21,2025-07-31
CL274,C089,voice,44.41,2025-01-22
CL275,C072,data,54.54,2025-01-18
CL276,C095,SMS,32.75,2025-03-16
CL277,C058,voice,4.44,2025-08-12
CL278,C019,voice,57.08,2025-05-09
CL279,C089,voice,32.22,2025-04-21
CL280,C034,data,47.82,2025-02-23
CL281,C060,SMS,15.91,2025-02-12
CL282,C006,voice,4.1,2025-04-08
CL283,C033,data,58.81,2025-07-11
CL284,C083,voice,58.48,2024-10-27
CL285,C086,voice,8.06,2025-03-27
CL286,C092,SMS,18.3,2025-06-23
CL287,C024,voice,9.75,2025-02-08
CL288,C022,SMS,38.24,2025-04-14
CL289,C100,data,38.18,2024-11-01
CL290,C046,voice,52.81,2024-12-16
CL291,C029,data,34.89,2024-12-25
CL292,C027,SMS,29.14,2025-01-04
CL293,C084,SMS,57.52,2024-10-11
CL294,C075,SMS,11.41,2025-02-13
CL295,C025,voice,50.98,2025-09-06
CL296,C026,data,28.64,2025-04-10
CL297,C083,SMS,46.65,2025-05-01
CL298,C021,data,24.97,2025-06-21
CL299,C057,voice,23.13,2025-08-07
CL300,C071,SMS,14.86,2025-07-29
CL301,C045,voice,17.56,2024-09-17
CL302,C037,data,40.54,2024-10-26
CL303,C018,SMS,2.88,2024-12-17
CL304,C044,voice,30.44,2025-04-02
CL305,C047,SMS,21.31,2025-08-18
CL306,C065,SMS,59.1,2025-06-10
CL307,C076,voice,44.18,2024-10-28
CL308,C082,data,34.19,2024-09-24
CL309,C008,voice,55.9,2025-02-16
CL310,C061,SMS,41.2,2025-05-22
CL311,C033,SMS,44.82,2025-09-09
CL312,C074,SMS,47.24,2024-10-30
CL313,C072,SMS,13.09,2025-07-26
CL314,C078,voice,7.86,2025-08-14
CL315,C009,voice,52.66,2025-08-08
CL316,C069,voice,9.12,2025-01-19
CL317,C011,voice,6.73,2025-02-06
CL318,C099,SMS,6.52,2025-04-03
CL319,C098,data,53.56,2025-05-30
CL320,C054,voice,21.71,2024-10-25
CL321,C012,data,27.61,2025-08-06
CL322,C087,voice,38.54,2025-08-06
CL323,C019,data,39.9,2025-04-16
CL324,C067,data,49.0,2025-04-25
CL325,C028,voice,9.04,2025-09-10
CL326,C042,voice,39.35,2024-09-28
CL327,C013,voice,59.56,2025-06-09
CL328,C057,SMS,48.2,2025-01-19
CL329,C098,data,33.02,2025-02-23
CL330,C085,data,32.54,2025-02-08
CL331,C010,voice,21.7,2025-02-23
CL332,C067,SMS,2.71,2025-07-14
CL333,C032,data,52.81,2024-12-26
CL334,C008,data,55.98,2025-03-05
CL335,C053,SMS,20.18,2024-10-31
CL336,C084,voice,19.22,2024-11-18
CL337,C027,data,15.26,2025-06-19
CL338,C049,voice,9.19,2025-08-13
CL339,C031,voice,56.16,2025-08-20
CL340,C027,SMS,16.92,2024-10-12
CL341,C055,data,21.3,2025-08-05
CL342,C073,data,19.0,2025-04-17
CL343,C047,data,55.95,2025-01-25
CL344,C073,voice,1.4,2025-05-07
CL345,C039,data,33.67,2025-01-28
CL346,C047,voice,28.32,2025-02-19
CL347,C028,voice,22.41,2025-03-17
CL348,C077,voice,24.82,2025-04-15
CL349,C085,data,37.35,2025-08-23
CL350,C008,SMS,54.03,2024-10-17
CL351,C022,SMS,36.56,2024-12-29
CL352,C047,voice,13.0,2025-01-14
CL353,C017,voice,36.32,2025-04-06
CL354,C084,SMS,25.36,2025-08-06
CL355,C058,voice,20.73,2025-04-12
CL356,C005,SMS,1.17,2025-07-17
CL357,C018,voice,1.24,2025-02-15
CL358,C071,SMS,3.22,2025-01-08
CL359,C047,data,30.95,2025-01-06
CL360,C017,voice,29.0,2024-11-16
CL361,C087,SMS,31.0,2024-11-03
CL362,C076,data,13.82,2025-07-06
CL363,C009,SMS,31.09,2025-06-07
CL364,C043,data,28.51,2025-09-09
CL365,C085,SMS,12.71,2024-11-28
CL366,C007,SMS,14.35,2025-03-21
CL367,C051,SMS,59.41,2025-04-10
CL368,C052,SMS,27.61,2025-04-25
CL369,C002,data,11.71,2024-10-18
CL370,C062,data,49.17,2024-12-25
CL371,C057,data,49.11,2024-10-25
CL372,C061,voice,33.55,2024-12-21
CL373,C006,voice,24.82,2025-02-19
CL374,C016,data,56.3,2025-08-02
CL375,C074,data,15.43,2024-12-26
CL376,C052,data,22.47,2025-08-13
CL377,C005,voice,11.58,2025-09-08
CL378,C044,SMS,31.81,2025-06-14
CL379,C023,voice,38.57,2025-08-16
CL380,C035,data,44.5,2025-05-13
CL381,C005,data,13.6,2024-11-02
CL382,C007,SMS,9.53,2024-11-26
CL383,C019,data,22.43,2025-07-15
CL384,C030,SMS,19.09,2025-06-15
CL385,C010,SMS,32.56,2024-09-22
CL386,C061,SMS,26.69,2025-08-08
CL387,C082,SMS,20.66,2025-08-29
CL388,C094,data,16.9,2025-03-28
CL389,C065,data,14.03,2025-07-01
CL390,C066,data,0.81,2024-09-14
CL391,C075,data,55.33,2025-07-13
CL392,C068,data,45.03,2024-09-21
CL393,C076,voice,10.39,2024-11-25
CL394,C057,data,23.71,2025-08-22
CL395,C038,data,31.84,2025-04-09
CL396,C009,SMS,49.97,2025-06-06
CL397,C046,voice,48.98,2025-03-21
CL398,C091,voice,36.24,2025-07-13
CL399,C009,data,11.36,2024-12-28
CL400,C045,SMS,8.75,2024-10-22
CL401,C042,voice,54.11,2025-05-28
CL402,C098,voice,3.52,2025-07-18
CL403,C074,data,47.82,2025-02-21
CL404,C026,data,28.8,2025-02-17
CL405,C053,voice,39.9,2024-12-17
CL406,C061,data,28.7,2025-07-25
CL407,C026,voice,8.43,2025-09-10
CL408,C015,data,20.65,2025-06-06
CL409,C065,voice,37.95,2024-10-24
CL410,C027,voice,12.23,2025-01-19
CL411,C080,voice,30.9,2024-10-10
CL412,C045,data,44.21,2025-06-29
CL413,C055,SMS,58.68,2025-06-05
CL414,C029,data,23.38,2025-01-09
CL415,C038,data,41.25,2025-03-16
CL416,C068,data,14.46,2024-12-22
CL417,C051,voice,44.28,2025-04-30
CL418,C088,data,7.29,2025-03-18
CL419,C057,data,54.73,2025-06-23
CL420,C001,SMS,56.23,2025-05-28
CL421,C006,data,35.63,2025-01-05
CL422,C092,SMS,58.62,2025-08-16
CL423,C009,data,48.29,2025-02-17
CL424,C067,voice,40.63,2025-08-19
CL425,C050,data,37.68,2025-06-29
CL426,C089,SMS,4.78,2025-01-06
CL427,C030,voice,35.33,2025-07-16
CL428,C099,SMS,10.22,2025-05-11
CL429,C053,SMS,59.85,2025-07-30
CL430,C100,voice,27.08,2024-09-25
CL431,C051,data,43.79,2025-05-02
CL432,C095,voice,32.55,2024-09-14
CL433,C049,SMS,23.64,2024-11-01
CL434,C010,voice,53.95,2025-01-27
CL435,C096,SMS,33.14,2025-08-23
CL436,C097,voice,10.72,2025-05-16
CL437,C059,data,15.79,2024-12-18
CL438,C016,SMS,25.76,2024-11-06
CL439,C041,data,53.57,2025-07-06
CL440,C071,data,8.26,2025-06-07
CL441,C077,voice,24.85,2024-12-24
CL442,C019,SMS,2.55,2024-11-23
CL443,C080,voice,17.44,2025-07-29
CL444,C083,voice,31.55,2025-08-26
CL445,C098,SMS,25.26,2025-07-22
CL446,C017,voice,14.59,2025-06-13
CL447,C027,data,50.58,2024-09-13
CL448,C087,voice,7.04,2024-10-06
CL449,C064,voice,35.06,2025-04-04
CL450,C005,voice,27.41,2024-11-27
CL451,C088,SMS,38.69,2024-11-16
CL452,C008,data,39.89,2025-02-12
CL453,C085,SMS,7.59,2024-12-17
CL454,C079,SMS,58.42,2025-01-29
CL455,C026,voice,29.56,2025-04-13
CL456,C042,SMS,9.26,2025-05-03
CL457,C077,voice,38.27,2025-03-08
CL458,C026,SMS,37.04,2025-05-10
CL459,C022,data,1.7,2024-11-16
CL460,C047,SMS,38.97,2024-12-30
CL461,C005,data,12.19,2024-12-05
CL462,C088,voice,49.67,2024-12-27
CL463,C020,SMS,14.91,2025-03-08
CL464,C093,voice,56.43,2025-06-30
CL465,C027,voice,30.05,2025-02-02
CL466,C097,voice,37.78,2025-01-20
CL467,C009,data,24.86,2025-03-07
CL468,C034,voice,43.78,2024-10-17
CL469,C036,data,24.46,2024-10-23
CL470,C019,data,54.89,2025-07-31
CL471,C083,SMS,36.79,2025-06-15
CL472,C069,data,39.8,2024-12-26
CL473,C089,voice,11.73,2025-09-01
CL474,C016,data,25.59,2025-01-09
CL475,C004,voice,3.56,2025-05-12
CL476,C092,data,36.24,2024-10-24
CL477,C087,data,22.62,2025-03-01
CL478,C031,data,5.25,2025-01-06
CL479,C012,SMS,54.35,2024-10-23
CL480,C022,data,6.11,2025-05-25
CL481,C027,voice,59.6,2025-05-27
CL482,C002,SMS,3.79,2025-06-22
CL483,C059,SMS,4.79,2025-03-08
CL484,C063,data,56.59,2025-07-03
CL485,C022,data,56.26,2025-03-10
CL486,C076,voice,15.1,2025-02-09
CL487,C029,SMS,56.27,2024-12-06
CL488,C033,voice,39.86,2024-12-27
CL489,C098,data,12.73,2025-03-16
CL490,C085,voice,44.99,2025-08-03
CL491,C088,SMS,31.25,2025-06-25
CL492,C050,voice,48.07,2024-10-04
CL493,C094,SMS,57.22,2025-06-21
CL494,C061,SMS,22.1,2024-12-16
CL495,C056,SMS,26.56,2025-01-06
CL496,C003,SMS,25.74,2025-02-02
CL497,C009,data,15.64,2025-02-20
CL498,C016,SMS,13.51,2025-02-04
CL499,C041,voice,40.86,2025-08-11
CL500,C009,SMS,11.64,2024-12-19
CL501,C003,SMS,39.24,2025-06-05
CL502,C016,SMS,52.6,2025-01-14
CL503,C006,data,59.59,2025-07-08
CL504,C037,SMS,20.58,2025-01-02
CL505,C065,voice,0.89,2025-02-08
CL506,C088,data,15.66,2025-04-09
CL507,C009,data,8.06,2024-11-11
CL508,C035,SMS,21.88,2024-11-26
CL509,C049,voice,59.24,2025-04-28
CL510,C040,SMS,20.29,2025-08-24
CL511,C060,voice,37.66,2025-04-24
CL512,C028,data,30.94,2025-01-10
CL513,C061,data,48.69,2025-04-21
CL514,C031,voice,37.7,2024-09-19
CL515,C022,data,50.47,2025-06-03
CL516,C092,SMS,58.5,2025-07-02
CL517,C057,voice,36.05,2024-10-15
CL518,C073,SMS,12.62,2025-05-27
CL519,C039,voice,21.57,2025-08-11
CL520,C100,voice,30.03,2025-06-19
CL521,C016,voice,48.7,2025-04-02
CL522,C041,data,32.24,2025-05-09
CL523,C012,data,9.85,2025-03-20
CL524,C048,SMS,55.34,2025-01-22
CL525,C045,voice,16.21,2024-11-23
CL526,C074,data,15.36,2024-11-08
CL527,C001,data,28.62,2025-03-27
CL528,C027,voice,45.69,2025-07-23
CL529,C052,voice,52.53,2024-12-04
CL530,C067,voice,18.87,2025-07-02
CL531,C097,voice,6.66,2025-08-11
CL532,C024,voice,39.8,2025-01-11
CL533,C050,voice,3.47,2024-11-29
CL534,C086,data,38.51,2025-06-07
CL535,C055,data,7.54,2025-08-22
CL536,C091,voice,43.67,2024-09-25
CL537,C100,SMS,28.56,2024-09-19
CL538,C054,data,35.85,2025-08-22
CL539,C057,data,2.0,2024-10-19
CL540,C037,data,47.06,2025-02-04
CL541,C014,SMS,48.04,2025-03-08
CL542,C093,data,58.62,2024-11-08
CL543,C090,SMS,32.86,2024-12-31
CL544,C047,SMS,26.78,2024-12-05
CL545,C074,voice,32.74,2025-06-21
CL546,C057,SMS,59.2,2024-12-11
CL547,C063,voice,29.72,2024-12-20
CL548,C014,SMS,20.39,2024-10-27
CL549,C038,data,34.73,2025-06-25
CL550,C049,SMS,14.52,2025-05-09
CL551,C020,data,16.08,2024-10-30
CL552,C051,data,23.49,2025-06-10
CL553,C014,data,56.43,2024-12-19
CL554,C013,SMS,55.26,2024-10-13
CL555,C077,data,25.52,2024-10-09
CL556,C076,data,12.21,2025-06-03
CL557,C083,data,9.99,2025-06-18
CL558,C026,SMS,12.18,2025-02-11
CL559,C077,voice,26.13,2024-09-17
CL560,C003,SMS,30.99,2025-07-12
CL561,C033,voice,7.13,2025-04-21
CL562,C045,voice,4.68,2024-11-06
CL563,C099,voice,32.61,2025-06-08
CL564,C007,voice,39.69,2025-06-29
CL565,C079,SMS,14.69,2024-11-22
CL566,C027,data,37.71,2025-04-21
CL567,C037,SMS,6.36,2025-01-04
CL568,C085,voice,20.83,2025-01-08
CL569,C075,data,59.44,2025-03-18
CL570,C078,data,42.45,2024-09-20
CL571,C099,SMS,52.84,2024-12-21
CL572,C030,data,4.09,2024-11-25
CL573,C014,SMS,34.35,2024-12-17
CL574,C100,voice,50.41,2025-05-10
CL575,C014,data,46.56,2025-03-03
CL576,C066,SMS,38.84,2024-12-27
CL577,C069,SMS,2.72,2024-10-16
CL578,C031,SMS,14.12,2025-08-31
CL579,C074,voice,54.71,2025-04-05
CL580,C088,data,21.6,2025-03-07
CL581,C058,data,13.12,2025-08-10
CL582,C051,data,58.14,2025-03-26
CL583,C097,data,52.79,2024-12-10
CL584,C056,data,27.95,2024-09-18
CL585,C088,data,49.04,2025-03-12
CL586,C061,voice,6.04,2025-02-03
CL587,C043,data,41.73,2025-01-26
CL588,C037,voice,53.42,2025-03-31
CL589,C018,data,37.88,2024-10-21
CL590,C006,data,57.63,2024-12-03
CL591,C093,SMS,22.77,2025-09-03
CL592,C059,data,48.62,2025-02-04
CL593,C021,voice,53.26,2024-12-05
CL594,C007,data,19.61,2025-01-25
CL595,C030,SMS,46.8,2025-04-06
CL596,C068,data,46.77,2025-05-05
CL597,C007,data,34.79,2025-01-11
CL598,C035,voice,19.15,2025-07-05
CL599,C092,voice,50.59,2025-09-04
CL600,C023,voice,6.59,2024-10-16
CL601,C061,SMS,25.08,2024-11-12
CL602,C090,voice,10.24,2025-07-25
CL603,C074,SMS,55.48,2025-03-10
CL604,C033,data,5.08,2024-12-12
CL605,C009,SMS,13.63,2024-11-02
CL606,C001,data,6.91,2025-04-25
CL607,C090,SMS,43.64,2025-03-04
CL608,C057,voice,53.77,2025-06-03
CL609,C052,voice,3.57,2025-04-07
CL610,C053,data,48.31,2024-12-06
CL611,C020,SMS,7.94,2025-06-19
CL612,C036,SMS,55.91,2024-12-13
CL613,C073,data,57.32,2025-01-03
CL614,C055,SMS,15.97,2025-01-13
CL615,C002,SMS,4.35,2024-11-06
CL616,C019,voice,35.66,2025-01-07
CL617,C046,voice,26.38,2025-04-06
CL618,C045,data,48.54,2025-02-07
CL619,C043,data,38.13,2024-09-14
CL620,C044,SMS,24.76,2025-05-22
CL621,C086,data,7.8,2025-06-15
CL622,C021,voice,2.66,2025-06-29
CL623,C046,SMS,50.47,2025-03-30
CL624,C088,SMS,21.08,2025-01-04
CL625,C032,voice,45.1,2025-05-08
CL626,C033,voice,29.19,2025-01-07
CL627,C093,SMS,12.35,2025-05-29
CL628,C077,voice,32.08,2025-03-19
CL629,C021,data,27.24,2025-07-23
CL630,C002,SMS,39.38,2025-09-10
CL631,C047,data,43.2,2024-10-11
CL632,C030,SMS,37.34,2024-10-20
CL633,C023,SMS,10.45,2025-05-25
CL634,C072,SMS,15.41,2025-01-27
CL635,C017,voice,41.45,2025-06-16
CL636,C070,data,1.25,2024-11-10
CL637,C096,SMS,4.22,2025-06-12
CL638,C051,voice,29.46,2024-11-11
CL639,C010,data,48.4,2025-02-19
CL640,C016,data,26.15,2025-09-02
CL641,C076,voice,32.84,2024-09-26
CL642,C075,data,42.39,2025-02-14
CL643,C094,SMS,46.27,2024-11-13
CL644,C025,SMS,37.83,2025-07-02
CL645,C099,SMS,41.86,2025-03-09
CL646,C010,voice,50.16,2025-06-13
CL647,C037,voice,48.63,2025-03-31
CL648,C098,data,16.14,2025-02-05
CL649,C008,SMS,33.38,2024-12-29
CL650,C068,SMS,47.09,2025-02-18
CL651,C033,data,44.25,2024-12-28
CL652,C012,data,12.31,2025-08-15
CL653,C015,data,39.29,2025-05-17
CL654,C029,voice,14.37,2025-03-22
CL655,C025,SMS,6.56,2025-04-25
CL656,C043,voice,37.12,2025-01-26
CL657,C018,voice,50.56,2025-05-07
CL658,C040,SMS,2.04,2024-11-02
CL659,C047,data,43.83,2025-03-22
CL660,C098,data,45.09,2024-11-25
CL661,C086,voice,56.66,2025-04-24
CL662,C071,data,37.12,2025-05-31
CL663,C031,voice,58.03,2025-03-21
CL664,C027,SMS,40.93,2024-12-12
CL665,C063,voice,40.28,2025-02-28
CL666,C030,SMS,44.85,2025-08-20
