ticket_id,employee_id,issue_type,priority,date_opened,status
IT144,E001,Email Issue,Medium,2025-09-12,Pending
IT145,E012,Email Issue,Low,2025-09-12,Resolved
IT146,E003,Laptop Issue,Low,2025-09-12,Resolved
IT147,E019,Laptop Issue,High,2025-09-12,Pending
IT148,E008,Software Bug,High,2025-09-12,Pending
IT149,E007,Software Bug,Low,2025-09-12,Resolved
IT150,E016,Software Bug,Low,2025-09-12,Resolved
IT151,E001,VPN Setup,Low,2025-09-12,Pending
IT152,E004,Software Bug,Medium,2025-09-12,Pending
IT153,E019,Email Issue,Medium,2025-09-12,Resolved
IT154,E017,Email Issue,Medium,2025-09-12,Pending
IT155,E018,Email Issue,Low,2025-09-12,Resolved
IT156,E014,VPN Setup,Low,2025-09-12,Resolved
IT157,E020,Laptop Issue,High,2025-09-12,Open
IT158,E018,VPN Setup,Medium,2025-09-12,Resolved
IT159,E018,Laptop Issue,High,2025-09-12,Resolved
IT160,E019,Laptop Issue,Low,2025-09-12,Open
IT161,E010,Email Issue,Low,2025-09-12,Open
IT162,E005,Email Issue,Low,2025-09-12,Pending
IT163,E007,VPN Setup,Low,2025-09-12,Pending
IT164,E011,Laptop Issue,High,2025-09-12,Pending
IT165,E015,Email Issue,Medium,2025-09-12,Resolved
IT166,E006,Email Issue,High,2025-09-12,Resolved
IT167,E016,Software Bug,High,2025-09-12,Pending
IT168,E015,Software Bug,Medium,2025-09-12,Resolved
IT169,E013,Email Issue,High,2025-09-12,Open
IT170,E002,Email Issue,High,2025-09-12,Pending
IT171,E012,Email Issue,Medium,2025-09-12,Open
IT172,E019,Email Issue,Medium,2025-09-12,Open
IT173,E007,Laptop Issue,High,2025-09-12,Open
IT174,E001,Software Bug,Medium,2025-09-12,Resolved
IT175,E005,VPN Setup,Low,2025-09-12,Pending
IT176,E017,Software Bug,Medium,2025-09-12,Pending
IT177,E019,VPN Setup,Medium,2025-09-12,Open
IT178,E012,Laptop Issue,High,2025-09-12,Resolved
IT179,E004,Laptop Issue,Low,2025-09-12,Pending
IT180,E010,Software Bug,Medium,2025-09-12,Resolved
IT181,E017,Software Bug,Medium,2025-09-12,Resolved
IT182,E007,Laptop Issue,Medium,2025-09-12,Pending
IT183,E015,Laptop Issue,Low,2025-09-12,Resolved
IT184,E015,VPN Setup,High,2025-09-12,Open
IT185,E011,Software Bug,Medium,2025-09-12,Resolved
IT186,E006,VPN Setup,Medium,2025-09-12,Open
IT187,E008,Email Issue,Medium,2025-09-12,Open
IT188,E005,Software Bug,High,2025-09-12,Resolved
IT189,E010,Laptop Issue,Low,2025-09-12,Pending
IT190,E019,Laptop Issue,Low,2025-09-12,Resolved
IT191,E017,Laptop Issue,Low,2025-09-12,Pending
IT192,E001,Software Bug,Low,2025-09-12,Pending
IT193,E019,Email Issue,High,2025-09-12,Pending
IT194,E002,Software Bug,Low,2025-09-12,Open
IT195,E017,Software Bug,High,2025-09-12,Pending
IT196,E008,Laptop Issue,Low,2025-09-12,Open
IT197,E001,Email Issue,High,2025-09-12,Resolved
IT198,E020,VPN Setup,High,2025-09-12,Open
IT199,E019,Email Issue,Low,2025-09-12,Open
IT200,E008,VPN Setup,Low,2025-09-12,Resolved
IT201,E015,VPN Setup,Medium,2025-09-12,Pending
IT202,E007,Email Issue,Low,2025-09-12,Pending
IT203,E010,Software Bug,Low,2025-09-12,Pending
IT204,E019,VPN Setup,High,2025-09-12,Resolved
IT205,E012,VPN Setup,High,2025-09-12,Resolved
IT206,E004,Email Issue,High,2025-09-12,Pending
IT207,E017,Software Bug,High,2025-09-12,Pending
IT208,E019,Email Issue,High,2025-09-12,Resolved
IT209,E005,Software Bug,Medium,2025-09-12,Pending
IT210,E006,Laptop Issue,Medium,2025-09-12,Resolved
IT211,E019,Email Issue,Low,2025-09-12,Pending
IT212,E019,Laptop Issue,Low,2025-09-12,Pending
IT213,E018,VPN Setup,Low,2025-09-12,Pending
IT214,E020,VPN Setup,Medium,2025-09-12,Pending
IT215,E015,VPN Setup,Medium,2025-09-12,Open
IT216,E014,Software Bug,Medium,2025-09-12,Pending
IT217,E007,Email Issue,Low,2025-09-12,Resolved
IT218,E015,VPN Setup,High,2025-09-12,Resolved
IT219,E003,Software Bug,Medium,2025-09-12,Open
IT220,E010,Software Bug,Low,2025-09-12,Pending
IT221,E017,Software Bug,Low,2025-09-12,Resolved
IT222,E003,Email Issue,Medium,2025-09-12,Resolved
IT223,E011,Software Bug,Medium,2025-09-12,Pending
IT224,E013,Laptop Issue,Medium,2025-09-12,Open
IT225,E009,Software Bug,Medium,2025-09-12,Open
IT226,E016,Laptop Issue,High,2025-09-12,Pending
IT227,E006,Laptop Issue,Low,2025-09-12,Pending
IT228,E004,Laptop Issue,Medium,2025-09-12,Resolved
IT229,E016,Laptop Issue,Low,2025-09-12,Pending
IT230,E016,Software Bug,Medium,2025-09-12,Resolved
IT231,E005,Email Issue,Medium,2025-09-12,Pending
IT232,E008,Software Bug,High,2025-09-12,Open
IT233,E015,Software Bug,Low,2025-09-12,Open
IT234,E018,Email Issue,High,2025-09-12,Pending
IT235,E020,Laptop Issue,Low,2025-09-12,Pending
IT236,E015,Email Issue,Low,2025-09-12,Pending
IT237,E014,Email Issue,Medium,2025-09-12,Open
IT238,E020,Email Issue,Low,2025-09-12,Pending
IT239,E014,VPN Setup,High,2025-09-12,Resolved
IT240,E008,Laptop Issue,Medium,2025-09-12,Resolved
IT241,E010,Email Issue,Medium,2025-09-12,Resolved
IT242,E020,Email Issue,Medium,2025-09-12,Open
IT243,E011,Laptop Issue,Low,2025-09-12,Resolved
IT244,E001,VPN Setup,Low,2025-09-12,Pending
IT245,E004,VPN Setup,Low,2025-09-12,Pending
IT246,E006,Laptop Issue,Low,2025-09-12,Resolved
IT247,E003,Software Bug,Low,2025-09-12,Resolved
IT248,E012,Software Bug,High,2025-09-12,Open
IT249,E018,VPN Setup,High,2025-09-12,Pending
IT250,E018,Software Bug,High,2025-09-12,Open
IT251,E017,VPN Setup,High,2025-09-12,Open
IT252,E009,Email Issue,Low,2025-09-12,Pending
IT253,E017,Laptop Issue,High,2025-09-12,Open
IT254,E010,Laptop Issue,Low,2025-09-12,Pending
IT255,E016,Email Issue,Low,2025-09-12,Open
IT256,E002,Software Bug,High,2025-09-12,Resolved
IT257,E012,VPN Setup,Medium,2025-09-12,Resolved
IT258,E007,Email Issue,High,2025-09-12,Resolved
IT259,E010,Laptop Issue,Medium,2025-09-12,Open
IT260,E005,Software Bug,High,2025-09-12,Pending
IT261,E003,Software Bug,Low,2025-09-12,Resolved
IT262,E014,Laptop Issue,Medium,2025-09-12,Pending
IT263,E013,VPN Setup,Medium,2025-09-12,Open
IT264,E019,Laptop Issue,Low,2025-09-12,Open
IT265,E001,Email Issue,Medium,2025-09-12,Pending
IT266,E011,Software Bug,Low,2025-09-12,Open
IT267,E016,VPN Setup,High,2025-09-12,Pending
IT268,E008,VPN Setup,High,2025-09-12,Pending
IT269,E003,Email Issue,Low,2025-09-12,Open
IT270,E009,Software Bug,High,2025-09-12,Resolved
IT271,E008,Laptop Issue,Low,2025-09-12,Open
IT272,E013,Software Bug,High,2025-09-12,Resolved
IT273,E015,Laptop Issue,Medium,2025-09-12,Pending
IT274,E016,VPN Setup,High,2025-09-12,Pending
IT275,E006,Software Bug,Medium,2025-09-12,Resolved
IT276,E007,Email Issue,High,2025-09-12,Resolved
IT277,E018,Email Issue,Medium,2025-09-12,Pending
IT278,E015,Email Issue,Medium,2025-09-12,Open
IT279,E020,Email Issue,Low,2025-09-12,Pending
IT280,E008,Laptop Issue,Medium,2025-09-12,Resolved
IT281,E011,VPN Setup,Medium,2025-09-12,Pending
IT282,E005,Software Bug,Medium,2025-09-12,Pending
IT283,E018,Laptop Issue,Low,2025-09-12,Pending
IT284,E003,Email Issue,Low,2025-09-12,Open
IT285,E017,Laptop Issue,Low,2025-09-12,Resolved
IT286,E007,Laptop Issue,Medium,2025-09-12,Open
IT287,E015,Laptop Issue,Low,2025-09-12,Open
IT288,E010,Laptop Issue,Low,2025-09-12,Resolved
IT289,E011,Software Bug,Low,2025-09-12,Pending
IT290,E006,Software Bug,Medium,2025-09-12,Resolved
IT291,E001,VPN Setup,Low,2025-09-12,Open
IT292,E005,Software Bug,Low,2025-09-12,Resolved
IT293,E012,Software Bug,Low,2025-09-12,Pending
IT294,E005,Email Issue,High,2025-09-12,Pending
IT295,E013,Email Issue,High,2025-09-12,Resolved
IT296,E005,VPN Setup,Low,2025-09-12,Resolved
IT297,E012,Laptop Issue,High,2025-09-12,Resolved
IT298,E015,Software Bug,Low,2025-09-12,Pending
IT299,E005,Laptop Issue,Medium,2025-09-12,Resolved
IT300,E014,VPN Setup,Low,2025-09-12,Open
IT301,E013,Laptop Issue,Low,2025-09-12,Pending
IT302,E019,VPN Setup,Medium,2025-09-12,Open
IT303,E009,Software Bug,High,2025-09-12,Pending
IT304,E020,Software Bug,Low,2025-09-12,Resolved
IT305,E001,Software Bug,Low,2025-09-12,Pending
IT306,E006,Laptop Issue,Medium,2025-09-12,Resolved
IT307,E009,Software Bug,Low,2025-09-12,Resolved
IT308,E017,Email Issue,Low,2025-09-12,Pending
IT309,E012,Email Issue,Low,2025-09-12,Pending
IT310,E002,Email Issue,High,2025-09-12,Pending
IT311,E006,VPN Setup,Low,2025-09-12,Pending
IT312,E009,Software Bug,Low,2025-09-12,Pending
IT313,E006,Email Issue,Medium,2025-09-12,Pending
IT314,E019,VPN Setup,High,2025-09-12,Resolved
IT315,E010,Laptop Issue,Low,2025-09-12,Open
IT316,E014,VPN Setup,High,2025-09-12,Pending
IT317,E013,VPN Setup,Low,2025-09-12,Resolved
IT318,E005,Laptop Issue,Low,2025-09-12,Pending
IT319,E018,Laptop Issue,High,2025-09-12,Resolved
IT320,E013,Email Issue,High,2025-09-12,Resolved
IT321,E007,Email Issue,Medium,2025-09-12,Pending
IT322,E011,Laptop Issue,Low,2025-09-12,Open
IT323,E018,Laptop Issue,High,2025-09-12,Resolved
IT324,E020,VPN Setup,Medium,2025-09-12,Pending
IT325,E010,Email Issue,Low,2025-09-12,Open
IT326,E019,Software Bug,Medium,2025-09-12,Pending
IT327,E014,Software Bug,Medium,2025-09-12,Resolved
IT328,E012,VPN Setup,Medium,2025-09-12,Open
IT329,E009,VPN Setup,High,2025-09-12,Open
IT330,E019,Laptop Issue,High,2025-09-12,Open
IT331,E013,Laptop Issue,Medium,2025-09-12,Open
IT332,E011,Software Bug,Low,2025-09-12,Pending
IT333,E010,Email Issue,High,2025-09-12,Resolved
IT334,E006,Software Bug,Low,2025-09-12,Open
IT335,E020,Laptop Issue,High,2025-09-12,Pending
IT336,E016,Software Bug,Low,2025-09-12,Open
IT337,E018,Laptop Issue,Medium,2025-09-12,Resolved
IT338,E004,Software Bug,Medium,2025-09-12,Pending
IT339,E016,Laptop Issue,Low,2025-09-12,Pending
IT340,E019,Laptop Issue,High,2025-09-12,Pending
IT341,E010,VPN Setup,Medium,2025-09-12,Open
IT342,E017,Laptop Issue,Medium,2025-09-12,Open
IT343,E010,Software Bug,Low,2025-09-12,Pending
IT344,E012,Email Issue,Medium,2025-09-12,Pending
IT345,E013,Laptop Issue,Low,2025-09-12,Pending
IT346,E007,VPN Setup,High,2025-09-12,Pending
IT347,E020,Laptop Issue,High,2025-09-12,Pending
IT348,E019,Laptop Issue,Low,2025-09-12,Open
IT349,E019,Laptop Issue,Medium,2025-09-12,Resolved
IT350,E008,Email Issue,Low,2025-09-12,Open
IT351,E007,VPN Setup,High,2025-09-12,Pending
IT352,E005,Laptop Issue,Low,2025-09-12,Resolved
IT353,E003,Laptop Issue,High,2025-09-12,Pending
IT354,E005,Laptop Issue,Low,2025-09-12,Open
IT355,E017,Laptop Issue,Medium,2025-09-12,Open
IT356,E015,Software Bug,Medium,2025-09-12,Pending
IT357,E012,Email Issue,Low,2025-09-12,Resolved
IT358,E001,Email Issue,High,2025-09-12,Pending
IT359,E011,Software Bug,High,2025-09-12,Resolved
IT360,E014,Laptop Issue,Low,2025-09-12,Resolved
IT361,E013,Software Bug,Medium,2025-09-12,Open
IT362,E019,Email Issue,High,2025-09-12,Open
IT363,E012,Laptop Issue,High,2025-09-12,Open
IT364,E014,Software Bug,Low,2025-09-12,Resolved
IT365,E002,Email Issue,Medium,2025-09-12,Resolved
IT366,E015,VPN Setup,Medium,2025-09-12,Open
IT367,E018,Email Issue,Low,2025-09-12,Resolved
IT368,E008,VPN Setup,High,2025-09-12,Resolved
IT369,E019,Software Bug,High,2025-09-12,Resolved
IT370,E020,Email Issue,Medium,2025-09-12,Open
IT371,E001,VPN Setup,Low,2025-09-12,Resolved
IT372,E019,Laptop Issue,High,2025-09-12,Open
IT373,E020,VPN Setup,Medium,2025-09-12,Open
IT374,E015,Email Issue,Medium,2025-09-12,Resolved
IT375,E020,Laptop Issue,High,2025-09-12,Open
IT376,E017,Software Bug,Low,2025-09-12,Open
IT377,E003,Laptop Issue,Low,2025-09-12,Pending
IT378,E003,VPN Setup,High,2025-09-12,Pending
IT379,E004,Software Bug,Low,2025-09-12,Open
IT380,E012,Software Bug,Medium,2025-09-12,Pending
IT381,E007,Software Bug,Medium,2025-09-12,Open
IT382,E016,Email Issue,Low,2025-09-12,Open
IT383,E012,Laptop Issue,Medium,2025-09-12,Open
IT384,E006,VPN Setup,Medium,2025-09-12,Open
IT385,E017,VPN Setup,Medium,2025-09-12,Resolved
IT386,E015,Laptop Issue,Low,2025-09-12,Open
IT387,E010,VPN Setup,High,2025-09-12,Open
IT388,E004,Email Issue,Low,2025-09-12,Pending
IT389,E001,VPN Setup,Low,2025-09-12,Pending
IT390,E014,Email Issue,Medium,2025-09-12,Open
IT391,E007,VPN Setup,High,2025-09-12,Open
IT392,E005,Email Issue,Medium,2025-09-12,Resolved
IT393,E004,Email Issue,Medium,2025-09-12,Pending
IT394,E006,Software Bug,Medium,2025-09-12,Open
IT395,E002,Email Issue,High,2025-09-12,Resolved
IT396,E009,VPN Setup,Medium,2025-09-12,Resolved
IT397,E010,Software Bug,Low,2025-09-12,Resolved
IT398,E014,VPN Setup,Low,2025-09-12,Pending
IT399,E002,Email Issue,Low,2025-09-12,Resolved
IT400,E018,Email Issue,High,2025-09-12,Pending
IT401,E020,Email Issue,Medium,2025-09-12,Open
IT402,E013,VPN Setup,High,2025-09-12,Resolved
IT403,E017,Laptop Issue,Low,2025-09-12,Open
IT404,E006,Laptop Issue,Low,2025-09-12,Open
IT405,E018,Laptop Issue,High,2025-09-12,Resolved
IT406,E016,Email Issue,Low,2025-09-12,Resolved
IT407,E019,Laptop Issue,Medium,2025-09-12,Pending
IT408,E005,VPN Setup,Low,2025-09-12,Pending
IT409,E006,Email Issue,Low,2025-09-12,Resolved
IT410,E011,Laptop Issue,Low,2025-09-12,Resolved
IT411,E019,Laptop Issue,High,2025-09-12,Open
IT412,E008,Software Bug,High,2025-09-12,Open
IT413,E004,Laptop Issue,Medium,2025-09-12,Pending
IT414,E017,Software Bug,Medium,2025-09-12,Resolved
IT415,E017,Laptop Issue,Medium,2025-09-12,Pending
IT416,E003,Email Issue,High,2025-09-12,Resolved
IT417,E020,Email Issue,Low,2025-09-12,Pending
IT418,E020,Laptop Issue,High,2025-09-12,Resolved
IT419,E007,VPN Setup,High,2025-09-12,Resolved
IT420,E019,Email Issue,High,2025-09-12,Open
IT421,E018,Email Issue,High,2025-09-12,Resolved
IT422,E006,Email Issue,Medium,2025-09-12,Resolved
IT423,E019,Laptop Issue,Medium,2025-09-12,Resolved
IT424,E015,Laptop Issue,Medium,2025-09-12,Pending
IT425,E013,Laptop Issue,Medium,2025-09-12,Resolved
IT426,E005,Email Issue,Medium,2025-09-12,Resolved
IT427,E001,Email Issue,Medium,2025-09-12,Pending
IT428,E010,Software Bug,Low,2025-09-12,Pending
IT429,E020,Software Bug,Medium,2025-09-12,Open
IT430,E011,Software Bug,Medium,2025-09-12,Resolved
IT431,E012,Laptop Issue,High,2025-09-12,Resolved
IT432,E010,VPN Setup,High,2025-09-12,Open
IT433,E009,Email Issue,Low,2025-09-12,Pending
IT434,E011,Laptop Issue,Low,2025-09-12,Resolved
IT435,E008,Laptop Issue,Medium,2025-09-12,Open
IT436,E014,Laptop Issue,High,2025-09-12,Pending
IT437,E001,Email Issue,Low,2025-09-12,Resolved
IT438,E001,Software Bug,Low,2025-09-12,Pending
IT439,E009,Email Issue,High,2025-09-12,Open
IT440,E001,Laptop Issue,Low,2025-09-12,Pending
IT441,E004,VPN Setup,High,2025-09-12,Resolved
IT442,E015,Laptop Issue,High,2025-09-12,Pending
IT443,E010,VPN Setup,High,2025-09-12,Resolved
IT444,E008,Email Issue,Low,2025-09-12,Pending
IT445,E012,VPN Setup,Low,2025-09-12,Open
IT446,E011,Laptop Issue,Low,2025-09-12,Pending
IT447,E011,Email Issue,Low,2025-09-12,Pending
IT448,E011,VPN Setup,Medium,2025-09-12,Resolved
IT449,E014,Laptop Issue,Medium,2025-09-12,Pending
IT450,E019,Software Bug,High,2025-09-12,Resolved
IT451,E015,Email Issue,Low,2025-09-12,Resolved
IT452,E016,VPN Setup,Low,2025-09-12,Pending
IT453,E008,VPN Setup,Medium,2025-09-12,Pending
IT454,E018,VPN Setup,High,2025-09-12,Resolved
IT455,E013,VPN Setup,Low,2025-09-12,Open
IT456,E005,Software Bug,Low,2025-09-12,Pending
IT457,E020,Laptop Issue,High,2025-09-12,Resolved
IT458,E015,Software Bug,High,2025-09-12,Open
IT459,E018,Laptop Issue,High,2025-09-12,Pending
IT460,E006,Laptop Issue,Medium,2025-09-12,Pending
IT461,E019,VPN Setup,High,2025-09-12,Pending
IT462,E003,Laptop Issue,High,2025-09-12,Resolved
IT463,E010,VPN Setup,High,2025-09-12,Open
IT464,E016,Laptop Issue,Low,2025-09-12,Pending
IT465,E014,Laptop Issue,High,2025-09-12,Pending
IT466,E007,VPN Setup,Medium,2025-09-12,Resolved
IT467,E002,VPN Setup,Medium,2025-09-12,Pending
IT468,E002,Email Issue,High,2025-09-12,Resolved
IT469,E001,Software Bug,Medium,2025-09-12,Open
IT470,E015,Email Issue,Low,2025-09-12,Resolved
IT471,E011,Laptop Issue,Medium,2025-09-12,Pending
IT472,E004,Laptop Issue,High,2025-09-12,Pending
IT473,E012,Software Bug,Low,2025-09-12,Resolved
IT474,E006,Software Bug,High,2025-09-12,Open
IT475,E019,Laptop Issue,High,2025-09-12,Pending
IT476,E001,Laptop Issue,Medium,2025-09-12,Pending
IT477,E008,VPN Setup,High,2025-09-12,Open
IT478,E020,Email Issue,Low,2025-09-12,Resolved
IT479,E009,Software Bug,High,2025-09-12,Resolved
IT480,E007,Software Bug,Low,2025-09-12,Open
IT481,E004,Laptop Issue,Medium,2025-09-12,Resolved
IT482,E015,Laptop Issue,Medium,2025-09-12,Resolved
IT483,E019,VPN Setup,Medium,2025-09-12,Pending
IT484,E001,Email Issue,Low,2025-09-12,Resolved
IT485,E012,VPN Setup,Medium,2025-09-12,Resolved
IT486,E013,Software Bug,Medium,2025-09-12,Pending
IT487,E006,Email Issue,Low,2025-09-12,Pending
IT488,E018,Software Bug,Medium,2025-09-12,Resolved
IT489,E008,Laptop Issue,Medium,2025-09-12,Pending
IT490,E003,Software Bug,Medium,2025-09-12,Resolved
IT491,E001,Laptop Issue,Low,2025-09-12,Pending
IT492,E017,Email Issue,Low,2025-09-12,Open
IT493,E006,Email Issue,Medium,2025-09-12,Resolved
IT494,E015,Laptop Issue,Medium,2025-09-12,Open
IT495,E014,Laptop Issue,Low,2025-09-12,Resolved
IT496,E008,VPN Setup,High,2025-09-12,Resolved
IT497,E017,VPN Setup,Low,2025-09-12,Resolved
IT498,E002,VPN Setup,Medium,2025-09-12,Open
IT499,E011,VPN Setup,Low,2025-09-12,Resolved
IT500,E017,Email Issue,Medium,2025-09-12,Resolved
