request_id,department,vendor,amount_bhd,status,date
PR0039,Finance,VendorB,260.56,Rejected,2025-09-14
PR0040,HR,VendorA,4728.66,Approved,2022-02-08
PR0041,HR,VendorC,1385.87,Approved,2025-08-11
PR0042,Marketing,VendorB,3333.3,Approved,2020-03-10
PR0043,Finance,VendorC,1386.59,Rejected,2025-02-15
PR0044,Marketing,VendorA,1783.28,Approved,2024-08-31
PR0045,HR,VendorC,4553.44,Rejected,2020-02-22
PR0046,Finance,VendorA,1877.94,Pending,2021-06-22
PR0047,Marketing,VendorA,3403.01,Approved,2022-12-25
PR0048,IT,VendorA,3274.06,Approved,2022-09-30
PR0049,IT,VendorC,2885.1,Rejected,2025-04-18
PR0050,HR,VendorA,1914.14,Pending,2023-01-30
PR0051,IT,VendorC,123.82,Approved,2022-12-17
PR0052,HR,VendorC,2433.93,Approved,2021-10-03
PR0053,Finance,VendorC,2717.48,Rejected,2021-04-07
PR0054,IT,VendorC,4922.75,Approved,2022-02-16
PR0055,IT,VendorA,1344.43,Pending,2021-10-17
PR0056,HR,VendorB,2681.02,Pending,2020-01-08
PR0057,HR,VendorA,1288.66,Approved,2022-07-10
PR0058,IT,VendorC,1465.55,Rejected,2022-12-13
PR0059,Finance,VendorA,4609.12,Pending,2024-06-09
PR0060,Marketing,VendorA,2935.12,Approved,2025-05-21
PR0061,Finance,VendorB,4510.29,Pending,2020-02-26
PR0062,Marketing,VendorB,2205.63,Pending,2023-04-22
PR0063,Finance,VendorB,2342.21,Pending,2020-01-26
PR0064,IT,VendorC,4801.38,Approved,2022-05-09
PR0065,HR,VendorC,3501.55,Rejected,2020-11-19
PR0066,HR,VendorC,1071.97,Rejected,2021-07-11
PR0067,HR,VendorA,196.22,Pending,2021-08-05
PR0068,Marketing,VendorC,648.76,Approved,2020-09-17
PR0069,Finance,VendorC,3449.17,Rejected,2020-09-07
PR0070,Finance,VendorB,3914.04,Rejected,2024-10-31
PR0071,HR,VendorB,3312.84,Rejected,2023-03-06
PR0072,Finance,VendorC,1472.88,Approved,2021-04-22
PR0073,Marketing,VendorB,358.36,Rejected,2023-09-15
PR0074,Marketing,VendorA,2896.2,Rejected,2020-02-12
PR0075,HR,VendorA,3346.0,Pending,2024-05-03
PR0076,IT,VendorB,798.71,Pending,2021-01-19
PR0077,HR,VendorB,1079.12,Approved,2024-03-22
PR0078,IT,VendorC,3371.3,Pending,2024-02-11
PR0079,IT,VendorC,3044.54,Approved,2025-07-24
PR0080,IT,VendorC,2744.48,Approved,2021-05-24
PR0081,Finance,VendorA,608.73,Rejected,2023-12-26
PR0082,Marketing,VendorB,3817.63,Rejected,2022-09-17
PR0083,IT,VendorA,181.25,Pending,2021-09-21
PR0084,HR,VendorC,1810.66,Approved,2022-07-15
PR0085,HR,VendorA,3253.3,Pending,2024-06-09
PR0086,HR,VendorB,632.5,Rejected,2020-07-08
PR0087,HR,VendorC,4733.72,Rejected,2025-01-20
PR0088,IT,VendorC,4517.23,Pending,2022-07-10
PR0089,IT,VendorB,1996.58,Pending,2021-09-02
PR0090,IT,VendorA,2387.21,Approved,2020-12-28
PR0091,IT,VendorA,2850.64,Approved,2021-11-29
PR0092,HR,VendorB,4684.92,Rejected,2025-02-17
PR0093,Finance,VendorB,1957.15,Rejected,2021-03-22
PR0094,Finance,VendorA,3724.39,Approved,2021-12-01
PR0095,Finance,VendorA,760.71,Pending,2023-05-18
PR0096,Marketing,VendorA,1150.73,Approved,2025-01-15
PR0097,Finance,VendorA,2380.98,Approved,2024-05-04
PR0098,HR,VendorA,1628.64,Approved,2021-12-18
PR0099,IT,VendorB,2303.05,Approved,2021-05-25
PR0100,HR,VendorC,2337.07,Pending,2023-11-25
PR0101,Marketing,VendorA,2478.01,Pending,2021-06-11
PR0102,HR,VendorC,3134.89,Rejected,2025-01-13
PR0103,Finance,VendorC,3929.47,Rejected,2025-05-25
PR0104,IT,VendorB,4445.21,Approved,2024-05-02
PR0105,Marketing,VendorC,4877.13,Pending,2025-06-05
PR0106,HR,VendorA,3878.85,Approved,2023-05-19
PR0107,IT,VendorB,4122.05,Approved,2021-04-13
PR0108,HR,VendorC,2611.94,Pending,2020-04-02
PR0109,HR,VendorA,952.97,Approved,2023-06-01
PR0110,Marketing,VendorA,3527.32,Rejected,2024-03-17
PR0111,Finance,VendorA,816.67,Rejected,2023-07-27
PR0112,IT,VendorA,1324.46,Rejected,2023-12-04
PR0113,HR,VendorC,1965.31,Pending,2020-05-01
PR0114,IT,VendorB,4791.44,Rejected,2020-11-28
PR0115,IT,VendorA,1550.21,Pending,2020-11-25
PR0116,Finance,VendorA,868.28,Rejected,2022-10-24
PR0117,IT,VendorA,2138.38,Approved,2023-04-03
PR0118,HR,VendorB,3442.6,Rejected,2020-02-08
PR0119,Marketing,VendorA,2961.52,Pending,2024-11-16
PR0120,HR,VendorC,2419.83,Rejected,2020-01-05
PR0121,Finance,VendorA,333.39,Approved,2021-02-13
PR0122,Finance,VendorC,1683.84,Rejected,2020-06-30
PR0123,HR,VendorC,567.88,Pending,2021-06-12
PR0124,Marketing,VendorB,4032.32,Pending,2025-06-24
PR0125,IT,VendorC,3930.0,Rejected,2025-06-21
PR0126,Finance,VendorA,1489.74,Approved,2022-03-20
PR0127,Finance,VendorA,3770.51,Approved,2020-02-06
PR0128,Finance,VendorB,3331.46,Approved,2020-05-18
PR0129,Marketing,VendorC,1811.63,Approved,2021-09-06
PR0130,Marketing,VendorA,3280.3,Approved,2022-12-01
PR0131,Marketing,VendorB,1936.42,Approved,2021-01-23
PR0132,Marketing,VendorC,3434.21,Approved,2020-10-04
PR0133,IT,VendorB,3977.25,Pending,2024-07-15
PR0134,HR,VendorB,2770.64,Rejected,2025-02-27
PR0135,Marketing,VendorC,1917.78,Approved,2021-10-28
PR0136,Marketing,VendorB,3985.57,Approved,2024-09-04
PR0137,Finance,VendorA,2124.99,Approved,2020-10-07
PR0138,Finance,VendorA,4531.2,Approved,2020-08-13
PR0139,HR,VendorA,3337.21,Approved,2023-07-13
PR0140,Finance,VendorC,4866.73,Approved,2023-02-15
PR0141,HR,VendorB,2514.66,Approved,2023-04-17
PR0142,IT,VendorB,2934.96,Pending,2022-01-06
PR0143,Finance,VendorB,4427.89,Approved,2023-09-18
PR0144,Finance,VendorB,930.85,Pending,2021-02-22
PR0145,HR,VendorB,4919.46,Pending,2020-11-28
PR0146,HR,VendorB,2464.35,Rejected,2022-02-14
PR0147,HR,VendorC,1103.04,Approved,2022-01-10
PR0148,HR,VendorA,4930.06,Rejected,2022-10-21
PR0149,Marketing,VendorC,787.47,Rejected,2021-12-29
PR0150,Marketing,VendorA,1292.64,Rejected,2020-01-29
PR0151,HR,VendorC,988.51,Pending,2024-05-07
PR0152,HR,VendorB,4528.64,Rejected,2023-05-19
PR0153,HR,VendorB,4219.54,Approved,2024-11-06
PR0154,Finance,VendorA,3393.59,Rejected,2022-11-26
PR0155,IT,VendorC,2606.78,Approved,2020-03-17
PR0156,Marketing,VendorA,1599.2,Pending,2022-03-15
PR0157,IT,VendorA,3390.85,Pending,2022-05-22
PR0158,Finance,VendorB,729.52,Approved,2023-05-22
PR0159,Finance,VendorB,3949.55,Approved,2022-07-01
PR0160,HR,VendorB,261.53,Pending,2022-12-26
PR0161,Marketing,VendorC,969.98,Approved,2022-07-20
PR0162,Finance,VendorC,3970.01,Approved,2023-10-08
PR0163,Finance,VendorB,4275.91,Pending,2020-05-13
PR0164,Finance,VendorA,4004.97,Pending,2024-11-16
PR0165,IT,VendorB,3291.09,Rejected,2020-12-25
PR0166,Marketing,VendorC,2295.9,Approved,2024-06-06
PR0167,HR,VendorB,3341.37,Approved,2021-08-16
PR0168,Marketing,VendorB,2075.17,Approved,2021-08-31
PR0169,IT,VendorB,3910.84,Pending,2022-05-12
PR0170,IT,VendorC,127.44,Rejected,2021-08-13
PR0171,HR,VendorA,1674.26,Pending,2023-09-10
PR0172,HR,VendorB,1842.7,Pending,2023-10-24
PR0173,IT,VendorA,2032.71,Approved,2020-05-10
PR0174,Finance,VendorB,1730.07,Rejected,2022-08-26
PR0175,Finance,VendorB,1983.09,Approved,2023-03-16
PR0176,IT,VendorC,453.41,Rejected,2021-08-01
PR0177,Finance,VendorA,1126.83,Pending,2023-03-19
PR0178,Finance,VendorB,4687.67,Pending,2020-01-09
PR0179,HR,VendorA,4281.56,Pending,2024-08-07
PR0180,HR,VendorB,2371.89,Approved,2023-09-17
PR0181,HR,VendorA,1689.65,Approved,2020-11-07
PR0182,IT,VendorC,3758.47,Pending,2024-02-12
PR0183,Marketing,VendorC,999.3,Rejected,2024-05-05
PR0184,Finance,VendorB,1606.46,Pending,2022-11-27
PR0185,IT,VendorB,3638.42,Rejected,2025-04-13
PR0186,Finance,VendorB,1928.01,Pending,2023-07-20
PR0187,Marketing,VendorA,2144.93,Approved,2024-03-30
PR0188,Marketing,VendorC,4094.14,Pending,2021-08-07
PR0189,IT,VendorA,1702.75,Rejected,2023-01-16
PR0190,Finance,VendorB,536.39,Pending,2020-07-02
PR0191,HR,VendorC,4193.91,Approved,2024-11-25
PR0192,IT,VendorC,1125.29,Pending,2024-02-01
PR0193,HR,VendorC,2378.75,Rejected,2024-09-09
PR0194,Finance,VendorA,1131.94,Pending,2021-01-19
PR0195,Marketing,VendorC,2813.99,Approved,2024-06-12
PR0196,HR,VendorB,4403.28,Pending,2022-02-06
PR0197,IT,VendorC,756.68,Approved,2025-01-02
PR0198,IT,VendorA,1037.55,Pending,2021-08-23
PR0199,Marketing,VendorB,2842.49,Pending,2023-05-21
PR0200,Marketing,VendorA,1897.81,Pending,2023-08-22
PR0201,HR,VendorB,4610.48,Rejected,2021-12-03
PR0202,IT,VendorB,2372.14,Approved,2022-06-11
PR0203,IT,VendorA,546.55,Approved,2025-01-18
PR0204,HR,VendorB,1893.04,Approved,2022-09-05
PR0205,Finance,VendorC,4974.59,Rejected,2024-09-10
PR0206,Finance,VendorA,4117.55,Approved,2025-05-29
PR0207,HR,VendorA,1873.05,Rejected,2023-08-01
PR0208,IT,VendorA,3911.07,Rejected,2021-12-05
PR0209,Finance,VendorC,4137.49,Pending,2025-05-08
PR0210,IT,VendorA,3259.72,Rejected,2020-11-22
PR0211,Finance,VendorA,1827.37,Pending,2020-01-26
PR0212,IT,VendorB,4023.21,Approved,2025-05-28
PR0213,Finance,VendorC,4938.39,Approved,2024-08-11
PR0214,HR,VendorA,3554.09,Rejected,2025-04-20
PR0215,Finance,VendorC,2404.99,Rejected,2022-09-19
PR0216,Finance,VendorC,4893.6,Rejected,2023-03-28
PR0217,Marketing,VendorB,3131.09,Approved,2022-10-10
PR0218,Marketing,VendorA,4215.43,Approved,2025-09-20
PR0219,HR,VendorC,3016.45,Rejected,2020-05-21
PR0220,HR,VendorA,2183.23,Rejected,2023-08-13
PR0221,IT,VendorB,140.13,Approved,2023-06-22
PR0222,Marketing,VendorB,3761.17,Pending,2023-11-27
PR0223,Marketing,VendorA,769.9,Pending,2023-01-30
PR0224,IT,VendorA,2682.58,Rejected,2021-04-19
PR0225,Marketing,VendorB,4208.02,Approved,2020-06-30
PR0226,IT,VendorC,2665.9,Pending,2020-10-28
PR0227,IT,VendorA,4824.97,Rejected,2021-10-29
PR0228,HR,VendorC,134.89,Pending,2022-07-18
PR0229,IT,VendorC,2455.81,Pending,2024-10-08
PR0230,IT,VendorA,4985.13,Approved,2022-05-07
PR0231,HR,VendorC,591.27,Rejected,2025-06-05
PR0232,Finance,VendorA,3412.22,Rejected,2021-05-15
PR0233,HR,VendorB,3959.62,Pending,2025-07-11
PR0234,HR,VendorA,3779.2,Pending,2022-04-20
PR0235,HR,VendorC,3218.67,Rejected,2022-04-18
PR0236,HR,VendorB,612.14,Approved,2021-08-09
PR0237,HR,VendorA,4241.03,Rejected,2022-10-08
PR0238,Marketing,VendorB,4952.74,Approved,2020-06-27
PR0239,Finance,VendorC,1558.52,Approved,2023-07-04
PR0240,Marketing,VendorB,4091.84,Rejected,2020-09-09
PR0241,IT,VendorB,2577.36,Pending,2022-06-29
PR0242,Finance,VendorB,1720.73,Rejected,2021-10-21
PR0243,Marketing,VendorB,4369.63,Pending,2023-12-13
PR0244,HR,VendorA,3348.89,Pending,2023-05-23
PR0245,IT,VendorB,3988.69,Pending,2024-01-13
PR0246,IT,VendorB,2347.1,Rejected,2022-09-19
PR0247,IT,VendorA,4695.89,Approved,2023-10-14
PR0248,Finance,VendorB,1469.22,Rejected,2021-12-30
PR0249,Marketing,VendorA,1888.3,Rejected,2025-05-06
PR0250,HR,VendorC,2630.56,Rejected,2025-06-27
PR0251,Finance,VendorC,1152.39,Pending,2020-12-04
PR0252,HR,VendorB,1890.23,Approved,2021-01-29
PR0253,Finance,VendorB,1758.84,Approved,2021-12-28
PR0254,HR,VendorA,3994.65,Pending,2021-05-10
PR0255,Marketing,VendorB,1566.51,Approved,2025-05-01
PR0256,IT,VendorA,476.36,Rejected,2021-11-17
PR0257,Marketing,VendorB,3543.24,Approved,2025-02-07
PR0258,Marketing,VendorA,2866.17,Pending,2020-11-06
PR0259,Finance,VendorB,497.21,Approved,2020-05-07
PR0260,Finance,VendorB,3023.91,Rejected,2023-11-10
PR0261,Marketing,VendorC,2168.09,Approved,2024-09-21
PR0262,Finance,VendorC,3512.54,Rejected,2024-06-23
PR0263,Finance,VendorA,2884.88,Approved,2021-03-16
PR0264,Finance,VendorC,984.74,Pending,2023-09-09
PR0265,IT,VendorA,4002.07,Rejected,2020-10-10
PR0266,IT,VendorB,2342.77,Approved,2020-05-02
PR0267,Finance,VendorC,4887.32,Pending,2022-10-12
PR0268,IT,VendorA,447.53,Approved,2023-11-10
PR0269,HR,VendorC,3690.91,Pending,2020-07-23
PR0270,IT,VendorB,1888.5,Pending,2020-06-14
PR0271,HR,VendorB,553.56,Approved,2022-11-28
PR0272,HR,VendorA,3189.2,Rejected,2025-03-01
PR0273,HR,VendorA,2231.86,Rejected,2020-12-03
PR0274,HR,VendorA,1352.19,Pending,2025-09-08
PR0275,Marketing,VendorA,4965.18,Approved,2025-01-02
PR0276,HR,VendorA,4834.44,Approved,2023-04-11
PR0277,IT,VendorC,4116.93,Rejected,2024-12-23
PR0278,Marketing,VendorA,1970.02,Rejected,2020-11-28
PR0279,Marketing,VendorC,1660.19,Approved,2022-01-26
PR0280,IT,VendorA,2998.58,Rejected,2022-09-19
PR0281,IT,VendorB,3495.5,Approved,2024-03-31
PR0282,HR,VendorB,3495.3,Pending,2022-08-02
PR0283,Marketing,VendorB,3303.91,Approved,2024-03-02
PR0284,Finance,VendorB,4777.88,Pending,2020-04-01
PR0285,Finance,VendorB,4274.36,Approved,2020-03-12
PR0286,IT,VendorB,351.03,Pending,2024-10-12
PR0287,Finance,VendorB,3684.55,Pending,2021-12-22
PR0288,Marketing,VendorB,3634.79,Pending,2023-08-04
PR0289,HR,VendorC,4543.85,Pending,2023-07-11
PR0290,HR,VendorA,3873.87,Approved,2025-04-14
PR0291,HR,VendorB,253.87,Approved,2020-02-05
PR0292,Finance,VendorB,2314.41,Approved,2022-07-27
PR0293,Finance,VendorB,202.72,Approved,2025-03-20
PR0294,IT,VendorA,2669.23,Approved,2021-06-30
PR0295,Finance,VendorA,3247.71,Approved,2021-07-24
PR0296,IT,VendorC,1819.15,Approved,2023-09-20
PR0297,Marketing,VendorA,4436.49,Approved,2023-09-13
PR0298,Marketing,VendorC,4454.87,Rejected,2024-10-11
PR0299,Marketing,VendorA,1529.79,Rejected,2021-08-24
PR0300,IT,VendorB,2474.38,Pending,2023-01-04
PR0301,Marketing,VendorA,3086.34,Pending,2024-09-23
PR0302,IT,VendorA,2614.15,Rejected,2023-09-17
PR0303,Marketing,VendorB,4936.05,Approved,2021-02-28
PR0304,Finance,VendorB,3954.98,Approved,2022-08-21
PR0305,Marketing,VendorA,2363.05,Rejected,2023-04-06
PR0306,IT,VendorA,4251.8,Approved,2021-07-06
PR0307,Marketing,VendorB,3419.78,Pending,2024-12-03
PR0308,Finance,VendorC,2078.86,Pending,2023-07-18
PR0309,IT,VendorA,1047.17,Approved,2022-03-05
PR0310,Finance,VendorA,4789.5,Approved,2021-04-14
PR0311,Marketing,VendorC,3409.59,Rejected,2024-03-30
PR0312,HR,VendorB,3092.47,Approved,2022-08-26
PR0313,IT,VendorB,2476.75,Rejected,2023-03-17
PR0314,Finance,VendorB,4629.42,Rejected,2024-06-25
PR0315,Finance,VendorA,281.65,Rejected,2020-04-16
PR0316,Marketing,VendorB,3448.7,Pending,2022-11-09
PR0317,Marketing,VendorB,1215.93,Pending,2025-07-04
PR0318,Marketing,VendorB,4517.76,Rejected,2023-06-25
PR0319,Marketing,VendorA,4505.02,Rejected,2025-01-23
PR0320,HR,VendorB,281.97,Pending,2025-07-19
PR0321,Finance,VendorA,3733.07,Rejected,2022-11-01
PR0322,IT,VendorA,3613.6,Approved,2024-09-23
PR0323,Finance,VendorA,4249.93,Pending,2020-02-15
PR0324,Finance,VendorA,1212.52,Approved,2023-11-10
PR0325,Finance,VendorA,230.12,Pending,2021-08-15
PR0326,Finance,VendorA,1208.78,Approved,2020-05-01
PR0327,IT,VendorC,3601.15,Rejected,2022-03-24
PR0328,IT,VendorA,1187.8,Pending,2020-05-31
PR0329,IT,VendorB,897.04,Approved,2021-04-09
PR0330,HR,VendorA,662.82,Rejected,2022-11-06
PR0331,Marketing,VendorB,2325.47,Pending,2020-12-27
PR0332,Finance,VendorC,4007.45,Pending,2023-12-28
PR0333,HR,VendorA,3731.84,Pending,2024-02-06
PR0334,HR,VendorA,3618.89,Rejected,2020-07-19
PR0335,Finance,VendorC,1402.52,Approved,2020-04-04
PR0336,IT,VendorC,4008.14,Approved,2021-04-04
PR0337,Finance,VendorC,4231.29,Rejected,2020-12-01
PR0338,IT,VendorA,3590.74,Pending,2021-05-08
PR0339,Marketing,VendorC,3373.55,Rejected,2022-09-01
PR0340,Marketing,VendorB,601.99,Approved,2024-10-10
PR0341,HR,VendorA,3671.23,Pending,2021-07-29
PR0342,IT,VendorC,4849.54,Pending,2023-12-03
PR0343,Finance,VendorC,624.9,Pending,2022-09-18
PR0344,IT,VendorB,569.0,Rejected,2022-04-02
PR0345,Finance,VendorC,4480.26,Approved,2025-02-17
PR0346,Finance,VendorB,3345.32,Pending,2021-10-17
PR0347,Finance,VendorC,1525.0,Rejected,2020-04-08
PR0348,IT,VendorB,4096.97,Rejected,2021-10-10
PR0349,IT,VendorA,1961.91,Approved,2023-07-04
PR0350,HR,VendorC,3679.68,Approved,2024-04-16
PR0351,IT,VendorC,2860.56,Approved,2023-06-02
PR0352,HR,VendorA,309.31,Approved,2020-12-08
PR0353,HR,VendorA,684.82,Approved,2024-07-07
PR0354,Marketing,VendorB,4290.32,Pending,2020-09-19
PR0355,HR,VendorC,4642.25,Rejected,2024-11-02
PR0356,HR,VendorA,3003.9,Approved,2020-02-12
PR0357,HR,VendorA,2818.83,Rejected,2020-09-30
PR0358,HR,VendorC,4855.12,Rejected,2023-12-01
PR0359,Marketing,VendorB,3386.23,Pending,2024-07-08
PR0360,Finance,VendorC,1621.66,Pending,2020-02-14
PR0361,Marketing,VendorC,3136.05,Rejected,2021-05-23
PR0362,HR,VendorC,2269.88,Pending,2020-09-25
PR0363,Marketing,VendorC,1200.91,Rejected,2023-10-21
PR0364,Finance,VendorB,2074.2,Approved,2021-06-23
PR0365,Finance,VendorA,4973.28,Rejected,2024-02-10
PR0366,HR,VendorB,515.21,Approved,2020-05-16
PR0367,HR,VendorB,1698.95,Pending,2024-01-06
PR0368,Marketing,VendorA,1916.65,Pending,2021-03-05
PR0369,Finance,VendorC,4616.64,Rejected,2024-03-29
PR0370,HR,VendorA,1641.4,Rejected,2025-03-02
PR0371,Finance,VendorA,4090.47,Pending,2023-08-17
PR0372,HR,VendorC,799.17,Pending,2020-01-23
PR0373,HR,VendorC,1916.39,Rejected,2024-08-04
PR0374,IT,VendorA,4050.78,Approved,2022-03-29
PR0375,Finance,VendorB,4925.2,Pending,2022-08-26
PR0376,Finance,VendorB,1099.03,Approved,2021-03-24
PR0377,Finance,VendorC,3819.96,Pending,2023-12-05
PR0378,IT,VendorB,172.92,Rejected,2022-10-30
PR0379,IT,VendorB,4808.37,Rejected,2024-09-12
PR0380,Marketing,VendorB,4775.22,Approved,2021-09-11
PR0381,Marketing,VendorA,4805.69,Rejected,2020-11-05
PR0382,HR,VendorC,786.75,Approved,2021-08-21
PR0383,HR,VendorA,613.74,Pending,2021-04-11
PR0384,HR,VendorB,755.71,Approved,2023-01-23
PR0385,IT,VendorC,1063.84,Approved,2021-09-27
PR0386,IT,VendorB,2756.83,Pending,2023-02-09
PR0387,HR,VendorA,1486.04,Rejected,2020-08-05
PR0388,IT,VendorC,3059.47,Rejected,2025-01-01
PR0389,Marketing,VendorA,2645.78,Rejected,2021-04-08
PR0390,IT,VendorC,3689.27,Rejected,2020-11-13
PR0391,Finance,VendorC,3793.87,Pending,2020-08-15
PR0392,HR,VendorC,4358.1,Approved,2023-03-20
PR0393,Marketing,VendorB,3263.37,Rejected,2025-05-15
PR0394,Marketing,VendorC,512.9,Pending,2025-09-19
PR0395,IT,VendorB,4454.35,Approved,2025-01-28
PR0396,IT,VendorA,4464.39,Approved,2020-04-30
PR0397,Finance,VendorC,717.53,Pending,2020-12-12
PR0398,IT,VendorC,781.21,Pending,2023-09-22
PR0399,Marketing,VendorC,3824.02,Approved,2021-08-15
PR0400,HR,VendorB,2703.28,Approved,2022-11-29
PR0401,IT,VendorC,2278.51,Pending,2021-05-16
PR0402,HR,VendorB,2931.24,Approved,2022-12-18
PR0403,Finance,VendorA,3158.17,Rejected,2022-07-07
PR0404,Finance,VendorC,3370.22,Approved,2022-09-17
PR0405,IT,VendorA,2346.9,Approved,2024-09-24
PR0406,Finance,VendorA,3801.66,Approved,2020-11-16
PR0407,Marketing,VendorB,2754.09,Rejected,2023-08-15
PR0408,Marketing,VendorA,3357.45,Approved,2023-01-10
PR0409,Marketing,VendorB,2997.32,Rejected,2022-03-27
PR0410,HR,VendorA,1208.04,Approved,2024-04-06
PR0411,Marketing,VendorA,3071.13,Rejected,2024-08-07
PR0412,Marketing,VendorC,4282.27,Approved,2023-12-22
PR0413,HR,VendorA,766.03,Pending,2023-12-17
PR0414,HR,VendorC,4426.54,Approved,2021-08-19
PR0415,Marketing,VendorB,1314.86,Approved,2021-08-19
PR0416,HR,VendorB,1879.9,Pending,2022-07-15
PR0417,HR,VendorB,1426.43,Rejected,2025-09-14
PR0418,Marketing,VendorB,691.62,Rejected,2020-01-07
PR0419,Finance,VendorC,4280.03,Rejected,2024-08-18
PR0420,Finance,VendorA,2031.96,Rejected,2020-05-03
PR0421,Finance,VendorA,2039.97,Pending,2022-04-01
PR0422,HR,VendorC,1014.79,Pending,2022-01-27
PR0423,HR,VendorC,2918.96,Approved,2025-03-13
PR0424,HR,VendorB,1711.89,Rejected,2020-11-25
PR0425,IT,VendorA,3575.15,Approved,2020-04-30
PR0426,Finance,VendorA,4548.53,Approved,2023-01-11
PR0427,HR,VendorA,133.91,Approved,2022-09-07
PR0428,Marketing,VendorC,632.8,Approved,2022-11-07
PR0429,HR,VendorC,3414.74,Approved,2020-09-21
PR0430,IT,VendorB,580.84,Pending,2023-05-14
PR0431,IT,VendorC,3590.31,Approved,2025-02-23
PR0432,Marketing,VendorC,4214.18,Approved,2024-07-09
PR0433,Finance,VendorA,2259.85,Pending,2023-05-23
PR0434,Marketing,VendorC,2653.9,Pending,2021-12-21
PR0435,HR,VendorC,627.33,Approved,2023-07-22
PR0436,HR,VendorC,3644.96,Approved,2025-01-06
PR0437,IT,VendorC,3261.18,Rejected,2022-12-05
PR0438,IT,VendorC,3582.99,Approved,2021-11-06
PR0439,HR,VendorB,1823.1,Pending,2021-03-31
PR0440,HR,VendorA,3176.63,Rejected,2020-09-28
PR0441,IT,VendorB,3973.45,Approved,2020-07-06
PR0442,IT,VendorC,1207.96,Pending,2021-02-06
PR0443,Finance,VendorC,2236.95,Rejected,2024-08-09
PR0444,Finance,VendorB,4162.49,Approved,2021-03-13
PR0445,HR,VendorB,4373.93,Pending,2022-10-14
PR0446,Finance,VendorB,3289.77,Approved,2021-11-22
PR0447,HR,VendorB,717.76,Rejected,2021-12-14
PR0448,Finance,VendorB,2240.35,Pending,2023-07-12
PR0449,IT,VendorB,1981.53,Pending,2022-05-03
PR0450,Marketing,VendorB,4604.74,Pending,2024-06-20
PR0451,Marketing,VendorC,4423.81,Rejected,2024-11-08
PR0452,HR,VendorA,1414.86,Approved,2020-09-27
PR0453,IT,VendorB,3086.24,Pending,2022-11-20
PR0454,Marketing,VendorB,4756.5,Rejected,2021-10-26
PR0455,HR,VendorB,1476.35,Pending,2023-08-05
PR0456,Marketing,VendorC,4155.45,Rejected,2020-07-11
PR0457,Finance,VendorC,645.67,Approved,2020-06-30
PR0458,Marketing,VendorA,3502.02,Approved,2022-12-14
PR0459,IT,VendorA,3851.75,Pending,2021-07-19
PR0460,Finance,VendorC,1105.66,Rejected,2022-09-26
PR0461,Finance,VendorC,297.88,Rejected,2025-02-25
PR0462,HR,VendorB,1394.54,Rejected,2024-02-10
PR0463,Finance,VendorC,905.62,Pending,2022-11-11
PR0464,IT,VendorA,4666.86,Approved,2021-12-18
PR0465,HR,VendorB,4723.72,Rejected,2024-07-04
PR0466,HR,VendorB,3263.74,Approved,2020-01-05
PR0467,Marketing,VendorA,2669.23,Approved,2025-04-18
PR0468,Marketing,VendorC,1875.32,Rejected,2025-08-08
