request_id,department,type,amount,status,date_submitted
F048,IT,Reimbursement,799.57,Rejected,2025-09-12
F049,Finance,Software License,773.08,Pending,2025-09-12
F050,Finance,Reimbursement,4417.15,Pending,2025-09-12
F051,IT,Software License,1124.16,Approved,2025-09-12
F052,HR,Software License,2196.79,Pending,2025-09-12
F053,HR,Software License,1347.98,Approved,2025-09-12
F054,Operations,Software License,2786.1,Approved,2025-09-12
F055,IT,Software License,1237.77,Rejected,2025-09-12
F056,Marketing,Purchase,3854.42,Rejected,2025-09-12
F057,Finance,Reimbursement,4547.58,Pending,2025-09-12
F058,Operations,Reimbursement,1889.87,Pending,2025-09-12
F059,Operations,Invoice,4933.64,Pending,2025-09-12
F060,Operations,Purchase,1883.26,Approved,2025-09-12
F061,IT,Purchase,3283.33,Rejected,2025-09-12
F062,IT,Purchase,1366.88,Rejected,2025-09-12
F063,IT,Invoice,2932.17,Rejected,2025-09-12
F064,Marketing,Invoice,2452.44,Rejected,2025-09-12
F065,Operations,Reimbursement,4884.77,Pending,2025-09-12
F066,Marketing,Purchase,2753.91,Approved,2025-09-12
F067,Operations,Reimbursement,3246.07,Approved,2025-09-12
F068,HR,Invoice,4263.56,Rejected,2025-09-12
F069,HR,Invoice,4860.72,Rejected,2025-09-12
F070,Operations,Reimbursement,3364.45,Rejected,2025-09-12
F071,Marketing,Invoice,3803.95,Pending,2025-09-12
F072,HR,Invoice,2974.46,Approved,2025-09-12
F073,Operations,Invoice,1011.52,Approved,2025-09-12
F074,IT,Purchase,81.64,Pending,2025-09-12
F075,HR,Purchase,3790.41,Approved,2025-09-12
F076,Operations,Invoice,4942.69,Pending,2025-09-12
F077,Operations,Purchase,1224.59,Rejected,2025-09-12
F078,HR,Invoice,3496.99,Pending,2025-09-12
F079,Marketing,Software License,3406.47,Approved,2025-09-12
F080,Marketing,Invoice,4227.37,Approved,2025-09-12
F081,IT,Software License,852.83,Approved,2025-09-12
F082,Marketing,Software License,1807.81,Approved,2025-09-12
F083,Finance,Reimbursement,4697.55,Approved,2025-09-12
F084,Operations,Reimbursement,2495.44,Rejected,2025-09-12
F085,Finance,Reimbursement,1557.77,Pending,2025-09-12
F086,IT,Purchase,160.33,Approved,2025-09-12
F087,Marketing,Software License,608.4,Approved,2025-09-12
F088,HR,Purchase,2296.08,Approved,2025-09-12
F089,Operations,Invoice,4861.69,Rejected,2025-09-12
F090,HR,Purchase,4206.67,Rejected,2025-09-12
F091,Marketing,Purchase,866.6,Approved,2025-09-12
F092,IT,Reimbursement,2266.66,Approved,2025-09-12
F093,Operations,Software License,2791.28,Pending,2025-09-12
F094,Marketing,Purchase,97.24,Approved,2025-09-12
F095,Finance,Reimbursement,4712.96,Rejected,2025-09-12
F096,Finance,Software License,2848.42,Pending,2025-09-12
F097,Finance,Purchase,212.39,Rejected,2025-09-12
F098,Operations,Reimbursement,2749.44,Rejected,2025-09-12
F099,HR,Reimbursement,2322.4,Rejected,2025-09-12
F100,Operations,Reimbursement,3218.64,Approved,2025-09-12
F101,Marketing,Reimbursement,547.07,Approved,2025-09-12
F102,Marketing,Reimbursement,1620.07,Approved,2025-09-12
F103,Finance,Purchase,4404.19,Approved,2025-09-12
F104,Marketing,Software License,4484.88,Pending,2025-09-12
F105,IT,Software License,367.42,Pending,2025-09-12
F106,Operations,Invoice,1228.62,Pending,2025-09-12
F107,Finance,Software License,3206.24,Pending,2025-09-12
F108,IT,Purchase,3116.68,Rejected,2025-09-12
F109,Finance,Reimbursement,2484.65,Pending,2025-09-12
F110,Marketing,Reimbursement,190.05,Pending,2025-09-12
F111,Operations,Reimbursement,863.33,Pending,2025-09-12
F112,HR,Purchase,4325.82,Pending,2025-09-12
F113,HR,Purchase,354.72,Approved,2025-09-12
F114,HR,Purchase,1418.42,Pending,2025-09-12
F115,Operations,Invoice,2222.89,Pending,2025-09-12
F116,Finance,Invoice,654.39,Approved,2025-09-12
F117,Operations,Invoice,2176.33,Approved,2025-09-12
F118,Marketing,Purchase,4725.15,Rejected,2025-09-12
F119,Marketing,Software License,2432.43,Rejected,2025-09-12
F120,HR,Reimbursement,1481.62,Pending,2025-09-12
F121,Finance,Software License,4198.02,Pending,2025-09-12
F122,Finance,Invoice,3373.19,Rejected,2025-09-12
F123,HR,Invoice,1691.1,Pending,2025-09-12
F124,IT,Reimbursement,989.95,Rejected,2025-09-12
F125,Operations,Reimbursement,1781.42,Pending,2025-09-12
F126,Marketing,Invoice,3557.54,Approved,2025-09-12
F127,Finance,Invoice,3898.01,Rejected,2025-09-12
F128,Operations,Software License,948.89,Rejected,2025-09-12
F129,Finance,Invoice,2003.18,Approved,2025-09-12
F130,IT,Software License,4290.11,Approved,2025-09-12
F131,IT,Reimbursement,2205.47,Rejected,2025-09-12
F132,Marketing,Invoice,3181.01,Rejected,2025-09-12
F133,Finance,Purchase,115.11,Pending,2025-09-12
F134,Marketing,Purchase,1189.02,Approved,2025-09-12
F135,Marketing,Reimbursement,3083.69,Approved,2025-09-12
F136,Marketing,Purchase,1266.77,Rejected,2025-09-12
F137,Finance,Purchase,1434.04,Pending,2025-09-12
F138,HR,Invoice,4773.06,Pending,2025-09-12
F139,HR,Software License,3892.66,Pending,2025-09-12
F140,Operations,Invoice,4859.51,Pending,2025-09-12
F141,Marketing,Invoice,4556.72,Rejected,2025-09-12
F142,HR,Software License,1458.27,Rejected,2025-09-12
F143,Marketing,Software License,4484.17,Pending,2025-09-12
F144,Operations,Reimbursement,2122.29,Approved,2025-09-12
F145,Operations,Reimbursement,3119.23,Approved,2025-09-12
F146,IT,Software License,472.24,Pending,2025-09-12
F147,HR,Software License,586.91,Pending,2025-09-12
F148,Marketing,Purchase,2766.34,Approved,2025-09-12
F149,HR,Invoice,2084.22,Approved,2025-09-12
F150,IT,Invoice,3276.17,Rejected,2025-09-12
F151,Operations,Invoice,2604.3,Rejected,2025-09-12
F152,Finance,Invoice,1170.41,Approved,2025-09-12
F153,Operations,Purchase,2590.08,Approved,2025-09-12
F154,Finance,Software License,3628.27,Rejected,2025-09-12
F155,IT,Invoice,2789.68,Pending,2025-09-12
F156,HR,Reimbursement,894.74,Pending,2025-09-12
F157,Marketing,Software License,692.54,Rejected,2025-09-12
F158,Marketing,Purchase,1142.17,Pending,2025-09-12
F159,Finance,Invoice,4712.3,Approved,2025-09-12
F160,HR,Purchase,1353.2,Rejected,2025-09-12
F161,IT,Purchase,429.93,Rejected,2025-09-12
F162,Finance,Software License,3900.23,Rejected,2025-09-12
F163,IT,Purchase,2517.17,Approved,2025-09-12
F164,Marketing,Invoice,1004.71,Rejected,2025-09-12
F165,IT,Reimbursement,4733.56,Approved,2025-09-12
F166,Finance,Software License,1474.25,Approved,2025-09-12
F167,HR,Software License,2727.14,Rejected,2025-09-12
F168,IT,Reimbursement,4611.39,Rejected,2025-09-12
F169,HR,Purchase,3499.3,Pending,2025-09-12
F170,Finance,Purchase,1455.35,Approved,2025-09-12
F171,Finance,Software License,2549.4,Approved,2025-09-12
F172,IT,Reimbursement,1656.84,Pending,2025-09-12
F173,Operations,Invoice,933.68,Approved,2025-09-12
F174,IT,Software License,631.33,Rejected,2025-09-12
F175,IT,Purchase,489.28,Pending,2025-09-12
F176,HR,Purchase,421.78,Pending,2025-09-12
F177,Marketing,Software License,3114.27,Approved,2025-09-12
F178,IT,Reimbursement,2574.49,Rejected,2025-09-12
F179,Marketing,Software License,556.26,Rejected,2025-09-12
F180,IT,Software License,300.92,Pending,2025-09-12
F181,Marketing,Purchase,4931.69,Rejected,2025-09-12
F182,Finance,Purchase,212.22,Approved,2025-09-12
F183,IT,Software License,474.86,Pending,2025-09-12
F184,IT,Invoice,2014.85,Approved,2025-09-12
F185,Finance,Purchase,846.85,Pending,2025-09-12
F186,HR,Software License,3019.59,Approved,2025-09-12
F187,Operations,Purchase,676.21,Pending,2025-09-12
F188,Finance,Reimbursement,89.87,Rejected,2025-09-12
F189,HR,Invoice,1998.25,Pending,2025-09-12
F190,Marketing,Invoice,4921.49,Pending,2025-09-12
F191,HR,Invoice,2819.44,Approved,2025-09-12
F192,HR,Reimbursement,2046.33,Pending,2025-09-12
F193,Finance,Purchase,4191.43,Rejected,2025-09-12
F194,IT,Reimbursement,4132.48,Approved,2025-09-12
F195,IT,Purchase,3782.41,Approved,2025-09-12
F196,Operations,Invoice,2495.66,Rejected,2025-09-12
F197,IT,Software License,1810.65,Pending,2025-09-12
F198,Marketing,Invoice,3639.54,Approved,2025-09-12
F199,Marketing,Invoice,527.85,Rejected,2025-09-12
F200,IT,Purchase,1807.52,Approved,2025-09-12
F201,Operations,Purchase,124.49,Pending,2025-09-12
F202,Marketing,Reimbursement,2888.11,Pending,2025-09-12
F203,Operations,Reimbursement,664.16,Approved,2025-09-12
F204,Marketing,Reimbursement,273.49,Rejected,2025-09-12
F205,Operations,Software License,263.3,Approved,2025-09-12
F206,Finance,Purchase,2998.91,Pending,2025-09-12
F207,IT,Reimbursement,4772.72,Rejected,2025-09-12
F208,Operations,Invoice,784.65,Pending,2025-09-12
F209,Marketing,Reimbursement,871.82,Rejected,2025-09-12
F210,Finance,Software License,3425.97,Pending,2025-09-12
F211,Marketing,Invoice,3672.62,Pending,2025-09-12
F212,IT,Software License,1486.34,Approved,2025-09-12
F213,Operations,Software License,2663.03,Pending,2025-09-12
F214,IT,Reimbursement,2554.22,Pending,2025-09-12
F215,IT,Invoice,4108.71,Approved,2025-09-12
F216,Finance,Software License,3294.29,Approved,2025-09-12
F217,IT,Purchase,122.65,Pending,2025-09-12
F218,Operations,Software License,4606.1,Approved,2025-09-12
F219,HR,Purchase,3692.73,Rejected,2025-09-12
F220,Marketing,Reimbursement,810.75,Rejected,2025-09-12
F221,Operations,Software License,2784.06,Pending,2025-09-12
F222,Marketing,Software License,4360.42,Rejected,2025-09-12
F223,IT,Software License,2725.69,Approved,2025-09-12
F224,Marketing,Software License,2447.79,Rejected,2025-09-12
F225,HR,Purchase,3601.93,Rejected,2025-09-12
F226,Operations,Reimbursement,2232.22,Approved,2025-09-12
F227,Operations,Software License,3781.89,Approved,2025-09-12
F228,IT,Invoice,1737.95,Pending,2025-09-12
F229,HR,Invoice,1778.58,Approved,2025-09-12
F230,HR,Software License,444.04,Rejected,2025-09-12
F231,Operations,Invoice,1945.74,Rejected,2025-09-12
F232,Operations,Software License,1597.37,Rejected,2025-09-12
F233,Finance,Software License,2581.81,Rejected,2025-09-12
F234,IT,Purchase,4792.48,Rejected,2025-09-12
F235,IT,Invoice,1891.15,Approved,2025-09-12
F236,Marketing,Reimbursement,2320.9,Approved,2025-09-12
F237,HR,Purchase,4738.16,Pending,2025-09-12
F238,HR,Purchase,2197.36,Rejected,2025-09-12
F239,HR,Invoice,2453.28,Rejected,2025-09-12
F240,Operations,Invoice,3472.42,Pending,2025-09-12
F241,IT,Software License,2003.18,Approved,2025-09-12
F242,IT,Reimbursement,2690.8,Rejected,2025-09-12
F243,IT,Software License,4079.03,Pending,2025-09-12
F244,Finance,Invoice,2665.35,Approved,2025-09-12
F245,IT,Reimbursement,3310.28,Pending,2025-09-12
F246,Operations,Reimbursement,4194.74,Rejected,2025-09-12
F247,HR,Purchase,246.52,Approved,2025-09-12
F248,Operations,Reimbursement,4408.4,Rejected,2025-09-12
F249,Operations,Reimbursement,1260.99,Pending,2025-09-12
F250,Operations,Invoice,4543.45,Approved,2025-09-12
F251,IT,Reimbursement,398.63,Pending,2025-09-12
F252,Marketing,Software License,4973.75,Approved,2025-09-12
F253,Marketing,Invoice,3865.9,Pending,2025-09-12
F254,HR,Reimbursement,3688.97,Rejected,2025-09-12
F255,Operations,Invoice,4503.17,Rejected,2025-09-12
F256,HR,Invoice,3583.87,Rejected,2025-09-12
F257,IT,Invoice,308.65,Rejected,2025-09-12
F258,Finance,Reimbursement,1653.37,Approved,2025-09-12
F259,Finance,Purchase,1924.81,Pending,2025-09-12
F260,HR,Invoice,4201.8,Rejected,2025-09-12
F261,Marketing,Invoice,2389.63,Pending,2025-09-12
F262,Operations,Purchase,4844.09,Pending,2025-09-12
F263,IT,Reimbursement,859.94,Pending,2025-09-12
F264,HR,Purchase,4782.86,Approved,2025-09-12
F265,Finance,Reimbursement,1127.56,Rejected,2025-09-12
F266,Operations,Software License,4013.85,Rejected,2025-09-12
F267,Operations,Reimbursement,3989.5,Pending,2025-09-12
F268,Marketing,Software License,1678.91,Approved,2025-09-12
F269,HR,Reimbursement,3138.23,Pending,2025-09-12
F270,Finance,Software License,2204.61,Approved,2025-09-12
F271,Marketing,Software License,1621.85,Pending,2025-09-12
F272,Marketing,Reimbursement,338.28,Pending,2025-09-12
F273,IT,Reimbursement,3924.7,Approved,2025-09-12
F274,Marketing,Purchase,2793.79,Approved,2025-09-12
F275,Operations,Software License,4705.88,Rejected,2025-09-12
F276,HR,Software License,178.96,Rejected,2025-09-12
F277,HR,Purchase,381.22,Rejected,2025-09-12
F278,HR,Software License,2274.14,Rejected,2025-09-12
F279,IT,Purchase,800.79,Rejected,2025-09-12
F280,IT,Software License,835.71,Approved,2025-09-12
F281,HR,Reimbursement,1816.87,Approved,2025-09-12
F282,Operations,Purchase,573.48,Pending,2025-09-12
F283,IT,Purchase,2340.1,Pending,2025-09-12
F284,IT,Software License,1930.15,Rejected,2025-09-12
F285,HR,Invoice,4319.06,Pending,2025-09-12
F286,Operations,Invoice,1974.85,Pending,2025-09-12
F287,IT,Reimbursement,2985.7,Pending,2025-09-12
F288,HR,Reimbursement,3633.3,Pending,2025-09-12
F289,Marketing,Purchase,1344.36,Approved,2025-09-12
F290,Marketing,Invoice,1549.45,Approved,2025-09-12
F291,IT,Software License,2427.17,Approved,2025-09-12
F292,HR,Reimbursement,1797.86,Pending,2025-09-12
F293,Marketing,Reimbursement,1170.35,Pending,2025-09-12
F294,Marketing,Reimbursement,1111.0,Rejected,2025-09-12
F295,Operations,Reimbursement,1713.8,Approved,2025-09-12
F296,IT,Reimbursement,2898.05,Pending,2025-09-12
F297,Finance,Software License,1964.82,Approved,2025-09-12
F298,HR,Software License,3483.68,Pending,2025-09-12
F299,HR,Purchase,678.94,Approved,2025-09-12
F300,HR,Invoice,1807.59,Pending,2025-09-12
F301,HR,Purchase,2088.79,Pending,2025-09-12
F302,IT,Reimbursement,370.07,Rejected,2025-09-12
F303,Operations,Software License,2022.14,Approved,2025-09-12
F304,HR,Purchase,2120.79,Approved,2025-09-12
F305,IT,Software License,426.28,Rejected,2025-09-12
F306,Marketing,Purchase,832.08,Approved,2025-09-12
F307,Operations,Software License,3873.2,Approved,2025-09-12
F308,IT,Invoice,3196.01,Approved,2025-09-12
F309,Operations,Purchase,1751.4,Pending,2025-09-12
F310,IT,Invoice,712.78,Approved,2025-09-12
F311,Operations,Software License,4216.37,Rejected,2025-09-12
F312,Finance,Invoice,1013.35,Approved,2025-09-12
F313,Operations,Reimbursement,1882.41,Rejected,2025-09-12
F314,Marketing,Reimbursement,1327.6,Approved,2025-09-12
F315,Marketing,Reimbursement,4448.25,Approved,2025-09-12
F316,Finance,Reimbursement,2165.1,Approved,2025-09-12
F317,Marketing,Purchase,4159.38,Pending,2025-09-12
F318,Finance,Reimbursement,1555.93,Rejected,2025-09-12
F319,Marketing,Purchase,1453.89,Rejected,2025-09-12
F320,Operations,Invoice,4633.37,Approved,2025-09-12
F321,HR,Invoice,1281.39,Pending,2025-09-12
F322,Operations,Invoice,1010.3,Rejected,2025-09-12
F323,Marketing,Invoice,238.24,Rejected,2025-09-12
F324,IT,Reimbursement,4250.47,Rejected,2025-09-12
F325,IT,Software License,4286.85,Pending,2025-09-12
F326,HR,Purchase,3790.18,Pending,2025-09-12
F327,HR,Purchase,1198.93,Approved,2025-09-12
F328,HR,Software License,2512.33,Pending,2025-09-12
F329,HR,Invoice,529.88,Approved,2025-09-12
F330,HR,Purchase,3737.36,Approved,2025-09-12
F331,Marketing,Reimbursement,4936.32,Pending,2025-09-12
F332,IT,Software License,2000.75,Approved,2025-09-12
F333,HR,Purchase,617.87,Rejected,2025-09-12
F334,IT,Software License,67.32,Approved,2025-09-12
F335,HR,Purchase,3069.01,Approved,2025-09-12
F336,Marketing,Purchase,3982.1,Approved,2025-09-12
F337,IT,Invoice,1090.91,Pending,2025-09-12
F338,HR,Reimbursement,2670.8,Rejected,2025-09-12
F339,Finance,Reimbursement,2920.96,Pending,2025-09-12
F340,IT,Software License,3811.95,Pending,2025-09-12
F341,HR,Software License,2660.93,Approved,2025-09-12
F342,Finance,Purchase,3185.06,Pending,2025-09-12
F343,Marketing,Software License,3170.13,Rejected,2025-09-12
F344,Finance,Reimbursement,1203.81,Approved,2025-09-12
F345,HR,Invoice,4144.88,Approved,2025-09-12
F346,HR,Software License,2392.6,Rejected,2025-09-12
F347,IT,Reimbursement,2583.05,Rejected,2025-09-12
F348,IT,Software License,3061.23,Approved,2025-09-12
F349,HR,Invoice,4724.02,Approved,2025-09-12
F350,Finance,Purchase,3318.21,Pending,2025-09-12
F351,Marketing,Purchase,3095.36,Pending,2025-09-12
F352,Marketing,Software License,4323.31,Rejected,2025-09-12
F353,Marketing,Purchase,2810.01,Rejected,2025-09-12
F354,Operations,Reimbursement,459.31,Approved,2025-09-12
F355,Operations,Purchase,2919.13,Rejected,2025-09-12
F356,Operations,Invoice,1721.62,Rejected,2025-09-12
F357,Marketing,Reimbursement,3290.12,Approved,2025-09-12
F358,IT,Software License,4911.96,Approved,2025-09-12
F359,Finance,Software License,841.08,Rejected,2025-09-12
F360,Marketing,Invoice,2034.71,Rejected,2025-09-12
F361,Finance,Software License,4179.03,Approved,2025-09-12
F362,Operations,Purchase,3913.32,Rejected,2025-09-12
F363,IT,Software License,723.97,Approved,2025-09-12
F364,Finance,Invoice,3428.92,Pending,2025-09-12
F365,IT,Purchase,1932.92,Rejected,2025-09-12
F366,Marketing,Reimbursement,3897.13,Approved,2025-09-12
F367,Marketing,Invoice,2919.52,Pending,2025-09-12
F368,Finance,Reimbursement,2783.23,Rejected,2025-09-12
F369,HR,Software License,378.72,Approved,2025-09-12
F370,IT,Purchase,471.77,Pending,2025-09-12
F371,Marketing,Reimbursement,3179.23,Rejected,2025-09-12
F372,Operations,Invoice,1013.31,Approved,2025-09-12
F373,Finance,Reimbursement,437.22,Rejected,2025-09-12
F374,Finance,Reimbursement,3498.96,Pending,2025-09-12
F375,IT,Software License,351.94,Pending,2025-09-12
F376,HR,Invoice,1221.02,Pending,2025-09-12
F377,Operations,Invoice,4436.2,Approved,2025-09-12
F378,Finance,Invoice,2653.61,Approved,2025-09-12
F379,Finance,Invoice,1804.4,Approved,2025-09-12
F380,Marketing,Invoice,966.39,Rejected,2025-09-12
F381,Finance,Purchase,333.77,Approved,2025-09-12
F382,Marketing,Purchase,1014.7,Pending,2025-09-12
F383,Operations,Invoice,4490.39,Rejected,2025-09-12
F384,Operations,Invoice,986.94,Rejected,2025-09-12
F385,IT,Reimbursement,3670.21,Approved,2025-09-12
F386,HR,Purchase,2284.26,Pending,2025-09-12
F387,HR,Purchase,4550.21,Pending,2025-09-12
F388,Operations,Purchase,1691.05,Rejected,2025-09-12
F389,Finance,Software License,4424.13,Approved,2025-09-12
F390,IT,Reimbursement,1574.63,Approved,2025-09-12
F391,Operations,Invoice,4111.45,Rejected,2025-09-12
F392,Operations,Purchase,1126.55,Rejected,2025-09-12
F393,HR,Invoice,1889.16,Rejected,2025-09-12
F394,IT,Invoice,1866.69,Pending,2025-09-12
F395,Marketing,Invoice,506.37,Approved,2025-09-12
F396,IT,Invoice,4420.83,Rejected,2025-09-12
F397,HR,Reimbursement,4278.27,Rejected,2025-09-12
F398,Operations,Software License,2264.45,Rejected,2025-09-12
F399,IT,Software License,2534.74,Rejected,2025-09-12
F400,HR,Reimbursement,4067.69,Rejected,2025-09-12
F401,Finance,Purchase,1488.54,Approved,2025-09-12
F402,Operations,Software License,3029.68,Rejected,2025-09-12
F403,IT,Software License,3230.03,Rejected,2025-09-12
F404,Marketing,Software License,2630.04,Rejected,2025-09-12
F405,IT,Purchase,420.65,Rejected,2025-09-12
F406,IT,Software License,3511.59,Rejected,2025-09-12
F407,Marketing,Purchase,1818.11,Pending,2025-09-12
F408,Marketing,Invoice,761.04,Approved,2025-09-12
F409,Operations,Software License,267.49,Pending,2025-09-12
F410,Operations,Reimbursement,2195.55,Pending,2025-09-12
F411,Finance,Reimbursement,897.98,Rejected,2025-09-12
F412,Marketing,Invoice,4047.27,Rejected,2025-09-12
F413,IT,Reimbursement,1849.7,Pending,2025-09-12
F414,Operations,Software License,1693.16,Rejected,2025-09-12
F415,IT,Invoice,3940.04,Approved,2025-09-12
F416,HR,Reimbursement,2947.72,Rejected,2025-09-12
F417,Operations,Reimbursement,3211.74,Rejected,2025-09-12
F418,HR,Reimbursement,2634.87,Approved,2025-09-12
F419,IT,Invoice,4976.0,Approved,2025-09-12
F420,Finance,Software License,1882.15,Approved,2025-09-12
F421,HR,Invoice,1322.69,Approved,2025-09-12
F422,Finance,Software License,918.87,Approved,2025-09-12
F423,Marketing,Purchase,3392.53,Approved,2025-09-12
F424,IT,Invoice,3964.49,Pending,2025-09-12
F425,HR,Invoice,740.72,Rejected,2025-09-12
F426,HR,Invoice,383.6,Approved,2025-09-12
F427,HR,Invoice,3865.89,Approved,2025-09-12
F428,Finance,Purchase,1563.39,Rejected,2025-09-12
F429,Finance,Purchase,707.17,Rejected,2025-09-12
F430,HR,Invoice,3837.77,Pending,2025-09-12
F431,Marketing,Purchase,2236.17,Pending,2025-09-12
F432,Operations,Purchase,3719.44,Rejected,2025-09-12
F433,HR,Purchase,4416.04,Approved,2025-09-12
F434,Finance,Purchase,1405.21,Pending,2025-09-12
F435,IT,Invoice,2221.41,Pending,2025-09-12
F436,Finance,Invoice,2289.09,Pending,2025-09-12
F437,HR,Reimbursement,4190.39,Approved,2025-09-12
F438,Operations,Software License,3951.2,Pending,2025-09-12
F439,Finance,Purchase,4128.4,Pending,2025-09-12
F440,IT,Invoice,1451.07,Approved,2025-09-12
F441,Operations,Purchase,2212.13,Approved,2025-09-12
F442,Marketing,Software License,4066.3,Approved,2025-09-12
F443,Marketing,Invoice,523.74,Approved,2025-09-12
F444,Operations,Purchase,3099.91,Approved,2025-09-12
F445,Marketing,Invoice,4733.08,Approved,2025-09-12
F446,Finance,Software License,385.0,Pending,2025-09-12
F447,Operations,Invoice,4414.59,Rejected,2025-09-12
F448,IT,Software License,4395.58,Rejected,2025-09-12
F449,Finance,Software License,268.36,Rejected,2025-09-12
F450,Operations,Reimbursement,3149.32,Pending,2025-09-12
F451,IT,Purchase,4253.57,Rejected,2025-09-12
F452,IT,Software License,4679.0,Rejected,2025-09-12
F453,Finance,Invoice,3885.39,Pending,2025-09-12
F454,HR,Purchase,4053.1,Approved,2025-09-12
F455,IT,Software License,66.61,Pending,2025-09-12
F456,IT,Purchase,1156.81,Approved,2025-09-12
F457,HR,Purchase,371.88,Rejected,2025-09-12
F458,Operations,Purchase,231.99,Pending,2025-09-12
F459,IT,Reimbursement,4990.32,Approved,2025-09-12
F460,Marketing,Purchase,2459.47,Pending,2025-09-12
F461,HR,Reimbursement,3606.23,Rejected,2025-09-12
F462,IT,Reimbursement,372.16,Approved,2025-09-12
F463,Marketing,Invoice,583.42,Approved,2025-09-12
F464,IT,Software License,2129.65,Rejected,2025-09-12
F465,IT,Invoice,3572.41,Rejected,2025-09-12
F466,Marketing,Reimbursement,3944.35,Rejected,2025-09-12
F467,Operations,Reimbursement,343.74,Rejected,2025-09-12
F468,Operations,Purchase,4982.09,Approved,2025-09-12
F469,IT,Software License,798.85,Pending,2025-09-12
F470,HR,Purchase,2669.26,Approved,2025-09-12
F471,Marketing,Reimbursement,1875.91,Pending,2025-09-12
F472,HR,Purchase,4631.42,Approved,2025-09-12
F473,Marketing,Invoice,572.93,Rejected,2025-09-12
F474,Operations,Reimbursement,2684.02,Pending,2025-09-12
F475,IT,Software License,4578.37,Rejected,2025-09-12
F476,Marketing,Software License,2021.78,Pending,2025-09-12
F477,Finance,Purchase,4066.66,Rejected,2025-09-12
F478,HR,Invoice,1893.29,Pending,2025-09-12
F479,HR,Purchase,1550.58,Pending,2025-09-12
F480,Operations,Reimbursement,1311.32,Rejected,2025-09-12
F481,IT,Purchase,1942.72,Approved,2025-09-12
F482,Marketing,Reimbursement,2872.68,Pending,2025-09-12
F483,Operations,Invoice,3964.98,Pending,2025-09-12
F484,HR,Purchase,3676.68,Approved,2025-09-12
F485,IT,Invoice,4509.55,Rejected,2025-09-12
F486,HR,Purchase,1096.14,Rejected,2025-09-12
F487,Marketing,Reimbursement,2216.02,Pending,2025-09-12
F488,Marketing,Software License,1239.37,Pending,2025-09-12
F489,Marketing,Purchase,635.43,Pending,2025-09-12
F490,Finance,Software License,2806.93,Approved,2025-09-12
F491,HR,Software License,3129.88,Rejected,2025-09-12
F492,Marketing,Invoice,2405.11,Approved,2025-09-12
F493,Marketing,Reimbursement,1205.8,Pending,2025-09-12
F494,IT,Invoice,3887.25,Rejected,2025-09-12
F495,Marketing,Software License,553.54,Pending,2025-09-12
F496,IT,Reimbursement,3035.37,Pending,2025-09-12
